tradeDate,nav,change,changePercent
2022-08-30,9.9208,0.0016,0.01613
2022-08-29,9.9192,0.0398,0.40286
2022-08-28,9.8794,0.0245,0.24861
2022-08-25,9.8549,0.0441,0.4495
2022-08-24,9.8108,0.0156,0.15926
2022-08-23,9.7952,0.0307,0.3144
2022-08-22,9.7645,0.0329,0.33807
2022-08-21,9.7316,0.0168,0.17293
2022-08-18,9.7148,-0.0026,-0.02676
2022-08-17,9.7174,0.0033,0.03397
2022-08-16,9.7141,-0.0635,-0.64944
2022-08-15,9.7776,0.0711,0.7325
2022-08-14,9.7065,0.0337,0.3484
2022-08-11,9.6728,0.0379,0.39336
2022-08-10,9.6349,0.0168,0.17467
2022-08-09,9.6181,0.0209,0.21777
2022-08-08,9.5972,-0.0726,-0.75079
2022-08-07,9.6698,0.0166,0.17196
2022-08-04,9.6532,-0.0127,-0.13139
2022-08-03,9.6659,0.0043,0.04451
2022-08-02,9.6616,-0.0044,-0.04552
2022-08-01,9.666,-0.0247,-0.25488
2022-07-31,9.6907,0.0216,0.22339
2022-07-28,9.6691,0.0187,0.19377
2022-07-27,9.6504,0.0216,0.22433
2022-07-26,9.6288,0.0144,0.14978
2022-07-25,9.6144,0.0268,0.27953
2022-07-24,9.5876,0.026,0.27192
2022-07-21,9.5616,0.035,0.36739
2022-07-20,9.5266,0.0357,0.37615
2022-07-19,9.4909,0.0088,0.09281
2022-07-18,9.4821,-0.0651,-0.68188
2022-07-17,9.5472,-0.0152,-0.15896
2022-07-14,9.5624,0.0002,0.00209
2022-07-13,9.5622,-0.0191,-0.19935
2022-07-12,9.5813,-0.0275,-0.2862
2022-07-11,9.6088,-0.0575,-0.59485
2022-07-10,9.6663,-0.0389,-0.40082
2022-07-07,9.7052,-0.0172,-0.17691
2022-07-06,9.7224,-0.0456,-0.46683
2022-07-05,9.768,-0.0132,-0.13495
2022-07-04,9.7812,-0.0177,-0.18063
2022-07-03,9.7989,-0.0016,-0.01633
2022-06-30,9.8005,0.0236,0.24139
2022-06-29,9.7769,0.0038,0.03888
2022-06-28,9.7731,-0.0192,-0.19607
2022-06-27,9.7923,-0.0001,-0.00102
2022-06-26,9.7924,-0.0284,-0.28918
2022-06-23,9.8208,-0.0206,-0.20932
2022-06-22,9.8414,-0.028,-0.28371
2022-06-21,9.8694,,
2022-06-20,9.8535,-0.0067,-0.06795
2022-06-19,9.8602,0.012,0.12185
2022-06-16,9.8482,-0.0179,-0.18143
2022-06-15,9.8661,-0.0362,-0.36557
2022-06-14,9.9023,0.0481,0.48812
2022-06-13,9.8542,-0.0482,-0.48675
2022-06-12,9.9024,-0.0484,-0.48639
2022-06-09,9.9508,-0.0392,-0.39239
2022-06-08,9.99,-0.0314,-0.31333
2022-06-07,10.0214,-0.0106,-0.10566
2022-06-06,10.032,0.0286,0.2859
2022-06-05,10.0034,0.0043,0.043
2022-06-01,9.9991,0.0358,0.35932
2022-05-31,9.9633,0.0903,0.91462
2022-05-30,9.873,-0.0379,-0.38241
2022-05-29,9.9109,-0.0675,-0.67646
2022-05-26,9.9784,-0.056,-0.55808
2022-05-25,10.0344,-0.0077,-0.07668
2022-05-24,10.0421,-0.0251,-0.24932
2022-05-23,10.0672,-0.0068,-0.0675
2022-05-22,10.074,-0.0014,-0.0139
2022-05-19,10.0754,-0.0071,-0.07042
2022-05-18,10.0825,0.0238,0.23661
2022-05-17,10.0587,0.0146,0.14536
2022-05-16,10.0441,-0.0547,-0.54165
2022-05-15,10.0988,0.0039,0.03863
2022-05-12,10.0949,-0.0162,-0.16022
2022-05-11,10.1111,0.0041,0.04057
2022-05-10,10.107,-0.0078,-0.07711
2022-05-09,10.1148,-0.0586,-0.57601
2022-05-08,10.1734,0.014,0.1378
2022-05-05,10.1594,0.0084,0.08275
2022-05-04,10.151,-0.0101,-0.0994
2022-05-03,10.1611,0.0075,0.07387
2022-05-02,10.1536,0.0019,0.01872
2022-04-28,10.1517,-0.0093,-0.09153
2022-04-27,10.161,0.0402,0.3972
2022-04-26,10.1208,-0.0006,-0.00593
2022-04-25,10.1214,-0.0077,-0.07602
2022-04-24,10.1291,0.0051,0.05038
2022-04-21,10.124,0.0105,0.10382
2022-04-20,10.1135,-0.0461,-0.45376
2022-04-19,10.1596,-0.0053,-0.05214
2022-04-18,10.1649,0.0438,0.43276
2022-04-13,10.1211,-0.0154,-0.15193
2022-04-12,10.1365,-0.0129,-0.1271
2022-04-11,10.1494,0.0009,0.00887
2022-04-10,10.1485,0.0026,0.02563
2022-04-07,10.1459,0.0162,0.15993
2022-04-06,10.1297,0.0007,0.00691
2022-04-05,10.129,0.0718,0.71392
2022-03-31,10.0572,0.0077,0.07662
2022-03-30,10.0495,0.0275,0.2744
2022-03-29,10.022,-0.0195,-0.19419
2022-03-28,10.0415,0.074,0.74241
2022-03-27,9.9675,0.1045,1.05952
2022-03-24,9.863,0.0095,0.09641
2022-03-23,9.8535,-0.0141,-0.14289
2022-03-22,9.8676,0.0216,0.21938
2022-03-21,9.846,0.0068,0.06911
2022-03-20,9.8392,0.0509,0.52001
2022-03-17,9.7883,-0.0314,-0.31977
2022-03-16,9.8197,0.0902,0.92708
2022-03-15,9.7295,0.0894,0.92738
2022-03-14,9.6401,-0.0309,-0.31951
2022-03-13,9.671,-0.0205,-0.21153
2022-03-10,9.6915,-0.0248,-0.25524
2022-03-09,9.7163,-0.048,-0.49159
2022-03-08,9.7643,0.0001,0.00102
2022-03-07,9.7642,-0.0197,-0.20135
2022-03-06,9.7839,0.0005,0.00511
2022-03-03,9.7834,-0.009,-0.09191
2022-03-02,9.7924,-0.0092,-0.09386
2022-03-01,9.8016,-0.0655,-0.66382
2022-02-28,9.8671,-0.112,-1.12235
2022-02-24,9.9791,0.0415,0.41761
2022-02-23,9.9376,-0.1283,-1.2746
2022-02-22,10.0659,-0.0398,-0.39384
2022-02-21,10.1057,-0.0195,-0.19259
2022-02-20,10.1252,-0.025,-0.2463
2022-02-17,10.1502,0.0117,0.1154
2022-02-16,10.1385,-0.0359,-0.35285
2022-02-15,10.1744,-0.0113,-0.11094
2022-02-14,10.1857,-0.0228,-0.22334
2022-02-13,10.2085,-0.0555,-0.54072
2022-02-10,10.264,0.0294,0.28726
2022-02-09,10.2346,0.0225,0.22033
2022-02-08,10.2121,0.002,0.01959
2022-02-07,10.2101,-0.0426,-0.4155
2022-02-06,10.2527,-0.0424,-0.41185
2022-01-27,10.2951,-0.0509,-0.49198
