tradeDate,nav,change,changePercent
2022-08-30,6.72,-0.03,-0.44444
2022-08-29,6.75,-0.05,-0.73529
2022-08-28,6.8,-0.01,-0.14684
2022-08-25,6.81,-0.01,-0.14663
2022-08-24,6.82,0.01,0.14684
2022-08-23,6.81,0.0,0.0
2022-08-22,6.81,-0.01,-0.14663
2022-08-21,6.82,-0.05,-0.7278
2022-08-18,6.87,-0.03,-0.43478
2022-08-17,6.9,-0.01,-0.14472
2022-08-16,6.91,-0.02,-0.2886
2022-08-15,6.93,-0.1,-1.42248
2022-08-14,7.03,0.02,0.28531
2022-08-11,7.01,0.02,0.28612
2022-08-10,6.99,0.03,0.43103
2022-08-09,6.96,0.04,0.57803
2022-08-08,6.92,0.0,0.0
2022-08-07,6.92,0.02,0.28986
2022-08-04,6.9,0.0,0.0
2022-08-03,6.9,0.03,0.43668
2022-08-02,6.87,0.02,0.29197
2022-08-01,6.85,0.01,0.1462
2022-07-31,6.84,0.03,0.44053
2022-07-28,6.81,0.04,0.59084
2022-07-27,6.77,0.04,0.59435
2022-07-26,6.73,0.01,0.14881
2022-07-25,6.72,-0.01,-0.14859
2022-07-24,6.73,0.01,0.14881
2022-07-21,6.72,0.03,0.44843
2022-07-20,6.69,0.04,0.6015
2022-07-19,6.65,0.06,0.91047
2022-07-18,6.59,0.02,0.30441
2022-07-17,6.57,0.02,0.30534
2022-07-14,6.55,-0.08,-1.20664
2022-07-13,6.63,-0.03,-0.45045
2022-07-12,6.66,-0.01,-0.14993
2022-07-11,6.67,0.0,0.0
2022-07-10,6.67,0.01,0.15015
2022-07-07,6.66,0.01,0.15038
2022-07-06,6.65,0.03,0.45317
2022-07-05,6.62,-0.01,-0.15083
2022-07-04,6.63,-0.01,-0.1506
2022-06-30,6.64,0.01,0.15083
2022-06-29,6.63,-0.06,-0.89686
2022-06-28,6.69,-0.05,-0.74184
2022-06-27,6.74,-0.04,-0.58997
2022-06-26,6.78,0.0,0.0
2022-06-23,6.78,0.02,0.29586
2022-06-22,6.76,-0.02,-0.29499
2022-06-21,6.78,,
2022-06-20,6.8,0.0,0.0
2022-06-19,6.8,0.01,0.14728
2022-06-16,6.79,-0.01,-0.14706
2022-06-15,6.8,-0.06,-0.87464
2022-06-14,6.86,-0.05,-0.72359
2022-06-13,6.91,-0.04,-0.57554
2022-06-12,6.95,-0.16,-2.25035
2022-06-09,7.11,-0.06,-0.83682
2022-06-08,7.17,-0.03,-0.41667
2022-06-07,7.2,-0.02,-0.27701
2022-06-06,7.22,-0.01,-0.13831
2022-06-05,7.23,-0.01,-0.13812
2022-06-01,7.24,0.0,0.0
2022-05-31,7.24,0.01,0.13831
2022-05-30,7.23,0.01,0.1385
2022-05-26,7.22,0.04,0.5571
2022-05-25,7.18,0.07,0.98453
2022-05-24,7.11,0.04,0.56577
2022-05-23,7.07,-0.01,-0.14124
2022-05-22,7.08,0.0,0.0
2022-05-19,7.08,0.0,0.0
2022-05-18,7.08,-0.03,-0.42194
2022-05-17,7.11,-0.03,-0.42017
2022-05-16,7.14,-0.09,-1.24481
2022-05-15,7.23,-0.01,-0.13812
2022-05-12,7.24,0.01,0.13831
2022-05-11,7.23,-0.03,-0.41322
2022-05-10,7.26,0.0,0.0
2022-05-09,7.26,-0.01,-0.13755
2022-05-08,7.27,-0.07,-0.95368
2022-05-05,7.34,-0.05,-0.67659
2022-05-04,7.39,-0.03,-0.40431
2022-05-03,7.42,0.0,0.0
2022-05-02,7.42,-0.03,-0.40268
2022-04-28,7.45,-0.04,-0.53405
2022-04-27,7.49,-0.02,-0.26631
2022-04-26,7.51,-0.02,-0.2656
2022-04-25,7.53,-0.01,-0.13263
2022-04-24,7.54,-0.02,-0.26455
2022-04-21,7.56,-0.03,-0.39526
2022-04-20,7.59,-0.01,-0.13158
2022-04-19,7.6,0.01,0.13175
2022-04-18,7.59,-0.01,-0.13158
2022-04-17,7.6,-0.11,-1.42672
2022-04-13,7.71,0.0,0.0
2022-04-12,7.71,0.0,0.0
2022-04-11,7.71,0.0,0.0
2022-04-10,7.71,-0.04,-0.51613
2022-04-07,7.75,-0.01,-0.12887
2022-04-06,7.76,-0.02,-0.25707
2022-04-05,7.78,-0.03,-0.38412
2022-03-31,7.81,0.0,0.0
2022-03-30,7.81,0.0,0.0
2022-03-29,7.81,0.02,0.25674
2022-03-28,7.79,0.05,0.64599
2022-03-27,7.74,0.02,0.25907
2022-03-24,7.72,-0.01,-0.12937
2022-03-23,7.73,0.0,0.0
2022-03-22,7.73,0.0,0.0
2022-03-21,7.73,-0.02,-0.25806
2022-03-20,7.75,0.01,0.1292
2022-03-17,7.74,0.01,0.12937
