tradeDate,nav,change,changePercent
2022-08-31,8.4083,-0.0493,-0.58291
2022-08-30,8.4576,0.0094,0.11127
2022-08-29,8.4482,0.0097,0.11495
2022-08-28,8.4385,-0.0664,-0.78073
2022-08-25,8.5049,0.0192,0.22626
2022-08-24,8.4857,0.0645,0.76592
2022-08-23,8.4212,-0.0036,-0.04273
2022-08-22,8.4248,-0.0138,-0.16353
2022-08-21,8.4386,-0.0244,-0.28831
2022-08-18,8.463,-0.0173,-0.204
2022-08-17,8.4803,-0.0058,-0.06835
2022-08-16,8.4861,-0.0116,-0.13651
2022-08-15,8.4977,0.0493,0.58354
2022-08-14,8.4484,0.0239,0.2837
2022-08-11,8.4245,0.0127,0.15098
2022-08-10,8.4118,0.0553,0.66176
2022-08-09,8.3565,-0.0169,-0.20183
2022-08-07,8.3734,-0.0367,-0.43638
2022-08-04,8.4101,0.0291,0.34721
2022-08-03,8.381,0.0129,0.15416
2022-08-02,8.3681,-0.0044,-0.05255
2022-08-01,8.3725,-0.0145,-0.17289
2022-07-31,8.387,0.0116,0.1385
2022-07-28,8.3754,0.0,0.0
2022-07-27,8.3754,0.0226,0.27057
2022-07-26,8.3528,-0.0007,-0.00838
2022-07-25,8.3535,0.0322,0.38696
2022-07-24,8.3213,0.0018,0.02164
2022-07-21,8.3195,0.0144,0.17339
2022-07-20,8.3051,0.0301,0.36375
2022-07-19,8.275,0.0178,0.21557
2022-07-18,8.2572,-0.0424,-0.51087
2022-07-17,8.2996,0.035,0.42349
2022-07-14,8.2646,-0.0269,-0.32443
2022-07-13,8.2915,0.0046,0.05551
2022-07-12,8.2869,0.0041,0.0495
2022-07-11,8.2828,-0.1148,-1.36706
2022-07-07,8.3976,0.0007,0.00834
2022-07-06,8.3969,0.0276,0.32978
2022-07-05,8.3693,-0.0516,-0.61276
2022-07-04,8.4209,-0.0027,-0.03205
2022-07-03,8.4236,-0.0218,-0.25813
2022-06-29,8.4454,-0.0316,-0.37277
2022-06-28,8.477,-0.0708,-0.82828
2022-06-27,8.5478,-0.0313,-0.36484
2022-06-26,8.5791,0.036,0.42139
2022-06-23,8.5431,0.0451,0.53071
2022-06-22,8.498,0.0195,0.22999
2022-06-21,8.4785,-0.0629,-0.73641
2022-06-20,8.5414,0.0353,0.415
2022-06-19,8.5061,-0.0092,-0.10804
2022-06-16,8.5153,0.01,0.11757
2022-06-15,8.5053,-0.0265,-0.3106
2022-06-14,8.5318,0.0354,0.41665
2022-06-13,8.4964,-0.0326,-0.38223
2022-06-12,8.529,-0.1891,-2.16905
2022-06-09,8.7181,-0.0476,-0.54303
2022-06-08,8.7657,-0.0183,-0.20833
2022-06-07,8.784,0.03,0.3427
2022-06-06,8.754,-0.0274,-0.31202
2022-06-05,8.7814,0.0285,0.32561
2022-06-01,8.7529,-0.0229,-0.26094
2022-05-31,8.7758,-0.0306,-0.34747
2022-05-30,8.8064,0.0308,0.35097
2022-05-29,8.7756,0.0595,0.68264
2022-05-26,8.7161,0.0752,0.87028
2022-05-25,8.6409,0.0067,0.0776
2022-05-24,8.6342,0.0185,0.21472
2022-05-23,8.6157,-0.0559,-0.64463
2022-05-22,8.6716,-0.0034,-0.03919
2022-05-19,8.675,0.0725,0.84278
2022-05-18,8.6025,-0.0296,-0.34291
2022-05-17,8.6321,-0.001,-0.01158
2022-05-16,8.6331,0.0704,0.82217
2022-05-12,8.5627,0.0501,0.58854
2022-05-11,8.5126,-0.0769,-0.89528
2022-05-10,8.5895,0.0084,0.09789
2022-05-09,8.5811,-0.0662,-0.76556
2022-05-05,8.6473,-0.1267,-1.44404
2022-05-04,8.774,0.0076,0.08669
2022-05-03,8.7664,-0.0295,-0.33538
2022-04-28,8.7959,0.0682,0.78142
2022-04-27,8.7277,0.0402,0.46273
2022-04-26,8.6875,-0.0211,-0.24229
2022-04-25,8.7086,0.0055,0.0632
2022-04-24,8.7031,-0.08,-0.91084
2022-04-21,8.7831,-0.0568,-0.64254
2022-04-20,8.8399,-0.0303,-0.34159
2022-04-19,8.8702,-0.0154,-0.17331
2022-04-18,8.8856,-0.0919,-1.02367
2022-04-13,8.9775,0.0104,0.11598
2022-04-12,8.9671,0.0334,0.37387
2022-04-11,8.9337,-0.0252,-0.28128
2022-04-10,8.9589,-0.1064,-1.17371
2022-04-07,9.0653,-0.0157,-0.17289
2022-04-06,9.081,-0.046,-0.504
2022-04-05,9.127,-0.0034,-0.03724
2022-03-31,9.1304,-0.0324,-0.3536
2022-03-30,9.1628,0.008,0.08739
2022-03-29,9.1548,0.1049,1.15913
2022-03-28,9.0499,0.0305,0.33816
2022-03-27,9.0194,-0.0103,-0.11407
2022-03-24,9.0297,-0.0176,-0.19453
2022-03-23,9.0473,-0.0229,-0.25248
2022-03-22,9.0702,0.0484,0.53648
2022-03-21,9.0218,-0.0003,-0.00333
2022-03-20,9.0221,0.0006,0.00665
2022-03-17,9.0215,0.0076,0.08431
2022-03-16,9.0139,0.1997,2.26566
2022-03-15,8.8142,0.1305,1.50282
2022-03-14,8.6837,-0.16,-1.8092
2022-03-13,8.8437,-0.0939,-1.05062
2022-03-10,8.9376,-0.0831,-0.92121
2022-03-09,9.0207,0.0426,0.47449
2022-03-08,8.9781,-0.0052,-0.05789
2022-03-07,8.9833,-0.0667,-0.73702
2022-03-06,9.05,-0.1256,-1.36885
2022-03-03,9.1756,-0.0762,-0.82362
2022-03-02,9.2518,-0.0282,-0.30388
2022-03-01,9.28,-0.0633,-0.67749
2022-02-28,9.3433,0.0002,0.00214
2022-02-24,9.3431,-0.0132,-0.14108
2022-02-23,9.3563,-0.1188,-1.25381
2022-02-22,9.4751,-0.0022,-0.02321
2022-02-21,9.4773,-0.0471,-0.49452
2022-02-20,9.5244,-0.0223,-0.23359
2022-02-17,9.5467,-0.0186,-0.19445
2022-02-16,9.5653,0.0108,0.11304
2022-02-15,9.5545,0.0283,0.29708
