tradeDate,nav,change,changePercent
2022-08-31,9.7259,-0.0471,-0.48194
2022-08-30,9.773,-0.0944,-0.95669
2022-08-29,9.8674,-0.0581,-0.58536
2022-08-28,9.9255,-0.0321,-0.32237
2022-08-25,9.9576,-0.061,-0.60887
2022-08-24,10.0186,0.1085,1.09484
2022-08-23,9.9101,0.0449,0.45514
2022-08-22,9.8652,-0.164,-1.63523
2022-08-21,10.0292,-0.1017,-1.00386
2022-08-18,10.1309,-0.0678,-0.66479
2022-08-17,10.1987,0.0138,0.13549
2022-08-16,10.1849,-0.1219,-1.18271
2022-08-15,10.3068,0.012,0.11656
2022-08-14,10.2948,0.0242,0.23562
2022-08-11,10.2706,0.0379,0.37038
2022-08-10,10.2327,-0.0293,-0.28552
2022-08-09,10.262,0.0817,0.80253
2022-08-08,10.1803,-0.1089,-1.05839
2022-08-07,10.2892,-0.0003,-0.00292
2022-08-04,10.2895,-0.1087,-1.04537
2022-08-03,10.3982,-0.0009,-0.00865
2022-08-02,10.3991,0.0739,0.71572
2022-08-01,10.3252,0.1364,1.33872
2022-07-31,10.1888,0.0392,0.38622
2022-07-28,10.1496,0.1235,1.23179
2022-07-27,10.0261,0.0712,0.71523
2022-07-26,9.9549,0.0516,0.52104
2022-07-25,9.9033,-0.0155,-0.15627
2022-07-24,9.9188,-0.0004,-0.00403
2022-07-21,9.9192,0.0429,0.43437
2022-07-20,9.8763,0.056,0.57025
2022-07-19,9.8203,0.0561,0.57455
2022-07-18,9.7642,0.0517,0.5323
2022-07-17,9.7125,-0.0025,-0.02573
2022-07-14,9.715,0.0509,0.52669
2022-07-13,9.6641,-0.0075,-0.07755
2022-07-12,9.6716,-0.0019,-0.01964
2022-07-11,9.6735,0.0083,0.08588
2022-07-10,9.6652,0.011,0.11394
2022-07-07,9.6542,0.033,0.34299
2022-07-06,9.6212,0.0653,0.68335
2022-07-05,9.5559,-0.0213,-0.2224
2022-07-04,9.5772,-0.0311,-0.32368
2022-06-30,9.6083,0.102,1.07297
2022-06-29,9.5063,-0.0217,-0.22775
2022-06-28,9.528,0.0006,0.0063
2022-06-27,9.5274,-0.0111,-0.11637
2022-06-26,9.5385,0.0023,0.02412
2022-06-23,9.5362,0.0598,0.63104
2022-06-22,9.4764,0.0306,0.32395
2022-06-21,9.4458,0.0217,0.23026
2022-06-20,9.4241,0.0857,0.91772
2022-06-16,9.3384,-0.0196,-0.20945
2022-06-15,9.358,-0.1604,-1.68516
