tradeDate,nav,change,changePercent
2022-08-31,16.49,-0.28,-1.66965
2022-08-30,16.77,-0.34,-1.98714
2022-08-29,17.11,-0.01,-0.05841
2022-08-28,17.12,-0.08,-0.46512
2022-08-25,17.2,-0.38,-2.16155
2022-08-24,17.58,0.21,1.20898
2022-08-23,17.37,-0.26,-1.47476
2022-08-22,17.63,0.03,0.17045
2022-08-21,17.6,-0.12,-0.6772
2022-08-18,17.72,-0.33,-1.82825
2022-08-17,18.05,0.29,1.63288
2022-08-16,17.76,-0.03,-0.16863
2022-08-15,17.79,0.07,0.39503
2022-08-14,17.72,0.26,1.48912
2022-08-11,17.46,0.19,1.10017
2022-08-10,17.27,0.23,1.34977
2022-08-09,17.04,0.07,0.41249
2022-08-08,16.97,-0.11,-0.64403
2022-08-07,17.08,0.03,0.17595
2022-08-04,17.05,0.27,1.60906
2022-08-03,16.78,-0.09,-0.53349
2022-08-02,16.87,-0.04,-0.23655
2022-08-01,16.91,-0.1,-0.58789
2022-07-31,17.01,0.07,0.41322
2022-07-28,16.94,0.06,0.35545
2022-07-27,16.88,0.07,0.41642
2022-07-26,16.81,0.17,1.02163
2022-07-25,16.64,-0.12,-0.71599
2022-07-24,16.76,-0.1,-0.59312
2022-07-21,16.86,-0.07,-0.41347
2022-07-20,16.93,0.18,1.07463
2022-07-19,16.75,0.32,1.94766
2022-07-18,16.43,-0.06,-0.36386
2022-07-17,16.49,0.33,2.04208
2022-07-14,16.16,0.02,0.12392
2022-07-13,16.14,0.23,1.44563
2022-07-12,15.91,0.1,0.63251
2022-07-11,15.81,-0.35,-2.16584
2022-07-10,16.16,-0.42,-2.53317
2022-07-07,16.58,-0.11,-0.65908
2022-07-06,16.69,0.44,2.70769
2022-07-05,16.25,-0.22,-1.33576
2022-07-04,16.47,-0.03,-0.18182
2022-07-03,16.5,0.07,0.42605
2022-06-30,16.43,-0.44,-2.60818
2022-06-29,16.87,-0.29,-1.68998
2022-06-28,17.16,-0.28,-1.6055
2022-06-27,17.44,-0.08,-0.45662
2022-06-26,17.52,0.25,1.4476
2022-06-23,17.27,0.28,1.64803
2022-06-22,16.99,0.31,1.85851
2022-06-21,16.68,-0.3,-1.76678
2022-06-20,16.98,0.26,1.55502
2022-06-19,16.72,-0.01,-0.05977
2022-06-16,16.73,0.15,0.9047
2022-06-15,16.58,-0.33,-1.95151
2022-06-14,16.91,0.04,0.23711
2022-06-13,16.87,-0.08,-0.47198
2022-06-12,16.95,-0.57,-3.25342
2022-06-09,17.52,0.03,0.17153
2022-06-08,17.49,-0.33,-1.85185
2022-06-07,17.82,0.02,0.11236
2022-06-06,17.8,-0.08,-0.44743
2022-06-05,17.88,0.07,0.39304
2022-06-01,17.81,0.18,1.02099
2022-05-31,17.63,-0.15,-0.84364
2022-05-30,17.78,0.09,0.50876
2022-05-29,17.69,0.39,2.25434
2022-05-26,17.3,0.42,2.48815
2022-05-25,16.88,-0.03,-0.17741
2022-05-24,16.91,0.15,0.89499
2022-05-23,16.76,-0.52,-3.00926
2022-05-22,17.28,-0.09,-0.51813
2022-05-19,17.37,0.19,1.10594
2022-05-18,17.18,0.04,0.23337
2022-05-17,17.14,-0.08,-0.46458
2022-05-16,17.22,0.57,3.42342
2022-05-15,16.65,-0.15,-0.89286
2022-05-12,16.8,0.38,2.31425
2022-05-11,16.42,-0.26,-1.55875
2022-05-10,16.68,0.12,0.72464
2022-05-09,16.56,0.31,1.90769
2022-05-08,16.25,-0.58,-3.44623
2022-05-05,16.83,-0.57,-3.27586
2022-05-04,17.4,-0.15,-0.8547
2022-05-03,17.55,0.06,0.34305
2022-05-02,17.49,0.11,0.63291
2022-04-28,17.38,0.19,1.10529
2022-04-27,17.19,0.08,0.46756
2022-04-26,17.11,0.31,1.84524
2022-04-25,16.8,-0.3,-1.75439
2022-04-24,17.1,-0.63,-3.5533
2022-04-21,17.73,-0.37,-2.0442
2022-04-20,18.1,-0.29,-1.57694
2022-04-19,18.39,-0.28,-1.49973
2022-04-18,18.67,0.05,0.26853
2022-04-17,18.62,0.04,0.21529
2022-04-14,18.58,-0.32,-1.69312
2022-04-13,18.9,-0.12,-0.63091
2022-04-12,19.02,0.28,1.49413
2022-04-11,18.74,0.01,0.05339
2022-04-10,18.73,-0.74,-3.80072
2022-04-07,19.47,-0.1,-0.51099
2022-04-06,19.57,-0.43,-2.15
2022-04-05,20.0,-0.46,-2.24829
2022-03-31,20.46,0.03,0.14684
2022-03-30,20.43,-0.16,-0.77708
2022-03-29,20.59,0.26,1.2789
2022-03-28,20.33,0.16,0.79326
2022-03-27,20.17,0.0,0.0
2022-03-24,20.17,-0.12,-0.59142
2022-03-23,20.29,0.31,1.55155
2022-03-22,19.98,0.02,0.1002
2022-03-21,19.96,0.07,0.35194
2022-03-20,19.89,-0.03,-0.1506
2022-03-17,19.92,0.03,0.15083
2022-03-16,19.89,0.71,3.70177
2022-03-15,19.18,0.51,2.73166
2022-03-14,18.67,-0.46,-2.4046
2022-03-13,19.13,-0.48,-2.44773
2022-03-10,19.61,-0.2,-1.00959
2022-03-09,19.81,0.36,1.8509
2022-03-08,19.45,0.16,0.82945
2022-03-07,19.29,-0.41,-2.08122
2022-03-06,19.7,-0.83,-4.04286
2022-03-03,20.53,-0.42,-2.00477
2022-03-02,20.95,-0.13,-0.6167
2022-03-01,21.08,-0.08,-0.37807
2022-02-28,21.16,0.27,1.29248
2022-02-24,20.89,0.21,1.01547
2022-02-23,20.68,-0.09,-0.43332
2022-02-22,20.77,0.09,0.4352
2022-02-21,20.68,-0.3,-1.42993
2022-02-20,20.98,-0.16,-0.75686
2022-02-17,21.14,-0.04,-0.18886
2022-02-16,21.18,-0.14,-0.65666
2022-02-15,21.32,0.26,1.23457
2022-02-14,21.06,0.35,1.69
2022-02-13,20.71,-0.29,-1.38095
2022-02-10,21.0,-0.22,-1.03676
2022-02-09,21.22,-0.24,-1.11836
2022-02-08,21.46,0.45,2.14184
2022-02-07,21.01,-0.11,-0.52083
2022-02-06,21.12,0.17,0.81146
2022-01-25,20.95,0.19,0.91522
2022-01-24,20.76,-0.57,-2.67229
2022-01-23,21.33,0.09,0.42373
2022-01-20,21.24,-0.42,-1.93906
2022-01-19,21.66,0.1,0.46382
2022-01-18,21.56,-0.29,-1.32723
2022-01-17,21.85,-0.12,-0.5462
2022-01-16,21.97,0.35,1.61887
2022-01-13,21.62,0.19,0.88661
2022-01-12,21.43,-0.26,-1.19871
2022-01-11,21.69,0.27,1.2605
2022-01-10,21.42,-0.07,-0.32573
2022-01-09,21.49,0.14,0.65574
2022-01-06,21.35,-0.27,-1.24884
2022-01-05,21.62,-0.22,-1.00733
2022-01-04,21.84,-0.49,-2.19436
2022-01-03,22.33,-0.2,-0.88771
2022-01-02,22.53,0.01,0.0444
2021-12-29,22.52,0.17,0.76063
2021-12-28,22.35,-0.12,-0.53405
2021-12-27,22.47,0.08,0.3573
2021-12-26,22.39,0.21,0.9468
2021-12-23,22.18,-0.22,-0.98214
2021-12-22,22.4,0.16,0.71942
2021-12-21,22.24,0.3,1.36737
2021-12-20,21.94,0.37,1.71535
2021-12-19,21.57,-0.48,-2.17687
2021-12-16,22.05,-0.22,-0.98788
2021-12-15,22.27,0.02,0.08989
2021-12-14,22.25,0.34,1.5518
2021-12-13,21.91,-0.47,-2.10009
2021-12-12,22.38,-0.05,-0.22292
2021-12-09,22.43,-0.1,-0.44385
2021-12-08,22.53,0.05,0.22242
2021-12-07,22.48,0.4,1.81159
2021-12-06,22.08,0.37,1.70428
2021-12-05,21.71,-0.53,-2.38309
2021-12-02,22.24,0.19,0.86168
2021-12-01,22.05,0.2,0.91533
2021-11-30,21.85,-0.33,-1.48783
2021-11-29,22.18,-0.12,-0.53812
2021-11-28,22.3,0.49,2.24668
2021-11-25,21.81,-0.24,-1.08844
2021-11-24,22.05,-0.21,-0.9434
2021-11-23,22.26,-0.23,-1.02268
2021-11-22,22.49,-0.21,-0.92511
2021-11-21,22.7,0.12,0.53144
2021-11-18,22.58,0.2,0.89366
2021-11-17,22.38,0.15,0.67476
2021-11-16,22.23,0.09,0.4065
2021-11-15,22.14,-0.04,-0.18034
2021-11-14,22.18,-0.17,-0.76063
2021-11-11,22.35,0.12,0.53981
2021-11-10,22.23,0.08,0.36117
2021-11-09,22.15,-0.23,-1.0277
2021-11-08,22.38,-0.04,-0.17841
2021-11-07,22.42,0.04,0.17873
2021-11-04,22.38,0.02,0.08945
2021-11-03,22.36,0.06,0.26906
2021-11-02,22.3,0.03,0.13471
2021-11-01,22.27,0.0,0.0
2021-10-31,22.27,0.2,0.90621
2021-10-28,22.07,0.24,1.0994
2021-10-27,21.83,-0.14,-0.63723
2021-10-26,21.97,0.17,0.77982
2021-10-25,21.8,-0.12,-0.54745
2021-10-24,21.92,0.24,1.10701
2021-10-21,21.68,0.16,0.74349
2021-10-20,21.52,0.08,0.37313
2021-10-19,21.44,0.11,0.51571
2021-10-18,21.33,0.2,0.94652
2021-10-17,21.13,0.2,0.95557
2021-10-14,20.93,0.43,2.09756
2021-10-13,20.5,0.21,1.03499
2021-10-12,20.29,0.35,1.75527
2021-10-11,19.94,-0.34,-1.67653
2021-10-07,20.28,-0.18,-0.87977
2021-10-06,20.46,0.27,1.3373
2021-10-05,20.19,-0.01,-0.0495
2021-10-04,20.2,0.24,1.2024
2021-10-03,19.96,-0.39,-1.91646
2021-09-30,20.35,-0.08,-0.39158
2021-09-29,20.43,0.31,1.54076
2021-09-28,20.12,-0.4,-1.94932
2021-09-27,20.52,-0.42,-2.00573
2021-09-26,20.94,-0.01,-0.04773
2021-09-23,20.95,0.15,0.72115
2021-09-22,20.8,0.06,0.2893
2021-09-21,20.74,-0.26,-1.2381
2021-09-16,21.0,0.09,0.43042
2021-09-15,20.91,-0.24,-1.13475
2021-09-14,21.15,-0.13,-0.6109
2021-09-13,21.28,0.13,0.61466
2021-09-12,21.15,-0.06,-0.28289
2021-09-09,21.21,0.33,1.58046
2021-09-08,20.88,0.23,1.1138
2021-09-07,20.65,-0.26,-1.24342
2021-09-06,20.91,0.18,0.86831
2021-09-05,20.73,0.36,1.7673
2021-09-02,20.37,-0.07,-0.34247
2021-09-01,20.44,-0.02,-0.09775
2021-08-31,20.46,-0.07,-0.34096
2021-08-30,20.53,-0.11,-0.53295
2021-08-29,20.64,0.23,1.1269
2021-08-26,20.41,0.11,0.54187
2021-08-25,20.3,-0.09,-0.44139
2021-08-24,20.39,0.19,0.94059
2021-08-23,20.2,0.32,1.60966
2021-08-22,19.88,0.54,2.79214
2021-08-19,19.34,0.09,0.46753
2021-08-18,19.25,-0.12,-0.61951
2021-08-17,19.37,0.12,0.62338
2021-08-16,19.25,-0.37,-1.88583
2021-08-15,19.62,-0.39,-1.94903
2021-08-12,20.01,-0.13,-0.64548
2021-08-11,20.14,0.09,0.44888
2021-08-10,20.05,0.05,0.25
2021-08-09,20.0,-0.31,-1.52634
2021-08-08,20.31,-0.18,-0.87848
2021-08-05,20.49,-0.14,-0.67862
2021-08-04,20.63,-0.03,-0.14521
2021-08-03,20.66,0.47,2.32789
2021-08-02,20.19,-0.14,-0.68864
2021-08-01,20.33,0.07,0.34551
2021-07-29,20.26,-0.16,-0.78355
2021-07-28,20.42,0.51,2.56153
2021-07-27,19.91,0.04,0.20131
2021-07-26,19.87,-0.47,-2.31072
2021-07-25,20.34,-0.08,-0.39177
2021-07-22,20.42,-0.13,-0.6326
2021-07-21,20.55,0.24,1.18168
2021-07-20,20.31,0.5,2.52398
2021-07-19,19.81,0.14,0.71174
2021-07-18,19.67,-0.13,-0.65657
2021-07-15,19.8,-0.48,-2.36686
2021-07-14,20.28,0.34,1.70512
2021-07-13,19.94,-0.26,-1.28713
2021-07-12,20.2,-0.22,-1.07738
2021-07-11,20.42,0.49,2.45861
2021-07-08,19.93,0.16,0.80931
2021-07-07,19.77,0.01,0.05061
2021-07-06,19.76,0.17,0.86779
2021-07-05,19.59,-0.17,-0.86032
2021-07-04,19.76,0.12,0.611
2021-07-01,19.64,-0.18,-0.90817
2021-06-30,19.82,-0.08,-0.40201
2021-06-29,19.9,0.24,1.22075
2021-06-28,19.66,-0.11,-0.5564
2021-06-27,19.77,0.19,0.97038
2021-06-24,19.58,0.13,0.66838
2021-06-23,19.45,-0.01,-0.05139
2021-06-22,19.46,0.56,2.96296
2021-06-21,18.9,0.17,0.90763
2021-06-20,18.73,-0.07,-0.37234
2021-06-17,18.8,0.05,0.26667
2021-06-16,18.75,0.29,1.57096
2021-06-15,18.46,-0.32,-1.70394
2021-06-14,18.78,-0.08,-0.42418
2021-06-10,18.86,0.2,1.07181
2021-06-09,18.66,0.27,1.46819
2021-06-08,18.39,-0.09,-0.48701
2021-06-07,18.48,-0.09,-0.48465
2021-06-06,18.57,-0.05,-0.26853
2021-06-03,18.62,0.06,0.32328
2021-06-02,18.56,-0.08,-0.42918
2021-06-01,18.64,-0.16,-0.85106
2021-05-31,18.8,-0.09,-0.47644
2021-05-30,18.89,0.5,2.71887
2021-05-27,18.39,0.4,2.22346
2021-05-26,17.99,0.13,0.72788
2021-05-25,17.86,0.0,0.0
2021-05-24,17.86,0.34,1.94064
2021-05-23,17.52,0.23,1.33025
2021-05-20,17.29,0.08,0.46485
2021-05-19,17.21,-0.09,-0.52023
2021-05-18,17.3,0.19,1.11046
2021-05-17,17.11,0.34,2.02743
2021-05-16,16.77,0.07,0.41916
2021-05-13,16.7,0.19,1.15082
2021-05-12,16.51,-0.31,-1.84304
2021-05-11,16.82,-0.37,-2.15241
2021-05-10,17.19,-0.36,-2.05128
2021-05-09,17.55,0.06,0.34305
2021-05-06,17.49,0.03,0.17182
2021-05-05,17.46,-0.15,-0.85179
2021-05-04,17.61,-0.07,-0.39593
2021-05-03,17.68,-0.17,-0.95238
2021-05-02,17.85,-0.41,-2.24535
2021-04-28,18.26,-0.08,-0.43621
2021-04-27,18.34,0.21,1.1583
2021-04-26,18.13,0.07,0.3876
2021-04-25,18.06,0.12,0.6689
2021-04-22,17.94,0.15,0.84317
2021-04-21,17.79,-0.09,-0.50336
2021-04-20,17.88,0.11,0.61902
2021-04-19,17.77,0.0,0.0
2021-04-18,17.77,0.32,1.83381
2021-04-15,17.45,-0.02,-0.11448
2021-04-14,17.47,-0.04,-0.22844
2021-04-13,17.51,0.03,0.17162
2021-04-12,17.48,-0.26,-1.46561
2021-04-11,17.74,-0.26,-1.44444
2021-04-08,18.0,-0.31,-1.69306
2021-04-07,18.31,-0.01,-0.05459
2021-04-06,18.32,0.04,0.21882
2021-04-05,18.28,0.32,1.78174
2021-03-31,17.96,0.25,1.41163
2021-03-30,17.71,-0.04,-0.22535
2021-03-29,17.75,0.14,0.795
2021-03-28,17.61,-0.06,-0.33956
2021-03-25,17.67,0.39,2.25694
2021-03-24,17.28,0.07,0.40674
2021-03-23,17.21,-0.32,-1.82544
2021-03-22,17.53,-0.27,-1.51685
2021-03-21,17.8,-0.02,-0.11223
2021-03-18,17.82,-0.2,-1.10988
2021-03-17,18.02,-0.15,-0.82554
2021-03-16,18.17,0.26,1.4517
2021-03-15,17.91,-0.1,-0.55525
2021-03-14,18.01,-0.18,-0.98955
2021-03-11,18.19,0.08,0.44174
2021-03-10,18.11,0.5,2.8393
2021-03-09,17.61,0.11,0.62857
2021-03-08,17.5,-0.08,-0.45506
2021-03-07,17.58,-0.27,-1.51261
2021-03-04,17.85,-0.14,-0.77821
2021-03-03,17.99,-0.55,-2.96656
2021-03-02,18.54,-0.08,-0.42965
2021-03-01,18.62,0.33,1.80426
2021-02-25,18.29,-0.29,-1.56082
2021-02-24,18.58,-0.1,-0.53533
2021-02-23,18.68,-0.26,-1.37276
2021-02-22,18.94,-0.1,-0.52521
2021-02-21,19.04,-0.27,-1.39824
2021-02-18,19.31,-0.26,-1.32856
2021-02-17,19.57,-0.03,-0.15306
2021-02-16,19.6,0.98,5.26316
2021-02-04,18.62,-0.09,-0.48103
2021-02-03,18.71,-0.08,-0.42576
2021-02-02,18.79,-0.2,-1.05319
2021-02-01,18.99,0.32,1.71398
2021-01-31,18.67,0.38,2.07764
2021-01-28,18.29,-0.32,-1.71951
2021-01-27,18.61,-0.32,-1.69044
2021-01-26,18.93,0.0,0.0
2021-01-25,18.93,-0.48,-2.47295
2021-01-24,19.41,-0.22,-1.12073
2021-01-21,19.63,0.18,0.92545
2021-01-20,19.45,0.43,2.26078
2021-01-19,19.02,0.19,1.00903
2021-01-18,18.83,0.05,0.26624
2021-01-17,18.78,0.26,1.40389
2021-01-14,18.52,0.11,0.5975
2021-01-13,18.41,-0.23,-1.23391
2021-01-12,18.64,0.07,0.37695
2021-01-11,18.57,0.02,0.10782
2021-01-10,18.55,0.04,0.2161
2021-01-07,18.51,-0.16,-0.85699
2021-01-06,18.67,0.48,2.63881
2021-01-05,18.19,-0.07,-0.38335
2021-01-04,18.26,0.65,3.69108
2021-01-03,17.61,0.51,2.98246
2020-12-30,17.1,0.11,0.64744
2020-12-29,16.99,0.26,1.55409
2020-12-28,16.73,-0.1,-0.59418
2020-12-27,16.83,-0.04,-0.23711
2020-12-24,16.87,-0.03,-0.17751
2020-12-23,16.9,0.07,0.41592
2020-12-22,16.83,0.08,0.47761
2020-12-21,16.75,-0.22,-1.29641
2020-12-20,16.97,0.05,0.29551
2020-12-17,16.92,0.01,0.05914
2020-12-16,16.91,0.06,0.35608
2020-12-15,16.85,0.18,1.07978
2020-12-14,16.67,0.08,0.48222
2020-12-13,16.59,0.23,1.40587
2020-12-10,16.36,-0.04,-0.2439
2020-12-09,16.4,0.08,0.4902
2020-12-08,16.32,-0.12,-0.72993
2020-12-07,16.44,0.14,0.8589
2020-12-06,16.3,0.05,0.30769
2020-12-03,16.25,0.09,0.55693
2020-12-02,16.16,0.27,1.69918
2020-12-01,15.89,0.1,0.63331
2020-11-30,15.79,0.01,0.06337
2020-11-29,15.78,0.2,1.2837
2020-11-26,15.58,0.03,0.19293
2020-11-25,15.55,-0.03,-0.19255
2020-11-24,15.58,-0.08,-0.51086
2020-11-23,15.66,0.05,0.32031
2020-11-22,15.61,0.12,0.77469
2020-11-19,15.49,0.09,0.58442
2020-11-18,15.4,0.09,0.58785
2020-11-17,15.31,-0.1,-0.64893
2020-11-16,15.41,-0.05,-0.32342
2020-11-15,15.46,0.28,1.84453
2020-11-12,15.18,0.04,0.2642
2020-11-11,15.14,-0.02,-0.13193
2020-11-10,15.16,-0.07,-0.45962
2020-11-09,15.23,-0.1,-0.65232
2020-11-08,15.33,0.06,0.39293
2020-11-05,15.27,0.2,1.32714
2020-11-04,15.07,0.56,3.85941
2020-11-03,14.51,0.23,1.61064
2020-11-02,14.28,0.14,0.9901
2020-11-01,14.14,-0.09,-0.63247
2020-10-29,14.23,-0.16,-1.11188
2020-10-28,14.39,0.22,1.55258
2020-10-27,14.17,-0.16,-1.11654
2020-10-26,14.33,0.0,0.0
2020-10-25,14.33,-0.13,-0.89903
2020-10-22,14.46,0.0,0.0
2020-10-21,14.46,0.02,0.1385
2020-10-20,14.44,-0.13,-0.89224
2020-10-19,14.57,0.1,0.69109
2020-10-18,14.47,-0.09,-0.61813
2020-10-15,14.56,-0.21,-1.4218
2020-10-14,14.77,-0.07,-0.4717
