tradeDate,nav,change,changePercent
2022-09-01,13.73,-0.12,-0.86643
2022-08-31,13.85,-0.25,-1.77305
2022-08-30,14.1,0.09,0.6424
2022-08-29,14.01,0.04,0.28633
2022-08-28,13.97,-0.27,-1.89607
2022-08-25,14.24,0.13,0.92133
2022-08-24,14.11,0.09,0.64194
2022-08-23,14.02,-0.02,-0.14245
2022-08-22,14.04,-0.18,-1.26582
2022-08-21,14.22,-0.12,-0.83682
2022-08-18,14.34,-0.01,-0.06969
2022-08-17,14.35,-0.04,-0.27797
2022-08-16,14.39,0.04,0.27875
2022-08-15,14.35,-0.01,-0.06964
2022-08-14,14.36,0.12,0.8427
2022-08-11,14.24,0.07,0.494
2022-08-10,14.17,0.2,1.43164
2022-08-09,13.97,-0.07,-0.49858
2022-08-08,14.04,0.05,0.3574
2022-08-07,13.99,0.0,0.0
2022-08-04,13.99,0.24,1.74545
2022-08-03,13.75,-0.01,-0.07267
2022-08-02,13.76,0.02,0.14556
2022-08-01,13.74,-0.2,-1.43472
2022-07-31,13.94,0.0,0.0
2022-07-28,13.94,0.03,0.21567
2022-07-27,13.91,-0.03,-0.21521
2022-07-26,13.94,0.13,0.94135
2022-07-25,13.81,-0.1,-0.71891
2022-07-24,13.91,-0.04,-0.28674
2022-07-21,13.95,-0.02,-0.14316
2022-07-20,13.97,0.2,1.45243
2022-07-19,13.77,0.1,0.73153
2022-07-18,13.67,-0.01,-0.0731
2022-07-17,13.68,0.22,1.63447
2022-07-14,13.46,,
2022-07-13,13.45,,
2022-07-12,13.33,0.33,2.53846
2022-07-11,13.0,-0.28,-2.10843
2022-07-10,13.28,-0.07,-0.52434
2022-07-07,13.35,0.08,0.60286
2022-07-06,13.27,0.32,2.47104
2022-07-05,12.95,-0.29,-2.19033
2022-07-04,13.24,0.16,1.22324
2022-07-03,13.08,-0.06,-0.45662
2022-06-30,13.14,-0.37,-2.73871
2022-06-29,13.51,-0.27,-1.95936
2022-06-28,13.78,-0.09,-0.64888
2022-06-27,13.87,-0.14,-0.99929
2022-06-26,14.01,0.17,1.22832
2022-06-23,13.84,0.04,0.28986
2022-06-22,13.8,-0.2,-1.42857
2022-06-21,14.0,-0.38,-2.64256
2022-06-20,14.38,0.41,2.93486
2022-06-19,13.97,-0.24,-1.68895
2022-06-16,14.21,-0.24,-1.6609
2022-06-15,14.45,-0.14,-0.95956
