tradeDate,nav,change,changePercent
2022-08-30,10.05,-0.03,-0.29762
2022-08-29,10.08,-0.19,-1.85005
2022-08-25,10.27,-0.09,-0.86873
2022-08-24,10.36,0.06,0.58252
2022-08-23,10.3,0.01,0.09718
2022-08-22,10.29,-0.01,-0.09709
2022-08-21,10.3,-0.13,-1.2464
2022-08-18,10.43,-0.12,-1.13744
2022-08-17,10.55,0.03,0.28517
2022-08-16,10.52,-0.08,-0.75472
2022-08-15,10.6,0.01,0.09443
2022-08-14,10.59,0.03,0.28409
2022-08-11,10.56,0.03,0.2849
2022-08-10,10.53,0.03,0.28571
2022-08-09,10.5,0.14,1.35135
2022-08-08,10.36,-0.07,-0.67114
2022-08-07,10.43,0.1,0.96805
2022-08-04,10.33,-0.08,-0.76849
2022-08-03,10.41,0.04,0.38573
2022-08-02,10.37,0.02,0.19324
2022-08-01,10.35,-0.07,-0.67179
2022-07-31,10.42,0.04,0.38536
2022-07-28,10.38,0.08,0.7767
2022-07-27,10.3,0.12,1.17878
2022-07-26,10.18,0.09,0.89197
2022-07-25,10.09,-0.06,-0.59113
2022-07-24,10.15,-0.01,-0.09843
2022-07-21,10.16,0.04,0.39526
2022-07-20,10.12,0.03,0.29732
2022-07-19,10.09,0.04,0.39801
2022-07-18,10.05,0.08,0.80241
2022-07-17,9.97,0.04,0.40282
2022-07-14,9.93,0.12,1.22324
2022-07-13,9.81,-0.06,-0.6079
2022-07-12,9.87,-0.04,-0.40363
2022-07-11,9.91,0.0,0.0
2022-07-10,9.91,-0.06,-0.60181
2022-07-07,9.97,0.01,0.1004
2022-07-06,9.96,0.09,0.91185
2022-07-05,9.87,0.01,0.10142
2022-07-04,9.86,-0.06,-0.60484
2022-06-30,9.92,0.02,0.20202
2022-06-29,9.9,-0.02,-0.20161
2022-06-28,9.92,-0.05,-0.5015
2022-06-27,9.97,-0.04,-0.3996
2022-06-26,10.01,0.02,0.2002
2022-06-23,9.99,0.11,1.11336
2022-06-22,9.88,0.0,0.0
2022-06-21,9.88,,
2022-06-20,9.89,0.08,0.81549
2022-06-16,9.81,0.01,0.10204
2022-06-15,9.8,-0.11,-1.10999
2022-06-14,9.91,0.05,0.5071
2022-06-13,9.86,-0.03,-0.30334
2022-06-12,9.89,-0.24,-2.3692
2022-06-09,10.13,-0.25,-2.40848
2022-06-08,10.38,-0.12,-1.14286
2022-06-07,10.5,0.01,0.09533
2022-06-06,10.49,0.0,0.0
2022-06-05,10.49,0.05,0.47893
2022-05-31,10.44,-0.06,-0.57143
2022-05-30,10.5,-0.03,-0.2849
2022-05-26,10.53,0.09,0.86207
2022-05-25,10.44,0.09,0.86957
2022-05-24,10.35,0.08,0.77897
2022-05-23,10.27,-0.06,-0.58083
2022-05-22,10.33,0.08,0.78049
2022-05-19,10.25,-0.01,-0.09747
2022-05-18,10.26,-0.02,-0.19455
2022-05-17,10.28,-0.11,-1.05871
2022-05-16,10.39,0.09,0.87379
2022-05-15,10.3,-0.01,-0.09699
2022-05-12,10.31,0.11,1.07843
2022-05-11,10.2,-0.06,-0.5848
2022-05-10,10.26,0.03,0.29326
2022-05-09,10.23,-0.01,-0.09766
2022-05-08,10.24,-0.17,-1.63305
2022-05-05,10.41,-0.06,-0.57307
2022-05-04,10.47,-0.12,-1.13314
2022-05-03,10.59,0.02,0.18921
2022-05-02,10.57,-0.01,-0.09452
2022-04-28,10.58,-0.02,-0.18868
2022-04-27,10.6,0.04,0.37879
2022-04-26,10.56,-0.03,-0.28329
2022-04-25,10.59,-0.07,-0.65666
2022-04-24,10.66,-0.11,-1.02136
2022-04-21,10.77,-0.22,-2.00182
2022-04-20,10.99,-0.07,-0.63291
2022-04-19,11.06,0.06,0.54545
2022-04-18,11.0,0.01,0.09099
2022-04-13,10.99,-0.03,-0.27223
2022-04-12,11.02,0.02,0.18182
2022-04-11,11.0,0.02,0.18215
2022-04-10,10.98,-0.09,-0.81301
2022-04-07,11.07,0.03,0.27174
2022-04-06,11.04,-0.02,-0.18083
2022-04-05,11.06,-0.11,-0.98478
2022-03-31,11.17,-0.02,-0.17873
2022-03-30,11.19,-0.07,-0.62167
2022-03-29,11.26,0.01,0.08889
2022-03-28,11.25,0.12,1.07817
2022-03-27,11.13,0.02,0.18002
2022-03-24,11.11,0.0,0.0
2022-03-23,11.11,0.01,0.09009
2022-03-22,11.1,-0.03,-0.26954
2022-03-21,11.13,0.04,0.36069
2022-03-20,11.09,-0.02,-0.18002
2022-03-17,11.11,0.05,0.45208
2022-03-16,11.06,0.09,0.82042
2022-03-15,10.97,0.16,1.48011
2022-03-14,10.81,0.05,0.46468
2022-03-13,10.76,-0.06,-0.55453
2022-03-10,10.82,0.0,0.0
2022-03-09,10.82,-0.09,-0.82493
2022-03-08,10.91,0.18,1.67754
2022-03-07,10.73,-0.11,-1.01476
2022-03-06,10.84,-0.13,-1.18505
2022-03-03,10.97,-0.13,-1.17117
2022-03-02,11.1,-0.05,-0.44843
2022-03-01,11.15,0.05,0.45045
2022-02-28,11.1,-0.08,-0.71556
2022-02-24,11.18,0.27,2.47479
2022-02-23,10.91,-0.16,-1.44535
2022-02-22,11.07,-0.09,-0.80645
2022-02-21,11.16,-0.07,-0.62333
2022-02-17,11.23,-0.09,-0.79505
2022-02-16,11.32,-0.06,-0.52724
2022-02-15,11.38,0.01,0.08795
2022-02-14,11.37,0.1,0.88731
2022-02-13,11.27,-0.11,-0.96661
2022-02-10,11.38,-0.11,-0.95735
2022-02-09,11.49,-0.07,-0.60554
2022-02-08,11.56,0.12,1.04895
2022-02-07,11.44,0.04,0.35088
2022-02-06,11.4,0.13,1.1535
2022-01-27,11.27,0.0,0.0
2022-01-26,11.27,-0.07,-0.61728
2022-01-25,11.34,0.06,0.53191
2022-01-24,11.28,0.0,0.0
2022-01-23,11.28,-0.2,-1.74216
2022-01-20,11.48,-0.15,-1.28977
2022-01-19,11.63,0.02,0.17227
2022-01-18,11.61,-0.01,-0.08606
2022-01-17,11.62,-0.13,-1.10638
2022-01-13,11.75,-0.1,-0.84388
2022-01-12,11.85,-0.02,-0.16849
2022-01-11,11.87,0.06,0.50804
2022-01-10,11.81,0.1,0.85397
2022-01-09,11.71,-0.08,-0.67854
2022-01-06,11.79,-0.03,-0.25381
2022-01-05,11.82,-0.11,-0.92205
2022-01-04,11.93,-0.05,-0.41736
2022-01-03,11.98,-0.02,-0.16667
2021-12-29,12.0,0.01,0.0834
2021-12-28,11.99,0.09,0.7563
2021-12-23,11.9,0.0,0.0
2021-12-22,11.9,0.06,0.50676
2021-12-21,11.84,0.11,0.93777
2021-12-20,11.73,0.11,0.94664
2021-12-19,11.62,-0.15,-1.27443
2021-12-16,11.77,-0.08,-0.67511
2021-12-15,11.85,0.09,0.76531
2021-12-14,11.76,0.02,0.17036
2021-12-13,11.74,-0.07,-0.59272
2021-12-12,11.81,-0.04,-0.33755
2021-12-09,11.85,0.01,0.08446
2021-12-08,11.84,-0.02,-0.16863
2021-12-07,11.86,0.0,0.0
2021-12-06,11.86,0.16,1.36752
2021-12-05,11.7,0.08,0.68847
2021-12-02,11.62,-0.04,-0.34305
2021-12-01,11.66,-0.02,-0.17123
2021-11-30,11.68,0.07,0.60293
2021-11-29,11.61,-0.13,-1.10733
2021-11-28,11.74,0.05,0.42772
2021-11-25,11.69,-0.25,-2.0938
2021-11-24,11.94,0.02,0.16779
2021-11-23,11.92,-0.01,-0.08382
2021-11-22,11.93,-0.06,-0.50042
2021-11-21,11.99,0.0,0.0
2021-11-18,11.99,-0.02,-0.16653
2021-11-17,12.01,-0.01,-0.08319
2021-11-16,12.02,-0.06,-0.49669
2021-11-15,12.08,0.0,0.0
2021-11-14,12.08,0.0,0.0
2021-11-11,12.08,0.03,0.24896
2021-11-10,12.05,0.0,0.0
2021-11-09,12.05,-0.05,-0.41322
2021-11-08,12.1,-0.03,-0.24732
2021-11-07,12.13,0.02,0.16515
2021-11-04,12.11,0.08,0.665
2021-11-03,12.03,0.04,0.33361
2021-11-02,11.99,0.04,0.33473
2021-11-01,11.95,0.0,0.0
2021-10-31,11.95,0.08,0.67397
2021-10-28,11.87,-0.03,-0.2521
2021-10-27,11.9,0.07,0.59172
2021-10-26,11.83,-0.08,-0.6717
2021-10-25,11.91,0.0,0.0
2021-10-24,11.91,0.04,0.33698
2021-10-21,11.87,0.02,0.16878
2021-10-20,11.85,-0.03,-0.25253
2021-10-19,11.88,0.04,0.33784
2021-10-18,11.84,0.05,0.42409
2021-10-17,11.79,-0.01,-0.08475
2021-10-14,11.8,0.06,0.51107
2021-10-13,11.74,0.13,1.11972
2021-10-12,11.61,0.02,0.17256
2021-10-11,11.59,-0.04,-0.34394
2021-10-07,11.63,-0.04,-0.34276
2021-10-06,11.67,0.18,1.56658
2021-10-05,11.49,-0.11,-0.94828
2021-10-04,11.6,0.09,0.78193
2021-10-03,11.51,-0.06,-0.51858
2021-09-30,11.57,0.02,0.17316
2021-09-29,11.55,-0.06,-0.5168
2021-09-28,11.61,-0.01,-0.08606
2021-09-27,11.62,-0.15,-1.27443
2021-09-26,11.77,0.05,0.42662
2021-09-23,11.72,-0.04,-0.34014
2021-09-22,11.76,0.08,0.68493
2021-09-21,11.68,-0.03,-0.25619
2021-09-16,11.71,-0.06,-0.50977
2021-09-15,11.77,-0.02,-0.16964
2021-09-14,11.79,0.01,0.08489
2021-09-13,11.78,-0.04,-0.33841
2021-09-12,11.82,0.01,0.08467
2021-09-09,11.81,-0.03,-0.25338
2021-09-08,11.84,0.02,0.1692
2021-09-07,11.82,-0.07,-0.58873
2021-09-06,11.89,-0.07,-0.58528
2021-09-05,11.96,0.03,0.25147
2021-09-02,11.93,-0.02,-0.16736
2021-09-01,11.95,0.04,0.33585
2021-08-31,11.91,0.03,0.25253
2021-08-30,11.88,0.01,0.08425
2021-08-26,11.87,0.1,0.84962
2021-08-25,11.77,-0.06,-0.50719
2021-08-24,11.83,0.04,0.33927
2021-08-23,11.79,0.06,0.51151
2021-08-22,11.73,0.1,0.85985
2021-08-19,11.63,0.05,0.43178
2021-08-18,11.58,-0.11,-0.94098
2021-08-17,11.69,-0.02,-0.17079
2021-08-16,11.71,-0.1,-0.84674
2021-08-15,11.81,-0.03,-0.25338
2021-08-12,11.84,0.01,0.08453
2021-08-11,11.83,0.0,0.0
2021-08-10,11.83,0.04,0.33927
2021-08-09,11.79,0.02,0.16992
2021-08-08,11.77,-0.01,-0.08489
2021-08-05,11.78,0.0,0.0
2021-08-04,11.78,0.04,0.34072
2021-08-03,11.74,-0.02,-0.17007
2021-08-02,11.76,0.01,0.08511
2021-08-01,11.75,0.03,0.25597
2021-07-29,11.72,-0.04,-0.34014
2021-07-28,11.76,0.09,0.77121
2021-07-27,11.67,0.05,0.43029
2021-07-26,11.62,-0.07,-0.5988
2021-07-25,11.69,0.01,0.08562
2021-07-22,11.68,0.04,0.34364
2021-07-21,11.64,-0.01,-0.08584
2021-07-20,11.65,0.09,0.77855
2021-07-19,11.56,0.12,1.04895
2021-07-18,11.44,-0.16,-1.37931
2021-07-15,11.6,-0.06,-0.51458
2021-07-14,11.66,-0.03,-0.25663
2021-07-13,11.69,-0.03,-0.25597
2021-07-12,11.72,-0.05,-0.42481
2021-07-11,11.77,0.04,0.34101
2021-07-08,11.73,0.12,1.03359
2021-07-07,11.61,-0.1,-0.85397
2021-07-06,11.71,0.02,0.17109
2021-07-05,11.69,-0.08,-0.67969
2021-07-04,11.77,0.02,0.17021
2021-07-01,11.75,0.01,0.08518
2021-06-30,11.74,0.02,0.17065
2021-06-29,11.72,-0.02,-0.17036
2021-06-28,11.74,0.02,0.17065
2021-06-27,11.72,-0.04,-0.34014
2021-06-24,11.76,0.04,0.3413
2021-06-23,11.72,0.05,0.42845
2021-06-22,11.67,0.01,0.08576
2021-06-21,11.66,0.03,0.25795
2021-06-20,11.63,0.07,0.60554
2021-06-17,11.56,-0.11,-0.94259
2021-06-16,11.67,-0.08,-0.68085
2021-06-15,11.75,0.0,0.0
2021-06-14,11.75,-0.02,-0.16992
2021-06-10,11.77,0.01,0.08503
2021-06-09,11.76,0.0,0.0
2021-06-08,11.76,0.0,0.0
2021-06-07,11.76,0.01,0.08511
2021-06-06,11.75,0.01,0.08518
2021-06-03,11.74,0.06,0.5137
2021-06-02,11.68,-0.06,-0.51107
2021-06-01,11.74,0.01,0.08525
2021-05-31,11.73,0.03,0.25641
2021-05-27,11.7,0.01,0.08554
2021-05-26,11.69,0.04,0.34335
2021-05-25,11.65,0.03,0.25818
2021-05-24,11.62,-0.02,-0.17182
2021-05-23,11.64,0.05,0.43141
2021-05-20,11.59,0.02,0.17286
2021-05-19,11.57,0.1,0.87184
2021-05-18,11.47,-0.1,-0.8643
2021-05-17,11.57,0.01,0.08651
2021-05-16,11.56,-0.02,-0.17271
2021-05-13,11.58,0.14,1.22378
2021-05-12,11.44,0.03,0.26293
2021-05-11,11.41,-0.15,-1.29758
2021-05-10,11.56,-0.13,-1.11206
2021-05-09,11.69,-0.02,-0.17079
2021-05-06,11.71,0.12,1.03538
2021-05-05,11.59,0.0,0.0
2021-05-04,11.59,0.07,0.60764
2021-05-03,11.52,-0.11,-0.94583
2021-04-28,11.63,0.0,0.0
2021-04-27,11.63,0.0,0.0
2021-04-26,11.63,0.0,0.0
2021-04-25,11.63,0.03,0.25862
2021-04-22,11.6,0.06,0.51993
2021-04-21,11.54,0.02,0.17361
2021-04-20,11.52,0.07,0.61135
2021-04-19,11.45,-0.1,-0.8658
2021-04-18,11.55,-0.04,-0.34513
2021-04-15,11.59,0.04,0.34632
2021-04-14,11.55,0.05,0.43478
2021-04-13,11.5,0.05,0.43668
2021-04-12,11.45,0.0,0.0
2021-04-11,11.45,0.01,0.08741
2021-04-08,11.44,0.02,0.17513
2021-04-07,11.42,0.04,0.35149
2021-04-06,11.38,-0.04,-0.35026
2021-04-05,11.42,0.1,0.88339
2021-03-31,11.32,0.08,0.71174
2021-03-30,11.24,0.03,0.26762
2021-03-29,11.21,0.02,0.17873
2021-03-28,11.19,-0.03,-0.26738
2021-03-25,11.22,0.11,0.9901
2021-03-24,11.11,-0.01,-0.08993
2021-03-23,11.12,-0.05,-0.44763
2021-03-22,11.17,-0.08,-0.71111
2021-03-21,11.25,0.01,0.08897
2021-03-18,11.24,-0.04,-0.35461
2021-03-17,11.28,-0.01,-0.08857
2021-03-16,11.29,-0.02,-0.17683
2021-03-15,11.31,0.0,0.0
2021-03-14,11.31,0.04,0.35492
2021-03-11,11.27,-0.04,-0.35367
2021-03-10,11.31,0.11,0.98214
2021-03-09,11.2,0.06,0.5386
2021-03-08,11.14,0.07,0.63234
2021-03-07,11.07,0.12,1.09589
2021-03-04,10.95,-0.08,-0.72529
2021-03-03,11.03,-0.11,-0.98743
2021-03-02,11.14,-0.04,-0.35778
2021-03-01,11.18,0.12,1.08499
2021-02-25,11.06,-0.11,-0.98478
2021-02-24,11.17,-0.09,-0.79929
2021-02-23,11.26,0.07,0.62556
2021-02-22,11.19,-0.04,-0.35619
2021-02-21,11.23,-0.07,-0.61947
2021-02-18,11.3,0.08,0.71301
2021-02-17,11.22,-0.05,-0.44366
2021-02-16,11.27,0.0,0.0
2021-02-08,11.27,0.03,0.2669
2021-02-07,11.24,0.07,0.62668
2021-02-04,11.17,0.06,0.54005
2021-02-03,11.11,0.05,0.45208
2021-02-02,11.06,-0.01,-0.09033
2021-02-01,11.07,0.11,1.00365
2021-01-31,10.96,0.06,0.55046
2021-01-28,10.9,-0.11,-0.99909
2021-01-27,11.01,0.02,0.18198
2021-01-26,10.99,-0.13,-1.16906
2021-01-25,11.12,0.02,0.18018
2021-01-24,11.1,-0.02,-0.17986
2021-01-21,11.12,-0.02,-0.17953
2021-01-20,11.14,0.0,0.0
2021-01-19,11.14,0.07,0.63234
2021-01-18,11.07,0.04,0.36265
2021-01-14,11.03,-0.08,-0.72007
2021-01-13,11.11,0.05,0.45208
2021-01-12,11.06,0.0,0.0
2021-01-11,11.06,0.03,0.27199
2021-01-10,11.03,-0.03,-0.27125
2021-01-07,11.06,0.01,0.0905
2021-01-06,11.05,0.04,0.36331
2021-01-05,11.01,0.16,1.47465
2021-01-04,10.85,0.06,0.55607
2021-01-03,10.79,-0.06,-0.553
2020-12-30,10.85,0.01,0.09225
2020-12-29,10.84,0.03,0.27752
2020-12-28,10.81,0.03,0.27829
2020-12-27,10.78,0.0,0.0
2020-12-24,10.78,0.0,0.0
2020-12-23,10.78,0.01,0.09285
2020-12-22,10.77,0.07,0.65421
2020-12-21,10.7,0.03,0.28116
2020-12-20,10.67,-0.1,-0.92851
2020-12-17,10.77,-0.03,-0.27778
2020-12-16,10.8,0.04,0.37175
2020-12-15,10.76,0.02,0.18622
2020-12-14,10.74,0.05,0.46773
2020-12-13,10.69,0.0,0.0
2020-12-10,10.69,-0.04,-0.37279
2020-12-09,10.73,0.0,0.0
2020-12-08,10.73,0.0,0.0
2020-12-07,10.73,0.01,0.09328
2020-12-06,10.72,-0.01,-0.0932
2020-12-03,10.73,0.05,0.46816
2020-12-02,10.68,0.05,0.47037
2020-12-01,10.63,0.01,0.09416
2020-11-30,10.62,0.07,0.66351
2020-11-29,10.55,-0.07,-0.65913
2020-11-26,10.62,0.01,0.09425
2020-11-25,10.61,0.0,0.0
2020-11-24,10.61,-0.02,-0.18815
2020-11-23,10.63,0.1,0.94967
2020-11-22,10.53,0.04,0.38132
2020-11-19,10.49,0.01,0.09542
2020-11-18,10.48,-0.02,-0.19048
2020-11-17,10.5,0.0,0.0
2020-11-16,10.5,0.01,0.09533
2020-11-15,10.49,0.11,1.05973
2020-11-12,10.38,0.06,0.5814
2020-11-11,10.32,-0.05,-0.48216
2020-11-10,10.37,0.0,0.0
2020-11-09,10.37,-0.01,-0.09634
2020-11-08,10.38,0.25,2.46792
2020-11-05,10.13,-0.03,-0.29528
2020-11-04,10.16,0.12,1.19522
2020-11-03,10.04,0.06,0.6012
2020-11-02,9.98,0.13,1.3198
2020-11-01,9.85,0.08,0.81883
2020-10-29,9.77,-0.03,-0.30612
2020-10-28,9.8,0.02,0.2045
2020-10-27,9.78,-0.16,-1.60966
2020-10-26,9.94,-0.04,-0.4008
2020-10-25,9.98,-0.02,-0.2
2020-10-22,10.0,0.0,0.0
