tradeDate,nav,change,changePercent
2022-08-30,9.1815,-0.0387,-0.41973
2022-08-29,9.2202,-0.0249,-0.26933
2022-08-28,9.2451,-0.0596,-0.64054
2022-08-25,9.3047,-0.0746,-0.79537
2022-08-24,9.3793,0.0691,0.7422
2022-08-23,9.3102,-0.0062,-0.06655
2022-08-22,9.3164,-0.0163,-0.17465
2022-08-21,9.3327,-0.0855,-0.90782
2022-08-18,9.4182,-0.0742,-0.78168
2022-08-17,9.4924,-0.0059,-0.06212
2022-08-16,9.4983,-0.0594,-0.62149
2022-08-15,9.5577,-0.0022,-0.02301
2022-08-14,9.5599,0.0161,0.1687
2022-08-11,9.5438,0.0389,0.40926
2022-08-10,9.5049,0.0181,0.19079
2022-08-09,9.4868,0.0528,0.55968
2022-08-08,9.434,-0.0163,-0.17248
2022-08-07,9.4503,0.0168,0.17809
2022-08-04,9.4335,-0.0156,-0.1651
2022-08-03,9.4491,0.0184,0.19511
2022-08-02,9.4307,0.0232,0.24661
2022-08-01,9.4075,-0.0272,-0.2883
2022-07-31,9.4347,0.0098,0.10398
2022-07-28,9.4249,0.0805,0.86148
2022-07-27,9.3444,0.0692,0.74608
2022-07-26,9.2752,0.0664,0.72105
2022-07-25,9.2088,-0.0197,-0.21347
2022-07-24,9.2285,0.0129,0.13998
2022-07-21,9.2156,0.0182,0.19788
2022-07-20,9.1974,0.037,0.40391
2022-07-19,9.1604,0.039,0.42757
2022-07-18,9.1214,0.0598,0.65993
2022-07-17,9.0616,0.0109,0.12043
2022-07-14,9.0507,0.0477,0.52982
2022-07-13,9.003,-0.0412,-0.45554
2022-07-12,9.0442,-0.0162,-0.1788
2022-07-11,9.0604,-0.0271,-0.29821
2022-07-10,9.0875,-0.008,-0.08796
2022-07-07,9.0955,0.0016,0.01759
2022-07-06,9.0939,0.0399,0.44069
2022-07-05,9.054,-0.0105,-0.11584
2022-07-04,9.0645,0.0116,0.12814
2022-06-30,9.0529,0.0223,0.24694
2022-06-29,9.0306,-0.0292,-0.3223
2022-06-28,9.0598,-0.0121,-0.13338
2022-06-27,9.0719,-0.0507,-0.55576
2022-06-26,9.1226,-0.0059,-0.06463
2022-06-23,9.1285,0.0787,0.86963
2022-06-22,9.0498,0.0311,0.34484
2022-06-21,9.0187,-0.0022,-0.02439
2022-06-20,9.0209,0.0224,0.24893
2022-06-16,8.9985,0.0216,0.24062
2022-06-15,8.9769,-0.0947,-1.04392
2022-06-14,9.0716,0.0481,0.53305
2022-06-13,9.0235,-0.0399,-0.44023
2022-06-12,9.0634,-0.2119,-2.28456
2022-06-09,9.2753,-0.1343,-1.42727
2022-06-08,9.4096,-0.0714,-0.75309
2022-06-07,9.481,-0.0425,-0.44626
2022-06-06,9.5235,0.0133,0.13985
2022-06-05,9.5102,-0.0401,-0.41988
2022-06-01,9.5503,0.0245,0.2572
2022-05-31,9.5258,-0.0363,-0.37962
2022-05-30,9.5621,-0.008,-0.08359
2022-05-26,9.5701,0.0861,0.90784
2022-05-25,9.484,0.066,0.70079
2022-05-24,9.418,0.0451,0.48117
2022-05-23,9.3729,-0.0189,-0.20124
2022-05-22,9.3918,0.031,0.33117
2022-05-19,9.3608,0.0161,0.17229
2022-05-18,9.3447,-0.0276,-0.29448
2022-05-17,9.3723,-0.0665,-0.70454
2022-05-16,9.4388,0.0355,0.37753
2022-05-15,9.4033,-0.0074,-0.07863
2022-05-12,9.4107,0.0333,0.35511
2022-05-11,9.3774,0.002,0.02133
2022-05-10,9.3754,-0.002,-0.02133
2022-05-09,9.3774,0.0317,0.33919
2022-05-08,9.3457,-0.087,-0.92232
2022-05-05,9.4327,-0.0757,-0.79614
2022-05-04,9.5084,-0.0947,-0.98614
2022-05-03,9.6031,0.0495,0.51813
2022-05-02,9.5536,-0.0095,-0.09934
2022-04-28,9.5631,-0.0685,-0.7112
2022-04-27,9.6316,0.029,0.302
2022-04-26,9.6026,-0.0161,-0.16738
2022-04-25,9.6187,-0.0618,-0.6384
2022-04-24,9.6805,-0.0141,-0.14544
2022-04-21,9.6946,-0.1067,-1.08863
2022-04-20,9.8013,-0.0421,-0.4277
2022-04-19,9.8434,0.0252,0.25667
2022-04-18,9.8182,0.0168,0.1714
2022-04-17,9.8014,-0.0238,-0.24223
2022-04-13,9.8252,-0.029,-0.29429
2022-04-12,9.8542,0.0438,0.44646
2022-04-11,9.8104,-0.0109,-0.11098
2022-04-10,9.8213,-0.0693,-0.70067
2022-04-07,9.8906,-0.0187,-0.18871
2022-04-06,9.9093,-0.0119,-0.11995
2022-04-05,9.9212,-0.1166,-1.16161
2022-03-31,10.0378,-0.0065,-0.06471
2022-03-30,10.0443,-0.0316,-0.31362
2022-03-29,10.0759,0.0204,0.20287
2022-03-28,10.0555,0.0703,0.70404
2022-03-27,9.9852,-0.0038,-0.03804
2022-03-24,9.989,-0.0141,-0.14096
2022-03-23,10.0031,0.0183,0.18328
2022-03-22,9.9848,-0.0155,-0.155
2022-03-21,10.0003,0.0113,0.11312
2022-03-20,9.989,-0.0185,-0.18486
2022-03-17,10.0075,0.0502,0.50415
2022-03-16,9.9573,0.0711,0.71918
2022-03-15,9.8862,0.0978,0.99914
2022-03-14,9.7884,0.009,0.09203
2022-03-13,9.7794,-0.0503,-0.51171
2022-03-10,9.8297,-0.0405,-0.41033
2022-03-09,9.8702,-0.0297,-0.3
2022-03-08,9.8999,0.0809,0.82391
2022-03-07,9.819,-0.0761,-0.76907
2022-03-06,9.8951,-0.1349,-1.34497
2022-03-03,10.03,-0.0576,-0.571
2022-03-02,10.0876,-0.0121,-0.11981
2022-03-01,10.0997,-0.0063,-0.06234
2022-02-28,10.106,0.0036,0.03564
2022-02-24,10.1024,0.0788,0.78614
2022-02-23,10.0236,-0.0329,-0.32715
2022-02-22,10.0565,-0.0447,-0.44252
2022-02-21,10.1012,-0.0672,-0.66087
2022-02-17,10.1684,-0.0081,-0.0796
2022-02-16,10.1765,-0.0519,-0.50741
2022-02-15,10.2284,0.0073,0.07142
2022-02-14,10.2211,0.0347,0.34065
2022-02-13,10.1864,-0.0526,-0.51372
2022-02-10,10.239,-0.0626,-0.60767
2022-02-09,10.3016,-0.0744,-0.71704
2022-02-08,10.376,0.0849,0.82498
2022-02-07,10.2911,0.0119,0.11577
2022-02-06,10.2792,-0.0149,-0.14474
2022-01-27,10.2941,0.0179,0.17419
2022-01-26,10.2762,-0.0328,-0.31817
2022-01-25,10.309,0.0098,0.09515
2022-01-24,10.2992,-0.0519,-0.5014
2022-01-23,10.3511,-0.0189,-0.18226
2022-01-20,10.37,-0.0423,-0.40625
2022-01-19,10.4123,-0.0128,-0.12278
2022-01-18,10.4251,-0.0188,-0.18001
2022-01-17,10.4439,-0.0934,-0.88638
2022-01-13,10.5373,-0.0349,-0.33011
2022-01-12,10.5722,-0.0021,-0.01986
2022-01-11,10.5743,0.0359,0.34066
2022-01-10,10.5384,0.0345,0.32845
2022-01-09,10.5039,-0.0209,-0.19858
2022-01-06,10.5248,-0.0159,-0.15084
2022-01-05,10.5407,-0.0305,-0.28852
2022-01-04,10.5712,-0.0525,-0.49418
2022-01-03,10.6237,-0.0028,-0.02635
2022-01-02,10.6265,-0.0184,-0.17285
2021-12-29,10.6449,-0.0026,-0.02442
2021-12-28,10.6475,-0.0096,-0.09008
2021-12-27,10.6571,0.0092,0.0864
2021-12-26,10.6479,0.0451,0.42536
2021-12-22,10.6028,0.0255,0.24108
2021-12-21,10.5773,0.0401,0.38056
2021-12-20,10.5372,0.0493,0.47007
2021-12-19,10.4879,-0.0617,-0.58486
2021-12-16,10.5496,-0.0247,-0.23359
2021-12-15,10.5743,0.0047,0.04447
2021-12-14,10.5696,0.0209,0.19813
2021-12-13,10.5487,-0.0368,-0.34765
2021-12-12,10.5855,-0.0086,-0.08118
2021-12-09,10.5941,0.0045,0.04249
2021-12-08,10.5896,-0.006,-0.05663
2021-12-07,10.5956,-0.0052,-0.04905
2021-12-06,10.6008,0.085,0.80831
2021-12-05,10.5158,0.0094,0.08947
2021-12-02,10.5064,0.0039,0.03713
2021-12-01,10.5025,0.0236,0.22521
2021-11-30,10.4789,0.0092,0.08787
2021-11-29,10.4697,-0.0405,-0.38534
2021-11-28,10.5102,0.0057,0.05426
2021-11-25,10.5045,-0.0694,-0.65633
2021-11-23,10.5739,-0.0133,-0.12562
2021-11-22,10.5872,-0.0411,-0.3867
2021-11-21,10.6283,-0.0278,-0.26088
2021-11-18,10.6561,-0.0001,-0.00094
2021-11-17,10.6562,0.0043,0.04037
2021-11-16,10.6519,-0.0182,-0.17057
2021-11-15,10.6701,-0.0079,-0.07398
2021-11-14,10.678,-0.0015,-0.01405
2021-11-11,10.6795,0.0261,0.24499
2021-11-09,10.6534,-0.0419,-0.39176
2021-11-08,10.6953,0.0163,0.15264
2021-11-07,10.679,0.0117,0.10968
2021-11-04,10.6673,0.0181,0.16997
2021-11-03,10.6492,0.0253,0.23814
2021-11-02,10.6239,0.0071,0.06688
2021-11-01,10.6168,0.013,0.1226
2021-10-31,10.6038,-0.0109,-0.10269
2021-10-28,10.6147,-0.0025,-0.02355
2021-10-27,10.6172,0.0137,0.1292
2021-10-26,10.6035,0.0027,0.02547
2021-10-25,10.6008,0.0024,0.02264
2021-10-24,10.5984,-0.0002,-0.00189
2021-10-21,10.5986,-0.0035,-0.03301
2021-10-20,10.6021,-0.0083,-0.07823
2021-10-19,10.6104,0.0071,0.06696
2021-10-18,10.6033,0.0192,0.1814
2021-10-17,10.5841,0.0125,0.11824
2021-10-14,10.5716,0.02,0.18954
2021-10-13,10.5516,0.0678,0.64671
2021-10-12,10.4838,0.0217,0.20742
2021-10-11,10.4621,-0.0346,-0.32963
2021-10-07,10.4967,-0.0185,-0.17594
2021-10-06,10.5152,0.0335,0.3196
2021-10-05,10.4817,-0.0278,-0.26452
2021-10-04,10.5095,0.0053,0.05046
2021-10-03,10.5042,-0.0294,-0.27911
2021-09-30,10.5336,0.0222,0.2112
2021-09-29,10.5114,-0.0426,-0.40364
2021-09-28,10.554,-0.0021,-0.01989
2021-09-27,10.5561,-0.0769,-0.72322
2021-09-26,10.633,-0.0178,-0.16712
2021-09-23,10.6508,-0.019,-0.17807
2021-09-22,10.6698,0.0202,0.18968
2021-09-21,10.6496,-0.0353,-0.33037
2021-09-16,10.6849,-0.039,-0.36367
2021-09-15,10.7239,-0.0186,-0.17314
2021-09-14,10.7425,0.0067,0.06241
2021-09-13,10.7358,0.0019,0.0177
2021-09-12,10.7339,0.012,0.11192
2021-09-09,10.7219,-0.0064,-0.05966
2021-09-08,10.7283,-0.0013,-0.01212
2021-09-07,10.7296,-0.0035,-0.03261
2021-09-06,10.7331,-0.0235,-0.21847
2021-09-02,10.7566,-0.0103,-0.09566
2021-09-01,10.7669,0.0114,0.10599
2021-08-31,10.7555,0.006,0.05582
2021-08-30,10.7495,-0.0005,-0.00465
2021-08-29,10.75,0.025,0.2331
2021-08-26,10.725,0.0317,0.29645
2021-08-25,10.6933,-0.0141,-0.13168
2021-08-24,10.7074,0.0019,0.01775
2021-08-23,10.7055,0.0175,0.16374
2021-08-22,10.688,0.0326,0.30595
2021-08-19,10.6554,0.0161,0.15133
2021-08-18,10.6393,-0.0191,-0.1792
2021-08-17,10.6584,-0.0017,-0.01595
2021-08-16,10.6601,-0.0311,-0.29089
2021-08-15,10.6912,0.0123,0.11518
2021-08-12,10.6789,0.0157,0.14724
2021-08-11,10.6632,0.0129,0.12112
2021-08-10,10.6503,0.0222,0.20888
2021-08-09,10.6281,0.0112,0.10549
2021-08-08,10.6169,-0.0091,-0.08564
2021-08-05,10.626,-0.0196,-0.18411
2021-08-04,10.6456,0.0048,0.04511
2021-08-03,10.6408,-0.0069,-0.0648
2021-08-02,10.6477,0.0176,0.16557
2021-08-01,10.6301,0.0122,0.1149
2021-07-29,10.6179,-0.0118,-0.11101
2021-07-28,10.6297,0.0355,0.33509
2021-07-27,10.5942,0.0009,0.0085
2021-07-26,10.5933,-0.0228,-0.21477
2021-07-25,10.6161,-0.009,-0.08471
2021-07-22,10.6251,0.0252,0.23774
2021-07-21,10.5999,0.0218,0.20609
2021-07-20,10.5781,0.0182,0.17235
2021-07-19,10.5599,0.0178,0.16885
2021-07-18,10.5421,-0.0405,-0.3827
2021-07-15,10.5826,-0.0231,-0.21781
2021-07-14,10.6057,0.0081,0.07643
2021-07-13,10.5976,0.0096,0.09067
2021-07-12,10.588,-0.0126,-0.11886
2021-07-11,10.6006,0.0165,0.15589
2021-07-08,10.5841,0.0156,0.14761
2021-07-07,10.5685,-0.0423,-0.39865
2021-07-06,10.6108,0.0279,0.26363
2021-07-05,10.5829,0.0068,0.0643
2021-07-01,10.5761,0.0212,0.20085
2021-06-30,10.5549,0.0043,0.04076
2021-06-29,10.5506,-0.0007,-0.00663
2021-06-28,10.5513,0.0047,0.04456
2021-06-27,10.5466,0.0196,0.18619
2021-06-24,10.527,0.013,0.12364
2021-06-23,10.514,0.0264,0.25173
2021-06-22,10.4876,-0.0017,-0.01621
2021-06-21,10.4893,0.0196,0.18721
2021-06-20,10.4697,0.0015,0.01433
2021-06-17,10.4682,-0.0212,-0.20211
2021-06-16,10.4894,-0.0127,-0.12093
2021-06-15,10.5021,-0.0197,-0.18723
2021-06-14,10.5218,-0.0227,-0.21528
