tradeDate,nav,change,changePercent
2022-08-31,10.8,0.02,0.18553
2022-08-30,10.78,-0.06,-0.55351
2022-08-29,10.84,-0.01,-0.09217
2022-08-28,10.85,0.02,0.18467
2022-08-25,10.83,-0.12,-1.09589
2022-08-24,10.95,0.05,0.45872
2022-08-23,10.9,0.02,0.18382
2022-08-22,10.88,0.03,0.2765
2022-08-21,10.85,-0.06,-0.54995
2022-08-18,10.91,-0.07,-0.63752
2022-08-17,10.98,0.02,0.18248
2022-08-16,10.96,-0.07,-0.63463
2022-08-15,11.03,-0.01,-0.09058
2022-08-14,11.04,0.01,0.09066
2022-08-11,11.03,0.09,0.82267
2022-08-10,10.94,-0.05,-0.45496
2022-08-09,10.99,0.1,0.91827
2022-08-08,10.89,-0.03,-0.27473
2022-08-07,10.92,0.04,0.36765
2022-08-04,10.88,-0.07,-0.63927
2022-08-03,10.95,0.01,0.09141
2022-08-02,10.94,0.07,0.64397
2022-08-01,10.87,-0.07,-0.63985
2022-07-31,10.94,0.02,0.18315
2022-07-28,10.92,0.03,0.27548
2022-07-27,10.89,0.04,0.36866
2022-07-26,10.85,0.07,0.64935
2022-07-25,10.78,-0.02,-0.18519
2022-07-24,10.8,-0.01,-0.09251
2022-07-21,10.81,0.02,0.18536
2022-07-20,10.79,0.05,0.46555
2022-07-19,10.74,-0.01,-0.09302
2022-07-18,10.75,0.03,0.27985
2022-07-17,10.72,-0.04,-0.37175
2022-07-14,10.76,0.05,0.46685
2022-07-13,10.71,-0.01,-0.09328
2022-07-12,10.72,-0.02,-0.18622
2022-07-11,10.74,0.01,0.0932
2022-07-10,10.73,0.03,0.28037
2022-07-07,10.7,-0.02,-0.18657
2022-07-06,10.72,0.01,0.09337
2022-07-05,10.71,0.01,0.09346
2022-07-04,10.7,0.0,0.0
2022-06-30,10.7,0.06,0.56391
2022-06-29,10.64,0.0,0.0
2022-06-28,10.64,0.03,0.28275
2022-06-27,10.61,-0.01,-0.09416
2022-06-26,10.62,-0.05,-0.4686
2022-06-23,10.67,0.05,0.47081
2022-06-22,10.62,0.02,0.18868
2022-06-21,10.6,0.04,0.37879
2022-06-20,10.56,0.03,0.2849
2022-06-16,10.53,0.01,0.09506
2022-06-15,10.52,-0.07,-0.661
2022-06-14,10.59,0.03,0.28409
2022-06-13,10.56,-0.04,-0.37736
2022-06-12,10.6,-0.05,-0.46948
2022-06-09,10.65,-0.03,-0.2809
2022-06-08,10.68,-0.05,-0.46598
2022-06-07,10.73,-0.04,-0.3714
2022-06-06,10.77,0.06,0.56022
2022-06-05,10.71,-0.01,-0.09328
2022-06-01,10.72,0.06,0.56285
2022-05-31,10.66,0.06,0.56604
2022-05-30,10.6,-0.13,-1.21156
2022-05-26,10.73,-0.02,-0.18605
2022-05-25,10.75,0.0,0.0
2022-05-24,10.75,0.0,0.0
2022-05-23,10.75,0.02,0.18639
2022-05-22,10.73,0.01,0.09328
2022-05-19,10.72,-0.03,-0.27907
2022-05-18,10.75,0.0,0.0
2022-05-17,10.75,-0.07,-0.64695
2022-05-16,10.82,-0.01,-0.09234
2022-05-15,10.83,0.01,0.09242
2022-05-12,10.82,0.03,0.27804
2022-05-11,10.79,0.05,0.46555
2022-05-10,10.74,-0.01,-0.09302
2022-05-09,10.75,-0.01,-0.09294
2022-05-08,10.76,-0.02,-0.18553
2022-05-05,10.78,0.04,0.37244
2022-05-04,10.74,-0.1,-0.92251
2022-05-03,10.84,0.07,0.64995
2022-05-02,10.77,0.04,0.37279
2022-04-28,10.73,-0.12,-1.10599
2022-04-27,10.85,0.11,1.02421
2022-04-26,10.74,0.05,0.46773
2022-04-25,10.69,-0.08,-0.7428
2022-04-24,10.77,0.04,0.37279
2022-04-21,10.73,-0.05,-0.46382
2022-04-20,10.78,-0.05,-0.46168
2022-04-19,10.83,0.02,0.18501
2022-04-18,10.81,0.05,0.46468
2022-04-17,10.76,0.05,0.46685
2022-04-13,10.71,-0.04,-0.37209
2022-04-12,10.75,0.0,0.0
2022-04-11,10.75,0.02,0.18639
2022-04-10,10.73,0.02,0.18674
2022-04-07,10.71,0.03,0.2809
2022-04-06,10.68,0.04,0.37594
2022-04-05,10.64,0.03,0.28275
2022-03-31,10.61,0.06,0.56872
2022-03-30,10.55,-0.02,-0.18921
2022-03-29,10.57,-0.08,-0.75117
2022-03-28,10.65,0.02,0.18815
2022-03-27,10.63,0.04,0.37771
2022-03-24,10.59,0.04,0.37915
2022-03-23,10.55,0.07,0.66794
2022-03-22,10.48,-0.04,-0.38023
2022-03-21,10.52,0.06,0.57361
2022-03-20,10.46,0.09,0.86789
2022-03-17,10.37,-0.01,-0.09634
2022-03-16,10.38,0.0,0.0
2022-03-15,10.38,0.05,0.48403
2022-03-14,10.33,0.05,0.48638
2022-03-13,10.28,0.04,0.39062
2022-03-10,10.24,-0.01,-0.09756
2022-03-09,10.25,-0.01,-0.09747
2022-03-08,10.26,0.08,0.78585
2022-03-07,10.18,0.02,0.19685
2022-03-06,10.16,-0.01,-0.09833
2022-03-03,10.17,-0.01,-0.09823
2022-03-02,10.18,-0.02,-0.19608
2022-03-01,10.2,0.1,0.9901
2022-02-28,10.1,-0.14,-1.36719
2022-02-24,10.24,0.09,0.8867
2022-02-23,10.15,0.02,0.19743
2022-02-22,10.13,-0.03,-0.29528
2022-02-21,10.16,-0.04,-0.39216
2022-02-17,10.2,-0.02,-0.19569
2022-02-16,10.22,-0.06,-0.58366
2022-02-15,10.28,0.0,0.0
2022-02-14,10.28,0.05,0.48876
2022-02-13,10.23,0.0,0.0
2022-02-10,10.23,-0.03,-0.2924
2022-02-09,10.26,-0.03,-0.29155
2022-02-08,10.29,0.03,0.2924
2022-02-07,10.26,0.02,0.19531
2022-02-06,10.24,0.05,0.49068
2022-01-27,10.19,0.04,0.39409
2022-01-26,10.15,0.01,0.09862
2022-01-25,10.14,0.01,0.09872
2022-01-24,10.13,-0.01,-0.09862
2022-01-23,10.14,0.0,0.0
2022-01-20,10.14,-0.03,-0.29499
2022-01-19,10.17,-0.04,-0.39177
2022-01-18,10.21,-0.01,-0.09785
2022-01-17,10.22,-0.03,-0.29268
2022-01-13,10.25,-0.03,-0.29183
2022-01-12,10.28,-0.03,-0.29098
2022-01-11,10.31,-0.01,-0.0969
2022-01-10,10.32,0.03,0.29155
2022-01-09,10.29,-0.04,-0.38722
2022-01-06,10.33,-0.02,-0.19324
2022-01-05,10.35,0.01,0.09671
2022-01-04,10.34,-0.1,-0.95785
2022-01-03,10.44,-0.01,-0.09569
2022-01-02,10.45,-0.04,-0.38132
2021-12-29,10.49,0.0,0.0
2021-12-28,10.49,-0.01,-0.09524
2021-12-27,10.5,-0.01,-0.09515
2021-12-26,10.51,0.01,0.09524
2021-12-22,10.5,0.01,0.09533
2021-12-21,10.49,0.04,0.38278
2021-12-20,10.45,0.07,0.67437
2021-12-19,10.38,-0.06,-0.57471
2021-12-16,10.44,-0.05,-0.47664
2021-12-15,10.49,-0.02,-0.19029
2021-12-14,10.51,0.04,0.38204
2021-12-13,10.47,-0.02,-0.19066
