tradeDate,nav,change,changePercent
2022-08-30,9.55,-0.08,-0.83074
2022-08-29,9.63,0.0,0.0
2022-08-28,9.63,-0.13,-1.33197
2022-08-25,9.76,0.0,0.0
2022-08-24,9.76,0.04,0.41152
2022-08-23,9.72,-0.07,-0.71502
2022-08-22,9.79,-0.06,-0.60914
2022-08-21,9.85,-0.12,-1.20361
2022-08-18,9.97,-0.08,-0.79602
2022-08-17,10.05,-0.01,-0.0994
2022-08-16,10.06,-0.04,-0.39604
2022-08-15,10.1,-0.01,-0.09891
2022-08-14,10.11,-0.01,-0.09881
2022-08-11,10.12,-0.06,-0.58939
2022-08-10,10.18,0.07,0.69238
2022-08-09,10.11,0.08,0.79761
2022-08-07,10.03,0.0,0.0
2022-08-04,10.03,-0.07,-0.69307
2022-08-03,10.1,0.14,1.40562
2022-08-02,9.96,0.02,0.20121
2022-08-01,9.94,-0.08,-0.7984
2022-07-31,10.02,0.02,0.2
2022-07-28,10.0,0.05,0.50251
2022-07-27,9.95,0.11,1.11789
2022-07-26,9.84,0.07,0.71648
2022-07-25,9.77,0.06,0.61792
2022-07-24,9.71,0.05,0.5176
2022-07-21,9.66,0.08,0.83507
2022-07-20,9.58,0.03,0.31414
2022-07-19,9.55,0.01,0.10482
2022-07-18,9.54,0.01,0.10493
2022-07-17,9.53,0.05,0.52743
2022-07-14,9.48,0.05,0.53022
2022-07-13,9.43,-0.12,-1.25654
2022-07-12,9.55,0.08,0.84477
2022-07-11,9.47,-0.11,-1.14823
2022-07-07,9.58,0.04,0.41929
2022-07-06,9.54,0.05,0.52687
2022-07-05,9.49,0.09,0.95745
2022-07-04,9.4,-0.17,-1.77638
2022-07-03,9.57,0.02,0.20942
2022-06-30,9.55,-0.07,-0.72765
2022-06-29,9.62,-0.07,-0.72239
2022-06-28,9.69,-0.1,-1.02145
2022-06-27,9.79,0.03,0.30738
2022-06-26,9.76,0.06,0.61856
2022-06-23,9.7,0.14,1.46444
2022-06-22,9.56,0.01,0.10471
2022-06-21,9.55,,
2022-06-20,9.58,0.05,0.52466
2022-06-19,9.53,-0.06,-0.62565
2022-06-16,9.59,0.02,0.20899
2022-06-15,9.57,0.05,0.52521
2022-06-14,9.52,0.07,0.74074
2022-06-13,9.45,-0.2,-2.07254
2022-06-12,9.65,-0.17,-1.73116
2022-06-09,9.82,-0.13,-1.30653
2022-06-08,9.95,-0.05,-0.5
2022-06-07,10.0,0.04,0.40161
2022-06-06,9.96,-0.01,-0.1003
2022-06-05,9.97,0.02,0.20101
2022-06-01,9.95,0.02,0.20141
2022-05-31,9.93,-0.03,-0.3012
2022-05-30,9.96,-0.04,-0.4
2022-05-29,10.0,0.16,1.62602
2022-05-26,9.84,0.09,0.92308
2022-05-25,9.75,-0.03,-0.30675
2022-05-24,9.78,-0.04,-0.40733
2022-05-23,9.82,-0.05,-0.50659
2022-05-22,9.87,0.03,0.30488
2022-05-19,9.84,0.01,0.10173
2022-05-18,9.83,0.02,0.20387
2022-05-17,9.81,-0.01,-0.10183
2022-05-16,9.82,0.12,1.23711
2022-05-12,9.7,0.14,1.46444
2022-05-11,9.56,-0.25,-2.54842
2022-05-10,9.81,0.01,0.10204
2022-05-09,9.8,-0.18,-1.80361
2022-05-08,9.98,-0.09,-0.89374
2022-05-05,10.07,-0.11,-1.08055
2022-05-04,10.18,-0.02,-0.19608
2022-05-03,10.2,-0.06,-0.5848
2022-04-28,10.26,-0.01,-0.09737
2022-04-27,10.27,0.0,0.0
2022-04-26,10.27,-0.04,-0.38797
2022-04-25,10.31,-0.01,-0.0969
2022-04-24,10.32,-0.09,-0.86455
2022-04-21,10.41,-0.04,-0.38278
2022-04-20,10.45,0.07,0.67437
2022-04-19,10.38,0.08,0.7767
2022-04-18,10.3,-0.07,-0.67502
2022-04-17,10.37,-0.07,-0.6705
2022-04-13,10.44,0.08,0.7722
2022-04-12,10.36,-0.01,-0.09643
2022-04-11,10.37,-0.01,-0.09634
2022-04-10,10.38,-0.09,-0.8596
2022-04-07,10.47,-0.03,-0.28571
2022-04-06,10.5,-0.05,-0.47393
2022-04-05,10.55,-0.03,-0.28355
2022-03-31,10.58,0.04,0.37951
2022-03-30,10.54,-0.08,-0.7533
2022-03-29,10.62,0.07,0.66351
2022-03-28,10.55,0.05,0.47619
2022-03-27,10.5,0.02,0.19084
2022-03-24,10.48,0.02,0.1912
2022-03-23,10.46,0.12,1.16054
2022-03-22,10.34,-0.03,-0.2893
2022-03-21,10.37,-0.01,-0.09634
2022-03-20,10.38,0.07,0.67895
2022-03-17,10.31,0.05,0.48733
2022-03-16,10.26,0.19,1.88679
2022-03-15,10.07,0.09,0.9018
2022-03-14,9.98,-0.07,-0.69652
2022-03-13,10.05,-0.12,-1.17994
2022-03-10,10.17,0.02,0.19704
2022-03-09,10.15,0.12,1.19641
2022-03-08,10.03,0.08,0.80402
2022-03-07,9.95,-0.08,-0.79761
2022-03-06,10.03,-0.11,-1.08481
2022-03-03,10.14,-0.07,-0.6856
2022-03-02,10.21,0.03,0.2947
2022-03-01,10.18,0.09,0.89197
2022-02-28,10.09,0.04,0.39801
2022-02-24,10.05,0.08,0.80241
2022-02-23,9.97,-0.26,-2.54154
2022-02-22,10.23,0.05,0.49116
2022-02-21,10.18,-0.09,-0.87634
2022-02-20,10.27,0.02,0.19512
2022-02-17,10.25,-0.01,-0.09747
2022-02-16,10.26,0.06,0.58824
2022-02-15,10.2,0.06,0.59172
2022-02-14,10.14,0.12,1.1976
2022-02-13,10.02,-0.12,-1.18343
2022-02-10,10.14,-0.09,-0.87977
2022-02-09,10.23,0.06,0.58997
2022-02-08,10.17,0.12,1.19403
2022-02-07,10.05,0.04,0.3996
2022-02-06,10.01,0.22,2.24719
2022-01-27,9.79,-0.15,-1.50905
2022-01-26,9.94,-0.17,-1.6815
2022-01-25,10.11,0.0,0.0
2022-01-24,10.11,-0.07,-0.68762
2022-01-23,10.18,-0.08,-0.77973
2022-01-20,10.26,0.02,0.19531
2022-01-19,10.24,-0.01,-0.09756
2022-01-18,10.25,0.03,0.29354
2022-01-17,10.22,0.02,0.19608
2022-01-16,10.2,-0.04,-0.39063
2022-01-13,10.24,-0.06,-0.58252
2022-01-12,10.3,0.06,0.58594
2022-01-11,10.24,0.04,0.39216
2022-01-10,10.2,0.02,0.19646
2022-01-09,10.18,-0.13,-1.26091
2022-01-06,10.31,0.03,0.29183
2022-01-05,10.28,-0.14,-1.34357
2022-01-04,10.42,-0.08,-0.7619
2022-01-03,10.5,-0.02,-0.19011
2022-01-02,10.52,0.0,0.0
2021-12-29,10.52,-0.01,-0.09497
2021-12-28,10.53,0.09,0.86207
2021-12-27,10.44,0.1,0.96712
2021-12-26,10.34,0.02,0.1938
2021-12-23,10.32,0.04,0.38911
2021-12-22,10.28,0.06,0.58708
2021-12-21,10.22,0.01,0.09794
2021-12-20,10.21,0.04,0.39331
2021-12-19,10.17,-0.12,-1.16618
2021-12-16,10.29,-0.06,-0.57971
2021-12-15,10.35,0.04,0.38797
2021-12-14,10.31,0.01,0.09709
2021-12-13,10.3,0.0,0.0
2021-12-12,10.3,-0.05,-0.48309
2021-12-09,10.35,-0.03,-0.28902
2021-12-08,10.38,0.02,0.19305
2021-12-07,10.36,0.03,0.29042
2021-12-06,10.33,0.11,1.07632
2021-12-05,10.22,0.02,0.19608
2021-12-02,10.2,0.04,0.3937
2021-12-01,10.16,-0.11,-1.07108
2021-11-30,10.27,0.02,0.19512
2021-11-29,10.25,-0.1,-0.96618
2021-11-28,10.35,-0.11,-1.05163
2021-11-25,10.46,-0.16,-1.50659
2021-11-24,10.62,0.02,0.18868
2021-11-23,10.6,0.01,0.09443
2021-11-22,10.59,0.05,0.47438
2021-11-21,10.54,-0.04,-0.37807
2021-11-18,10.58,-0.04,-0.37665
2021-11-17,10.62,-0.02,-0.18797
2021-11-16,10.64,-0.02,-0.18762
2021-11-15,10.66,-0.02,-0.18727
2021-11-14,10.68,0.02,0.18762
2021-11-11,10.66,0.02,0.18797
2021-11-10,10.64,0.01,0.09407
2021-11-09,10.63,-0.09,-0.83955
2021-11-08,10.72,-0.04,-0.37175
2021-11-07,10.76,0.02,0.18622
2021-11-04,10.74,0.02,0.18657
2021-11-02,10.72,0.02,0.18692
2021-11-01,10.7,0.0,0.0
2021-10-31,10.7,0.02,0.18727
2021-10-28,10.68,0.01,0.09372
2021-10-27,10.67,0.03,0.28195
2021-10-26,10.64,0.04,0.37736
2021-10-25,10.6,0.01,0.09443
2021-10-24,10.59,0.02,0.18921
2021-10-21,10.57,-0.01,-0.09452
2021-10-20,10.58,-0.02,-0.18868
2021-10-19,10.6,0.02,0.18904
2021-10-18,10.58,0.05,0.47483
2021-10-17,10.53,-0.1,-0.94073
2021-10-14,10.63,0.05,0.47259
2021-10-13,10.58,0.1,0.9542
2021-10-12,10.48,0.14,1.35397
2021-10-11,10.34,-0.03,-0.2893
2021-10-07,10.37,0.03,0.29014
2021-10-06,10.34,0.1,0.97656
2021-10-05,10.24,0.01,0.09775
2021-10-04,10.23,-0.1,-0.96805
2021-10-03,10.33,0.05,0.48638
2021-09-30,10.28,-0.11,-1.05871
2021-09-29,10.39,0.02,0.19286
2021-09-28,10.37,-0.1,-0.95511
2021-09-27,10.47,-0.14,-1.31951
2021-09-26,10.61,0.02,0.18886
2021-09-23,10.59,-0.12,-1.12045
2021-09-22,10.71,0.13,1.22873
2021-09-21,10.58,-0.05,-0.47037
2021-09-16,10.63,0.01,0.09416
2021-09-15,10.62,0.01,0.09425
2021-09-14,10.61,-0.03,-0.28195
2021-09-13,10.64,0.01,0.09407
2021-09-12,10.63,-0.1,-0.93197
2021-09-09,10.73,0.09,0.84586
2021-09-08,10.64,-0.03,-0.28116
2021-09-07,10.67,-0.11,-1.02041
2021-09-06,10.78,-0.08,-0.73665
2021-09-05,10.86,-0.01,-0.092
2021-09-02,10.87,0.01,0.09208
2021-09-01,10.86,0.15,1.40056
2021-08-31,10.71,0.06,0.56338
2021-08-30,10.65,-0.1,-0.93023
2021-08-29,10.75,0.09,0.84428
2021-08-26,10.66,0.03,0.28222
2021-08-25,10.63,-0.05,-0.46816
2021-08-24,10.68,0.03,0.28169
2021-08-23,10.65,0.03,0.28249
2021-08-22,10.62,0.02,0.18868
2021-08-19,10.6,0.01,0.09443
2021-08-18,10.59,-0.15,-1.39665
2021-08-17,10.74,0.13,1.22526
2021-08-16,10.61,-0.09,-0.84112
2021-08-15,10.7,-0.03,-0.27959
2021-08-12,10.73,-0.02,-0.18605
2021-08-11,10.75,0.0,0.0
2021-08-10,10.75,-0.07,-0.64695
2021-08-09,10.82,0.03,0.27804
2021-08-05,10.79,-0.06,-0.553
2021-08-04,10.85,-0.01,-0.09208
2021-08-03,10.86,0.06,0.55556
2021-08-02,10.8,-0.04,-0.369
2021-08-01,10.84,0.03,0.27752
2021-07-29,10.81,-0.01,-0.09242
2021-07-28,10.82,0.1,0.93284
2021-07-27,10.72,0.08,0.75188
2021-07-26,10.64,0.01,0.09407
2021-07-25,10.63,0.0,0.0
2021-07-22,10.63,-0.03,-0.28143
2021-07-21,10.66,0.08,0.75614
2021-07-20,10.58,-0.04,-0.37665
2021-07-18,10.62,-0.18,-1.66667
2021-07-15,10.8,0.04,0.37175
2021-07-14,10.76,-0.02,-0.18553
2021-07-13,10.78,-0.03,-0.27752
2021-07-12,10.81,0.01,0.09259
2021-07-11,10.8,0.02,0.18553
2021-07-08,10.78,0.13,1.22066
2021-07-07,10.65,-0.09,-0.83799
2021-07-06,10.74,-0.08,-0.73937
2021-07-05,10.82,0.08,0.74488
2021-07-04,10.74,0.09,0.84507
2021-07-01,10.65,0.12,1.1396
2021-06-30,10.53,-0.06,-0.56657
2021-06-29,10.59,-0.02,-0.1885
2021-06-28,10.61,-0.03,-0.28195
2021-06-27,10.64,0.03,0.28275
2021-06-24,10.61,0.0,0.0
2021-06-23,10.61,0.02,0.18886
2021-06-22,10.59,0.05,0.47438
2021-06-21,10.54,0.01,0.09497
2021-06-20,10.53,0.01,0.09506
2021-06-17,10.52,-0.01,-0.09497
2021-06-16,10.53,-0.06,-0.56657
2021-06-15,10.59,-0.2,-1.85357
2021-06-14,10.79,0.03,0.27881
2021-06-10,10.76,-0.01,-0.09285
2021-06-09,10.77,0.05,0.46642
2021-06-08,10.72,0.03,0.28064
