tradeDate,nav,change,changePercent
2022-08-30,8.3058,-0.0184,-0.22104
2022-08-29,8.3242,-0.0044,-0.05283
2022-08-28,8.3286,-0.0224,-0.26823
2022-08-25,8.351,0.0134,0.16072
2022-08-24,8.3376,0.0321,0.38649
2022-08-23,8.3055,0.0058,0.06988
2022-08-22,8.2997,0.0084,0.10131
2022-08-21,8.2913,-0.0307,-0.3689
2022-08-18,8.322,-0.0269,-0.3222
2022-08-17,8.3489,-0.0079,-0.09453
2022-08-16,8.3568,-0.0311,-0.37077
2022-08-15,8.3879,-0.0087,-0.10361
2022-08-14,8.3966,0.0143,0.1706
2022-08-11,8.3823,0.007,0.08358
2022-08-10,8.3753,0.0475,0.57038
2022-08-09,8.3278,0.0163,0.19611
2022-08-08,8.3115,-0.0063,-0.07574
2022-08-07,8.3178,0.0062,0.07459
2022-08-04,8.3116,-0.0043,-0.05171
2022-08-03,8.3159,0.0164,0.1976
2022-08-02,8.2995,-0.0218,-0.26198
2022-08-01,8.3213,-0.0079,-0.09485
2022-07-31,8.3292,0.012,0.14428
2022-07-28,8.3172,0.0394,0.47597
2022-07-27,8.2778,0.0391,0.47459
2022-07-26,8.2387,-0.0022,-0.0267
2022-07-25,8.2409,0.0155,0.18844
2022-07-24,8.2254,0.0348,0.42488
2022-07-21,8.1906,0.0403,0.49446
2022-07-20,8.1503,0.0428,0.52791
2022-07-19,8.1075,0.0174,0.21508
2022-07-18,8.0901,-0.0296,-0.36455
2022-07-17,8.1197,0.0067,0.08258
2022-07-14,8.113,-0.0111,-0.13663
2022-07-13,8.1241,-0.0247,-0.30311
2022-07-12,8.1488,-0.0152,-0.18618
2022-07-11,8.164,-0.0572,-0.69576
2022-07-10,8.2212,-0.0268,-0.32493
2022-07-07,8.248,-0.015,-0.18153
2022-07-06,8.263,-0.043,-0.5177
2022-07-05,8.306,-0.028,-0.33597
2022-07-04,8.334,-0.0196,-0.23463
2022-07-03,8.3536,0.0276,0.33149
2022-06-29,8.326,0.0025,0.03004
2022-06-28,8.3235,-0.0314,-0.37583
2022-06-27,8.3549,-0.0256,-0.30547
2022-06-26,8.3805,0.0043,0.05134
2022-06-23,8.3762,-0.0171,-0.20373
2022-06-22,8.3933,-0.0149,-0.17721
2022-06-21,8.4082,,
2022-06-20,8.4096,-0.0072,-0.08554
2022-06-19,8.4168,0.0046,0.05468
2022-06-16,8.4122,-0.0034,-0.0404
2022-06-15,8.4156,-0.0192,-0.22763
2022-06-14,8.4348,0.0447,0.53277
2022-06-13,8.3901,-0.0396,-0.46977
2022-06-12,8.4297,-0.1173,-1.37241
2022-06-09,8.547,-0.0564,-0.65555
2022-06-08,8.6034,-0.0235,-0.2724
2022-06-07,8.6269,-0.0161,-0.18628
2022-06-06,8.643,-0.0016,-0.01851
2022-06-05,8.6446,-0.0115,-0.13285
2022-06-01,8.6561,0.0009,0.0104
2022-05-31,8.6552,-0.0148,-0.1707
2022-05-30,8.67,-0.0097,-0.11176
2022-05-29,8.6797,0.0025,0.02881
2022-05-26,8.6772,0.0074,0.08535
2022-05-25,8.6698,0.0201,0.23238
2022-05-24,8.6497,0.0187,0.21666
2022-05-23,8.631,0.008,0.09278
2022-05-22,8.623,0.0214,0.24879
2022-05-19,8.6016,0.033,0.38513
2022-05-18,8.5686,-0.0006,-0.007
2022-05-17,8.5692,-0.0019,-0.02217
2022-05-16,8.5711,-0.0128,-0.14912
2022-05-15,8.5839,0.0112,0.13065
2022-05-12,8.5727,-0.0137,-0.15955
2022-05-11,8.5864,-0.0311,-0.36089
2022-05-10,8.6175,-0.0027,-0.03132
