tradeDate,nav,change,changePercent
2022-08-30,7.9282,-0.0376,-0.47202
2022-08-29,7.9658,-0.0233,-0.29165
2022-08-28,7.9891,0.0005,0.00626
2022-08-25,7.9886,-0.0136,-0.16995
2022-08-24,8.0022,0.0229,0.28699
2022-08-23,7.9793,0.0281,0.35341
2022-08-22,7.9512,-0.036,-0.45072
2022-08-21,7.9872,-0.055,-0.68389
2022-08-18,8.0422,-0.0356,-0.44071
2022-08-17,8.0778,-0.002,-0.02475
2022-08-16,8.0798,-0.0554,-0.68099
2022-08-15,8.1352,-0.0032,-0.03932
2022-08-14,8.1384,0.0024,0.0295
2022-08-11,8.136,0.0138,0.1699
2022-08-10,8.1222,0.0064,0.07886
2022-08-09,8.1158,0.0354,0.4381
2022-08-08,8.0804,-0.0261,-0.32196
2022-08-07,8.1065,0.0157,0.19405
2022-08-04,8.0908,-0.0422,-0.51887
2022-08-03,8.133,0.012,0.14777
2022-08-02,8.121,0.0171,0.21101
2022-08-01,8.1039,0.033,0.40888
2022-07-31,8.0709,-0.0209,-0.25829
2022-07-28,8.0918,0.0516,0.64178
2022-07-27,8.0402,0.0527,0.65978
2022-07-26,7.9875,0.015,0.18815
2022-07-25,7.9725,0.0003,0.00376
2022-07-24,7.9722,0.0229,0.28808
2022-07-21,7.9493,0.0388,0.49049
2022-07-20,7.9105,0.0224,0.28397
2022-07-19,7.8881,0.0363,0.46231
2022-07-18,7.8518,0.0273,0.3489
2022-07-17,7.8245,0.0168,0.21517
2022-07-14,7.8077,0.035,0.45029
2022-07-13,7.7727,-0.0171,-0.21952
2022-07-12,7.7898,,
2022-07-11,7.8144,0.0062,0.0794
2022-07-10,7.8082,0.0124,0.15906
2022-07-07,7.7958,0.026,0.33463
2022-07-06,7.7698,0.0262,0.33834
2022-07-05,7.7436,-0.0043,-0.0555
2022-07-04,7.7479,-0.0047,-0.06062
2022-06-30,7.7526,-0.0208,-0.26758
2022-06-29,7.7734,-0.0297,-0.38062
2022-06-28,7.8031,-0.021,-0.2684
2022-06-27,7.8241,-0.0094,-0.12
2022-06-26,7.8335,-0.0126,-0.16059
2022-06-23,7.8461,0.0272,0.34788
2022-06-22,7.8189,0.0136,0.17424
2022-06-21,7.8053,0.0092,0.11801
2022-06-20,7.7961,0.0415,0.53517
2022-06-16,7.7546,-0.0052,-0.06701
2022-06-15,7.7598,-0.0771,-0.98381
2022-06-14,7.8369,0.0483,0.62014
2022-06-13,7.7886,-0.0429,-0.54779
2022-06-12,7.8315,-0.1416,-1.77597
2022-06-09,7.9731,-0.0736,-0.91466
2022-06-08,8.0467,-0.038,-0.47002
2022-06-07,8.0847,-0.0106,-0.13094
2022-06-06,8.0953,0.0186,0.23029
2022-06-05,8.0767,-0.0142,-0.17551
2022-06-01,8.0909,0.0146,0.18078
2022-05-31,8.0763,-0.0276,-0.34058
2022-05-30,8.1039,-0.0457,-0.56076
2022-05-26,8.1496,0.0578,0.7143
2022-05-25,8.0918,0.0616,0.7671
