tradeDate,nav,change,changePercent
2022-08-31,9.5046,0.0003,0.00316
2022-08-30,9.5043,-0.0265,-0.27805
2022-08-29,9.5308,0.0002,0.0021
2022-08-28,9.5306,0.0317,0.33372
2022-08-25,9.4989,0.0016,0.01685
2022-08-24,9.4973,0.0005,0.00526
2022-08-23,9.4968,0.0238,0.25124
2022-08-22,9.473,0.0267,0.28265
2022-08-21,9.4463,-0.0114,-0.12054
2022-08-18,9.4577,-0.0203,-0.21418
2022-08-17,9.478,-0.007,-0.0738
2022-08-16,9.485,-0.037,-0.38857
2022-08-15,9.522,0.0001,0.00105
2022-08-14,9.5219,0.0269,0.28331
2022-08-11,9.495,0.0199,0.21002
2022-08-10,9.4751,0.0066,0.0697
2022-08-09,9.4685,0.0389,0.41253
2022-08-08,9.4296,-0.0574,-0.60504
2022-08-07,9.487,0.0338,0.35755
2022-08-04,9.4532,-0.0294,-0.31004
2022-08-03,9.4826,0.0117,0.12354
2022-08-02,9.4709,0.0108,0.11416
2022-08-01,9.4601,-0.0156,-0.16463
2022-07-31,9.4757,0.0278,0.29425
2022-07-28,9.4479,0.0559,0.59519
2022-07-27,9.392,0.0449,0.48036
2022-07-26,9.3471,0.0188,0.20154
2022-07-25,9.3283,0.0009,0.00965
2022-07-24,9.3274,0.0107,0.11485
2022-07-21,9.3167,0.0413,0.44526
2022-07-20,9.2754,0.0255,0.27568
2022-07-19,9.2499,0.0326,0.35368
2022-07-18,9.2173,0.0034,0.0369
2022-07-17,9.2139,0.0065,0.0706
2022-07-14,9.2074,0.0266,0.28974
2022-07-13,9.1808,-0.023,-0.2499
2022-07-12,9.2038,-0.0343,-0.37129
2022-07-11,9.2381,-0.0021,-0.02273
2022-07-10,9.2402,0.0042,0.04547
2022-07-07,9.236,-0.0024,-0.02598
2022-07-06,9.2384,0.0033,0.03573
2022-07-05,9.2351,0.0028,0.03033
2022-07-04,9.2323,-0.0235,-0.25389
2022-06-30,9.2558,0.0222,0.24043
2022-06-29,9.2336,-0.0157,-0.16974
2022-06-28,9.2493,-0.0256,-0.27601
