tradeDate,nav,change,changePercent
2022-08-30,5.5482,0.0009,0.01622
2022-08-29,5.5473,-0.0012,-0.02163
2022-08-28,5.5485,-0.0231,-0.4146
2022-08-25,5.5716,0.0401,0.72494
2022-08-24,5.5315,0.0878,1.61287
2022-08-23,5.4437,0.0768,1.43099
2022-08-22,5.3669,0.0218,0.40785
2022-08-21,5.3451,0.0375,0.70653
2022-08-18,5.3076,0.0129,0.24364
2022-08-17,5.2947,-0.025,-0.46995
2022-08-16,5.3197,-0.0148,-0.27744
2022-08-15,5.3345,0.0575,1.08963
2022-08-14,5.277,0.0206,0.3919
2022-08-11,5.2564,-0.0092,-0.17472
2022-08-10,5.2656,0.0114,0.21697
2022-08-09,5.2542,-0.0031,-0.05897
2022-08-07,5.2573,-0.0146,-0.27694
2022-08-04,5.2719,-0.0142,-0.26863
2022-08-03,5.2861,-0.0102,-0.19259
2022-08-02,5.2963,-0.0516,-0.96486
2022-08-01,5.3479,-0.0281,-0.52269
2022-07-31,5.376,0.0486,0.91226
2022-07-28,5.3274,0.04,0.75652
2022-07-27,5.2874,0.0182,0.3454
2022-07-26,5.2692,0.0133,0.25305
2022-07-25,5.2559,0.0258,0.4933
2022-07-24,5.2301,0.0479,0.92432
2022-07-21,5.1822,0.0457,0.88971
2022-07-20,5.1365,0.0113,0.22048
2022-07-19,5.1252,-0.0153,-0.29764
2022-07-18,5.1405,-0.0204,-0.39528
2022-07-17,5.1609,-0.0192,-0.37065
2022-07-14,5.1801,-0.0192,-0.36928
2022-07-13,5.1993,0.0106,0.20429
2022-07-12,5.1887,-0.0593,-1.12995
2022-07-11,5.248,-0.1424,-2.64173
2022-07-07,5.3904,-0.0131,-0.24244
2022-07-06,5.4035,-0.0724,-1.32216
2022-07-05,5.4759,-0.0542,-0.98009
2022-07-04,5.5301,-0.1193,-2.11173
2022-06-30,5.6494,-0.0047,-0.08313
2022-06-29,5.6541,-0.0533,-0.93388
2022-06-28,5.7074,-0.0622,-1.07806
2022-06-27,5.7696,-0.0139,-0.24034
2022-06-26,5.7835,-0.0056,-0.09673
2022-06-23,5.7891,-0.0616,-1.05287
2022-06-22,5.8507,-0.0656,-1.1088
2022-06-21,5.9163,,
2022-06-20,5.9484,-0.1219,-2.00814
2022-06-16,6.0703,-0.0578,-0.9432
2022-06-15,6.1281,-0.0027,-0.04404
2022-06-14,6.1308,-0.0001,-0.00163
2022-06-13,6.1309,-0.0523,-0.84584
2022-06-12,6.1832,-0.0522,-0.83716
2022-06-09,6.2354,-0.0321,-0.51217
2022-06-08,6.2675,-0.002,-0.0319
2022-06-07,6.2695,-0.0173,-0.27518
2022-06-06,6.2868,-0.0029,-0.04611
2022-06-05,6.2897,0.0002,0.00318
2022-06-01,6.2895,0.0034,0.05409
2022-05-31,6.2861,-0.0144,-0.22855
2022-05-30,6.3005,-0.0326,-0.51476
2022-05-26,6.3331,-0.0195,-0.30696
2022-05-25,6.3526,0.0043,0.06773
2022-05-24,6.3483,-0.0132,-0.2075
2022-05-23,6.3615,0.0034,0.05348
2022-05-22,6.3581,0.0182,0.28707
2022-05-19,6.3399,0.0157,0.24825
2022-05-18,6.3242,-0.0158,-0.24921
2022-05-17,6.34,-0.017,-0.26742
2022-05-16,6.357,-0.031,-0.48528
2022-05-12,6.388,-0.0281,-0.43796
2022-05-11,6.4161,-0.0827,-1.27254
2022-05-10,6.4988,-0.0329,-0.5037
2022-05-09,6.5317,-0.0604,-0.91625
2022-05-08,6.5921,0.0067,0.10174
2022-05-05,6.5854,-0.0272,-0.41134
2022-05-04,6.6126,-0.0223,-0.3361
2022-05-03,6.6349,0.0134,0.20237
2022-04-28,6.6215,0.0817,1.24927
2022-04-27,6.5398,0.0591,0.91194
2022-04-26,6.4807,-0.0075,-0.11559
2022-04-25,6.4882,-0.0111,-0.17079
2022-04-24,6.4993,-0.044,-0.67244
2022-04-21,6.5433,-0.0253,-0.38517
2022-04-20,6.5686,-0.0493,-0.74495
2022-04-19,6.6179,-0.0393,-0.59034
2022-04-18,6.6572,-0.0172,-0.2577
2022-04-17,6.6744,0.0206,0.3096
2022-04-13,6.6538,0.0208,0.31358
2022-04-12,6.633,-0.0004,-0.00603
2022-04-11,6.6334,-0.0769,-1.146
2022-04-10,6.7103,-0.1161,-1.70075
2022-04-07,6.8264,-0.0164,-0.23967
2022-04-06,6.8428,-0.0172,-0.25073
2022-04-05,6.86,0.3181,4.8625
2022-03-31,6.5419,0.0254,0.38978
2022-03-30,6.5165,0.1129,1.76307
2022-03-29,6.4036,0.1711,2.74529
2022-03-28,6.2325,0.1192,1.94985
2022-03-27,6.1133,0.0936,1.55489
2022-03-24,6.0197,-0.0083,-0.13769
2022-03-23,6.028,-0.0088,-0.14577
2022-03-22,6.0368,0.0785,1.31749
2022-03-21,5.9583,0.0308,0.51961
2022-03-20,5.9275,0.0856,1.46528
2022-03-17,5.8419,0.042,0.72415
2022-03-16,5.7999,0.1901,3.38871
2022-03-15,5.6098,0.0,0.0
2022-03-14,5.6098,-0.1779,-3.07376
2022-03-13,5.7877,-0.1073,-1.82019
2022-03-10,5.895,-0.0601,-1.00922
2022-03-09,5.9551,0.0354,0.598
2022-03-08,5.9197,-0.1295,-2.14078
2022-03-07,6.0492,-0.1279,-2.07055
2022-03-06,6.1771,-0.0728,-1.16482
2022-03-03,6.2499,-0.0549,-0.87077
2022-03-02,6.3048,-0.1114,-1.73623
2022-03-01,6.4162,-0.1225,-1.87346
2022-02-28,6.5387,-0.1184,-1.77855
2022-02-24,6.6571,-0.1063,-1.57169
2022-02-23,6.7634,-0.1118,-1.62613
2022-02-22,6.8752,0.0322,0.47055
2022-02-21,6.843,-0.0213,-0.3103
2022-02-17,6.8643,0.0451,0.66137
2022-02-16,6.8192,-0.0146,-0.21364
2022-02-15,6.8338,-0.0137,-0.20007
2022-02-14,6.8475,-0.1015,-1.46064
2022-02-13,6.949,-0.0967,-1.37247
2022-02-10,7.0457,-0.0375,-0.52942
2022-02-09,7.0832,0.0303,0.42961
2022-02-08,7.0529,0.0339,0.48297
2022-02-07,7.019,-0.0617,-0.87138
2022-02-06,7.0807,-0.072,-1.00661
2022-01-27,7.1527,-0.0916,-1.26444
2022-01-26,7.2443,-0.056,-0.76709
2022-01-25,7.3003,0.0534,0.73687
2022-01-24,7.2469,0.0175,0.24207
2022-01-23,7.2294,0.0578,0.80596
2022-01-20,7.1716,0.1336,1.89827
2022-01-19,7.038,0.1223,1.76844
2022-01-18,6.9157,0.1969,2.93058
2022-01-17,6.7188,-0.2047,-2.9566
2022-01-13,6.9235,-0.1252,-1.77621
2022-01-12,7.0487,-0.1136,-1.58608
2022-01-11,7.1623,-0.1527,-2.08749
2022-01-10,7.315,-0.1087,-1.46423
2022-01-09,7.4237,-0.0706,-0.94205
2022-01-06,7.4943,-0.0448,-0.59424
2022-01-05,7.5391,-0.0944,-1.23665
2022-01-04,7.6335,-0.0869,-1.12559
2022-01-03,7.7204,-0.0446,-0.57437
2022-01-02,7.765,-0.0092,-0.11834
2021-12-29,7.7742,-0.0096,-0.12333
2021-12-28,7.7838,-0.0086,-0.11036
2021-12-27,7.7924,-0.0054,-0.06925
2021-12-26,7.7978,-0.0077,-0.09865
2021-12-22,7.8055,-0.0116,-0.14839
2021-12-21,7.8171,-0.0033,-0.0422
2021-12-20,7.8204,-0.0206,-0.26272
2021-12-19,7.841,-0.0069,-0.08792
2021-12-16,7.8479,-0.0043,-0.05476
2021-12-15,7.8522,-0.0097,-0.12338
2021-12-14,7.8619,-0.0518,-0.65456
2021-12-13,7.9137,-0.0721,-0.90285
2021-12-12,7.9858,-0.0319,-0.39787
2021-12-09,8.0177,0.0772,0.97223
2021-12-08,7.9405,0.0985,1.25606
2021-12-07,7.842,0.0706,0.90846
2021-12-06,7.7714,0.083,1.07955
2021-12-05,7.6884,0.0028,0.03643
2021-12-02,7.6856,-0.0349,-0.45204
2021-12-01,7.7205,-0.0003,-0.00389
2021-11-30,7.7208,-0.0684,-0.87814
2021-11-29,7.7892,0.0054,0.06937
2021-11-28,7.7838,-0.0959,-1.21705
2021-11-25,7.8797,-0.1298,-1.62058
2021-11-23,8.0095,-0.0349,-0.43384
2021-11-22,8.0444,-0.0223,-0.27645
2021-11-21,8.0667,0.0299,0.37204
2021-11-18,8.0368,0.053,0.66384
2021-11-17,7.9838,0.0367,0.4618
2021-11-16,7.9471,-0.0081,-0.10182
2021-11-15,7.9552,-0.0695,-0.86608
2021-11-14,8.0247,0.1458,1.85051
2021-11-11,7.8789,0.6462,8.93442
2021-11-09,7.2327,0.1047,1.46886
2021-11-08,7.128,-0.1523,-2.09195
2021-11-07,7.2803,-0.1975,-2.64115
2021-11-04,7.4778,-0.2749,-3.54586
2021-11-02,7.7527,0.006,0.07745
2021-11-01,7.7467,-0.1122,-1.42768
2021-10-31,7.8589,-0.1915,-2.37876
2021-10-28,8.0504,-0.0461,-0.56938
2021-10-27,8.0965,-0.1366,-1.65916
2021-10-26,8.2331,-0.0404,-0.48831
2021-10-25,8.2735,-0.0697,-0.83541
2021-10-24,8.3432,-0.0957,-1.13403
2021-10-21,8.4389,-0.0037,-0.04383
2021-10-20,8.4426,-0.0763,-0.89566
2021-10-19,8.5189,0.0146,0.17168
2021-10-18,8.5043,0.0786,0.93286
2021-10-17,8.4257,0.2336,2.85153
2021-10-14,8.1921,0.1661,2.06952
2021-10-13,8.026,0.0108,0.13474
2021-10-12,8.0152,-0.0096,-0.11963
2021-10-11,8.0248,-0.342,-4.08758
2021-10-07,8.3668,-0.2103,-2.45188
2021-10-06,8.5771,-0.1396,-1.60152
2021-10-05,8.7167,-0.1239,-1.40149
2021-10-04,8.8406,-0.1567,-1.74163
2021-10-03,8.9973,-0.0784,-0.86385
2021-09-30,9.0757,0.004,0.04409
2021-09-29,9.0717,0.0014,0.01543
2021-09-28,9.0703,-0.0599,-0.65606
2021-09-27,9.1302,-0.0066,-0.07224
2021-09-26,9.1368,-0.0605,-0.6578
2021-09-23,9.1973,-0.01,-0.10861
2021-09-22,9.2073,0.0477,0.52077
2021-09-21,9.1596,-0.2162,-2.30594
2021-09-16,9.3758,-0.0866,-0.9152
2021-09-15,9.4624,-0.1365,-1.42204
2021-09-14,9.5989,-0.0819,-0.846
2021-09-13,9.6808,-0.0497,-0.51077
2021-09-12,9.7305,-0.009,-0.09241
2021-09-09,9.7395,0.0189,0.19443
