tradeDate,nav,change,changePercent
2022-08-31,8.2833,-0.0187,-0.22525
2022-08-30,8.302,-0.0013,-0.01566
2022-08-29,8.3033,0.0066,0.07955
2022-08-28,8.2967,-0.0186,-0.22368
2022-08-25,8.3153,0.0127,0.15296
2022-08-24,8.3026,0.0265,0.3202
2022-08-23,8.2761,0.0136,0.1646
2022-08-22,8.2625,0.0028,0.0339
2022-08-21,8.2597,-0.0138,-0.1668
2022-08-18,8.2735,-0.017,-0.20505
2022-08-17,8.2905,-0.0053,-0.06389
2022-08-16,8.2958,-0.0284,-0.34117
2022-08-15,8.3242,0.0453,0.54717
2022-08-14,8.2789,0.034,0.41238
2022-08-11,8.2449,0.0166,0.20174
2022-08-10,8.2283,0.0576,0.70496
2022-08-09,8.1707,-0.0217,-0.26488
2022-08-07,8.1924,0.0062,0.07574
2022-08-04,8.1862,0.0115,0.14068
2022-08-03,8.1747,0.0113,0.13842
2022-08-02,8.1634,-0.0165,-0.20171
2022-08-01,8.1799,-0.0091,-0.11112
2022-07-31,8.189,0.0065,0.07944
2022-07-28,8.1825,0.0454,0.55794
2022-07-27,8.1371,0.0358,0.4419
2022-07-26,8.1013,-0.005,-0.06168
2022-07-25,8.1063,0.0145,0.17919
2022-07-24,8.0918,0.0328,0.407
2022-07-21,8.059,0.0406,0.50634
2022-07-20,8.0184,0.029,0.36298
2022-07-19,7.9894,0.019,0.23838
2022-07-18,7.9704,-0.041,-0.51177
2022-07-17,8.0114,-0.0039,-0.04866
2022-07-14,8.0153,-0.0236,-0.29357
2022-07-13,8.0389,-0.0196,-0.24322
2022-07-12,8.0585,-0.0108,-0.13384
2022-07-11,8.0693,-0.0675,-0.82956
2022-07-07,8.1368,-0.0123,-0.15094
2022-07-06,8.1491,-0.1936,-2.32059
2022-07-05,8.3427,-0.035,-0.41778
2022-07-04,8.3777,-0.0531,-0.62983
2022-07-03,8.4308,0.0132,0.15681
2022-06-30,8.4176,-0.0002,-0.00238
2022-06-29,8.4178,-0.0158,-0.18735
2022-06-28,8.4336,-0.0364,-0.42975
2022-06-27,8.47,-0.0105,-0.12381
2022-06-26,8.4805,0.0083,0.09797
2022-06-23,8.4722,-0.0138,-0.16262
2022-06-22,8.486,-0.0012,-0.01414
2022-06-21,8.4872,-0.008,-0.09417
2022-06-20,8.4952,-0.0066,-0.07763
2022-06-19,8.5018,-0.0005,-0.00588
2022-06-16,8.5023,-0.0092,-0.10809
2022-06-15,8.5115,-0.0149,-0.17475
2022-06-14,8.5264,0.0278,0.32711
2022-06-13,8.4986,-0.019,-0.22307
2022-06-12,8.5176,-0.0922,-1.07087
2022-06-09,8.6098,-0.0411,-0.4751
2022-06-08,8.6509,-0.0004,-0.00462
2022-06-07,8.6513,0.0011,0.01272
2022-06-06,8.6502,0.0078,0.09025
2022-06-01,8.6424,0.0007,0.0081
2022-05-31,8.6417,0.0068,0.07875
2022-05-30,8.6349,-0.0156,-0.18034
2022-05-29,8.6505,0.0225,0.26078
2022-05-26,8.628,0.0152,0.17648
2022-05-25,8.6128,0.0077,0.08948
2022-05-24,8.6051,0.0025,0.02906
2022-05-23,8.6026,0.0113,0.13153
2022-05-22,8.5913,0.0097,0.11303
2022-05-19,8.5816,0.0077,0.08981
2022-05-18,8.5739,-0.0093,-0.10835
2022-05-17,8.5832,0.0119,0.13884
2022-05-16,8.5713,0.0,0.0
2022-05-12,8.5713,0.0018,0.021
2022-05-11,8.5695,-0.0406,-0.47154
2022-05-10,8.6101,0.0046,0.05345
2022-05-09,8.6055,-0.0254,-0.29429
2022-05-08,8.6309,-0.0127,-0.14693
2022-05-05,8.6436,-0.0276,-0.3183
2022-05-04,8.6712,0.0019,0.02192
2022-05-03,8.6693,-0.0073,-0.08413
2022-04-28,8.6766,0.0026,0.02997
2022-04-27,8.674,0.006,0.06922
2022-04-26,8.668,-0.0105,-0.12099
2022-04-25,8.6785,0.0087,0.10035
2022-04-24,8.6698,-0.0169,-0.19455
2022-04-21,8.6867,-0.0005,-0.00576
2022-04-20,8.6872,-0.0137,-0.15745
2022-04-19,8.7009,-0.006,-0.06891
2022-04-18,8.7069,-0.0085,-0.09753
2022-04-13,8.7154,0.0056,0.0643
2022-04-12,8.7098,0.0144,0.1656
2022-04-11,8.6954,-0.0095,-0.10913
2022-04-10,8.7049,-0.2186,-2.44971
2022-04-07,8.9235,-0.0112,-0.12535
2022-04-06,8.9347,-0.0061,-0.06823
2022-04-05,8.9408,0.0284,0.31866
2022-03-31,8.9124,-0.0039,-0.04374
