tradeDate,nav,change,changePercent
2022-08-30,7.2745,-0.0116,-0.15921
2022-08-29,7.2861,-0.0303,-0.41414
2022-08-28,7.3164,-0.044,-0.59779
2022-08-25,7.3604,-0.0389,-0.52573
2022-08-24,7.3993,0.1004,1.37555
2022-08-23,7.2989,-0.0099,-0.13545
2022-08-22,7.3088,0.0195,0.26752
2022-08-21,7.2893,-0.0484,-0.65961
2022-08-18,7.3377,-0.0752,-1.01445
2022-08-17,7.4129,-0.0058,-0.07818
2022-08-16,7.4187,-0.0204,-0.27423
2022-08-15,7.4391,-0.022,-0.29486
2022-08-14,7.4611,-0.0172,-0.23
2022-08-11,7.4783,0.0124,0.16609
2022-08-10,7.4659,0.0857,1.16122
2022-08-09,7.3802,0.0368,0.50113
2022-08-08,7.3434,0.0008,0.0109
2022-08-07,7.3426,-0.0008,-0.01089
2022-08-04,7.3434,0.0139,0.18964
2022-08-03,7.3295,0.0459,0.63018
2022-08-02,7.2836,0.0081,0.11133
2022-08-01,7.2755,-0.015,-0.20575
2022-07-31,7.2905,-0.0383,-0.5226
2022-07-28,7.3288,-0.0014,-0.0191
2022-07-27,7.3302,0.0441,0.60526
2022-07-26,7.2861,0.0289,0.39823
2022-07-25,7.2572,-0.0149,-0.20489
2022-07-24,7.2721,0.0153,0.21084
2022-07-21,7.2568,-0.0332,-0.45542
2022-07-20,7.29,0.0408,0.56282
2022-07-19,7.2492,0.0323,0.44756
2022-07-18,7.2169,0.0145,0.20132
2022-07-17,7.2024,0.0676,0.94747
2022-07-14,7.1348,-0.0014,-0.01962
2022-07-13,7.1362,-0.045,-0.62664
2022-07-12,7.1812,,
2022-07-11,7.1807,-0.0428,-0.59251
2022-07-10,7.2235,-0.0889,-1.21574
2022-07-07,7.3124,-0.0181,-0.24691
2022-07-06,7.3305,0.0605,0.83219
2022-07-05,7.27,-0.0418,-0.57168
2022-07-04,7.3118,0.0066,0.09035
2022-06-30,7.3052,-0.0347,-0.47276
2022-06-29,7.3399,-0.0283,-0.38408
2022-06-28,7.3682,-0.0789,-1.05947
2022-06-27,7.4471,-0.021,-0.2812
2022-06-26,7.4681,0.0332,0.44654
2022-06-23,7.4349,0.0848,1.15373
2022-06-22,7.3501,0.0374,0.51144
2022-06-21,7.3127,-0.0706,-0.95621
2022-06-20,7.3833,0.0747,1.02208
2022-06-16,7.3086,-0.0089,-0.12163
2022-06-15,7.3175,-0.0752,-1.01722
2022-06-14,7.3927,0.0504,0.68643
2022-06-13,7.3423,0.0069,0.09406
2022-06-12,7.3354,-0.2286,-3.02221
2022-06-09,7.564,-0.0773,-1.01161
2022-06-08,7.6413,-0.093,-1.20244
2022-06-07,7.7343,0.0465,0.60485
2022-06-06,7.6878,-0.0121,-0.15714
2022-06-05,7.6999,0.0027,0.03508
2022-06-01,7.6972,0.0194,0.25268
2022-05-31,7.6778,-0.0735,-0.94823
2022-05-30,7.7513,0.1152,1.50862
2022-05-26,7.6361,0.0887,1.17524
2022-05-25,7.5474,0.0602,0.80404
2022-05-24,7.4872,0.011,0.14713
2022-05-23,7.4762,-0.0526,-0.69865
2022-05-22,7.5288,0.0095,0.12634
2022-05-19,7.5193,0.0619,0.83005
2022-05-18,7.4574,-0.0521,-0.69379
2022-05-17,7.5095,-0.0216,-0.28681
2022-05-16,7.5311,0.0915,1.2299
2022-05-15,7.4396,0.0064,0.0861
2022-05-12,7.4332,0.1051,1.43421
2022-05-11,7.3281,-0.0653,-0.88322
2022-05-10,7.3934,0.0019,0.02571
2022-05-09,7.3915,0.0158,0.21422
2022-05-08,7.3757,-0.1468,-1.95148
2022-05-05,7.5225,-0.1414,-1.84501
2022-05-04,7.6639,-0.0622,-0.80506
2022-05-03,7.7261,0.007,0.09068
2022-05-02,7.7191,-0.0855,-1.09551
2022-04-28,7.8046,0.0467,0.60197
2022-04-27,7.7579,0.0345,0.44669
2022-04-26,7.7234,-0.0004,-0.00518
2022-04-25,7.7238,-0.013,-0.16803
2022-04-24,7.7368,-0.1502,-1.9044
2022-04-21,7.887,-0.0485,-0.61118
2022-04-20,7.9355,-0.0115,-0.14471
2022-04-19,7.947,-0.0303,-0.37983
2022-04-18,7.9773,-0.0047,-0.05888
2022-04-17,7.982,-0.0397,-0.49491
2022-04-13,8.0217,-0.0249,-0.30945
2022-04-12,8.0466,0.011,0.13689
2022-04-11,8.0356,-0.0224,-0.27798
2022-04-10,8.058,-0.0866,-1.06328
2022-04-07,8.1446,-0.0066,-0.08097
