tradeDate,nav,change,changePercent
2022-08-30,8.9474,-0.0421,-0.46832
2022-08-29,8.9895,-0.04,-0.44299
2022-08-28,9.0295,-0.0197,-0.2177
2022-08-25,9.0492,-0.0033,-0.03645
2022-08-24,9.0525,0.0142,0.15711
2022-08-23,9.0383,0.0044,0.04871
2022-08-22,9.0339,-0.0064,-0.07079
2022-08-21,9.0403,-0.0525,-0.57738
2022-08-18,9.0928,-0.0313,-0.34305
2022-08-17,9.1241,-0.0189,-0.20672
2022-08-16,9.143,-0.0387,-0.42149
2022-08-15,9.1817,-0.0176,-0.19132
2022-08-14,9.1993,0.0188,0.20478
2022-08-11,9.1805,0.009,0.09813
2022-08-10,9.1715,0.0133,0.14523
2022-08-09,9.1582,0.0297,0.32535
2022-08-08,9.1285,-0.0099,-0.10833
2022-08-07,9.1384,0.0163,0.17869
2022-08-04,9.1221,-0.0167,-0.18274
2022-08-03,9.1388,0.0314,0.34477
2022-08-02,9.1074,0.0055,0.06043
2022-08-01,9.1019,-0.0066,-0.07246
2022-07-31,9.1085,0.0403,0.44441
2022-07-28,9.0682,0.0618,0.68618
2022-07-27,9.0064,0.0465,0.51898
2022-07-26,8.9599,0.0207,0.23156
2022-07-25,8.9392,-0.0208,-0.23214
2022-07-24,8.96,0.0258,0.28878
2022-07-21,8.9342,0.0371,0.41699
2022-07-20,8.8971,0.0223,0.25127
2022-07-19,8.8748,0.0589,0.66811
2022-07-18,8.8159,0.0096,0.10901
2022-07-17,8.8063,0.0293,0.33383
2022-07-14,8.777,0.0138,0.15748
2022-07-13,8.7632,-0.0238,-0.27085
2022-07-12,8.787,-0.0021,-0.02389
2022-07-11,8.7891,-0.0001,-0.00114
2022-07-10,8.7892,-0.0004,-0.00455
2022-07-07,8.7896,0.0104,0.11846
2022-07-06,8.7792,0.0237,0.27069
2022-07-05,8.7555,-0.0078,-0.08901
2022-07-04,8.7633,-0.0127,-0.14471
2022-07-03,8.776,0.0041,0.04674
2022-06-30,8.7719,0.0017,0.01938
2022-06-29,8.7702,-0.0536,-0.60745
2022-06-28,8.8238,-0.0483,-0.5444
2022-06-27,8.8721,-0.0386,-0.43319
2022-06-26,8.9107,-0.0113,-0.12665
2022-06-23,8.922,-0.003,-0.03361
2022-06-22,8.925,-0.0151,-0.1689
2022-06-21,8.9401,,
2022-06-20,8.9648,-0.0015,-0.01673
2022-06-19,8.9663,0.0035,0.03905
2022-06-16,8.9628,-0.0041,-0.04572
2022-06-15,8.9669,-0.0706,-0.78119
2022-06-14,9.0375,0.0366,0.40663
2022-06-13,9.0009,-0.0588,-0.64903
2022-06-12,9.0597,-0.1463,-1.58918
2022-06-09,9.206,-0.0745,-0.80276
2022-06-08,9.2805,-0.0435,-0.46654
2022-06-07,9.324,-0.0206,-0.22045
