tradeDate,nav,change,changePercent
2022-08-30,7.7494,-0.0057,-0.0735
2022-08-29,7.7551,-0.0011,-0.01418
2022-08-28,7.7562,-0.0141,-0.18146
2022-08-25,7.7703,0.011,0.14177
2022-08-24,7.7593,0.0346,0.44791
2022-08-23,7.7247,0.0045,0.05829
2022-08-22,7.7202,0.0085,0.11022
2022-08-21,7.7117,-0.0174,-0.22512
2022-08-18,7.7291,-0.0012,-0.01552
2022-08-17,7.7303,0.0109,0.1412
2022-08-16,7.7194,-0.0056,-0.07249
2022-08-15,7.725,0.0073,0.09459
2022-08-14,7.7177,0.0172,0.22336
2022-08-11,7.7005,0.0081,0.1053
2022-08-10,7.6924,0.031,0.40463
2022-08-09,7.6614,0.0041,0.05354
2022-08-08,7.6573,0.0025,0.03266
2022-08-07,7.6548,0.0,0.0
2022-08-04,7.6548,0.0021,0.02744
2022-08-03,7.6527,0.01,0.13084
2022-08-02,7.6427,-0.0098,-0.12806
2022-08-01,7.6525,0.0034,0.04445
2022-07-31,7.6491,-0.0429,-0.55772
2022-07-28,7.692,0.0235,0.30645
2022-07-27,7.6685,0.0259,0.33889
2022-07-26,7.6426,-0.0027,-0.03532
2022-07-25,7.6453,0.0047,0.06151
2022-07-24,7.6406,0.0229,0.30062
2022-07-21,7.6177,0.0263,0.34644
2022-07-20,7.5914,0.0151,0.19931
2022-07-19,7.5763,0.0073,0.09645
2022-07-18,7.569,-0.0099,-0.13063
2022-07-17,7.5789,0.0065,0.08584
2022-07-14,7.5724,-0.0113,-0.149
2022-07-13,7.5837,-0.0121,-0.1593
2022-07-12,7.5958,-0.0169,-0.222
2022-07-11,7.6127,-0.0331,-0.43292
2022-07-10,7.6458,-0.0001,-0.00131
2022-07-07,7.6459,0.0006,0.00785
2022-07-06,7.6453,-0.0129,-0.16845
2022-07-05,7.6582,-0.0141,-0.18378
2022-07-04,7.6723,-0.0181,-0.23536
2022-07-03,7.6904,-0.0531,-0.68574
2022-06-29,7.7435,-0.0028,-0.03615
2022-06-28,7.7463,-0.0262,-0.33709
2022-06-27,7.7725,-0.0139,-0.17852
2022-06-26,7.7864,0.009,0.11572
2022-06-23,7.7774,-0.0042,-0.05397
2022-06-22,7.7816,-0.0043,-0.05523
2022-06-21,7.7859,,
2022-06-20,7.7909,0.0008,0.01027
2022-06-19,7.7901,0.0027,0.03467
2022-06-16,7.7874,-0.0044,-0.05647
2022-06-15,7.7918,-0.0082,-0.10513
2022-06-14,7.8,0.0208,0.26738
2022-06-13,7.7792,-0.0124,-0.15915
2022-06-12,7.7916,-0.0788,-1.00122
2022-06-09,7.8704,-0.0226,-0.28633
2022-06-08,7.893,0.0006,0.0076
2022-06-07,7.8924,-0.009,-0.1139
2022-06-06,7.9014,-0.002,-0.02531
2022-06-05,7.9034,0.0033,0.04177
2022-06-01,7.9001,0.0016,0.02026
2022-05-31,7.8985,-0.0673,-0.84486
2022-05-30,7.9658,0.0012,0.01507
2022-05-29,7.9646,0.0047,0.05905
2022-05-26,7.9599,-0.0058,-0.07281
2022-05-25,7.9657,0.0032,0.04019
2022-05-24,7.9625,0.0107,0.13456
2022-05-23,7.9518,0.0053,0.0667
2022-05-22,7.9465,0.0067,0.08438
2022-05-19,7.9398,0.0151,0.19054
2022-05-18,7.9247,-0.003,-0.03784
2022-05-17,7.9277,-0.0023,-0.029
2022-05-16,7.93,-0.0067,-0.08442
2022-05-15,7.9367,0.0006,0.00756
2022-05-12,7.9361,-0.0003,-0.00378
2022-05-11,7.9364,-0.0168,-0.21124
2022-05-10,7.9532,0.0017,0.02138
2022-05-09,7.9515,-0.0218,-0.27341
2022-05-05,7.9733,-0.0278,-0.34745
2022-05-04,8.0011,-0.0059,-0.07369
2022-05-03,8.007,0.0137,0.17139
2022-05-02,7.9933,-0.0752,-0.93202
2022-04-28,8.0685,-0.0016,-0.01983
2022-04-27,8.0701,0.0027,0.03347
2022-04-26,8.0674,-0.0148,-0.18312
2022-04-25,8.0822,0.003,0.03713
2022-04-24,8.0792,-0.0125,-0.15448
2022-04-21,8.0917,-0.0126,-0.15547
2022-04-20,8.1043,-0.0073,-0.08999
2022-04-19,8.1116,-0.0134,-0.16492
2022-04-18,8.125,-0.0228,-0.27983
2022-04-13,8.1478,-0.0052,-0.06378
2022-04-12,8.153,0.0068,0.08347
2022-04-11,8.1462,-0.0166,-0.20336
2022-04-10,8.1628,-0.0266,-0.32481
2022-04-07,8.1894,-0.0087,-0.10612
2022-04-06,8.1981,-0.0083,-0.10114
2022-04-05,8.2064,0.0325,0.39761
2022-03-31,8.1739,-0.0886,-1.07231
2022-03-30,8.2625,0.0378,0.45959
2022-03-29,8.2247,0.0264,0.32202
2022-03-28,8.1983,0.0402,0.49276
2022-03-27,8.1581,0.0046,0.05642
2022-03-24,8.1535,0.0077,0.09453
2022-03-23,8.1458,0.0091,0.11184
2022-03-22,8.1367,0.0019,0.02336
2022-03-21,8.1348,-0.0132,-0.162
2022-03-20,8.148,0.0177,0.2177
2022-03-17,8.1303,0.002,0.02461
2022-03-16,8.1283,0.0602,0.74615
2022-03-15,8.0681,0.065,0.81219
2022-03-14,8.0031,-0.032,-0.39825
2022-03-13,8.0351,-0.0236,-0.29285
2022-03-10,8.0587,-0.0101,-0.12517
2022-03-09,8.0688,0.0035,0.0434
2022-03-08,8.0653,-0.0172,-0.21281
2022-03-07,8.0825,-0.0371,-0.45692
2022-03-06,8.1196,-0.0948,-1.15407
2022-03-03,8.2144,-0.0468,-0.5665
2022-03-02,8.2612,-0.019,-0.22946
2022-03-01,8.2802,-0.0565,-0.67773
2022-02-28,8.3367,-0.1688,-1.9846
2022-02-24,8.5055,0.0402,0.47488
2022-02-23,8.4653,-0.2259,-2.59918
2022-02-22,8.6912,-0.0474,-0.54242
2022-02-21,8.7386,-0.0355,-0.4046
2022-02-20,8.7741,-0.0048,-0.05468
2022-02-17,8.7789,0.0013,0.01481
2022-02-16,8.7776,-0.0108,-0.12289
2022-02-15,8.7884,0.0073,0.08313
2022-02-14,8.7811,0.0007,0.00797
2022-02-13,8.7804,-0.0349,-0.3959
2022-02-10,8.8153,-0.0061,-0.06915
2022-02-09,8.8214,-0.0016,-0.01813
2022-02-08,8.823,0.0111,0.12597
2022-02-07,8.8119,-0.0091,-0.10316
2022-02-06,8.821,-0.067,-0.75383
2022-01-27,8.888,-0.0032,-0.03599
2022-01-26,8.8912,0.005,0.05627
2022-01-25,8.8862,0.0094,0.10589
2022-01-24,8.8768,0.0033,0.03719
2022-01-23,8.8735,-0.0104,-0.11707
2022-01-20,8.8839,0.0243,0.27428
2022-01-19,8.8596,0.0387,0.43873
2022-01-18,8.8209,0.052,0.593
2022-01-17,8.7689,-0.0427,-0.48459
2022-01-16,8.8116,-0.0043,-0.04878
2022-01-13,8.8159,-0.0396,-0.44718
2022-01-12,8.8555,-0.0326,-0.36678
2022-01-11,8.8881,-0.0184,-0.20659
2022-01-10,8.9065,-0.0109,-0.12223
2022-01-09,8.9174,-0.0213,-0.23829
2022-01-06,8.9387,-0.0095,-0.10617
2022-01-05,8.9482,-0.0261,-0.29083
2022-01-04,8.9743,-0.0171,-0.19018
2022-01-03,8.9914,-0.0083,-0.09223
2022-01-02,8.9997,-0.0711,-0.78383
2021-12-29,9.0708,-0.0064,-0.07051
2021-12-28,9.0772,-0.0005,-0.00551
2021-12-27,9.0777,0.0131,0.14452
2021-12-23,9.0646,0.0027,0.0298
2021-12-22,9.0619,0.0085,0.09389
2021-12-21,9.0534,-0.0031,-0.03423
2021-12-20,9.0565,0.0016,0.01767
2021-12-19,9.0549,-0.0172,-0.18959
2021-12-16,9.0721,-0.0155,-0.17056
2021-12-15,9.0876,0.0008,0.0088
2021-12-14,9.0868,-0.0039,-0.0429
2021-12-13,9.0907,-0.0133,-0.14609
2021-12-12,9.104,-0.0025,-0.02745
2021-12-09,9.1065,0.0087,0.09563
2021-12-08,9.0978,0.0111,0.12216
2021-12-07,9.0867,0.0187,0.20622
2021-12-06,9.068,0.0315,0.34859
2021-12-05,9.0365,0.0171,0.18959
2021-12-02,9.0194,-0.0058,-0.06426
2021-12-01,9.0252,0.01,0.11092
2021-11-30,9.0152,-0.0792,-0.87087
2021-11-29,9.0944,0.0005,0.0055
2021-11-28,9.0939,-0.0118,-0.12959
2021-11-25,9.1057,-0.0267,-0.29237
2021-11-24,9.1324,-0.0073,-0.07987
2021-11-23,9.1397,-0.0144,-0.15731
2021-11-22,9.1541,-0.0291,-0.31688
2021-11-21,9.1832,-0.0136,-0.14788
2021-11-18,9.1968,0.0094,0.10231
2021-11-17,9.1874,0.0058,0.06317
2021-11-16,9.1816,-0.0035,-0.03811
2021-11-15,9.1851,-0.0173,-0.18799
2021-11-14,9.2024,0.0229,0.24947
2021-11-11,9.1795,0.0628,0.68885
2021-11-10,9.1167,0.02,0.21986
2021-11-09,9.0967,0.0166,0.18282
2021-11-08,9.0801,-0.028,-0.30742
2021-11-07,9.1081,0.0031,0.03405
2021-11-04,9.105,0.0066,0.07254
2021-11-03,9.0984,-0.0188,-0.2062
2021-11-02,9.1172,0.0053,0.05817
2021-11-01,9.1119,-0.0233,-0.25506
2021-10-31,9.1352,-0.1014,-1.09781
2021-10-28,9.2366,-0.0013,-0.01407
2021-10-27,9.2379,-0.015,-0.16211
2021-10-26,9.2529,0.0043,0.04649
2021-10-25,9.2486,-0.0062,-0.06699
2021-10-24,9.2548,0.0011,0.01189
2021-10-21,9.2537,0.0073,0.07895
2021-10-20,9.2464,-0.0303,-0.32662
2021-10-19,9.2767,0.0067,0.07228
2021-10-18,9.27,0.0071,0.07665
2021-10-17,9.2629,0.0652,0.70887
2021-10-14,9.1977,0.042,0.45873
2021-10-12,9.1557,0.0014,0.01529
2021-10-11,9.1543,-0.0538,-0.58427
2021-10-07,9.2081,-0.025,-0.27076
2021-10-06,9.2331,-0.0243,-0.26249
2021-10-05,9.2574,0.03,0.32512
2021-10-04,9.2274,-0.0395,-0.42625
2021-10-03,9.2669,-0.0845,-0.90361
2021-09-29,9.3514,0.0097,0.10384
2021-09-28,9.3417,-0.0101,-0.108
2021-09-27,9.3518,-0.0126,-0.13455
2021-09-26,9.3644,-0.0186,-0.19823
2021-09-23,9.383,-0.0271,-0.28799
2021-09-22,9.4101,-0.0169,-0.17927
2021-09-16,9.427,-0.0169,-0.17895
2021-09-15,9.4439,-0.0189,-0.19973
2021-09-14,9.4628,-0.006,-0.06337
2021-09-13,9.4688,0.0029,0.03064
2021-09-12,9.4659,0.0063,0.0666
2021-09-09,9.4596,0.0047,0.04971
2021-09-08,9.4549,0.0006,0.00635
2021-09-07,9.4543,0.002,0.02116
2021-09-06,9.4523,-0.0034,-0.03596
2021-09-05,9.4557,0.0048,0.05079
2021-09-02,9.4509,-0.0002,-0.00212
2021-09-01,9.4511,0.0028,0.02963
2021-08-31,9.4483,-0.0639,-0.67177
2021-08-30,9.5122,0.011,0.11577
2021-08-29,9.5012,0.0151,0.15918
2021-08-26,9.4861,0.0062,0.0654
2021-08-25,9.4799,0.014,0.1479
2021-08-24,9.4659,0.0097,0.10258
2021-08-23,9.4562,0.0172,0.18222
2021-08-22,9.439,0.007,0.07422
2021-08-19,9.432,-0.0004,-0.00424
2021-08-18,9.4324,-0.0016,-0.01696
2021-08-17,9.434,0.0015,0.0159
2021-08-16,9.4325,-0.0029,-0.03074
2021-08-15,9.4354,0.0028,0.02968
2021-08-12,9.4326,0.0195,0.20716
2021-08-11,9.4131,0.0026,0.02763
2021-08-10,9.4105,0.0146,0.15539
