tradeDate,nav,change,changePercent
2022-08-30,9.4375,0.0133,0.14113
2022-08-29,9.4242,-0.0205,-0.21705
2022-08-28,9.4447,-0.0051,-0.05397
2022-08-25,9.4498,0.0048,0.05082
2022-08-24,9.445,0.0228,0.24198
2022-08-23,9.4222,0.0143,0.152
2022-08-22,9.4079,0.0379,0.40448
2022-08-21,9.37,0.0076,0.08118
2022-08-18,9.3624,0.0092,0.09836
2022-08-17,9.3532,0.0154,0.16492
2022-08-16,9.3378,-0.0317,-0.33833
2022-08-15,9.3695,0.0581,0.62397
2022-08-14,9.3114,0.0534,0.5768
2022-08-11,9.258,0.0279,0.30227
2022-08-10,9.2301,0.0107,0.11606
2022-08-09,9.2194,0.0288,0.31336
2022-08-07,9.1906,0.0177,0.19296
2022-08-04,9.1729,0.003,0.03272
2022-08-03,9.1699,0.0118,0.12885
2022-08-02,9.1581,0.0497,0.54565
2022-08-01,9.1084,-0.0145,-0.15894
2022-07-31,9.1229,-0.0139,-0.15213
2022-07-28,9.1368,0.0105,0.11505
2022-07-27,9.1263,0.0157,0.17233
2022-07-26,9.1106,0.0034,0.03733
2022-07-25,9.1072,0.0194,0.21347
2022-07-24,9.0878,0.0249,0.27475
2022-07-21,9.0629,-0.0096,-0.10581
2022-07-20,9.0725,0.0461,0.51072
2022-07-19,9.0264,0.0236,0.26214
2022-07-18,9.0028,-0.0261,-0.28907
2022-07-17,9.0289,0.0127,0.14086
2022-07-14,9.0162,-0.0066,-0.07315
2022-07-13,9.0228,0.0018,0.01995
2022-07-12,9.021,-0.0051,-0.0565
2022-07-11,9.0261,-0.1635,-1.77919
2022-07-07,9.1896,0.0055,0.05989
2022-07-06,9.1841,-0.0015,-0.01633
2022-07-05,9.1856,-0.0385,-0.41738
2022-07-04,9.2241,-0.0115,-0.12452
2022-06-30,9.2356,-0.0281,-0.30333
2022-06-29,9.2637,-0.0225,-0.2423
2022-06-28,9.2862,-0.0353,-0.37869
2022-06-27,9.3215,-0.0152,-0.1628
2022-06-26,9.3367,0.0209,0.22435
2022-06-23,9.3158,-0.0146,-0.15648
2022-06-22,9.3304,-0.0234,-0.25017
2022-06-21,9.3538,,
2022-06-20,9.3456,0.0403,0.43309
2022-06-16,9.3053,-0.0439,-0.46956
2022-06-15,9.3492,-0.0254,-0.27094
2022-06-14,9.3746,0.0356,0.3812
2022-06-13,9.339,0.0253,0.27164
2022-06-12,9.3137,-0.0496,-0.52973
2022-06-09,9.3633,-0.0391,-0.41585
2022-06-08,9.4024,-0.0245,-0.25989
2022-06-07,9.4269,-0.0283,-0.29931
2022-06-06,9.4552,0.0007,0.0074
2022-06-05,9.4545,0.0111,0.11754
2022-06-01,9.4434,0.0229,0.24309
2022-05-31,9.4205,-0.0104,-0.11028
2022-05-30,9.4309,-0.0276,-0.2918
2022-05-26,9.4585,0.0014,0.0148
2022-05-25,9.4571,0.0229,0.24273
2022-05-24,9.4342,-0.0042,-0.0445
2022-05-23,9.4384,0.0002,0.00212
2022-05-22,9.4382,0.022,0.23364
2022-05-19,9.4162,0.0162,0.17234
2022-05-18,9.4,0.0129,0.13742
2022-05-17,9.3871,0.0372,0.39787
2022-05-16,9.3499,0.0418,0.44907
2022-05-12,9.3081,-0.0172,-0.18444
2022-05-11,9.3253,-0.0782,-0.83161
2022-05-10,9.4035,-0.0277,-0.29371
2022-05-09,9.4312,-0.0304,-0.3213
2022-05-08,9.4616,0.0184,0.19485
2022-05-05,9.4432,0.0007,0.00741
2022-05-04,9.4425,0.0207,0.2197
2022-05-03,9.4218,0.0373,0.39746
2022-04-28,9.3845,0.0303,0.32392
2022-04-27,9.3542,-0.0109,-0.11639
2022-04-26,9.3651,-0.0147,-0.15672
2022-04-25,9.3798,0.0313,0.33481
2022-04-24,9.3485,-0.0971,-1.02799
2022-04-21,9.4456,-0.0025,-0.02646
2022-04-20,9.4481,-0.025,-0.26391
2022-04-19,9.4731,-0.0033,-0.03482
2022-04-18,9.4764,-0.0037,-0.03903
2022-04-13,9.4801,0.0209,0.22095
2022-04-12,9.4592,-0.0006,-0.00634
2022-04-11,9.4598,-0.0311,-0.32768
2022-04-10,9.4909,-0.0274,-0.28787
2022-04-07,9.5183,0.0039,0.04099
2022-04-06,9.5144,-0.0276,-0.28925
2022-04-05,9.542,0.0693,0.73158
2022-03-31,9.4727,0.0186,0.19674
2022-03-30,9.4541,0.0142,0.15043
2022-03-29,9.4399,0.0638,0.68045
2022-03-28,9.3761,0.0699,0.75111
2022-03-27,9.3062,0.0892,0.96778
2022-03-24,9.217,-0.0014,-0.01519
2022-03-23,9.2184,-0.0182,-0.19704
2022-03-22,9.2366,-0.0008,-0.00866
2022-03-21,9.2374,-0.0268,-0.28929
2022-03-20,9.2642,0.0102,0.11022
2022-03-17,9.254,-0.0071,-0.07666
2022-03-16,9.2611,0.1334,1.46149
2022-03-15,9.1277,0.1206,1.33894
2022-03-14,9.0071,-0.0407,-0.44983
2022-03-13,9.0478,-0.0313,-0.34475
2022-03-10,9.0791,-0.0326,-0.35778
2022-03-09,9.1117,0.0169,0.18582
2022-03-08,9.0948,-0.0829,-0.90328
2022-03-07,9.1777,-0.0547,-0.59248
2022-03-06,9.2324,-0.0976,-1.04609
2022-03-03,9.33,-0.0465,-0.49592
2022-03-02,9.3765,-0.0303,-0.32211
2022-03-01,9.4068,-0.0945,-0.9946
2022-02-28,9.5013,-0.2242,-2.30528
2022-02-24,9.7255,-0.3624,-3.59242
2022-02-23,10.0879,-0.1827,-1.77886
2022-02-22,10.2706,-0.28,-2.65388
2022-02-21,10.5506,-0.0603,-0.56828
2022-02-17,10.6109,0.0002,0.00188
2022-02-16,10.6107,-0.0301,-0.28287
2022-02-15,10.6408,-0.0031,-0.02912
2022-02-14,10.6439,0.0103,0.09686
2022-02-13,10.6336,-0.0366,-0.34301
2022-02-10,10.6702,0.0061,0.0572
2022-02-09,10.6641,0.0321,0.30192
2022-02-08,10.632,0.0305,0.2877
2022-02-07,10.6015,0.01,0.09442
2022-02-06,10.5915,0.0102,0.0964
2022-01-27,10.5813,-0.027,-0.25452
2022-01-26,10.6083,0.0162,0.15294
2022-01-25,10.5921,0.0074,0.06991
2022-01-24,10.5847,-0.0227,-0.214
2022-01-23,10.6074,-0.0284,-0.26702
2022-01-20,10.6358,0.0235,0.22144
2022-01-19,10.6123,-0.0018,-0.01696
2022-01-18,10.6141,0.078,0.74031
2022-01-17,10.5361,0.0316,0.30082
2022-01-13,10.5045,-0.0325,-0.30844
2022-01-12,10.537,-0.0355,-0.33578
2022-01-11,10.5725,0.0012,0.01135
2022-01-10,10.5713,-0.0022,-0.02081
2022-01-09,10.5735,0.0025,0.02365
2022-01-06,10.571,0.0038,0.03596
2022-01-05,10.5672,-0.04,-0.3771
2022-01-04,10.6072,-0.0038,-0.03581
2022-01-03,10.611,0.023,0.21723
2022-01-02,10.588,0.0174,0.16461
2021-12-29,10.5706,-0.0008,-0.00757
2021-12-28,10.5714,0.0053,0.05016
2021-12-27,10.5661,0.0052,0.04924
2021-12-26,10.5609,0.0164,0.15553
2021-12-22,10.5445,0.0199,0.18908
2021-12-21,10.5246,0.0126,0.11986
2021-12-20,10.512,0.007,0.06663
2021-12-19,10.505,-0.0258,-0.245
2021-12-16,10.5308,-0.0225,-0.2132
2021-12-15,10.5533,0.0034,0.03223
2021-12-14,10.5499,-0.0154,-0.14576
2021-12-13,10.5653,-0.0259,-0.24454
2021-12-12,10.5912,-0.0222,-0.20917
2021-12-09,10.6134,0.0214,0.20204
2021-12-08,10.592,0.0095,0.08977
2021-12-07,10.5825,0.0264,0.25009
2021-12-06,10.5561,0.0473,0.4501
2021-12-05,10.5088,0.0231,0.2203
2021-12-02,10.4857,-0.0045,-0.0429
2021-12-01,10.4902,-0.0127,-0.12092
2021-11-30,10.5029,0.0129,0.12297
2021-11-29,10.49,-0.0139,-0.13233
2021-11-28,10.5039,-0.0185,-0.17582
2021-11-25,10.5224,-0.0662,-0.6252
2021-11-23,10.5886,0.0137,0.12955
2021-11-22,10.5749,-0.0317,-0.29887
2021-11-21,10.6066,0.0069,0.0651
2021-11-18,10.5997,0.0121,0.11428
2021-11-17,10.5876,0.0002,0.00189
2021-11-16,10.5874,-0.0174,-0.16408
2021-11-15,10.6048,-0.0135,-0.12714
2021-11-14,10.6183,-0.008,-0.07528
2021-11-11,10.6263,0.1016,0.96535
2021-11-09,10.5247,0.0772,0.73893
2021-11-08,10.4475,-0.0322,-0.30726
2021-11-07,10.4797,-0.0245,-0.23324
2021-11-04,10.5042,-0.06,-0.56796
2021-11-02,10.5642,0.0089,0.08432
2021-11-01,10.5553,0.0179,0.16987
2021-10-31,10.5374,-0.0251,-0.23763
2021-10-28,10.5625,-0.0056,-0.05299
2021-10-27,10.5681,-0.0045,-0.04256
2021-10-26,10.5726,0.0081,0.07667
2021-10-25,10.5645,0.0117,0.11087
2021-10-24,10.5528,-0.0136,-0.12871
2021-10-21,10.5664,0.0059,0.05587
2021-10-20,10.5605,-0.0009,-0.00852
2021-10-19,10.5614,0.0138,0.13084
2021-10-18,10.5476,-0.0252,-0.23835
2021-10-17,10.5728,0.0309,0.29312
2021-10-14,10.5419,0.0503,0.47943
2021-10-13,10.4916,0.0079,0.07536
2021-10-12,10.4837,0.0158,0.15094
2021-10-11,10.4679,-0.0395,-0.37593
2021-10-07,10.5074,-0.0273,-0.25914
2021-10-06,10.5347,0.0154,0.1464
2021-10-05,10.5193,-0.0039,-0.03706
2021-10-04,10.5232,-0.008,-0.07596
2021-10-03,10.5312,0.0022,0.02089
2021-09-30,10.529,-0.0115,-0.1091
2021-09-29,10.5405,-0.0269,-0.25456
2021-09-28,10.5674,0.0104,0.09851
2021-09-27,10.557,-0.009,-0.08518
2021-09-26,10.566,-0.0169,-0.15969
2021-09-23,10.5829,-0.0025,-0.02362
2021-09-22,10.5854,0.0135,0.1277
2021-09-21,10.5719,-0.0171,-0.16149
2021-09-16,10.589,-0.0074,-0.06984
2021-09-15,10.5964,-0.0057,-0.05376
2021-09-14,10.6021,0.0024,0.02264
2021-09-13,10.5997,0.0087,0.08215
2021-09-12,10.591,-0.0163,-0.15367
2021-09-09,10.6073,0.0,0.0
2021-09-08,10.6073,-0.002,-0.01885
2021-09-07,10.6093,-0.0013,-0.01225
2021-09-06,10.6106,0.0148,0.13968
2021-09-02,10.5958,0.0141,0.13325
2021-09-01,10.5817,-0.0132,-0.12459
2021-08-31,10.5949,-0.0064,-0.06037
2021-08-30,10.6013,-0.0012,-0.01132
2021-08-29,10.6025,0.0095,0.08968
2021-08-26,10.593,-0.0121,-0.1141
2021-08-25,10.6051,0.006,0.05661
2021-08-24,10.5991,0.019,0.17958
2021-08-23,10.5801,0.0088,0.08324
2021-08-22,10.5713,-0.0176,-0.16621
2021-08-19,10.5889,0.0204,0.19303
2021-08-18,10.5685,0.0015,0.0142
2021-08-17,10.567,0.0054,0.05113
2021-08-16,10.5616,0.0046,0.04357
2021-08-15,10.557,0.011,0.1043
2021-08-12,10.546,-0.016,-0.15149
2021-08-11,10.562,0.0074,0.07011
2021-08-10,10.5546,-0.0115,-0.10884
2021-08-09,10.5661,-0.001,-0.00946
2021-08-05,10.5671,0.0068,0.06439
2021-08-04,10.5603,0.0152,0.14414
2021-08-03,10.5451,0.0122,0.11583
2021-08-02,10.5329,-0.004,-0.03796
2021-08-01,10.5369,0.0176,0.16731
2021-07-29,10.5193,-0.002,-0.01901
2021-07-28,10.5213,0.0368,0.35099
2021-07-27,10.4845,-0.0394,-0.37439
