tradeDate,nav,change,changePercent
2022-08-30,8.6198,-0.043,-0.49638
2022-08-29,8.6628,-0.0358,-0.41156
2022-08-28,8.6986,-0.0504,-0.57607
2022-08-25,8.749,-0.0004,-0.00457
2022-08-24,8.7494,0.0249,0.2854
2022-08-23,8.7245,0.005,0.05734
2022-08-22,8.7195,-0.0124,-0.14201
2022-08-21,8.7319,-0.0699,-0.79416
2022-08-18,8.8018,-0.0785,-0.88398
2022-08-17,8.8803,0.009,0.10145
2022-08-16,8.8713,-0.074,-0.82725
2022-08-15,8.9453,-0.0094,-0.10497
2022-08-14,8.9547,-0.0197,-0.21951
2022-08-11,8.9744,0.0,0.0
2022-08-10,8.9744,0.0001,0.00111
2022-08-09,8.9743,0.051,0.57154
2022-08-08,8.9233,-0.0434,-0.48401
2022-08-07,8.9667,0.05,0.56075
2022-08-04,8.9167,-0.0578,-0.64405
2022-08-03,8.9745,0.0335,0.37468
2022-08-02,8.941,0.0433,0.48664
2022-08-01,8.8977,-0.041,-0.45868
2022-07-31,8.9387,0.0898,1.01482
2022-07-28,8.8489,0.0165,0.18681
2022-07-27,8.8324,0.1206,1.38433
2022-07-26,8.7118,-0.0007,-0.00803
2022-07-25,8.7125,-0.0074,-0.08486
2022-07-24,8.7199,0.0333,0.38335
2022-07-21,8.6866,0.1057,1.23181
2022-07-20,8.5809,0.0438,0.51305
2022-07-19,8.5371,0.0536,0.63181
2022-07-18,8.4835,0.0224,0.26474
2022-07-17,8.4611,0.017,0.20132
2022-07-14,8.4441,0.0091,0.10788
2022-07-13,8.435,-0.0629,-0.74018
2022-07-12,8.4979,0.002,0.02354
2022-07-11,8.4959,-0.0268,-0.31445
2022-07-10,8.5227,0.0018,0.02112
2022-07-07,8.5209,-0.0161,-0.18859
2022-07-06,8.537,0.0028,0.03281
2022-07-05,8.5342,0.0016,0.01875
2022-07-04,8.5326,-0.0147,-0.17198
2022-07-03,8.5473,0.0039,0.04565
2022-06-30,8.5434,0.1134,1.3452
2022-06-29,8.43,-0.0025,-0.02965
2022-06-28,8.4325,0.0066,0.07833
2022-06-27,8.4259,-0.0407,-0.48071
2022-06-26,8.4666,-0.0089,-0.10501
2022-06-23,8.4755,-0.0067,-0.07899
2022-06-22,8.4822,0.0202,0.23871
2022-06-21,8.462,,
2022-06-20,8.4388,-0.034,-0.40128
2022-06-19,8.4728,0.0015,0.01771
2022-06-16,8.4713,-0.0189,-0.22261
2022-06-15,8.4902,-0.0442,-0.5179
2022-06-14,8.5344,0.0986,1.16883
2022-06-13,8.4358,-0.0592,-0.69688
2022-06-12,8.495,-0.2138,-2.45499
2022-06-09,8.7088,-0.0613,-0.69897
2022-06-08,8.7701,-0.0249,-0.28312
2022-06-07,8.795,-0.0177,-0.20085
2022-06-06,8.8127,0.0016,0.01816
2022-06-05,8.8111,-0.0932,-1.04669
2022-06-01,8.9043,-0.0071,-0.07967
2022-05-31,8.9114,-0.0296,-0.33106
2022-05-30,8.941,-0.0612,-0.67983
2022-05-29,9.0022,0.0211,0.23494
2022-05-26,8.9811,0.0353,0.3946
2022-05-25,8.9458,0.0455,0.51122
2022-05-24,8.9003,0.0485,0.54791
2022-05-23,8.8518,0.0728,0.82925
2022-05-22,8.779,-0.0091,-0.10355
2022-05-19,8.7881,0.046,0.52619
2022-05-18,8.7421,0.002,0.02288
2022-05-17,8.7401,0.0319,0.36632
2022-05-16,8.7082,-0.0158,-0.18111
2022-05-15,8.724,-0.006,-0.06873
2022-05-12,8.73,-0.0031,-0.0355
2022-05-11,8.7331,-0.0214,-0.24445
2022-05-10,8.7545,0.0661,0.76078
2022-05-09,8.6884,-0.0056,-0.06441
2022-05-08,8.694,-0.0331,-0.37928
2022-05-05,8.7271,-0.116,-1.31176
2022-05-04,8.8431,-0.0946,-1.05844
2022-05-03,8.9377,0.0374,0.42021
2022-05-02,8.9003,-0.0891,-0.99117
2022-04-28,8.9894,-0.1018,-1.11976
2022-04-27,9.0912,-0.0054,-0.05936
2022-04-26,9.0966,-0.0495,-0.54121
2022-04-25,9.1461,0.0418,0.45912
2022-04-24,9.1043,0.0002,0.0022
2022-04-21,9.1041,-0.073,-0.79546
2022-04-20,9.1771,-0.052,-0.56344
2022-04-19,9.2291,0.0382,0.41563
2022-04-18,9.1909,-0.1078,-1.1593
2022-04-13,9.2987,-0.0287,-0.3077
2022-04-12,9.3274,0.0,0.0
2022-04-11,9.3274,-0.0326,-0.34829
2022-04-10,9.36,-0.1269,-1.33763
2022-04-07,9.4869,-0.0761,-0.79578
2022-04-06,9.563,-0.0265,-0.27634
2022-04-05,9.5895,-0.1125,-1.15955
2022-03-31,9.702,-0.009,-0.09268
2022-03-30,9.711,0.0466,0.48218
2022-03-29,9.6644,0.0589,0.61319
2022-03-28,9.6055,0.0412,0.43077
2022-03-27,9.5643,-0.0124,-0.12948
2022-03-24,9.5767,-0.0391,-0.40662
2022-03-23,9.6158,-0.0369,-0.38228
2022-03-22,9.6527,0.045,0.46837
2022-03-21,9.6077,-0.0586,-0.60623
2022-03-20,9.6663,-0.0903,-0.92553
2022-03-17,9.7566,0.0295,0.30328
2022-03-16,9.7271,-0.0056,-0.05754
2022-03-15,9.7327,0.0195,0.20076
2022-03-14,9.7132,-0.0445,-0.45605
2022-03-13,9.7577,-0.1111,-1.12577
2022-03-10,9.8688,-0.0115,-0.11639
2022-03-09,9.8803,-0.0248,-0.25038
2022-03-08,9.9051,-0.0144,-0.14517
2022-03-07,9.9195,-0.0304,-0.30553
2022-03-06,9.9499,-0.0657,-0.65598
2022-03-03,10.0156,-0.0017,-0.01697
2022-03-02,10.0173,0.0395,0.39588
2022-03-01,9.9778,-0.0851,-0.84568
2022-02-28,10.0629,0.1061,1.0656
2022-02-24,9.9568,0.0186,0.18716
2022-02-23,9.9382,-0.0111,-0.11157
2022-02-22,9.9493,-0.0733,-0.73135
2022-02-21,10.0226,0.0021,0.02096
2022-02-20,10.0205,0.0036,0.03594
2022-02-17,10.0169,0.0056,0.05594
2022-02-16,10.0113,0.0022,0.02198
2022-02-15,10.0091,0.0387,0.38815
2022-02-14,9.9704,-0.0198,-0.19819
2022-02-13,9.9902,-0.0937,-0.9292
2022-02-10,10.0839,0.0673,0.67188
2022-02-09,10.0166,-0.0659,-0.65361
2022-02-08,10.0825,0.0123,0.12214
2022-02-07,10.0702,-0.0509,-0.50291
2022-02-06,10.1211,-0.1369,-1.33457
2022-01-27,10.258,-0.0082,-0.07987
2022-01-26,10.2662,0.0294,0.2872
2022-01-25,10.2368,-0.0412,-0.40086
2022-01-24,10.278,-0.0038,-0.03696
2022-01-23,10.2818,-0.0538,-0.52053
2022-01-20,10.3356,0.0545,0.5301
2022-01-19,10.2811,0.0474,0.46318
2022-01-18,10.2337,0.0086,0.08411
2022-01-17,10.2251,-0.1054,-1.02028
2022-01-16,10.3305,0.0014,0.01355
2022-01-13,10.3291,-0.0618,-0.59475
2022-01-12,10.3909,0.0236,0.22764
2022-01-11,10.3673,-0.0185,-0.17813
2022-01-10,10.3858,0.0151,0.1456
2022-01-09,10.3707,-0.019,-0.18287
2022-01-06,10.3897,-0.038,-0.36441
2022-01-05,10.4277,-0.0582,-0.55503
2022-01-04,10.4859,-0.0546,-0.518
2022-01-03,10.5405,-0.1073,-1.00772
2021-12-29,10.6478,0.0244,0.22968
2021-12-28,10.6234,0.0021,0.01977
2021-12-23,10.6213,-0.0002,-0.00188
2021-12-22,10.6215,-0.0227,-0.21326
2021-12-21,10.6442,-0.0145,-0.13604
2021-12-20,10.6587,0.0365,0.34362
2021-12-19,10.6222,-0.0271,-0.25448
2021-12-16,10.6493,0.0152,0.14294
2021-12-15,10.6341,0.0139,0.13088
2021-12-14,10.6202,-0.0237,-0.22266
2021-12-13,10.6439,0.0003,0.00282
2021-12-12,10.6436,0.0433,0.40848
2021-12-09,10.6003,-0.0047,-0.04432
2021-12-08,10.605,0.0212,0.20031
2021-12-07,10.5838,-0.0249,-0.23471
2021-12-06,10.6087,-0.0179,-0.16845
2021-12-05,10.6266,-0.006,-0.05643
2021-12-02,10.6326,0.0133,0.12524
2021-12-01,10.6193,0.0235,0.22179
2021-11-30,10.5958,0.0656,0.62297
2021-11-29,10.5302,0.049,0.4675
2021-11-28,10.4812,0.0021,0.02004
2021-11-25,10.4791,-0.0233,-0.22185
2021-11-24,10.5024,0.0015,0.01428
2021-11-23,10.5009,0.0265,0.253
2021-11-22,10.4744,-0.0751,-0.71188
2021-11-21,10.5495,-0.0343,-0.32408
2021-11-18,10.5838,0.0198,0.18743
2021-11-17,10.564,0.0025,0.02367
2021-11-16,10.5615,0.0318,0.302
2021-11-15,10.5297,-0.0467,-0.44155
2021-11-14,10.5764,-0.0059,-0.05575
2021-11-11,10.5823,-0.0291,-0.27423
2021-11-10,10.6114,-0.0036,-0.03391
2021-11-09,10.615,-0.0421,-0.39504
2021-11-08,10.6571,0.0361,0.33989
2021-11-07,10.621,0.0077,0.07255
2021-11-04,10.6133,0.0606,0.57426
2021-11-03,10.5527,0.0528,0.50286
