tradeDate,nav,change,changePercent
2022-08-31,10.48,-0.03,-0.28544
2022-08-30,10.51,-0.07,-0.66163
2022-08-29,10.58,-0.05,-0.47037
2022-08-28,10.63,-0.02,-0.18779
2022-08-25,10.65,-0.05,-0.46729
2022-08-24,10.7,0.07,0.65851
2022-08-23,10.63,0.05,0.47259
2022-08-22,10.58,-0.12,-1.1215
2022-08-21,10.7,-0.08,-0.74212
2022-08-18,10.78,-0.04,-0.36969
2022-08-17,10.82,0.01,0.09251
2022-08-16,10.81,-0.06,-0.55198
2022-08-15,10.87,-0.01,-0.09191
2022-08-14,10.88,0.0,0.0
2022-08-11,10.88,0.03,0.2765
2022-08-10,10.85,0.01,0.09225
2022-08-09,10.84,0.06,0.55659
2022-08-08,10.78,-0.07,-0.64516
2022-08-07,10.85,0.02,0.18467
2022-08-04,10.83,-0.08,-0.73327
2022-08-03,10.91,0.01,0.09174
2022-08-02,10.9,0.07,0.64635
2022-08-01,10.83,0.11,1.02612
2022-07-31,10.72,0.03,0.28064
2022-07-28,10.69,0.09,0.84906
2022-07-27,10.6,0.06,0.56926
2022-07-26,10.54,0.02,0.19011
2022-07-25,10.52,-0.01,-0.09497
2022-07-24,10.53,0.02,0.19029
2022-07-21,10.51,0.04,0.38204
2022-07-20,10.47,0.02,0.19139
2022-07-19,10.45,0.03,0.28791
2022-07-18,10.42,0.03,0.28874
2022-07-17,10.39,0.02,0.19286
2022-07-14,10.37,0.04,0.38722
2022-07-13,10.33,0.0,0.0
2022-07-12,10.33,-0.02,-0.19324
2022-07-11,10.35,-0.01,-0.09653
2022-07-10,10.36,0.02,0.19342
2022-07-07,10.34,0.05,0.48591
2022-07-06,10.29,0.04,0.39024
2022-07-05,10.25,0.0,0.0
2022-07-04,10.25,-0.06,-0.58196
2022-06-30,10.31,0.08,0.78201
2022-06-29,10.23,-0.03,-0.2924
2022-06-28,10.26,-0.02,-0.19455
2022-06-27,10.28,0.01,0.09737
2022-06-26,10.27,0.01,0.09747
2022-06-23,10.26,0.05,0.48972
2022-06-22,10.21,0.01,0.09804
2022-06-21,10.2,0.02,0.19646
2022-06-20,10.18,0.07,0.69238
2022-06-16,10.11,-0.03,-0.29586
2022-06-15,10.14,-0.14,-1.36187
2022-06-14,10.28,0.1,0.98232
2022-06-13,10.18,-0.03,-0.29383
2022-06-12,10.21,-0.25,-2.39006
2022-06-09,10.46,-0.14,-1.32075
2022-06-08,10.6,-0.07,-0.65604
2022-06-07,10.67,-0.02,-0.18709
2022-06-06,10.69,0.02,0.18744
2022-06-05,10.67,-0.02,-0.18709
2022-06-01,10.69,0.0,0.0
2022-05-31,10.69,-0.02,-0.18674
2022-05-30,10.71,0.0,0.0
2022-05-26,10.71,0.13,1.22873
2022-05-25,10.58,0.08,0.7619
2022-05-24,10.5,0.1,0.96154
2022-05-23,10.4,0.03,0.2893
2022-05-22,10.37,0.02,0.19324
2022-05-19,10.35,-0.01,-0.09653
2022-05-18,10.36,0.02,0.19342
2022-05-17,10.34,0.0,0.0
2022-05-16,10.34,-0.03,-0.2893
2022-05-15,10.37,0.03,0.29014
2022-05-12,10.34,0.04,0.38835
2022-05-11,10.3,-0.04,-0.38685
2022-05-10,10.34,0.01,0.09681
2022-05-09,10.33,0.0,0.0
2022-05-08,10.33,-0.12,-1.14833
2022-05-05,10.45,-0.09,-0.85389
2022-05-04,10.54,-0.07,-0.65975
2022-05-03,10.61,0.11,1.04762
2022-05-02,10.5,-0.14,-1.31579
2022-04-28,10.64,-0.03,-0.28116
2022-04-27,10.67,0.09,0.85066
2022-04-26,10.58,-0.1,-0.93633
2022-04-25,10.68,-0.05,-0.46598
2022-04-24,10.73,-0.01,-0.09311
2022-04-21,10.74,-0.05,-0.46339
