tradeDate,nav,change,changePercent
2022-08-30,10.4736,0.0195,0.18653
2022-08-29,10.4541,0.0078,0.07467
2022-08-28,10.4463,-0.027,-0.2578
2022-08-25,10.4733,0.0623,0.59841
2022-08-24,10.411,0.0171,0.16452
2022-08-23,10.3939,0.0105,0.10112
2022-08-22,10.3834,0.0196,0.18912
2022-08-21,10.3638,0.02,0.19335
2022-08-18,10.3438,0.0292,0.28309
2022-08-17,10.3146,0.0061,0.05917
2022-08-16,10.3085,-0.0046,-0.0446
2022-08-15,10.3131,0.0686,0.66963
2022-08-14,10.2445,0.0226,0.22109
2022-08-11,10.2219,0.0304,0.29829
2022-08-10,10.1915,-0.0111,-0.1088
2022-08-09,10.2026,0.008,0.07847
2022-08-08,10.1946,-0.0334,-0.32655
2022-08-07,10.228,-0.0139,-0.13572
2022-08-04,10.2419,-0.0093,-0.09072
2022-08-03,10.2512,-0.0234,-0.22775
2022-08-02,10.2746,0.0015,0.0146
2022-08-01,10.2731,-0.0092,-0.08947
2022-07-31,10.2823,-0.0111,-0.10784
2022-07-28,10.2934,0.0385,0.37543
2022-07-27,10.2549,0.0128,0.12497
2022-07-26,10.2421,0.0166,0.16234
2022-07-25,10.2255,0.0299,0.29326
2022-07-24,10.1956,0.0136,0.13357
2022-07-21,10.182,0.0201,0.1978
2022-07-20,10.1619,0.0262,0.25849
2022-07-19,10.1357,-0.0152,-0.14974
2022-07-18,10.1509,-0.0046,-0.0453
2022-07-17,10.1555,0.0098,0.09659
2022-07-14,10.1457,-0.0004,-0.00394
2022-07-13,10.1461,-0.0147,-0.14467
2022-07-12,10.1608,-0.0226,-0.22193
2022-07-11,10.1834,-0.0573,-0.55953
2022-07-10,10.2407,-0.0564,-0.54773
2022-07-07,10.2971,0.0182,0.17706
2022-07-06,10.2789,-0.0382,-0.37026
2022-07-05,10.3171,-0.0341,-0.32943
2022-07-04,10.3512,-0.0344,-0.33123
2022-07-03,10.3856,-0.0696,-0.6657
2022-06-30,10.4552,0.0655,0.63043
2022-06-29,10.3897,0.0127,0.12239
2022-06-28,10.377,-0.0071,-0.06837
2022-06-27,10.3841,-0.0077,-0.0741
2022-06-26,10.3918,-0.0194,-0.18634
2022-06-23,10.4112,-0.0217,-0.208
2022-06-22,10.4329,-0.0486,-0.46367
2022-06-21,10.4815,,
2022-06-20,10.4957,-0.0195,-0.18545
2022-06-19,10.5152,-0.0165,-0.15667
2022-06-16,10.5317,0.0235,0.22363
2022-06-15,10.5082,-0.0131,-0.12451
2022-06-14,10.5213,0.0223,0.2124
2022-06-13,10.499,-0.0445,-0.42206
2022-06-12,10.5435,-0.1084,-1.01766
2022-06-09,10.6519,-0.0064,-0.06005
2022-06-08,10.6583,-0.0424,-0.39624
2022-06-07,10.7007,-0.0082,-0.07657
2022-06-06,10.7089,0.0038,0.0355
2022-06-05,10.7051,-0.0224,-0.20881
2022-06-01,10.7275,-0.009,-0.08383
2022-05-31,10.7365,-0.0317,-0.29439
2022-05-30,10.7682,0.011,0.10226
2022-05-29,10.7572,-0.0128,-0.11885
2022-05-26,10.77,-0.0156,-0.14464
2022-05-25,10.7856,0.0211,0.19601
2022-05-24,10.7645,0.0066,0.06135
2022-05-23,10.7579,-0.0003,-0.00279
2022-05-22,10.7582,-0.0162,-0.15036
2022-05-19,10.7744,0.0337,0.31376
2022-05-18,10.7407,0.0168,0.15666
2022-05-17,10.7239,-0.0294,-0.2734
2022-05-16,10.7533,0.0422,0.39398
2022-05-15,10.7111,-0.0115,-0.10725
2022-05-12,10.7226,0.0072,0.06719
2022-05-11,10.7154,-0.0323,-0.30053
2022-05-10,10.7477,-0.0258,-0.23948
2022-05-09,10.7735,-0.0188,-0.1742
2022-05-08,10.7923,-0.0321,-0.29655
2022-05-05,10.8244,0.0188,0.17398
2022-05-04,10.8056,-0.0142,-0.13124
2022-05-03,10.8198,-0.0178,-0.16424
2022-05-02,10.8376,-0.0132,-0.12165
2022-04-28,10.8508,0.0451,0.41737
2022-04-27,10.8057,0.0302,0.28027
2022-04-26,10.7755,0.0085,0.07894
2022-04-25,10.767,0.0006,0.00557
2022-04-24,10.7664,-0.0318,-0.29449
2022-04-21,10.7982,0.0365,0.33917
2022-04-20,10.7617,-0.0179,-0.16605
2022-04-19,10.7796,-0.0059,-0.0547
2022-04-18,10.7855,-0.0217,-0.20079
2022-04-13,10.8072,0.0445,0.41347
2022-04-12,10.7627,-0.0025,-0.02322
2022-04-11,10.7652,-0.0465,-0.43009
2022-04-10,10.8117,-0.095,-0.87102
2022-04-07,10.9067,-0.0044,-0.04033
2022-04-06,10.9111,0.0139,0.12756
2022-04-05,10.8972,0.1471,1.36836
2022-03-31,10.7501,0.0678,0.63469
2022-03-30,10.6823,0.047,0.44192
2022-03-29,10.6353,0.1047,0.99425
2022-03-28,10.5306,0.0899,0.86105
2022-03-27,10.4407,-0.0026,-0.0249
2022-03-24,10.4433,0.0089,0.08529
2022-03-23,10.4344,-0.0233,-0.2228
2022-03-22,10.4577,0.0455,0.43699
2022-03-21,10.4122,-0.006,-0.05759
2022-03-20,10.4182,-0.0108,-0.10356
2022-03-17,10.429,0.0792,0.76523
2022-03-16,10.3498,0.1489,1.45968
2022-03-15,10.2009,-0.0103,-0.10087
2022-03-14,10.2112,-0.0883,-0.85732
2022-03-13,10.2995,-0.104,-0.99966
2022-03-10,10.4035,-0.0257,-0.24642
2022-03-09,10.4292,-0.019,-0.18185
2022-03-08,10.4482,-0.067,-0.63717
2022-03-07,10.5152,-0.0796,-0.75131
2022-03-06,10.5948,-0.1179,-1.10056
2022-03-03,10.7127,0.0172,0.16082
2022-03-02,10.6955,-0.067,-0.62253
2022-03-01,10.7625,-0.0517,-0.47808
2022-02-28,10.8142,-0.0661,-0.60752
2022-02-24,10.8803,-0.0311,-0.28502
2022-02-23,10.9114,-0.073,-0.66458
2022-02-22,10.9844,-0.0012,-0.01092
2022-02-21,10.9856,-0.0297,-0.26962
2022-02-20,11.0153,-0.0143,-0.12965
2022-02-17,11.0296,0.0825,0.75362
2022-02-16,10.9471,-0.0364,-0.33141
2022-02-15,10.9835,-0.0167,-0.15182
2022-02-14,11.0002,-0.059,-0.53349
2022-02-13,11.0592,-0.0551,-0.49576
2022-02-10,11.1143,0.0232,0.20918
2022-02-09,11.0911,0.0133,0.12006
2022-02-08,11.0778,0.0125,0.11297
2022-02-07,11.0653,-0.0355,-0.3198
2022-02-06,11.1008,-0.0694,-0.6213
2022-01-27,11.1702,-0.0179,-0.15999
2022-01-26,11.1881,-0.0464,-0.41301
2022-01-25,11.2345,0.0116,0.10336
2022-01-24,11.2229,0.0207,0.18479
2022-01-23,11.2022,0.0212,0.18961
2022-01-20,11.181,0.0662,0.5956
2022-01-19,11.1148,0.0865,0.78435
2022-01-18,11.0283,0.0895,0.81819
2022-01-17,10.9388,-0.0808,-0.73324
2022-01-16,11.0196,-0.0489,-0.44179
2022-01-13,11.0685,-0.0178,-0.16056
2022-01-12,11.0863,-0.0564,-0.50616
2022-01-11,11.1427,-0.0645,-0.57552
2022-01-10,11.2072,-0.0405,-0.36007
2022-01-09,11.2477,-0.038,-0.33671
2022-01-06,11.2857,0.0121,0.10733
2022-01-05,11.2736,-0.0735,-0.64774
2022-01-04,11.3471,-0.0214,-0.18824
2022-01-03,11.3685,-0.0241,-0.21154
2022-01-02,11.3926,0.0021,0.01844
2021-12-29,11.3905,0.0063,0.05534
2021-12-28,11.3842,0.0051,0.04482
2021-12-27,11.3791,0.0155,0.1364
2021-12-26,11.3636,-0.0205,-0.18008
2021-12-23,11.3841,0.0347,0.30574
2021-12-22,11.3494,-0.006,-0.05284
2021-12-21,11.3554,0.0122,0.10755
2021-12-20,11.3432,-0.0158,-0.1391
2021-12-19,11.359,-0.0614,-0.53763
2021-12-16,11.4204,0.0324,0.28451
2021-12-15,11.388,-0.0056,-0.04915
2021-12-14,11.3936,-0.0204,-0.17873
2021-12-13,11.414,-0.0148,-0.1295
2021-12-12,11.4288,-0.012,-0.10489
2021-12-09,11.4408,0.06,0.5272
2021-12-08,11.3808,0.0412,0.36333
2021-12-07,11.3396,0.0423,0.37443
2021-12-06,11.2973,0.0138,0.1223
2021-12-05,11.2835,-0.0066,-0.05846
2021-12-02,11.2901,0.0022,0.01949
2021-12-01,11.2879,-0.0118,-0.10443
2021-11-30,11.2997,-0.0319,-0.28151
2021-11-29,11.3316,0.0181,0.15999
2021-11-28,11.3135,-0.0634,-0.55727
2021-11-25,11.3769,0.0188,0.16552
2021-11-24,11.3581,-0.0168,-0.14769
2021-11-23,11.3749,-0.0224,-0.19654
2021-11-22,11.3973,-0.0169,-0.14806
2021-11-21,11.4142,-0.0122,-0.10677
2021-11-18,11.4264,0.0539,0.47395
2021-11-17,11.3725,0.0237,0.20883
2021-11-16,11.3488,0.0039,0.03438
2021-11-15,11.3449,-0.0062,-0.05462
2021-11-14,11.3511,0.1082,0.96239
2021-11-11,11.2429,0.1794,1.62155
