tradeDate,nav,change,changePercent
2022-08-30,9.7009,-0.0231,-0.23756
2022-08-29,9.724,0.0266,0.2743
2022-08-28,9.6974,0.0458,0.47453
2022-08-25,9.6516,0.0238,0.2472
2022-08-24,9.6278,-0.0026,-0.027
2022-08-23,9.6304,0.0325,0.33862
2022-08-22,9.5979,0.0495,0.51841
2022-08-21,9.5484,0.0153,0.16049
2022-08-18,9.5331,0.0053,0.05563
2022-08-17,9.5278,0.0042,0.0441
2022-08-16,9.5236,-0.0158,-0.16563
2022-08-15,9.5394,0.0233,0.24485
2022-08-14,9.5161,0.0403,0.42529
2022-08-11,9.4758,0.0111,0.11728
2022-08-10,9.4647,0.0091,0.09624
2022-08-09,9.4556,0.0037,0.03915
2022-08-08,9.4519,-0.0845,-0.88608
2022-08-07,9.5364,0.0157,0.1649
2022-08-04,9.5207,-0.0254,-0.26608
2022-08-03,9.5461,0.0036,0.03773
2022-08-02,9.5425,-0.01,-0.10468
2022-08-01,9.5525,-0.0048,-0.05022
2022-07-31,9.5573,0.0066,0.0691
2022-07-28,9.5507,0.0152,0.1594
2022-07-27,9.5355,0.0173,0.18176
2022-07-26,9.5182,0.0093,0.0978
2022-07-25,9.5089,-0.0006,-0.00631
2022-07-24,9.5095,0.0126,0.13267
2022-07-21,9.4969,0.0108,0.11385
2022-07-20,9.4861,0.0182,0.19223
2022-07-19,9.4679,-0.0018,-0.01901
2022-07-18,9.4697,-0.0095,-0.10022
2022-07-17,9.4792,-0.0342,-0.35949
2022-07-14,9.5134,0.0259,0.27299
2022-07-13,9.4875,-0.017,-0.17886
2022-07-12,9.5045,-0.0279,-0.29269
2022-07-11,9.5324,-0.0026,-0.02727
2022-07-10,9.535,-0.003,-0.03145
2022-07-07,9.538,-0.0111,-0.11624
2022-07-06,9.5491,-0.0118,-0.12342
2022-07-05,9.5609,-0.0069,-0.07212
2022-07-04,9.5678,-0.0125,-0.13048
2022-06-30,9.5803,0.0157,0.16415
2022-06-29,9.5646,0.0145,0.15183
2022-06-28,9.5501,-0.0134,-0.14012
2022-06-27,9.5635,-0.0007,-0.00732
2022-06-26,9.5642,-0.0305,-0.31788
2022-06-23,9.5947,-0.0191,-0.19867
2022-06-22,9.6138,0.0049,0.05099
2022-06-21,9.6089,,
2022-06-20,9.5825,0.0027,0.02818
2022-06-16,9.5798,-0.0193,-0.20106
2022-06-15,9.5991,-0.0031,-0.03228
2022-06-14,9.6022,0.0296,0.30922
2022-06-13,9.5726,-0.0333,-0.34666
2022-06-12,9.6059,-0.0042,-0.0437
2022-06-09,9.6101,-0.0105,-0.10914
2022-06-08,9.6206,-0.0055,-0.05714
2022-06-07,9.6261,-0.0056,-0.05814
2022-06-06,9.6317,0.0251,0.26128
2022-06-05,9.6066,0.0105,0.10942
2022-06-01,9.5961,0.0414,0.43329
2022-05-31,9.5547,0.0745,0.78585
2022-05-30,9.4802,-0.0943,-0.98491
2022-05-26,9.5745,-0.0568,-0.58974
2022-05-25,9.6313,-0.0009,-0.00934
2022-05-24,9.6322,-0.0428,-0.44238
2022-05-23,9.675,0.0012,0.0124
2022-05-22,9.6738,-0.0059,-0.06095
2022-05-19,9.6797,-0.0249,-0.25658
2022-05-18,9.7046,0.0358,0.37026
2022-05-17,9.6688,-0.0033,-0.03412
2022-05-16,9.6721,-0.0335,-0.34516
2022-05-15,9.7056,-0.005,-0.05149
2022-05-12,9.7106,-0.0062,-0.06381
2022-05-11,9.7168,0.1907,2.00187
2022-05-10,9.5261,0.0202,0.2125
2022-05-09,9.5059,-0.026,-0.27277
2022-05-08,9.5319,0.0092,0.09661
2022-05-05,9.5227,0.0369,0.389
2022-05-04,9.4858,0.0103,0.1087
2022-05-03,9.4755,0.0042,0.04434
2022-05-02,9.4713,0.0142,0.15015
2022-04-28,9.4571,0.0055,0.05819
2022-04-27,9.4516,0.0431,0.4581
2022-04-26,9.4085,0.027,0.2878
2022-04-25,9.3815,-0.0171,-0.18194
2022-04-24,9.3986,0.0293,0.31272
2022-04-21,9.3693,0.0134,0.14323
2022-04-20,9.3559,-0.0218,-0.23247
2022-04-19,9.3777,0.0034,0.03627
2022-04-18,9.3743,-0.0016,-0.01707
2022-04-17,9.3759,0.0506,0.54261
2022-04-13,9.3253,-0.0253,-0.27057
2022-04-12,9.3506,-0.0285,-0.30387
2022-04-11,9.3791,0.0225,0.24047
2022-04-10,9.3566,0.018,0.19275
2022-04-07,9.3386,0.0077,0.08252
2022-04-06,9.3309,-0.0059,-0.06319
2022-04-05,9.3368,0.084,0.90783
2022-03-31,9.2528,0.0434,0.47126
2022-03-30,9.2094,0.0479,0.52284
2022-03-29,9.1615,-0.0168,-0.18304
2022-03-28,9.1783,0.032,0.34987
2022-03-27,9.1463,0.0358,0.39295
2022-03-24,9.1105,-0.0003,-0.00329
