tradeDate,nav,change,changePercent
2022-09-01,24.37,-0.28,-1.1359
2022-08-31,24.65,-0.65,-2.56917
2022-08-30,25.3,0.35,1.40281
2022-08-29,24.95,0.16,0.64542
2022-08-28,24.79,-0.7,-2.74617
2022-08-25,25.49,0.13,0.51262
2022-08-24,25.36,0.25,0.99562
2022-08-23,25.11,0.0,0.0
2022-08-22,25.11,-0.32,-1.25836
2022-08-21,25.43,-0.45,-1.73879
2022-08-18,25.88,-0.08,-0.30817
2022-08-17,25.96,-0.18,-0.6886
2022-08-16,26.14,-0.03,-0.11464
2022-08-15,26.17,0.19,0.73133
2022-08-11,25.98,0.09,0.34762
2022-08-10,25.89,0.53,2.08991
2022-08-09,25.36,-0.41,-1.591
2022-08-08,25.77,-0.02,-0.07755
2022-08-07,25.79,-0.21,-0.80769
2022-08-04,26.0,0.42,1.64191
2022-08-03,25.58,0.09,0.35308
2022-08-02,25.49,0.18,0.71118
2022-08-01,25.31,-0.29,-1.13281
2022-07-31,25.6,-0.05,-0.19493
2022-07-28,25.65,0.12,0.47004
2022-07-27,25.53,0.16,0.63067
2022-07-26,25.37,0.11,0.43547
2022-07-25,25.26,-0.03,-0.11862
2022-07-24,25.29,-0.11,-0.43307
2022-07-21,25.4,-0.16,-0.62598
2022-07-20,25.56,0.48,1.91388
2022-07-19,25.08,0.18,0.72289
2022-07-18,24.9,-0.17,-0.6781
2022-07-17,25.07,0.25,1.00725
2022-07-14,24.82,0.42,1.72131
2022-07-13,24.4,0.07,0.28771
2022-07-12,24.33,0.55,2.31287
2022-07-11,23.78,-0.47,-1.93814
2022-07-10,24.25,-0.22,-0.89906
2022-07-07,24.47,0.23,0.94884
2022-07-06,24.24,0.75,3.19285
2022-07-05,23.49,-0.4,-1.67434
2022-07-04,23.89,0.31,1.31467
2022-07-03,23.58,-0.07,-0.29598
2022-06-30,23.65,-0.72,-2.95445
2022-06-29,24.37,-0.64,-2.55898
2022-06-28,25.01,-0.44,-1.72888
2022-06-27,25.45,-0.04,-0.15692
2022-06-26,25.49,0.44,1.75649
2022-06-23,25.05,0.31,1.25303
2022-06-22,24.74,,
2022-06-21,25.04,-0.78,-3.02091
2022-06-20,25.82,0.41,1.61354
2022-06-19,25.41,-0.29,-1.1284
2022-06-16,25.7,-0.41,-1.57028
2022-06-15,26.11,-0.06,-0.22927
2022-06-14,26.17,-0.32,-1.208
2022-06-13,26.49,-0.12,-0.45096
2022-06-12,26.61,-0.89,-3.23636
2022-06-09,27.5,-0.45,-1.61002
2022-06-08,27.95,-0.04,-0.14291
2022-06-07,27.99,0.29,1.04693
2022-06-06,27.7,-0.37,-1.31813
2022-06-01,28.07,-0.34,-1.19676
2022-05-30,28.41,0.26,0.92362
2022-05-29,28.15,0.61,2.21496
2022-05-26,27.54,0.5,1.84911
2022-05-25,27.04,-0.35,-1.27784
2022-05-24,27.39,0.19,0.69853
2022-05-23,27.2,-0.58,-2.08783
2022-05-22,27.78,-0.01,-0.03598
2022-05-19,27.79,0.31,1.12809
2022-05-18,27.48,-0.5,-1.78699
2022-05-17,27.98,0.36,1.3034
2022-05-16,27.62,0.43,1.58146
