tradeDate,nav,change,changePercent
2022-08-30,9.4224,-0.0147,-0.15577
2022-08-29,9.4371,0.014,0.14857
2022-08-28,9.4231,-0.0216,-0.2287
2022-08-25,9.4447,0.0622,0.66294
2022-08-24,9.3825,0.0304,0.32506
2022-08-23,9.3521,0.0184,0.19714
2022-08-22,9.3337,0.0143,0.15344
2022-08-21,9.3194,0.0206,0.22153
2022-08-18,9.2988,0.0076,0.0818
2022-08-17,9.2912,0.0022,0.02368
2022-08-16,9.289,-0.0243,-0.26092
2022-08-15,9.3133,0.0634,0.68541
2022-08-14,9.2499,0.0314,0.34062
2022-08-11,9.2185,0.0052,0.05644
2022-08-10,9.2133,0.0098,0.10648
2022-08-09,9.2035,0.0207,0.22542
2022-08-08,9.1828,-0.0333,-0.36132
2022-08-07,9.2161,0.0102,0.1108
2022-08-04,9.2059,-0.0277,-0.29999
2022-08-03,9.2336,-0.0208,-0.22476
2022-08-02,9.2544,-0.0181,-0.1952
2022-08-01,9.2725,-0.0187,-0.20127
2022-07-31,9.2912,0.0189,0.20383
2022-07-28,9.2723,0.0383,0.41477
2022-07-27,9.234,0.0153,0.16597
2022-07-26,9.2187,-0.0031,-0.03362
2022-07-25,9.2218,0.0263,0.28601
2022-07-24,9.1955,0.0028,0.03046
2022-07-21,9.1927,0.0517,0.56558
2022-07-20,9.141,0.0095,0.10404
2022-07-19,9.1315,-0.0203,-0.22181
2022-07-18,9.1518,-0.0257,-0.28003
2022-07-17,9.1775,0.0054,0.05887
2022-07-14,9.1721,0.0346,0.37866
2022-07-13,9.1375,-0.0202,-0.22058
2022-07-12,9.1577,-0.0138,-0.15047
2022-07-11,9.1715,-0.0579,-0.62734
2022-07-10,9.2294,-0.0301,-0.32507
2022-07-07,9.2595,-0.0205,-0.22091
2022-07-06,9.28,-0.0354,-0.38002
2022-07-05,9.3154,-0.0455,-0.48606
2022-07-04,9.3609,-0.0399,-0.42443
2022-07-03,9.4008,-0.0009,-0.00957
2022-06-30,9.4017,-0.0032,-0.03402
2022-06-29,9.4049,0.0016,0.01702
2022-06-28,9.4033,-0.0155,-0.16456
2022-06-27,9.4188,-0.0083,-0.08804
2022-06-26,9.4271,-0.0286,-0.30246
2022-06-23,9.4557,-0.0078,-0.08242
2022-06-22,9.4635,-0.0469,-0.49314
2022-06-21,9.5104,,
2022-06-20,9.5291,-0.0115,-0.12054
2022-06-19,9.5406,-0.018,-0.18831
2022-06-16,9.5586,0.0198,0.20757
2022-06-15,9.5388,-0.0124,-0.12983
2022-06-14,9.5512,0.019,0.19932
2022-06-13,9.5322,-0.0414,-0.43244
2022-06-12,9.5736,-0.11,-1.13594
2022-06-09,9.6836,-0.0414,-0.42571
2022-06-08,9.725,-0.0362,-0.37086
2022-06-07,9.7612,-0.0077,-0.07882
2022-06-06,9.7689,0.0034,0.03482
2022-06-05,9.7655,-0.0113,-0.11558
2022-06-01,9.7768,-0.0082,-0.0838
2022-05-31,9.785,-0.0233,-0.23755
2022-05-30,9.8083,0.0012,0.01224
2022-05-29,9.8071,-0.0111,-0.11306
2022-05-26,9.8182,-0.005,-0.0509
2022-05-25,9.8232,0.0146,0.14885
2022-05-24,9.8086,0.0087,0.08878
2022-05-23,9.7999,0.006,0.06126
2022-05-22,9.7939,0.0009,0.00919
2022-05-19,9.793,0.0247,0.25286
2022-05-18,9.7683,0.0124,0.1271
2022-05-17,9.7559,-0.02,-0.20458
2022-05-16,9.7759,-0.0231,-0.23574
