tradeDate,nav,change,changePercent
2022-08-31,7.7465,-0.0186,-0.23953
2022-08-30,7.7651,0.0033,0.04252
2022-08-29,7.7618,-0.0054,-0.06952
2022-08-28,7.7672,-0.0176,-0.22608
2022-08-25,7.7848,0.01,0.12862
2022-08-24,7.7748,0.0137,0.17652
2022-08-23,7.7611,0.006,0.07737
2022-08-22,7.7551,0.0215,0.27801
2022-08-21,7.7336,-0.0348,-0.44797
2022-08-18,7.7684,-0.027,-0.34636
2022-08-17,7.7954,-0.0061,-0.07819
2022-08-16,7.8015,-0.0218,-0.27865
2022-08-15,7.8233,0.0055,0.07035
2022-08-14,7.8178,0.0025,0.03199
2022-08-11,7.8153,0.0093,0.11914
2022-08-10,7.806,0.0018,0.02306
2022-08-09,7.8042,0.0128,0.16428
2022-08-08,7.7914,-0.0018,-0.0231
2022-08-07,7.7932,0.0195,0.25085
2022-08-04,7.7737,-0.008,-0.10281
2022-08-03,7.7817,0.0093,0.11965
2022-08-02,7.7724,0.0091,0.11722
2022-08-01,7.7633,-0.0103,-0.1325
2022-07-31,7.7736,0.028,0.3615
2022-07-28,7.7456,0.0327,0.42397
2022-07-27,7.7129,0.0399,0.52001
2022-07-26,7.673,0.0108,0.14095
2022-07-25,7.6622,0.0116,0.15162
2022-07-24,7.6506,0.0196,0.25685
2022-07-21,7.631,0.0237,0.31154
2022-07-20,7.6073,0.031,0.40917
2022-07-19,7.5763,0.0159,0.21031
2022-07-18,7.5604,-0.0126,-0.16638
2022-07-17,7.573,-0.0069,-0.09103
2022-07-14,7.5799,-0.0019,-0.02506
2022-07-13,7.5818,-0.0245,-0.3221
2022-07-12,7.6063,-0.0291,-0.38112
2022-07-11,7.6354,-0.0432,-0.5626
2022-07-10,7.6786,-0.0145,-0.18848
2022-07-07,7.6931,-0.0106,-0.1376
2022-07-06,7.7037,-0.0112,-0.14517
2022-07-05,7.7149,-0.1316,-1.67718
2022-07-04,7.8465,-0.0195,-0.2479
2022-06-30,7.866,0.0102,0.12984
2022-06-29,7.8558,-0.0127,-0.1614
2022-06-28,7.8685,-0.0157,-0.19913
2022-06-27,7.8842,-0.0217,-0.27448
2022-06-26,7.9059,-0.0025,-0.03161
2022-06-23,7.9084,0.0012,0.01518
2022-06-22,7.9072,-0.008,-0.10107
2022-06-21,7.9152,-0.0057,-0.07196
2022-06-20,7.9209,-0.012,-0.15127
2022-06-16,7.9329,-0.0142,-0.17868
2022-06-15,7.9471,-0.0087,-0.10935
2022-06-14,7.9558,0.0148,0.18637
2022-06-13,7.941,-0.0357,-0.44755
2022-06-12,7.9767,-0.0785,-0.97453
2022-06-09,8.0552,-0.0362,-0.44739
2022-06-08,8.0914,-0.0119,-0.14685
2022-06-07,8.1033,-0.0026,-0.03208
2022-06-06,8.1059,0.0043,0.05308
2022-06-05,8.1016,-0.007,-0.08633
2022-06-01,8.1086,0.0052,0.06417
2022-05-31,8.1034,0.0007,0.00864
2022-05-30,8.1027,-0.0043,-0.05304
2022-05-26,8.107,0.0097,0.11979
2022-05-25,8.0973,0.0273,0.33829
2022-05-24,8.07,0.0272,0.33819
2022-05-23,8.0428,0.0185,0.23055
2022-05-22,8.0243,0.0006,0.00748
2022-05-19,8.0237,-0.0058,-0.07223
2022-05-18,8.0295,-0.0097,-0.12066
2022-05-17,8.0392,-0.0034,-0.04227
2022-05-16,8.0426,-0.0174,-0.21588
2022-05-15,8.06,0.0043,0.05338
2022-05-12,8.0557,0.0001,0.00124
2022-05-11,8.0556,-0.0112,-0.13884
2022-05-10,8.0668,-0.0012,-0.01487
2022-05-09,8.068,-0.0097,-0.12008
2022-05-08,8.0777,-0.0142,-0.17548
2022-05-05,8.0919,-0.0192,-0.23671
2022-05-04,8.1111,-0.0145,-0.17845
2022-05-03,8.1256,0.0174,0.2146
2022-05-02,8.1082,-0.0116,-0.14286
2022-04-28,8.1198,-0.016,-0.19666
2022-04-27,8.1358,0.0065,0.07996
2022-04-26,8.1293,-0.0145,-0.17805
2022-04-25,8.1438,0.0086,0.10571
2022-04-24,8.1352,-0.0093,-0.11419
2022-04-21,8.1445,-0.0022,-0.027
2022-04-20,8.1467,-0.0147,-0.18012
2022-04-19,8.1614,0.0123,0.15094
2022-04-18,8.1491,-0.0197,-0.24116
2022-04-17,8.1688,0.005,0.06125
2022-04-13,8.1638,-0.0044,-0.05387
2022-04-12,8.1682,0.0018,0.02204
2022-04-11,8.1664,-0.002,-0.02448
2022-04-10,8.1684,-0.0158,-0.19305
2022-04-07,8.1842,-0.0094,-0.11472
2022-04-06,8.1936,-0.0051,-0.0622
2022-04-05,8.1987,-0.0835,-1.00819
2022-03-31,8.2822,-0.0106,-0.12782
2022-03-30,8.2928,-0.0016,-0.01929
2022-03-29,8.2944,0.0193,0.23323
2022-03-28,8.2751,0.0274,0.33221
2022-03-27,8.2477,0.012,0.14571
2022-03-24,8.2357,-0.0051,-0.06189
2022-03-23,8.2408,-0.0167,-0.20224
2022-03-22,8.2575,0.0265,0.32195
2022-03-21,8.231,0.0006,0.00729
2022-03-20,8.2304,0.0047,0.05714
2022-03-17,8.2257,0.0194,0.2364
2022-03-16,8.2063,0.0635,0.77983
2022-03-15,8.1428,0.0249,0.30673
2022-03-14,8.1179,-0.0174,-0.21388
2022-03-13,8.1353,-0.0294,-0.36009
2022-03-10,8.1647,-0.0127,-0.15531
2022-03-09,8.1774,-0.0002,-0.00245
2022-03-08,8.1776,-0.0108,-0.13189
2022-03-07,8.1884,-0.0366,-0.44498
2022-03-06,8.225,-0.0297,-0.3598
2022-03-03,8.2547,-0.0599,-0.72042
2022-03-02,8.3146,-0.0193,-0.23158
2022-03-01,8.3339,-0.068,-0.80934
2022-02-28,8.4019,-0.109,-1.28071
2022-02-24,8.5109,0.0058,0.06819
2022-02-23,8.5051,-0.1922,-2.20988
2022-02-22,8.6973,-0.0343,-0.39283
2022-02-21,8.7316,-0.0236,-0.26955
2022-02-17,8.7552,-0.0021,-0.02398
2022-02-16,8.7573,-0.0122,-0.13912
2022-02-15,8.7695,0.0086,0.09816
2022-02-14,8.7609,-0.0067,-0.07642
2022-02-13,8.7676,-0.0358,-0.40666
2022-02-10,8.8034,0.0137,0.15586
2022-02-09,8.7897,-0.0181,-0.2055
2022-02-08,8.8078,0.0141,0.16034
2022-02-07,8.7937,-0.0059,-0.06705
2022-02-06,8.7996,-0.0207,-0.23469
2022-01-27,8.8203,-0.0125,-0.14152
2022-01-26,8.8328,0.0131,0.14853
2022-01-25,8.8197,-0.008,-0.09062
2022-01-24,8.8277,-0.0091,-0.10298
2022-01-23,8.8368,-0.0134,-0.15141
2022-01-20,8.8502,0.0127,0.14371
2022-01-19,8.8375,0.0105,0.11895
2022-01-18,8.827,0.0384,0.43693
2022-01-17,8.7886,-0.0443,-0.50153
2022-01-13,8.8329,-0.0368,-0.4149
2022-01-12,8.8697,-0.0267,-0.30012
2022-01-11,8.8964,-0.0095,-0.10667
2022-01-10,8.9059,-0.0062,-0.06957
2022-01-09,8.9121,-0.0111,-0.12439
2022-01-06,8.9232,-0.0087,-0.0974
2022-01-05,8.9319,-0.0192,-0.2145
2022-01-04,8.9511,-0.1092,-1.20526
2022-01-03,9.0603,0.0041,0.04527
2022-01-02,9.0562,0.0038,0.04198
2021-12-29,9.0524,-0.0013,-0.01436
2021-12-28,9.0537,0.0012,0.01326
2021-12-27,9.0525,0.0028,0.03094
2021-12-26,9.0497,0.0176,0.19486
2021-12-22,9.0321,0.0055,0.06093
2021-12-21,9.0266,0.0046,0.05099
2021-12-20,9.022,0.0023,0.0255
2021-12-19,9.0197,-0.0115,-0.12734
2021-12-16,9.0312,-0.014,-0.15478
2021-12-15,9.0452,0.0029,0.03207
2021-12-14,9.0423,-0.0128,-0.14136
2021-12-13,9.0551,-0.0231,-0.25446
2021-12-12,9.0782,0.0038,0.04188
2021-12-09,9.0744,0.0142,0.15673
2021-12-08,9.0602,0.0161,0.17802
2021-12-07,9.0441,0.0133,0.14727
2021-12-06,9.0308,0.0217,0.24087
2021-12-05,9.0091,0.0114,0.1267
2021-12-02,8.9977,0.0099,0.11015
2021-12-01,8.9878,-0.0042,-0.04671
2021-11-30,8.992,0.0078,0.08682
2021-11-29,8.9842,-0.0118,-0.13117
2021-11-28,8.996,-0.0127,-0.14097
2021-11-25,9.0087,-0.0292,-0.32308
2021-11-23,9.0379,-0.0073,-0.08071
2021-11-22,9.0452,-0.0266,-0.29322
2021-11-21,9.0718,-0.0142,-0.15628
2021-11-18,9.086,-0.0017,-0.01871
2021-11-17,9.0877,0.0074,0.0815
2021-11-16,9.0803,0.0028,0.03085
2021-11-15,9.0775,-0.012,-0.13202
2021-11-14,9.0895,0.0054,0.05944
2021-11-11,9.0841,0.0845,0.93893
2021-11-10,8.9996,-0.0087,-0.09658
2021-11-09,9.0083,0.0076,0.08444
2021-11-08,9.0007,-0.018,-0.19959
2021-11-07,9.0187,-0.0632,-0.69589
2021-11-04,9.0819,-0.0261,-0.28656
2021-11-03,9.108,-0.0113,-0.12391
2021-11-02,9.1193,0.0017,0.01865
2021-11-01,9.1176,-0.0063,-0.06905
2021-10-31,9.1239,-0.0274,-0.29941
2021-10-28,9.1513,-0.0073,-0.07971
2021-10-27,9.1586,-0.0116,-0.1265
2021-10-26,9.1702,0.0095,0.1037
2021-10-25,9.1607,0.0002,0.00218
2021-10-24,9.1605,-0.002,-0.02183
2021-10-21,9.1625,-0.0012,-0.0131
2021-10-20,9.1637,-0.0248,-0.2699
2021-10-19,9.1885,0.0029,0.03157
