tradeDate,nav,change,changePercent
2022-08-30,8.65,-0.05,-0.57471
2022-08-29,8.7,0.0,0.0
2022-08-28,8.7,0.0,0.0
2022-08-25,8.7,0.0,0.0
2022-08-24,8.7,0.01,0.11507
2022-08-23,8.69,0.03,0.34642
2022-08-22,8.66,0.05,0.58072
2022-08-21,8.61,-0.05,-0.57737
2022-08-18,8.66,-0.05,-0.57405
2022-08-17,8.71,0.0,0.0
2022-08-16,8.71,-0.07,-0.79727
2022-08-15,8.78,-0.01,-0.11377
2022-08-14,8.79,0.0,0.0
2022-08-11,8.79,0.02,0.22805
2022-08-10,8.77,0.0,0.0
2022-08-09,8.77,0.05,0.57339
2022-08-08,8.72,-0.03,-0.34286
2022-08-07,8.75,0.07,0.80645
2022-08-04,8.68,-0.07,-0.8
2022-08-03,8.75,0.05,0.57471
2022-08-02,8.7,0.03,0.34602
2022-08-01,8.67,-0.04,-0.45924
2022-07-31,8.71,0.07,0.81019
2022-07-28,8.64,0.05,0.58207
2022-07-27,8.59,0.09,1.05882
2022-07-26,8.5,0.02,0.23585
2022-07-25,8.48,-0.01,-0.11779
2022-07-24,8.49,0.01,0.11792
2022-07-21,8.48,0.07,0.83234
2022-07-20,8.41,0.05,0.59809
2022-07-19,8.36,0.04,0.48077
2022-07-18,8.32,0.02,0.24096
2022-07-17,8.3,0.01,0.12063
2022-07-14,8.29,0.03,0.3632
2022-07-13,8.26,-0.04,-0.48193
2022-07-12,8.3,,
2022-07-11,8.33,0.0,0.0
2022-07-10,8.33,0.01,0.12019
2022-07-07,8.32,-0.02,-0.23981
2022-07-06,8.34,-0.01,-0.11976
2022-07-05,8.35,-0.01,-0.11962
2022-07-04,8.36,0.01,0.11976
2022-06-30,8.35,0.08,0.96735
2022-06-29,8.27,0.01,0.12107
2022-06-28,8.26,0.01,0.12121
2022-06-27,8.25,-0.03,-0.36232
2022-06-26,8.28,-0.04,-0.48077
2022-06-23,8.32,-0.02,-0.23981
2022-06-22,8.34,0.03,0.36101
2022-06-21,8.31,,
2022-06-20,8.26,-0.01,-0.12092
2022-06-16,8.27,-0.02,-0.24125
2022-06-15,8.29,-0.02,-0.24067
2022-06-14,8.31,0.1,1.21803
2022-06-13,8.21,-0.05,-0.60533
2022-06-12,8.26,-0.13,-1.54946
2022-06-09,8.39,-0.05,-0.59242
2022-06-08,8.44,-0.03,-0.35419
2022-06-07,8.47,-0.03,-0.35294
2022-06-06,8.5,0.03,0.35419
2022-06-05,8.47,-0.05,-0.58685
2022-06-01,8.52,0.04,0.4717
