tradeDate,nav,change,changePercent
2022-08-31,9.59,-0.1,-1.03199
2022-08-30,9.69,-0.09,-0.92025
2022-08-29,9.78,-0.09,-0.91185
2022-08-28,9.87,-0.03,-0.30303
2022-08-25,9.9,-0.14,-1.39442
2022-08-24,10.04,0.08,0.80321
2022-08-23,9.96,0.04,0.40323
2022-08-22,9.92,0.03,0.30334
2022-08-21,9.89,-0.07,-0.70281
2022-08-18,9.96,-0.09,-0.89552
2022-08-17,10.05,0.04,0.3996
2022-08-16,10.01,-0.08,-0.79286
2022-08-15,10.09,0.02,0.19861
2022-08-14,10.07,-0.02,-0.19822
2022-08-11,10.09,0.06,0.59821
2022-08-10,10.03,0.04,0.4004
2022-08-09,9.99,0.09,0.90909
2022-08-08,9.9,-0.01,-0.10091
2022-08-07,9.91,0.05,0.5071
2022-08-04,9.86,0.01,0.10152
2022-08-03,9.85,0.01,0.10163
2022-08-02,9.84,-0.01,-0.10152
2022-08-01,9.85,-0.03,-0.30364
2022-07-31,9.88,-0.04,-0.40323
2022-07-28,9.92,0.11,1.1213
2022-07-27,9.81,0.11,1.13402
2022-07-26,9.7,0.09,0.93652
2022-07-25,9.61,0.0,0.0
2022-07-24,9.61,0.02,0.20855
2022-07-21,9.59,0.03,0.31381
2022-07-20,9.56,-0.01,-0.10449
2022-07-19,9.57,0.01,0.1046
2022-07-18,9.56,0.11,1.16402
2022-07-17,9.45,0.06,0.63898
2022-07-14,9.39,0.08,0.85929
2022-07-13,9.31,-0.13,-1.37712
2022-07-12,9.44,0.0,0.0
2022-07-11,9.44,-0.03,-0.31679
2022-07-10,9.47,-0.06,-0.62959
2022-07-07,9.53,0.0,0.0
2022-07-06,9.53,0.12,1.27524
2022-07-05,9.41,-0.05,-0.52854
2022-07-04,9.46,-0.16,-1.6632
2022-07-03,9.62,0.01,0.10406
2022-06-30,9.61,0.06,0.62827
2022-06-29,9.55,-0.1,-1.03627
2022-06-28,9.65,-0.09,-0.92402
2022-06-27,9.74,0.0,0.0
2022-06-26,9.74,0.05,0.516
2022-06-23,9.69,0.12,1.25392
2022-06-22,9.57,-0.11,-1.13636
2022-06-21,9.68,,
2022-06-20,9.77,0.06,0.61792
2022-06-19,9.71,0.03,0.30992
2022-06-16,9.68,-0.04,-0.41152
2022-06-15,9.72,-0.16,-1.61943
2022-06-14,9.88,0.04,0.4065
2022-06-13,9.84,-0.06,-0.60606
2022-06-12,9.9,-0.27,-2.65487
2022-06-09,10.17,-0.13,-1.26214
2022-06-08,10.3,-0.12,-1.15163
2022-06-07,10.42,-0.06,-0.57252
2022-06-06,10.48,0.03,0.28708
2022-06-05,10.45,-0.01,-0.0956
2022-06-01,10.46,0.09,0.86789
2022-05-31,10.37,-0.06,-0.57526
2022-05-30,10.43,-0.06,-0.57197
2022-05-29,10.49,0.02,0.19102
2022-05-26,10.47,0.07,0.67308
2022-05-25,10.4,0.05,0.48309
2022-05-24,10.35,0.04,0.38797
2022-05-23,10.31,-0.02,-0.19361
2022-05-22,10.33,0.08,0.78049
2022-05-19,10.25,0.05,0.4902
2022-05-18,10.2,0.0,0.0
2022-05-17,10.2,-0.07,-0.6816
2022-05-16,10.27,0.1,0.98328
2022-05-15,10.17,0.05,0.49407
2022-05-12,10.12,0.11,1.0989
2022-05-11,10.01,-0.08,-0.79286
2022-05-10,10.09,0.09,0.9
2022-05-09,10.0,-0.02,-0.1996
2022-05-08,10.02,-0.25,-2.43427
2022-05-05,10.27,-0.09,-0.86873
2022-05-04,10.36,-0.07,-0.67114
2022-05-03,10.43,0.06,0.57859
2022-05-02,10.37,0.0,0.0
2022-04-28,10.37,-0.03,-0.28846
2022-04-27,10.4,0.05,0.48309
2022-04-26,10.35,0.02,0.19361
2022-04-25,10.33,-0.02,-0.19324
2022-04-24,10.35,-0.14,-1.3346
2022-04-21,10.49,-0.13,-1.22411
2022-04-20,10.62,-0.11,-1.02516
2022-04-19,10.73,0.07,0.65666
2022-04-18,10.66,-0.02,-0.18727
2022-04-17,10.68,-0.01,-0.09355
2022-04-13,10.69,0.03,0.28143
2022-04-12,10.66,0.05,0.47125
2022-04-11,10.61,0.01,0.09434
2022-04-10,10.6,-0.07,-0.65604
2022-04-07,10.67,0.11,1.04167
2022-04-06,10.56,0.01,0.09479
2022-04-05,10.55,-0.1,-0.93897
2022-03-31,10.65,0.07,0.66163
2022-03-30,10.58,-0.05,-0.47037
2022-03-29,10.63,0.04,0.37771
2022-03-28,10.59,0.06,0.5698
2022-03-27,10.53,-0.04,-0.37843
2022-03-24,10.57,0.04,0.37987
2022-03-23,10.53,0.02,0.19029
2022-03-22,10.51,-0.01,-0.09506
2022-03-21,10.52,0.01,0.09515
2022-03-20,10.51,0.05,0.47801
2022-03-17,10.46,0.02,0.19157
2022-03-16,10.44,0.14,1.35922
2022-03-15,10.3,0.09,0.88149
2022-03-14,10.21,-0.02,-0.1955
2022-03-13,10.23,-0.07,-0.67961
2022-03-10,10.3,-0.02,-0.1938
2022-03-09,10.32,0.02,0.19417
2022-03-08,10.3,0.13,1.27827
2022-03-07,10.17,0.04,0.39487
2022-03-06,10.13,-0.06,-0.58881
2022-03-03,10.19,-0.06,-0.58537
2022-03-02,10.25,-0.05,-0.48544
2022-03-01,10.3,0.06,0.58594
2022-02-28,10.24,-0.07,-0.67895
2022-02-24,10.31,0.21,2.07921
2022-02-23,10.1,-0.1,-0.98039
2022-02-22,10.2,0.0,0.0
2022-02-21,10.2,-0.05,-0.4878
2022-02-20,10.25,-0.05,-0.48544
2022-02-17,10.3,-0.06,-0.57915
2022-02-16,10.36,-0.02,-0.19268
2022-02-15,10.38,0.06,0.5814
2022-02-14,10.32,0.03,0.29155
2022-02-13,10.29,-0.08,-0.77146
2022-02-10,10.37,0.02,0.19324
2022-02-09,10.35,-0.05,-0.48077
2022-02-08,10.4,0.11,1.069
2022-02-07,10.29,0.0,0.0
2022-02-06,10.29,0.08,0.78355
2022-01-27,10.21,-0.03,-0.29297
2022-01-26,10.24,-0.03,-0.29211
2022-01-25,10.27,0.03,0.29297
2022-01-24,10.24,0.02,0.19569
2022-01-23,10.22,-0.11,-1.06486
2022-01-20,10.33,-0.12,-1.14833
2022-01-19,10.45,-0.02,-0.19102
2022-01-18,10.47,0.01,0.0956
2022-01-17,10.46,-0.06,-0.57034
2022-01-16,10.52,-0.01,-0.09497
2022-01-13,10.53,-0.02,-0.18957
2022-01-12,10.55,0.01,0.09488
2022-01-11,10.54,0.06,0.57252
2022-01-10,10.48,0.07,0.67243
2022-01-09,10.41,-0.02,-0.19175
2022-01-06,10.43,0.0,0.0
2022-01-05,10.43,-0.07,-0.66667
2022-01-04,10.5,-0.06,-0.56818
2022-01-03,10.56,0.02,0.18975
2022-01-02,10.54,0.04,0.38095
2021-12-29,10.5,0.01,0.09533
2021-12-28,10.49,0.0,0.0
2021-12-27,10.49,0.03,0.28681
2021-12-26,10.46,0.05,0.48031
2021-12-22,10.41,0.04,0.38573
2021-12-21,10.37,0.04,0.38722
2021-12-20,10.33,0.11,1.07632
2021-12-19,10.22,-0.12,-1.16054
2021-12-16,10.34,-0.02,-0.19305
2021-12-15,10.36,0.05,0.48497
2021-12-14,10.31,0.02,0.19436
2021-12-13,10.29,-0.07,-0.67568
2021-12-12,10.36,-0.03,-0.28874
2021-12-09,10.39,-0.01,-0.09615
2021-12-08,10.4,-0.04,-0.38314
2021-12-07,10.44,0.0,0.0
2021-12-06,10.44,0.11,1.06486
2021-12-05,10.33,0.07,0.68226
2021-12-02,10.26,-0.02,-0.19455
2021-12-01,10.28,0.03,0.29268
2021-11-30,10.25,-0.01,-0.09747
2021-11-29,10.26,-0.1,-0.96525
2021-11-28,10.36,0.04,0.3876
2021-11-25,10.32,-0.19,-1.8078
2021-11-24,10.51,0.02,0.19066
2021-11-23,10.49,0.04,0.38278
2021-11-22,10.45,-0.03,-0.28626
2021-11-21,10.48,-0.01,-0.09533
2021-11-18,10.49,-0.06,-0.56872
2021-11-17,10.55,-0.03,-0.28355
2021-11-16,10.58,-0.01,-0.09443
2021-11-15,10.59,0.0,0.0
2021-11-14,10.59,0.02,0.18921
2021-11-11,10.57,0.02,0.18957
2021-11-10,10.55,0.02,0.18993
2021-11-09,10.53,-0.02,-0.18957
2021-11-08,10.55,0.0,0.0
2021-11-07,10.55,0.01,0.09488
2021-11-04,10.54,0.04,0.38095
2021-11-03,10.5,0.05,0.47847
2021-11-02,10.45,0.02,0.19175
2021-11-01,10.43,-0.01,-0.09579
2021-10-31,10.44,0.05,0.48123
2021-10-28,10.39,-0.06,-0.57416
2021-10-27,10.45,0.04,0.38425
2021-10-26,10.41,-0.04,-0.38278
2021-10-25,10.45,-0.01,-0.0956
2021-10-24,10.46,0.04,0.38388
2021-10-21,10.42,0.02,0.19231
2021-10-20,10.4,-0.04,-0.38314
2021-10-19,10.44,0.05,0.48123
2021-10-18,10.39,0.05,0.48356
2021-10-17,10.34,-0.01,-0.09662
2021-10-14,10.35,0.02,0.19361
2021-10-13,10.33,0.1,0.97752
2021-10-12,10.23,0.06,0.58997
2021-10-11,10.17,0.03,0.29586
2021-10-07,10.14,0.0,0.0
2021-10-06,10.14,0.09,0.89552
2021-10-05,10.05,-0.05,-0.49505
2021-10-04,10.1,0.04,0.39761
2021-10-03,10.06,-0.02,-0.19841
2021-09-30,10.08,0.04,0.39841
2021-09-29,10.04,-0.04,-0.39683
2021-09-28,10.08,-0.01,-0.09911
2021-09-27,10.09,-0.1,-0.98135
2021-09-26,10.19,0.03,0.29528
2021-09-23,10.16,-0.04,-0.39216
2021-09-22,10.2,0.04,0.3937
2021-09-21,10.16,-0.01,-0.09833
2021-09-16,10.17,-0.06,-0.58651
2021-09-15,10.23,-0.06,-0.58309
2021-09-14,10.29,0.02,0.19474
2021-09-13,10.27,-0.03,-0.29126
2021-09-12,10.3,0.03,0.29211
2021-09-09,10.27,-0.04,-0.38797
2021-09-08,10.31,-0.02,-0.19361
2021-09-07,10.33,-0.04,-0.38573
2021-09-06,10.37,-0.07,-0.6705
2021-09-05,10.44,0.01,0.09588
2021-09-02,10.43,0.0,0.0
2021-09-01,10.43,0.05,0.4817
2021-08-31,10.38,0.02,0.19305
2021-08-30,10.36,-0.02,-0.19268
2021-08-29,10.38,0.02,0.19305
2021-08-26,10.36,0.08,0.77821
2021-08-25,10.28,-0.03,-0.29098
2021-08-24,10.31,0.0,0.0
2021-08-23,10.31,0.02,0.19436
2021-08-22,10.29,0.07,0.68493
2021-08-19,10.22,0.02,0.19608
2021-08-18,10.2,-0.09,-0.87464
2021-08-17,10.29,-0.03,-0.2907
2021-08-16,10.32,-0.06,-0.57803
2021-08-15,10.38,-0.04,-0.38388
2021-08-12,10.42,0.03,0.28874
2021-08-11,10.39,0.0,0.0
2021-08-10,10.39,0.04,0.38647
2021-08-09,10.35,0.02,0.19361
2021-08-08,10.33,-0.02,-0.19324
2021-08-05,10.35,0.0,0.0
2021-08-04,10.35,0.01,0.09671
2021-08-03,10.34,-0.02,-0.19305
2021-08-02,10.36,0.04,0.3876
2021-08-01,10.32,0.01,0.09699
2021-07-29,10.31,-0.02,-0.19361
2021-07-28,10.33,0.06,0.58423
2021-07-27,10.27,0.05,0.48924
2021-07-26,10.22,-0.02,-0.19531
2021-07-25,10.24,0.01,0.09775
2021-07-22,10.23,0.01,0.09785
2021-07-21,10.22,0.0,0.0
2021-07-20,10.22,0.09,0.88845
2021-07-19,10.13,0.06,0.59583
2021-07-18,10.07,-0.14,-1.3712
2021-07-15,10.21,-0.07,-0.68093
2021-07-14,10.28,-0.02,-0.19417
2021-07-13,10.3,-0.02,-0.1938
2021-07-12,10.32,-0.03,-0.28986
2021-07-11,10.35,0.03,0.2907
2021-07-08,10.32,0.11,1.07738
2021-07-07,10.21,-0.09,-0.87379
2021-07-06,10.3,0.01,0.09718
2021-07-05,10.29,-0.03,-0.2907
2021-07-04,10.32,0.01,0.09699
2021-07-01,10.31,0.03,0.29183
2021-06-30,10.28,0.04,0.39062
2021-06-29,10.24,-0.01,-0.09756
2021-06-28,10.25,-0.01,-0.09747
2021-06-27,10.26,-0.05,-0.48497
2021-06-24,10.31,0.01,0.09709
2021-06-23,10.3,0.03,0.29211
2021-06-22,10.27,-0.02,-0.19436
2021-06-21,10.29,0.03,0.2924
2021-06-20,10.26,0.09,0.88496
2021-06-17,10.17,-0.13,-1.26214
2021-06-16,10.3,-0.11,-1.05668
2021-06-15,10.41,-0.03,-0.28736
2021-06-14,10.44,-0.05,-0.47664
2021-06-10,10.49,0.02,0.19102
2021-06-09,10.47,0.0,0.0
2021-06-08,10.47,-0.01,-0.09542
2021-06-07,10.48,0.02,0.1912
2021-06-06,10.46,0.01,0.09569
2021-06-03,10.45,0.04,0.38425
2021-06-02,10.41,-0.04,-0.38278
2021-06-01,10.45,0.01,0.09579
2021-05-31,10.44,0.1,0.96712
2021-05-30,10.34,-0.02,-0.19305
2021-05-27,10.36,0.03,0.29042
2021-05-26,10.33,0.01,0.0969
2021-05-25,10.32,0.01,0.09699
2021-05-24,10.31,-0.01,-0.0969
2021-05-23,10.32,0.02,0.19417
2021-05-20,10.3,0.02,0.19455
2021-05-19,10.28,0.06,0.58708
2021-05-18,10.22,-0.09,-0.87294
2021-05-17,10.31,0.02,0.19436
2021-05-16,10.29,0.02,0.19474
2021-05-13,10.27,0.11,1.08268
2021-05-12,10.16,-0.02,-0.19646
2021-05-11,10.18,-0.09,-0.87634
2021-05-10,10.27,-0.08,-0.77295
2021-05-09,10.35,-0.01,-0.09653
