tradeDate,nav,change,changePercent
2022-08-30,10.0762,-0.0754,-0.74274
2022-08-29,10.1516,-0.0381,-0.37391
2022-08-28,10.1897,-0.0282,-0.27599
2022-08-25,10.2179,-0.1347,-1.30112
2022-08-24,10.3526,0.0722,0.70231
2022-08-23,10.2804,0.0099,0.09639
2022-08-22,10.2705,0.012,0.11698
2022-08-21,10.2585,-0.1114,-1.07426
2022-08-18,10.3699,-0.0898,-0.85853
2022-08-17,10.4597,0.0155,0.14841
2022-08-16,10.4442,-0.068,-0.64687
2022-08-15,10.5122,-0.0057,-0.05419
2022-08-14,10.5179,0.029,0.27648
2022-08-11,10.4889,0.1037,0.99854
2022-08-10,10.3852,-0.0301,-0.289
2022-08-09,10.4153,0.1076,1.04388
2022-08-08,10.3077,-0.0279,-0.26994
2022-08-07,10.3356,0.0165,0.1599
2022-08-04,10.3191,-0.0551,-0.53113
2022-08-03,10.3742,0.003,0.02893
2022-08-02,10.3712,0.08,0.77736
2022-08-01,10.2912,-0.0657,-0.63436
2022-07-31,10.3569,0.0193,0.1867
2022-07-28,10.3376,0.0818,0.7976
2022-07-27,10.2558,0.087,0.85556
2022-07-26,10.1688,0.1165,1.15894
2022-07-25,10.0523,-0.0605,-0.59825
2022-07-24,10.1128,-0.0131,-0.12937
2022-07-21,10.1259,0.0061,0.06028
2022-07-20,10.1198,0.0792,0.7888
2022-07-19,10.0406,0.0319,0.31872
2022-07-18,10.0087,0.1056,1.06633
2022-07-17,9.9031,-0.0544,-0.54632
2022-07-14,9.9575,0.1071,1.08727
2022-07-13,9.8504,-0.0107,-0.10851
2022-07-12,9.8611,-0.0195,-0.19736
2022-07-11,9.8806,-0.0259,-0.26144
2022-07-10,9.9065,-0.0229,-0.23063
2022-07-07,9.9294,-0.0032,-0.03222
2022-07-06,9.9326,0.0614,0.62201
2022-07-05,9.8712,0.0111,0.11257
2022-07-04,9.8601,0.0116,0.11778
2022-06-30,9.8485,0.0807,0.82618
2022-06-29,9.7678,-0.0266,-0.27158
2022-06-28,9.7944,0.0073,0.07459
2022-06-27,9.7871,-0.0849,-0.86001
2022-06-26,9.872,-0.051,-0.51396
2022-06-23,9.923,0.0997,1.01493
2022-06-22,9.8233,0.0489,0.50029
2022-06-21,9.7744,,
2022-06-20,9.7598,0.0839,0.8671
2022-06-16,9.6759,0.0044,0.04549
2022-06-15,9.6715,-0.1227,-1.25278
2022-06-14,9.7942,0.1193,1.23309
2022-06-13,9.6749,-0.046,-0.47321
2022-06-12,9.7209,-0.2377,-2.38688
2022-06-09,9.9586,-0.1543,-1.52577
2022-06-08,10.1129,-0.1197,-1.16979
2022-06-07,10.2326,-0.0577,-0.56072
2022-06-06,10.2903,0.0701,0.6859
2022-06-05,10.2202,-0.0914,-0.88638
2022-06-01,10.3116,0.0836,0.81736
2022-05-31,10.228,-0.0049,-0.04788
2022-05-30,10.2329,-0.0879,-0.85168
2022-05-26,10.3208,0.0966,0.94482
2022-05-25,10.2242,0.0986,0.97377
2022-05-24,10.1256,0.0619,0.61508
2022-05-23,10.0637,0.0109,0.10843
2022-05-22,10.0528,0.0613,0.61352
2022-05-19,9.9915,0.0006,0.00601
2022-05-18,9.9909,-0.012,-0.11997
2022-05-17,10.0029,-0.1623,-1.59662
2022-05-16,10.1652,0.0353,0.34847
2022-05-15,10.1299,-0.0079,-0.07793
2022-05-12,10.1378,0.0676,0.67129
2022-05-11,10.0702,0.003,0.0298
2022-05-10,10.0672,-0.0426,-0.42137
2022-05-09,10.1098,0.0264,0.26182
2022-05-08,10.0834,-0.1304,-1.2767
2022-05-05,10.2138,-0.0268,-0.2617
2022-05-04,10.2406,-0.1681,-1.615
2022-05-03,10.4087,0.1306,1.27066
2022-05-02,10.2781,0.0388,0.37893
2022-04-28,10.2393,-0.1891,-1.81332
2022-04-27,10.4284,0.1135,1.10035
2022-04-26,10.3149,-0.0077,-0.07459
2022-04-25,10.3226,-0.095,-0.91192
2022-04-24,10.4176,0.0475,0.45805
2022-04-21,10.3701,-0.1345,-1.28039
2022-04-20,10.5046,-0.1228,-1.1555
2022-04-19,10.6274,0.0457,0.43188
2022-04-18,10.5817,0.026,0.24631
2022-04-17,10.5557,0.0164,0.15561
2022-04-13,10.5393,-0.0928,-0.87283
2022-04-12,10.6321,0.0433,0.40892
2022-04-11,10.5888,0.0163,0.15417
2022-04-10,10.5725,-0.0995,-0.93235
2022-04-07,10.672,-0.0136,-0.12727
2022-04-06,10.6856,0.0194,0.18188
2022-04-05,10.6662,-0.1194,-1.10703
2022-03-31,10.7856,0.0302,0.28079
2022-03-30,10.7554,-0.0578,-0.53453
2022-03-29,10.8132,-0.0402,-0.37039
2022-03-28,10.8534,0.0755,0.70051
2022-03-27,10.7779,0.0503,0.46888
2022-03-24,10.7276,0.0066,0.06156
2022-03-23,10.721,0.0581,0.54488
2022-03-22,10.6629,-0.0191,-0.17881
2022-03-21,10.682,0.0286,0.26846
2022-03-20,10.6534,0.0133,0.125
2022-03-17,10.6401,0.0301,0.28369
2022-03-16,10.61,0.069,0.65459
2022-03-15,10.541,0.124,1.19036
2022-03-14,10.417,0.1025,0.99375
2022-03-13,10.3145,-0.0688,-0.6626
2022-03-10,10.3833,-0.0564,-0.54025
2022-03-09,10.4397,-0.0552,-0.52597
2022-03-08,10.4949,0.1122,1.08064
2022-03-07,10.3827,-0.0369,-0.35414
2022-03-06,10.4196,-0.1374,-1.30151
2022-03-03,10.557,-0.0281,-0.26547
2022-03-02,10.5851,-0.023,-0.21682
2022-03-01,10.6081,0.0548,0.51927
2022-02-28,10.5533,-0.0383,-0.36161
2022-02-24,10.5916,0.1299,1.24167
2022-02-23,10.4617,0.0573,0.55073
2022-02-22,10.4044,-0.0839,-0.79994
2022-02-21,10.4883,-0.0559,-0.53015
2022-02-17,10.5442,-0.024,-0.2271
2022-02-16,10.5682,-0.0851,-0.79881
2022-02-15,10.6533,0.007,0.06575
2022-02-14,10.6463,0.0551,0.52024
2022-02-13,10.5912,-0.0443,-0.41653
2022-02-10,10.6355,-0.0775,-0.72342
2022-02-09,10.713,-0.1158,-1.06937
2022-02-08,10.8288,0.0644,0.59827
2022-02-07,10.7644,0.0244,0.22719
2022-02-06,10.74,0.018,0.16788
2022-01-27,10.722,0.0912,0.85788
2022-01-26,10.6308,-0.0163,-0.15309
2022-01-25,10.6471,-0.0081,-0.07602
2022-01-24,10.6552,-0.0355,-0.33206
2022-01-23,10.6907,-0.0052,-0.04862
2022-01-20,10.6959,-0.0624,-0.58002
2022-01-19,10.7583,-0.0407,-0.37689
2022-01-18,10.799,-0.0358,-0.33042
2022-01-17,10.8348,-0.1227,-1.11978
2022-01-13,10.9575,-0.0344,-0.31296
2022-01-12,10.9919,-0.0687,-0.62112
2022-01-11,11.0606,0.0115,0.10408
2022-01-10,11.0491,0.0601,0.54691
2022-01-09,10.989,-0.0251,-0.22789
2022-01-06,11.0141,-0.0335,-0.30323
2022-01-05,11.0476,-0.0061,-0.05519
2022-01-04,11.0537,-0.1245,-1.11378
2022-01-03,11.1782,-0.0165,-0.14739
2022-01-02,11.1947,-0.0332,-0.29569
2021-12-29,11.2279,-0.0077,-0.06853
2021-12-28,11.2356,-0.0009,-0.00801
2021-12-27,11.2365,-0.0199,-0.17679
2021-12-26,11.2564,0.0729,0.65185
2021-12-22,11.1835,0.0121,0.10831
2021-12-21,11.1714,0.0629,0.56623
2021-12-20,11.1085,0.0889,0.80674
2021-12-19,11.0196,-0.052,-0.46967
2021-12-16,11.0716,-0.0554,-0.49789
2021-12-15,11.127,-0.0381,-0.34124
2021-12-14,11.1651,0.0794,0.71624
2021-12-13,11.0857,-0.0576,-0.5169
2021-12-12,11.1433,-0.0171,-0.15322
2021-12-09,11.1604,0.0515,0.46359
2021-12-08,11.1089,-0.0488,-0.43737
2021-12-07,11.1577,-0.0075,-0.06717
2021-12-06,11.1652,0.1247,1.12948
2021-12-05,11.0405,0.0374,0.3399
2021-12-02,11.0031,-0.0297,-0.2692
2021-12-01,11.0328,0.0635,0.57889
2021-11-30,10.9693,-0.0649,-0.58817
2021-11-29,11.0342,-0.0857,-0.77069
2021-11-28,11.1199,0.0647,0.58524
2021-11-25,11.0552,-0.0896,-0.80396
2021-11-23,11.1448,0.0299,0.26901
2021-11-22,11.1149,-0.0166,-0.14913
2021-11-21,11.1315,-0.0525,-0.46942
2021-11-18,11.184,-0.001,-0.00894
2021-11-17,11.185,0.027,0.24198
2021-11-16,11.158,-0.0044,-0.03942
2021-11-15,11.1624,0.01,0.08967
2021-11-14,11.1524,-0.0347,-0.31018
2021-11-11,11.1871,0.0429,0.38495
2021-11-09,11.1442,-0.0793,-0.70655
2021-11-08,11.2235,-0.0256,-0.22757
2021-11-07,11.2491,0.001,0.00889
2021-11-04,11.2481,0.0414,0.36942
2021-11-03,11.2067,0.0466,0.41756
2021-11-02,11.1601,0.0156,0.13998
2021-11-01,11.1445,0.0313,0.28165
2021-10-31,11.1132,0.0076,0.06843
2021-10-28,11.1056,0.012,0.10817
2021-10-27,11.0936,0.0435,0.39366
2021-10-26,11.0501,-0.0072,-0.06512
2021-10-25,11.0573,0.0118,0.10683
2021-10-24,11.0455,0.0207,0.18776
2021-10-21,11.0248,0.0159,0.14443
2021-10-20,11.0089,0.0012,0.0109
2021-10-19,11.0077,0.0025,0.02272
2021-10-18,11.0052,0.0035,0.03181
2021-10-17,11.0017,0.0203,0.18486
2021-10-14,10.9814,0.0122,0.11122
2021-10-13,10.9692,0.0805,0.7393
2021-10-12,10.8887,0.0316,0.29105
2021-10-11,10.8571,-0.0147,-0.13521
2021-10-07,10.8718,-0.0118,-0.10842
2021-10-06,10.8836,0.0327,0.30136
2021-10-05,10.8509,0.0117,0.10794
2021-10-04,10.8392,0.0425,0.39364
2021-10-03,10.7967,-0.0689,-0.63411
2021-09-30,10.8656,0.0624,0.57761
2021-09-29,10.8032,-0.0422,-0.38911
2021-09-28,10.8454,0.013,0.12001
2021-09-27,10.8324,-0.1255,-1.14529
2021-09-26,10.9579,-0.034,-0.30932
2021-09-23,10.9919,-0.0208,-0.18887
2021-09-22,11.0127,0.0259,0.23574
2021-09-21,10.9868,-0.0171,-0.1554
2021-09-16,11.0039,-0.0492,-0.44512
2021-09-15,11.0531,-0.0118,-0.10664
2021-09-14,11.0649,0.0363,0.32914
2021-09-13,11.0286,-0.0095,-0.08607
2021-09-12,11.0381,0.0123,0.11156
2021-09-09,11.0258,-0.051,-0.46042
2021-09-08,11.0768,-0.0071,-0.06406
2021-09-07,11.0839,0.0068,0.06139
2021-09-06,11.0771,-0.034,-0.306
2021-09-02,11.1111,-0.0094,-0.08453
2021-09-01,11.1205,0.0174,0.15671
2021-08-31,11.1031,0.0045,0.04055
2021-08-30,11.0986,-0.0253,-0.22744
2021-08-29,11.1239,0.0098,0.08818
2021-08-26,11.1141,0.0531,0.48007
2021-08-25,11.061,-0.0219,-0.1976
2021-08-24,11.0829,0.0053,0.04784
2021-08-23,11.0776,-0.0041,-0.037
2021-08-22,11.0817,0.0353,0.31956
2021-08-19,11.0464,0.0441,0.40083
2021-08-18,11.0023,0.0289,0.26336
2021-08-17,10.9734,-0.0509,-0.46171
2021-08-16,11.0243,-0.0304,-0.275
2021-08-15,11.0547,0.0091,0.08239
2021-08-12,11.0456,0.0343,0.3115
2021-08-11,11.0113,0.0185,0.16829
2021-08-10,10.9928,0.0153,0.13938
2021-08-09,10.9775,-0.002,-0.01822
2021-08-08,10.9795,-0.0141,-0.12826
2021-08-05,10.9936,-0.0034,-0.03092
2021-08-04,10.997,0.0069,0.06278
2021-08-03,10.9901,-0.0483,-0.43756
2021-08-02,11.0384,0.036,0.3272
2021-08-01,11.0024,-0.0133,-0.12074
2021-07-29,11.0157,-0.0154,-0.13961
2021-07-28,11.0311,0.0,0.0
2021-07-27,11.0311,-0.0144,-0.13037
2021-07-26,11.0455,-0.0291,-0.26276
2021-07-25,11.0746,0.0219,0.19814
2021-07-22,11.0527,0.0624,0.56777
2021-07-21,10.9903,0.0058,0.0528
2021-07-20,10.9845,0.0464,0.42421
2021-07-19,10.9381,0.0739,0.68022
2021-07-18,10.8642,-0.0704,-0.64383
2021-07-15,10.9346,-0.0119,-0.10871
2021-07-14,10.9465,-0.0412,-0.37496
2021-07-13,10.9877,0.0126,0.11481
2021-07-12,10.9751,-0.037,-0.33599
2021-07-11,11.0121,-0.0016,-0.01453
2021-07-08,11.0137,0.0647,0.59092
2021-07-07,10.949,-0.0342,-0.31138
2021-07-06,10.9832,0.0388,0.35452
2021-07-05,10.9444,-0.0201,-0.18332
2021-07-01,10.9645,0.0624,0.57237
2021-06-30,10.9021,0.043,0.39598
2021-06-29,10.8591,-0.0035,-0.03222
2021-06-28,10.8626,0.005,0.04605
2021-06-27,10.8576,0.0166,0.15312
2021-06-24,10.841,-0.0205,-0.18874
2021-06-23,10.8615,0.0266,0.2455
2021-06-22,10.8349,0.008,0.07389
2021-06-21,10.8269,0.0342,0.31688
2021-06-20,10.7927,0.0984,0.92012
2021-06-17,10.6943,-0.0442,-0.4116
2021-06-16,10.7385,0.0003,0.00279
2021-06-15,10.7382,-0.0188,-0.17477
2021-06-14,10.757,-0.0212,-0.19669
2021-06-10,10.7782,-0.0145,-0.13435
2021-06-09,10.7927,0.0025,0.02317
2021-06-08,10.7902,0.0086,0.07977
2021-06-07,10.7816,0.0162,0.15048
2021-06-06,10.7654,-0.0106,-0.09837
2021-06-03,10.776,0.0548,0.51114
2021-06-02,10.7212,-0.0221,-0.20571
2021-06-01,10.7433,0.0312,0.29126
2021-05-31,10.7121,-0.0075,-0.06997
2021-05-27,10.7196,-0.0055,-0.05128
2021-05-26,10.7251,0.0066,0.06158
2021-05-25,10.7185,0.001,0.00933
2021-05-24,10.7175,-0.0248,-0.23086
2021-05-23,10.7423,0.0584,0.54662
2021-05-20,10.6839,-0.0087,-0.08136
2021-05-19,10.6926,0.0572,0.53783
