tradeDate,nav,change,changePercent
2022-08-30,8.29,-0.07,-0.83732
2022-08-29,8.36,-0.08,-0.94787
2022-08-28,8.44,-0.03,-0.35419
2022-08-25,8.47,-0.12,-1.39697
2022-08-24,8.59,0.07,0.8216
2022-08-23,8.52,0.03,0.35336
2022-08-22,8.49,0.03,0.35461
2022-08-21,8.46,-0.06,-0.70423
2022-08-18,8.52,-0.08,-0.93023
2022-08-17,8.6,0.04,0.46729
2022-08-16,8.56,-0.07,-0.81112
2022-08-15,8.63,-0.02,-0.23121
2022-08-14,8.65,-0.04,-0.4603
2022-08-11,8.69,0.06,0.69525
2022-08-10,8.63,0.03,0.34884
2022-08-09,8.6,0.08,0.93897
2022-08-08,8.52,-0.01,-0.11723
2022-08-07,8.53,0.04,0.47114
2022-08-04,8.49,0.01,0.11792
2022-08-03,8.48,0.01,0.11806
2022-08-02,8.47,-0.01,-0.11792
2022-08-01,8.48,-0.03,-0.35253
2022-07-31,8.51,-0.03,-0.35129
2022-07-28,8.54,0.1,1.18483
2022-07-27,8.44,0.09,1.07784
2022-07-26,8.35,0.08,0.96735
2022-07-25,8.27,0.0,0.0
2022-07-24,8.27,0.02,0.24242
2022-07-21,8.25,0.02,0.24301
2022-07-20,8.23,0.0,0.0
2022-07-19,8.23,0.0,0.0
2022-07-18,8.23,0.1,1.23001
2022-07-17,8.13,0.05,0.61881
2022-07-14,8.08,0.02,0.24814
2022-07-13,8.06,-0.11,-1.34639
2022-07-12,8.17,0.0,0.0
2022-07-11,8.17,-0.03,-0.36585
2022-07-10,8.2,-0.05,-0.60606
2022-07-07,8.25,0.0,0.0
2022-07-06,8.25,0.1,1.22699
2022-07-05,8.15,-0.04,-0.4884
2022-07-04,8.19,-0.14,-1.68067
2022-07-03,8.33,0.02,0.24067
2022-06-30,8.31,0.04,0.48368
2022-06-29,8.27,-0.08,-0.95808
2022-06-28,8.35,-0.08,-0.94899
2022-06-27,8.43,0.0,0.0
2022-06-26,8.43,0.04,0.47676
2022-06-23,8.39,0.11,1.3285
2022-06-22,8.28,-0.1,-1.19332
2022-06-21,8.38,,
2022-06-20,8.46,0.06,0.71429
2022-06-19,8.4,0.02,0.23866
2022-06-16,8.38,-0.03,-0.35672
2022-06-15,8.41,-0.14,-1.63743
2022-06-14,8.55,-0.01,-0.11682
2022-06-13,8.56,-0.06,-0.69606
2022-06-12,8.62,-0.23,-2.59887
2022-06-09,8.85,-0.11,-1.22768
2022-06-08,8.96,-0.1,-1.10375
2022-06-07,9.06,-0.05,-0.54885
2022-06-06,9.11,0.02,0.22002
2022-06-05,9.09,0.0,0.0
2022-06-01,9.09,0.07,0.77605
