tradeDate,nav,change,changePercent
2022-08-30,9.7095,-0.0528,-0.54086
2022-08-29,9.7623,-0.0378,-0.38571
2022-08-28,9.8001,-0.0046,-0.04692
2022-08-25,9.8047,-0.0182,-0.18528
2022-08-24,9.8229,0.0083,0.08457
2022-08-23,9.8146,0.0118,0.12037
2022-08-22,9.8028,-0.0027,-0.02754
2022-08-21,9.8055,-0.0514,-0.52146
2022-08-18,9.8569,-0.0337,-0.34073
2022-08-17,9.8906,-0.0207,-0.20885
2022-08-16,9.9113,-0.0453,-0.45497
2022-08-15,9.9566,-0.0104,-0.10434
2022-08-14,9.967,0.0126,0.12658
2022-08-11,9.9544,0.0166,0.16704
2022-08-10,9.9378,0.0207,0.20873
2022-08-09,9.9171,0.0422,0.42735
2022-08-08,9.8749,-0.0313,-0.31596
2022-08-07,9.9062,0.0239,0.24185
2022-08-04,9.8823,-0.0168,-0.16971
2022-08-03,9.8991,0.0228,0.23086
2022-08-02,9.8763,0.0047,0.04761
2022-08-01,9.8716,0.0016,0.01621
2022-07-31,9.87,0.0366,0.3722
2022-07-28,9.8334,0.0712,0.72934
2022-07-27,9.7622,0.0379,0.38975
2022-07-26,9.7243,0.0208,0.21436
2022-07-25,9.7035,-0.0221,-0.22724
2022-07-24,9.7256,0.0173,0.1782
2022-07-21,9.7083,0.0537,0.55621
2022-07-20,9.6546,0.0251,0.26066
2022-07-19,9.6295,0.0772,0.80818
2022-07-18,9.5523,0.0421,0.44268
2022-07-17,9.5102,0.0265,0.27943
2022-07-14,9.4837,0.0429,0.45441
2022-07-13,9.4408,-0.0241,-0.25462
2022-07-12,9.4649,-0.0052,-0.05491
2022-07-11,9.4701,0.0215,0.22755
2022-07-10,9.4486,0.0111,0.11762
2022-07-07,9.4375,0.0389,0.41389
2022-07-06,9.3986,0.052,0.55635
2022-07-05,9.3466,0.0177,0.18973
2022-07-04,9.3289,0.0013,0.01394
2022-06-30,9.3276,0.0182,0.1955
2022-06-29,9.3094,-0.0309,-0.33082
2022-06-28,9.3403,-0.067,-0.71221
2022-06-27,9.4073,-0.0451,-0.47713
2022-06-26,9.4524,-0.0272,-0.28693
2022-06-23,9.4796,0.0167,0.17648
2022-06-22,9.4629,0.0035,0.037
2022-06-21,9.4594,,
2022-06-20,9.4711,0.0105,0.11099
2022-06-16,9.4606,-0.0011,-0.01163
2022-06-15,9.4617,-0.0827,-0.86648
2022-06-14,9.5444,0.0597,0.62943
2022-06-13,9.4847,-0.0564,-0.59113
2022-06-12,9.5411,-0.1589,-1.63814
2022-06-09,9.7,-0.0697,-0.71343
2022-06-08,9.7697,-0.0446,-0.45444
2022-06-07,9.8143,-0.0195,-0.1983
2022-06-06,9.8338,-0.0035,-0.03558
2022-06-05,9.8373,-0.0349,-0.35352
2022-06-01,9.8722,0.0256,0.25999
2022-05-31,9.8466,0.0372,0.37923
2022-05-30,9.8094,-0.0631,-0.63915
2022-05-26,9.8725,0.0172,0.17453
2022-05-25,9.8553,0.0911,0.933
2022-05-24,9.7642,0.0301,0.30922
2022-05-23,9.7341,0.0084,0.08637
2022-05-22,9.7257,0.005,0.05144
2022-05-19,9.7207,0.0031,0.0319
2022-05-18,9.7176,-0.0018,-0.01852
2022-05-17,9.7194,-0.0572,-0.58507
2022-05-16,9.7766,0.0142,0.14546
2022-05-15,9.7624,-0.0065,-0.06654
2022-05-12,9.7689,-0.0117,-0.11962
2022-05-11,9.7806,0.0152,0.15565
2022-05-10,9.7654,0.0107,0.10969
2022-05-09,9.7547,0.0094,0.09646
2022-05-08,9.7453,-0.0657,-0.66966
2022-05-05,9.811,-0.0326,-0.33118
2022-05-04,9.8436,-0.0368,-0.37245
2022-05-03,9.8804,0.0095,0.09624
2022-05-02,9.8709,-0.0241,-0.24356
2022-04-28,9.895,-0.0535,-0.53777
2022-04-27,9.9485,0.0125,0.12581
2022-04-26,9.936,-0.0165,-0.16579
