tradeDate,nav,change,changePercent
2022-08-31,9.6,-0.09,-0.92879
2022-08-30,9.69,-0.02,-0.20597
2022-08-29,9.71,-0.08,-0.81716
2022-08-25,9.79,-0.04,-0.40692
2022-08-24,9.83,0.03,0.30612
2022-08-23,9.8,-0.01,-0.10194
2022-08-22,9.81,0.01,0.10204
2022-08-21,9.8,-0.06,-0.60852
2022-08-18,9.86,-0.07,-0.70493
2022-08-17,9.93,0.01,0.10081
2022-08-16,9.92,-0.04,-0.40161
2022-08-15,9.96,-0.02,-0.2004
2022-08-14,9.98,0.01,0.1003
2022-08-11,9.97,0.01,0.1004
2022-08-10,9.96,0.01,0.1005
2022-08-09,9.95,0.04,0.40363
2022-08-07,9.91,0.06,0.60914
2022-08-04,9.85,-0.04,-0.40445
2022-08-03,9.89,0.03,0.30426
2022-08-02,9.86,0.0,0.0
2022-08-01,9.86,-0.05,-0.50454
2022-07-31,9.91,0.03,0.30364
2022-07-28,9.88,0.04,0.4065
2022-07-27,9.84,0.06,0.6135
2022-07-26,9.78,0.02,0.20492
2022-07-25,9.76,-0.02,-0.2045
2022-07-24,9.78,0.01,0.10235
2022-07-21,9.77,0.02,0.20513
2022-07-20,9.75,0.02,0.20555
2022-07-19,9.73,0.02,0.20597
2022-07-18,9.71,0.04,0.41365
2022-07-17,9.67,0.02,0.20725
2022-07-14,9.65,0.05,0.52083
2022-07-13,9.6,-0.05,-0.51813
2022-07-12,9.65,-0.03,-0.30992
2022-07-11,9.68,-0.04,-0.41152
2022-07-07,9.72,-0.02,-0.20534
2022-07-06,9.74,0.05,0.516
2022-07-05,9.69,0.0,0.0
2022-07-04,9.69,-0.04,-0.4111
2022-07-03,9.73,0.01,0.10288
2022-06-30,9.72,0.01,0.10299
2022-06-29,9.71,-0.04,-0.41026
2022-06-28,9.75,-0.04,-0.40858
2022-06-27,9.79,-0.02,-0.20387
2022-06-26,9.81,0.03,0.30675
2022-06-23,9.78,0.08,0.82474
2022-06-22,9.7,-0.01,-0.10299
2022-06-21,9.71,-0.01,-0.10288
2022-06-20,9.72,0.03,0.3096
2022-06-19,9.69,0.02,0.20683
2022-06-16,9.67,0.0,0.0
2022-06-15,9.67,-0.08,-0.82051
2022-06-14,9.75,0.04,0.41195
2022-06-13,9.71,-0.03,-0.30801
2022-06-12,9.74,-0.19,-1.91339
2022-06-09,9.93,-0.14,-1.39027
2022-06-08,10.07,-0.09,-0.88583
2022-06-07,10.16,0.0,0.0
2022-06-06,10.16,0.0,0.0
2022-06-05,10.16,0.04,0.39526
2022-05-31,10.12,-0.05,-0.49164
2022-05-30,10.17,-0.06,-0.58651
2022-05-29,10.23,0.03,0.29412
2022-05-26,10.2,0.06,0.59172
2022-05-25,10.14,0.07,0.69513
2022-05-24,10.07,0.04,0.3988
2022-05-23,10.03,-0.04,-0.39722
2022-05-22,10.07,0.09,0.9018
2022-05-19,9.98,0.01,0.1003
2022-05-18,9.97,-0.03,-0.3
2022-05-17,10.0,-0.06,-0.59642
2022-05-16,10.06,0.06,0.6
2022-05-12,10.0,0.1,1.0101
2022-05-11,9.9,-0.1,-1.0
2022-05-10,10.0,0.06,0.60362
2022-05-09,9.94,0.0,0.0
2022-05-08,9.94,-0.17,-1.6815
