tradeDate,nav,change,changePercent
2022-08-30,9.47,-0.05,-0.52521
2022-08-29,9.52,-0.11,-1.14226
2022-08-28,9.63,-0.09,-0.92593
2022-08-25,9.72,-0.29,-2.8971
2022-08-24,10.01,0.15,1.5213
2022-08-23,9.86,0.04,0.40733
2022-08-22,9.82,-0.1,-1.00806
2022-08-21,9.92,-0.21,-2.07305
2022-08-18,10.13,-0.14,-1.36319
2022-08-17,10.27,-0.02,-0.19436
2022-08-16,10.29,-0.08,-0.77146
2022-08-15,10.37,-0.13,-1.2381
2022-08-14,10.5,0.09,0.86455
2022-08-11,10.41,0.18,1.75953
2022-08-10,10.23,-0.06,-0.58309
2022-08-09,10.29,0.17,1.67984
2022-08-08,10.12,-0.01,-0.09872
2022-08-07,10.13,0.0,0.0
2022-08-04,10.13,-0.02,-0.19704
2022-08-03,10.15,0.05,0.49505
2022-08-02,10.1,0.11,1.1011
2022-08-01,9.99,-0.08,-0.79444
2022-07-31,10.07,-0.04,-0.39565
2022-07-28,10.11,0.05,0.49702
2022-07-27,10.06,0.3,3.07377
2022-07-26,9.76,0.11,1.1399
2022-07-25,9.65,-0.03,-0.30992
2022-07-24,9.68,0.0,0.0
2022-07-21,9.68,-0.03,-0.30896
2022-07-20,9.71,0.11,1.14583
2022-07-19,9.6,0.01,0.10428
2022-07-18,9.59,0.26,2.78671
2022-07-17,9.33,-0.17,-1.78947
2022-07-14,9.5,0.14,1.49573
2022-07-13,9.36,-0.05,-0.53135
2022-07-12,9.41,0.01,0.10638
2022-07-11,9.4,-0.12,-1.2605
2022-07-10,9.52,-0.05,-0.52247
2022-07-07,9.57,-0.05,-0.51975
2022-07-06,9.62,0.08,0.83857
2022-07-05,9.54,0.05,0.52687
2022-07-04,9.49,0.01,0.10549
2022-06-30,9.48,0.09,0.95847
2022-06-29,9.39,-0.04,-0.42418
2022-06-28,9.43,-0.08,-0.84122
2022-06-27,9.51,-0.18,-1.85759
2022-06-26,9.69,-0.05,-0.51335
2022-06-23,9.74,0.22,2.31092
2022-06-22,9.52,0.16,1.7094
2022-06-21,9.36,,
2022-06-20,9.26,0.17,1.87019
2022-06-16,9.09,0.04,0.44199
2022-06-15,9.05,-0.33,-3.51812
2022-06-14,9.38,0.2,2.17865
2022-06-13,9.18,-0.06,-0.64935
2022-06-12,9.24,-0.4,-4.14938
2022-06-09,9.64,-0.26,-2.62626
2022-06-08,9.9,-0.18,-1.78571
2022-06-07,10.08,-0.16,-1.5625
2022-06-06,10.24,0.08,0.7874
2022-06-05,10.16,-0.16,-1.55039
2022-06-01,10.32,0.18,1.77515
2022-05-31,10.14,-0.05,-0.49068
2022-05-30,10.19,-0.11,-1.06796
2022-05-26,10.3,0.25,2.48756
2022-05-25,10.05,0.07,0.7014
2022-05-24,9.98,0.07,0.70636
2022-05-23,9.91,0.03,0.30364
2022-05-22,9.88,0.14,1.43737
2022-05-19,9.74,0.09,0.93264
2022-05-18,9.65,-0.02,-0.20683
2022-05-17,9.67,-0.31,-3.10621
2022-05-16,9.98,0.05,0.50352
2022-05-15,9.93,-0.09,-0.8982
2022-05-12,10.02,0.3,3.08642
2022-05-11,9.72,0.0,0.0
2022-05-10,9.72,-0.03,-0.30769
2022-05-09,9.75,-0.05,-0.5102
2022-05-08,9.8,-0.45,-4.39024
2022-05-05,10.25,-0.14,-1.34745
2022-05-04,10.39,-0.3,-2.80636
2022-05-03,10.69,0.14,1.32701
2022-05-02,10.55,-0.08,-0.75259
2022-04-28,10.63,-0.49,-4.40647
2022-04-27,11.12,0.27,2.48848
2022-04-26,10.85,-0.03,-0.27574
2022-04-25,10.88,-0.22,-1.98198
2022-04-24,11.1,0.02,0.18051
2022-04-21,11.08,-0.19,-1.68589
2022-04-20,11.27,-0.13,-1.14035
2022-04-19,11.4,0.11,0.97431
2022-04-18,11.29,0.14,1.25561
2022-04-17,11.15,-0.02,-0.17905
2022-04-13,11.17,-0.12,-1.06289
2022-04-12,11.29,0.09,0.80357
2022-04-11,11.2,-0.06,-0.53286
2022-04-10,11.26,-0.16,-1.40105
2022-04-07,11.42,-0.04,-0.34904
2022-04-06,11.46,-0.03,-0.2611
2022-04-05,11.49,0.02,0.17437
2022-03-31,11.47,0.12,1.05727
2022-03-30,11.35,-0.14,-1.21845
2022-03-29,11.49,-0.06,-0.51948
2022-03-28,11.55,0.24,2.12202
2022-03-27,11.31,0.14,1.25336
2022-03-24,11.17,0.04,0.35939
2022-03-23,11.13,0.14,1.27389
2022-03-22,10.99,-0.16,-1.43498
2022-03-21,11.15,0.06,0.54103
2022-03-20,11.09,-0.06,-0.53812
2022-03-17,11.15,0.1,0.90498
2022-03-16,11.05,0.16,1.46924
2022-03-15,10.89,0.12,1.11421
2022-03-14,10.77,0.15,1.41243
2022-03-13,10.62,-0.08,-0.74766
2022-03-10,10.7,-0.11,-1.01758
2022-03-09,10.81,-0.03,-0.27675
2022-03-08,10.84,0.26,2.45747
2022-03-07,10.58,-0.08,-0.75047
2022-03-06,10.66,-0.25,-2.29148
2022-03-03,10.91,-0.04,-0.3653
2022-03-02,10.95,-0.01,-0.09124
2022-03-01,10.96,0.19,1.76416
2022-02-28,10.77,-0.16,-1.46386
2022-02-24,10.93,0.2,1.86393
2022-02-23,10.73,0.2,1.89934
2022-02-22,10.53,-0.17,-1.58879
2022-02-21,10.7,-0.04,-0.37244
2022-02-17,10.74,-0.09,-0.83102
2022-02-16,10.83,-0.18,-1.63488
2022-02-15,11.01,-0.1,-0.90009
2022-02-14,11.11,0.14,1.27621
2022-02-13,10.97,-0.07,-0.63406
2022-02-10,11.04,-0.24,-2.12766
2022-02-09,11.28,-0.3,-2.59067
2022-02-08,11.58,0.24,2.1164
2022-02-07,11.34,0.01,0.08826
2022-02-06,11.33,0.18,1.61435
2022-01-25,11.15,-0.12,-1.06477
2022-01-24,11.27,-0.14,-1.22699
2022-01-23,11.41,0.02,0.17559
2022-01-20,11.39,-0.11,-0.95652
2022-01-19,11.5,-0.12,-1.0327
2022-01-18,11.62,-0.18,-1.52542
2022-01-17,11.8,-0.17,-1.42022
2022-01-13,11.97,-0.02,-0.16681
2022-01-12,11.99,-0.13,-1.07261
2022-01-11,12.12,0.02,0.16529
2022-01-10,12.1,0.05,0.41494
2022-01-09,12.05,-0.03,-0.24834
2022-01-06,12.08,-0.13,-1.0647
2022-01-05,12.21,0.0,0.0
2022-01-04,12.21,-0.37,-2.94118
2022-01-03,12.58,-0.13,-1.02282
2022-01-02,12.71,-0.07,-0.54773
2021-12-29,12.78,0.01,0.07831
2021-12-28,12.77,0.05,0.39308
2021-12-27,12.72,0.0,0.0
2021-12-26,12.72,0.23,1.84147
2021-12-22,12.49,0.02,0.16038
2021-12-21,12.47,0.1,0.80841
2021-12-20,12.37,0.11,0.89723
2021-12-19,12.26,-0.07,-0.56772
2021-12-16,12.33,-0.02,-0.16194
2021-12-15,12.35,-0.18,-1.43655
2021-12-14,12.53,0.23,1.86992
2021-12-13,12.3,-0.16,-1.28411
2021-12-12,12.46,0.03,0.24135
2021-12-09,12.43,0.09,0.72934
2021-12-08,12.34,-0.11,-0.88353
2021-12-07,12.45,0.01,0.08039
2021-12-06,12.44,0.28,2.30263
2021-12-05,12.16,0.1,0.82919
2021-12-02,12.06,-0.1,-0.82237
2021-12-01,12.16,0.16,1.33333
2021-11-30,12.0,-0.14,-1.15321
2021-11-29,12.14,-0.2,-1.62075
2021-11-28,12.34,0.19,1.56379
2021-11-25,12.15,-0.21,-1.69903
2021-11-23,12.36,0.11,0.89796
2021-11-22,12.25,0.03,0.2455
2021-11-21,12.22,-0.11,-0.89213
2021-11-18,12.33,0.0,0.0
2021-11-17,12.33,0.06,0.489
2021-11-16,12.27,-0.01,-0.08143
2021-11-15,12.28,-0.04,-0.32468
2021-11-14,12.32,0.05,0.4075
2021-11-11,12.27,0.07,0.57377
2021-11-10,12.2,0.02,0.1642
2021-11-09,12.18,-0.1,-0.81433
2021-11-08,12.28,0.01,0.0815
2021-11-07,12.27,0.05,0.40917
2021-11-04,12.22,-0.01,-0.08177
2021-11-03,12.23,0.05,0.41051
2021-11-02,12.18,0.01,0.08217
2021-11-01,12.17,0.11,0.91211
2021-10-31,12.06,0.03,0.24938
2021-10-28,12.03,-0.07,-0.57851
2021-10-27,12.1,0.14,1.17057
2021-10-26,11.96,-0.06,-0.49917
2021-10-25,12.02,0.03,0.25021
2021-10-24,11.99,0.04,0.33473
2021-10-21,11.95,0.0,0.0
2021-10-20,11.95,0.05,0.42017
2021-10-19,11.9,0.09,0.76207
2021-10-18,11.81,0.07,0.59625
2021-10-17,11.74,-0.04,-0.33956
2021-10-14,11.78,0.05,0.42626
2021-10-13,11.73,0.17,1.47059
2021-10-12,11.56,0.07,0.60923
2021-10-11,11.49,0.05,0.43706
2021-10-07,11.44,-0.09,-0.78057
2021-10-06,11.53,0.05,0.43554
2021-10-05,11.48,0.09,0.79017
2021-10-04,11.39,-0.01,-0.08772
2021-10-03,11.4,-0.1,-0.86957
2021-09-30,11.5,0.08,0.70053
2021-09-29,11.42,-0.11,-0.95403
2021-09-28,11.53,0.02,0.17376
2021-09-27,11.51,-0.14,-1.20172
2021-09-26,11.65,-0.16,-1.35478
2021-09-23,11.81,-0.1,-0.83963
2021-09-22,11.91,0.01,0.08403
2021-09-21,11.9,-0.07,-0.5848
2021-09-16,11.97,-0.11,-0.9106
2021-09-15,12.08,-0.02,-0.16529
2021-09-14,12.1,0.02,0.16556
2021-09-13,12.08,-0.01,-0.08271
2021-09-12,12.09,0.0,0.0
2021-09-09,12.09,-0.1,-0.82034
2021-09-08,12.19,-0.16,-1.29555
2021-09-07,12.35,0.01,0.08104
2021-09-06,12.34,-0.07,-0.56406
2021-09-02,12.41,0.03,0.24233
2021-09-01,12.38,0.03,0.24291
2021-08-31,12.35,0.11,0.89869
2021-08-30,12.24,0.02,0.16367
2021-08-29,12.22,0.13,1.07527
2021-08-26,12.09,0.11,0.9182
2021-08-25,11.98,0.02,0.16722
2021-08-24,11.96,-0.03,-0.25021
2021-08-23,11.99,-0.06,-0.49793
2021-08-22,12.05,0.03,0.24958
2021-08-19,12.02,0.08,0.67002
2021-08-18,11.94,0.1,0.84459
2021-08-17,11.84,-0.1,-0.83752
2021-08-16,11.94,-0.08,-0.66556
2021-08-15,12.02,0.02,0.16667
2021-08-12,12.0,0.07,0.58676
2021-08-11,11.93,0.06,0.50548
2021-08-10,11.87,0.02,0.16878
2021-08-09,11.85,-0.1,-0.83682
2021-08-08,11.95,-0.04,-0.33361
2021-08-05,11.99,-0.03,-0.24958
2021-08-04,12.02,0.05,0.41771
2021-08-03,11.97,0.04,0.33529
2021-08-02,11.93,0.05,0.42088
2021-08-01,11.88,-0.01,-0.0841
2021-07-29,11.89,0.01,0.08418
2021-07-28,11.88,-0.06,-0.50251
2021-07-27,11.94,0.01,0.08382
2021-07-26,11.93,0.0,0.0
2021-07-25,11.93,-0.04,-0.33417
2021-07-22,11.97,0.1,0.84246
2021-07-21,11.87,0.01,0.08432
2021-07-20,11.86,-0.01,-0.08425
2021-07-19,11.87,0.12,1.02128
2021-07-18,11.75,-0.09,-0.76014
2021-07-15,11.84,-0.07,-0.58774
2021-07-14,11.91,-0.04,-0.33473
2021-07-13,11.95,0.04,0.33585
2021-07-12,11.91,-0.06,-0.50125
2021-07-11,11.97,0.06,0.50378
2021-07-08,11.91,0.1,0.84674
2021-07-07,11.81,-0.04,-0.33755
2021-07-06,11.85,0.02,0.16906
2021-07-05,11.83,0.13,1.11111
2021-07-01,11.7,0.09,0.77519
2021-06-30,11.61,-0.02,-0.17197
2021-06-29,11.63,-0.08,-0.68318
2021-06-28,11.71,0.02,0.17109
2021-06-27,11.69,0.06,0.51591
2021-06-24,11.63,0.06,0.51858
2021-06-23,11.57,0.0,0.0
2021-06-22,11.57,-0.04,-0.34453
2021-06-21,11.61,0.04,0.34572
2021-06-20,11.57,0.11,0.95986
