tradeDate,nav,change,changePercent
2022-08-30,7.7657,-0.1134,-1.43925
2022-08-29,7.8791,-0.0103,-0.13055
2022-08-28,7.8894,-0.0346,-0.43665
2022-08-25,7.924,-0.1233,-1.53219
2022-08-24,8.0473,0.0483,0.60383
2022-08-23,7.999,0.0092,0.11515
2022-08-22,7.9898,0.083,1.04973
2022-08-21,7.9068,-0.0929,-1.16129
2022-08-18,7.9997,-0.1342,-1.64989
2022-08-17,8.1339,0.0603,0.74688
2022-08-16,8.0736,-0.0188,-0.23232
2022-08-15,8.0924,-0.0095,-0.11726
2022-08-14,8.1019,0.068,0.84641
2022-08-11,8.0339,0.0812,1.02104
2022-08-10,7.9527,-0.0424,-0.53032
2022-08-09,7.9951,0.0714,0.90109
2022-08-08,7.9237,0.0022,0.02777
2022-08-07,7.9215,-0.0203,-0.25561
2022-08-04,7.9418,0.0421,0.53293
2022-08-03,7.8997,-0.0148,-0.187
2022-08-02,7.9145,-0.069,-0.86428
2022-08-01,7.9835,0.0136,0.17064
2022-07-31,7.9699,0.0521,0.65801
2022-07-28,7.9178,0.0718,0.91512
2022-07-27,7.846,0.089,1.14735
2022-07-26,7.757,0.1287,1.68714
2022-07-25,7.6283,-0.009,-0.11784
2022-07-24,7.6373,0.0071,0.09305
2022-07-21,7.6302,-0.0269,-0.35131
2022-07-20,7.6571,0.0374,0.49083
2022-07-19,7.6197,0.0787,1.04363
2022-07-18,7.541,0.0086,0.11417
2022-07-17,7.5324,0.0494,0.66016
2022-07-14,7.483,0.0274,0.36751
2022-07-13,7.4556,0.0235,0.3162
2022-07-12,7.4321,0.0052,0.07002
2022-07-11,7.4269,-0.0802,-1.06832
2022-07-10,7.5071,-0.1296,-1.69707
2022-07-07,7.6367,-0.0139,-0.18169
2022-07-06,7.6506,0.0269,0.35285
2022-07-05,7.6237,-0.0546,-0.71109
2022-07-04,7.6783,-0.0365,-0.47312
2022-07-03,7.7148,0.041,0.53429
2022-06-30,7.6738,-0.0154,-0.20028
2022-06-29,7.6892,-0.0023,-0.0299
2022-06-28,7.6915,-0.088,-1.13118
2022-06-27,7.7795,-0.0376,-0.481
2022-06-26,7.8171,0.0375,0.48203
2022-06-23,7.7796,0.0623,0.80728
2022-06-22,7.7173,0.0001,0.0013
2022-06-21,7.7172,,
2022-06-20,7.7445,0.0664,0.8648
2022-06-19,7.6781,0.0245,0.32011
2022-06-16,7.6536,-0.0148,-0.193
2022-06-15,7.6684,-0.1063,-1.36726
2022-06-14,7.7747,0.0198,0.25532
2022-06-13,7.7549,-0.0583,-0.74617
2022-06-12,7.8132,-0.1373,-1.72694
2022-06-09,7.9505,-0.0564,-0.70439
2022-06-08,8.0069,-0.0831,-1.02719
2022-06-07,8.09,-0.0695,-0.85177
2022-06-06,8.1595,0.054,0.66621
2022-06-05,8.1055,-0.034,-0.41772
2022-06-01,8.1395,0.1133,1.41163
2022-05-31,8.0262,-0.0183,-0.22748
2022-05-30,8.0445,-0.0179,-0.22202
2022-05-29,8.0624,0.0044,0.0546
2022-05-26,8.058,0.0595,0.74389
2022-05-25,7.9985,0.0107,0.13395
2022-05-24,7.9878,0.0476,0.59948
2022-05-23,7.9402,-0.0958,-1.19214
2022-05-22,8.036,0.0423,0.52917
2022-05-19,7.9937,-0.0369,-0.45949
2022-05-18,8.0306,-0.0135,-0.16782
2022-05-17,8.0441,-0.1027,-1.26062
2022-05-16,8.1468,0.0771,0.95543
2022-05-15,8.0697,-0.0193,-0.2386
2022-05-12,8.089,0.1449,1.824
2022-05-11,7.9441,-0.0232,-0.29119
2022-05-10,7.9673,-0.0397,-0.49582
2022-05-09,8.007,-0.013,-0.16209
2022-05-08,8.02,-0.3021,-3.63009
2022-05-05,8.3221,-0.0858,-1.02047
2022-05-04,8.4079,-0.1648,-1.92238
2022-05-03,8.5727,0.1012,1.19459
2022-05-02,8.4715,0.0391,0.46369
2022-04-28,8.4324,-0.0979,-1.14767
2022-04-27,8.5303,0.0881,1.04357
2022-04-26,8.4422,0.065,0.77592
2022-04-25,8.3772,-0.1381,-1.62179
2022-04-24,8.5153,-0.0503,-0.58723
2022-04-21,8.5656,-0.1481,-1.69962
2022-04-20,8.7137,-0.1159,-1.31263
2022-04-19,8.8296,-0.0765,-0.85896
2022-04-18,8.9061,0.0879,0.9968
2022-04-17,8.8182,-0.032,-0.36157
2022-04-13,8.8502,-0.0469,-0.52714
2022-04-12,8.8971,0.0949,1.07814
2022-04-11,8.8022,0.0355,0.40494
2022-04-10,8.7667,-0.1338,-1.50329
2022-04-07,8.9005,-0.0065,-0.07298
2022-04-06,8.907,0.0031,0.03482
2022-04-05,8.9039,-0.1706,-1.87999
2022-03-31,9.0745,0.0168,0.18548
2022-03-30,9.0577,-0.0778,-0.85162
2022-03-29,9.1355,-0.017,-0.18574
2022-03-28,9.1525,0.0613,0.67428
2022-03-27,9.0912,0.0098,0.10791
2022-03-24,9.0814,0.0154,0.16987
2022-03-23,9.066,0.1287,1.44003
2022-03-22,8.9373,0.0051,0.0571
2022-03-21,8.9322,0.0481,0.54142
2022-03-20,8.8841,0.0636,0.72105
2022-03-17,8.8205,-0.0116,-0.13134
2022-03-16,8.8321,0.0868,0.99253
2022-03-15,8.7453,0.1348,1.56553
2022-03-14,8.6105,0.0664,0.77714
2022-03-13,8.5441,-0.0921,-1.06644
2022-03-10,8.6362,-0.1053,-1.2046
2022-03-09,8.7415,0.0393,0.45161
2022-03-08,8.7022,0.1534,1.7944
2022-03-07,8.5488,-0.0118,-0.13784
2022-03-06,8.5606,-0.3297,-3.70854
2022-03-03,8.8903,-0.1365,-1.51216
2022-03-02,9.0268,-0.1236,-1.35076
2022-03-01,9.1504,0.1037,1.14627
2022-02-28,9.0467,-0.1299,-1.41556
2022-02-24,9.1766,0.1392,1.54027
2022-02-23,9.0374,0.0492,0.54738
