tradeDate,nav,change,changePercent
2022-08-30,7.9954,-0.0384,-0.47798
2022-08-29,8.0338,-0.0429,-0.53116
2022-08-28,8.0767,-0.0329,-0.40569
2022-08-25,8.1096,-0.0188,-0.23129
2022-08-24,8.1284,0.0185,0.22812
2022-08-23,8.1099,-0.0003,-0.0037
2022-08-22,8.1102,-0.018,-0.22145
2022-08-21,8.1282,-0.054,-0.65997
2022-08-18,8.1822,-0.0343,-0.41745
2022-08-17,8.2165,-0.0195,-0.23677
2022-08-16,8.236,-0.0365,-0.44122
2022-08-15,8.2725,-0.0094,-0.1135
2022-08-14,8.2819,0.009,0.10879
2022-08-11,8.2729,0.0088,0.10648
2022-08-10,8.2641,0.0258,0.31317
2022-08-09,8.2383,0.0339,0.41319
2022-08-08,8.2044,-0.0261,-0.31711
2022-08-07,8.2305,0.0119,0.14479
2022-08-04,8.2186,-0.006,-0.07295
2022-08-03,8.2246,0.0178,0.21689
2022-08-02,8.2068,-0.0404,-0.48986
2022-08-01,8.2472,-0.0027,-0.03273
2022-07-31,8.2499,0.0221,0.2686
2022-07-28,8.2278,0.0591,0.72349
2022-07-27,8.1687,0.0338,0.41549
2022-07-26,8.1349,0.0153,0.18843
2022-07-25,8.1196,-0.0187,-0.22978
2022-07-24,8.1383,0.0184,0.2266
2022-07-21,8.1199,0.0405,0.50127
2022-07-20,8.0794,0.0203,0.25189
2022-07-19,8.0591,0.0641,0.80175
2022-07-18,7.995,0.0363,0.4561
2022-07-17,7.9587,0.0309,0.38977
2022-07-14,7.9278,0.0232,0.2935
2022-07-13,7.9046,-0.028,-0.35297
2022-07-12,7.9326,0.0061,0.07696
2022-07-11,7.9265,0.0041,0.05175
2022-07-10,7.9224,0.0039,0.04925
2022-07-07,7.9185,0.0337,0.4274
2022-07-06,7.8848,0.0479,0.61121
2022-07-05,7.8369,0.0096,0.12265
2022-07-04,7.8273,-0.0408,-0.51855
2022-06-30,7.8681,0.0093,0.11834
2022-06-29,7.8588,-0.0315,-0.39922
2022-06-28,7.8903,-0.0647,-0.81332
2022-06-27,7.955,-0.0391,-0.48911
2022-06-26,7.9941,-0.0019,-0.02376
2022-06-23,7.996,0.0235,0.29476
2022-06-22,7.9725,0.0072,0.09039
2022-06-21,7.9653,,
2022-06-20,7.988,0.0134,0.16803
2022-06-16,7.9746,0.0007,0.00878
2022-06-15,7.9739,-0.0663,-0.82461
2022-06-14,8.0402,0.0441,0.55152
2022-06-13,7.9961,-0.0389,-0.48413
2022-06-12,8.035,-0.1622,-1.97872
2022-06-09,8.1972,-0.0702,-0.84912
2022-06-08,8.2674,-0.0384,-0.46233
2022-06-07,8.3058,-0.0181,-0.21745
2022-06-06,8.3239,-0.0208,-0.24926
2022-06-05,8.3447,-0.0818,-0.97075
2022-06-01,8.4265,0.002,0.02374
2022-05-31,8.4245,-0.0032,-0.03797
2022-05-30,8.4277,-0.002,-0.02373
2022-05-26,8.4297,0.0411,0.48995
2022-05-25,8.3886,0.0877,1.05651
2022-05-24,8.3009,0.0377,0.45624
2022-05-23,8.2632,0.0084,0.10176
2022-05-22,8.2548,0.0125,0.15166
2022-05-19,8.2423,0.026,0.31644
2022-05-18,8.2163,-0.0117,-0.1422
2022-05-17,8.228,-0.0447,-0.54033
2022-05-16,8.2727,0.0314,0.38101
2022-05-15,8.2413,-0.0062,-0.07517
2022-05-12,8.2475,-0.0066,-0.07996
2022-05-11,8.2541,-0.0099,-0.1198
2022-05-10,8.264,0.0104,0.12601
2022-05-09,8.2536,0.0163,0.19788
2022-05-08,8.2373,-0.0685,-0.82472
2022-05-05,8.3058,-0.0538,-0.64357
2022-05-04,8.3596,-0.0743,-0.88097
2022-05-03,8.4339,0.0096,0.11396
2022-05-02,8.4243,-0.0284,-0.33599
2022-04-28,8.4527,-0.0377,-0.44403
2022-04-27,8.4904,-0.0087,-0.10236
2022-04-26,8.4991,-0.0275,-0.32252
2022-04-25,8.5266,0.0062,0.07277
2022-04-24,8.5204,-0.0191,-0.22367
2022-04-21,8.5395,-0.0305,-0.35589
2022-04-20,8.57,-0.0017,-0.01983
2022-04-19,8.5717,0.0094,0.10978
2022-04-18,8.5623,-0.0079,-0.09218
2022-04-17,8.5702,-0.0135,-0.15727
2022-04-14,8.5837,0.0007,0.00816
2022-04-13,8.583,-0.0049,-0.05706
2022-04-12,8.5879,0.0095,0.11074
2022-04-11,8.5784,0.007,0.08167
2022-04-10,8.5714,-0.042,-0.48761
2022-04-07,8.6134,-0.0165,-0.1912
2022-04-06,8.6299,-0.0642,-0.73843
2022-04-05,8.6941,-0.05,-0.57181
2022-03-31,8.7441,-0.0054,-0.06172
2022-03-30,8.7495,0.0023,0.02629
2022-03-29,8.7472,0.0259,0.29697
2022-03-28,8.7213,0.0388,0.44688
2022-03-27,8.6825,-0.0022,-0.02533
2022-03-24,8.6847,-0.0091,-0.10467
2022-03-23,8.6938,0.0021,0.02416
2022-03-22,8.6917,0.0029,0.03338
2022-03-21,8.6888,-0.0069,-0.07935
2022-03-20,8.6957,-0.0063,-0.0724
2022-03-17,8.702,0.0168,0.19343
2022-03-16,8.6852,0.0481,0.5569
2022-03-15,8.6371,0.0551,0.64204
2022-03-14,8.582,-0.011,-0.12801
2022-03-13,8.593,-0.0455,-0.52671
2022-03-10,8.6385,-0.0257,-0.29662
2022-03-09,8.6642,-0.0227,-0.26131
2022-03-08,8.6869,0.0212,0.24464
2022-03-07,8.6657,-0.0309,-0.35531
2022-03-06,8.6966,-0.0513,-0.58643
2022-03-03,8.7479,-0.0325,-0.37014
2022-03-02,8.7804,-0.0528,-0.59774
2022-03-01,8.8332,0.0013,0.01472
2022-02-28,8.8319,0.0217,0.24631
2022-02-24,8.8102,0.0515,0.58799
2022-02-23,8.7587,-0.0257,-0.29256
2022-02-22,8.7844,0.0075,0.08545
2022-02-21,8.7769,-0.0102,-0.11608
2022-02-17,8.7871,0.0004,0.00455
2022-02-16,8.7867,0.0,0.0
2022-02-15,8.7867,0.0172,0.19613
2022-02-14,8.7695,0.0151,0.17248
2022-02-13,8.7544,-0.0343,-0.39027
2022-02-10,8.7887,-0.0385,-0.43615
2022-02-09,8.8272,-0.0325,-0.36683
2022-02-08,8.8597,-0.0292,-0.3285
2022-02-07,8.8889,0.0054,0.06079
2022-02-06,8.8835,-0.0519,-0.58084
2022-01-27,8.9354,-0.0303,-0.33795
2022-01-26,8.9657,-0.0333,-0.37004
2022-01-25,8.999,0.0017,0.01889
2022-01-24,8.9973,-0.0209,-0.23175
2022-01-23,9.0182,-0.014,-0.155
2022-01-20,9.0322,-0.0287,-0.31675
2022-01-19,9.0609,0.0,0.0
2022-01-18,9.0609,0.0083,0.09169
2022-01-17,9.0526,-0.0253,-0.2787
2022-01-13,9.0779,-0.0144,-0.15838
2022-01-12,9.0923,-0.0032,-0.03518
2022-01-11,9.0955,0.0101,0.11117
2022-01-10,9.0854,0.0145,0.15985
2022-01-09,9.0709,-0.0098,-0.10792
2022-01-06,9.0807,-0.014,-0.15394
2022-01-05,9.0947,-0.0166,-0.18219
2022-01-04,9.1113,-0.0623,-0.67912
2022-01-03,9.1736,-0.0025,-0.02724
2022-01-02,9.1761,-0.003,-0.03268
2021-12-29,9.1791,0.0,0.0
