tradeDate,nav,change,changePercent
2022-08-31,8.45,0.01,0.11848
2022-08-30,8.44,0.01,0.11862
2022-08-29,8.43,0.04,0.47676
2022-08-28,8.39,-0.15,-1.75644
2022-08-25,8.54,-0.15,-1.72612
2022-08-24,8.69,0.02,0.23068
2022-08-23,8.67,-0.03,-0.34483
2022-08-22,8.7,0.0,0.0
2022-08-21,8.7,-0.2,-2.24719
2022-08-18,8.9,-0.04,-0.44743
2022-08-17,8.94,0.13,1.4756
2022-08-16,8.81,0.05,0.57078
2022-08-15,8.76,-0.05,-0.56754
2022-08-14,8.81,0.2,2.32288
2022-08-11,8.61,0.12,1.41343
2022-08-10,8.49,-0.03,-0.35211
2022-08-09,8.52,-0.07,-0.8149
2022-08-08,8.59,-0.17,-1.94064
2022-08-07,8.76,-0.07,-0.79275
2022-08-04,8.83,0.07,0.79909
2022-08-03,8.76,-0.1,-1.12867
2022-08-02,8.86,0.14,1.6055
2022-08-01,8.72,0.13,1.51339
2022-07-31,8.59,-0.09,-1.03687
2022-07-28,8.68,0.19,2.23793
2022-07-27,8.49,-0.04,-0.46893
2022-07-26,8.53,0.06,0.70838
2022-07-25,8.47,-0.07,-0.81967
2022-07-24,8.54,-0.03,-0.35006
2022-07-21,8.57,-0.2,-2.2805
2022-07-20,8.77,0.07,0.8046
2022-07-19,8.7,0.09,1.0453
2022-07-18,8.61,0.12,1.41343
2022-07-17,8.49,-0.01,-0.11765
2022-07-14,8.5,0.08,0.95012
2022-07-13,8.42,0.1,1.20192
2022-07-12,8.32,-0.03,-0.35928
2022-07-11,8.35,-0.16,-1.88014
2022-07-10,8.51,-0.05,-0.58411
2022-07-07,8.56,0.12,1.4218
2022-07-06,8.44,0.16,1.93237
2022-07-05,8.28,0.12,1.47059
2022-07-04,8.16,0.1,1.24069
2022-06-30,8.06,0.0,0.0
2022-06-29,8.06,-0.08,-0.9828
2022-06-28,8.14,-0.01,-0.1227
2022-06-27,8.15,0.0,0.0
2022-06-26,8.15,0.07,0.86634
2022-06-23,8.08,0.11,1.38018
2022-06-22,7.97,0.08,1.01394
2022-06-21,7.89,-0.08,-1.00376
2022-06-20,7.97,0.11,1.39949
2022-06-16,7.86,0.04,0.51151
2022-06-15,7.82,-0.11,-1.38714
2022-06-14,7.93,-0.02,-0.25157
2022-06-13,7.95,-0.07,-0.87282
2022-06-12,8.02,-0.2,-2.43309
2022-06-09,8.22,-0.02,-0.24272
2022-06-08,8.24,-0.03,-0.36276
2022-06-07,8.27,-0.08,-0.95808
2022-06-06,8.35,-0.01,-0.11962
2022-06-05,8.36,-0.07,-0.83037
2022-06-01,8.43,0.06,0.71685
2022-05-31,8.37,-0.15,-1.76056
2022-05-30,8.52,0.07,0.8284
2022-05-26,8.45,0.16,1.93004
2022-05-25,8.29,0.07,0.85158
2022-05-24,8.22,0.17,2.1118
2022-05-23,8.05,-0.22,-2.66022
2022-05-22,8.27,0.03,0.36408
2022-05-19,8.24,0.06,0.7335
2022-05-18,8.18,-0.14,-1.68269
2022-05-17,8.32,-0.13,-1.53846
2022-05-16,8.45,0.09,1.07656
2022-05-15,8.36,-0.07,-0.83037
2022-05-12,8.43,0.3,3.69004
2022-05-11,8.13,-0.04,-0.4896
2022-05-10,8.17,-0.21,-2.50597
2022-05-09,8.38,0.11,1.33011
2022-05-08,8.27,-0.3,-3.50058
2022-05-05,8.57,-0.19,-2.16895
2022-05-04,8.76,0.1,1.15473
2022-05-03,8.66,-0.02,-0.23041
2022-05-02,8.68,0.08,0.93023
2022-04-28,8.6,-0.25,-2.82486
2022-04-27,8.85,0.21,2.43056
2022-04-26,8.64,-0.01,-0.11561
2022-04-25,8.65,-0.21,-2.3702
2022-04-24,8.86,0.02,0.22624
2022-04-21,8.84,-0.16,-1.77778
2022-04-20,9.0,0.02,0.22272
2022-04-19,8.98,-0.05,-0.55371
2022-04-18,9.03,0.33,3.7931
2022-04-17,8.7,-0.09,-1.02389
2022-04-13,8.79,-0.05,-0.56561
2022-04-12,8.84,0.21,2.43337
2022-04-11,8.63,-0.08,-0.91848
2022-04-10,8.71,-0.28,-3.11457
2022-04-07,8.99,-0.15,-1.64114
2022-04-06,9.14,0.0,0.0
2022-04-05,9.14,-0.26,-2.76596
2022-03-31,9.4,0.0,0.0
2022-03-30,9.4,-0.02,-0.21231
2022-03-29,9.42,-0.08,-0.84211
2022-03-28,9.5,0.02,0.21097
2022-03-27,9.48,0.13,1.39037
2022-03-24,9.35,-0.01,-0.10684
2022-03-23,9.36,0.03,0.32154
2022-03-22,9.33,-0.04,-0.42689
2022-03-21,9.37,0.06,0.64447
2022-03-20,9.31,-0.03,-0.3212
2022-03-17,9.34,0.19,2.0765
2022-03-16,9.15,0.23,2.57848
2022-03-15,8.92,0.14,1.59453
2022-03-14,8.78,0.01,0.11403
2022-03-13,8.77,-0.18,-2.01117
2022-03-10,8.95,-0.18,-1.97152
2022-03-09,9.13,0.04,0.44004
2022-03-08,9.09,0.08,0.8879
2022-03-07,9.01,-0.1,-1.09769
2022-03-06,9.11,-0.47,-4.90605
2022-03-03,9.58,-0.1,-1.03306
2022-03-02,9.68,-0.26,-2.61569
2022-03-01,9.94,0.08,0.81136
2022-02-28,9.86,0.1,1.02459
2022-02-24,9.76,0.12,1.24481
2022-02-23,9.64,0.26,2.77186
2022-02-22,9.38,-0.13,-1.36698
2022-02-21,9.51,-0.25,-2.56148
2022-02-17,9.76,0.04,0.41152
2022-02-16,9.72,-0.27,-2.7027
2022-02-15,9.99,-0.03,-0.2994
2022-02-14,10.02,0.3,3.08642
2022-02-13,9.72,-0.14,-1.41988
2022-02-10,9.86,-0.22,-2.18254
2022-02-09,10.08,-0.26,-2.51451
2022-02-08,10.34,0.21,2.07305
2022-02-07,10.13,0.01,0.09881
2022-02-06,10.12,0.21,2.11907
2022-01-25,9.91,0.1,1.01937
2022-01-24,9.81,-0.28,-2.77502
2022-01-23,10.09,0.09,0.9
2022-01-20,10.0,-0.35,-3.38164
2022-01-19,10.35,-0.19,-1.80266
2022-01-18,10.54,-0.39,-3.56816
2022-01-17,10.93,-0.12,-1.08597
2022-01-13,11.05,0.12,1.0979
2022-01-12,10.93,-0.13,-1.17541
2022-01-11,11.06,-0.07,-0.62893
2022-01-10,11.13,-0.12,-1.06667
2022-01-09,11.25,0.09,0.80645
2022-01-06,11.16,-0.36,-3.125
2022-01-05,11.52,-0.17,-1.45423
2022-01-04,11.69,-0.44,-3.62737
2022-01-03,12.13,-0.08,-0.6552
2022-01-02,12.21,0.11,0.90909
2021-12-29,12.1,-0.1,-0.81967
2021-12-28,12.2,0.08,0.66007
2021-12-27,12.12,0.09,0.74813
2021-12-26,12.03,0.17,1.43339
2021-12-22,11.86,0.1,0.85034
2021-12-21,11.76,0.08,0.68493
2021-12-20,11.68,0.42,3.73002
2021-12-19,11.26,-0.25,-2.17202
2021-12-16,11.51,-0.11,-0.94664
2021-12-15,11.62,-0.29,-2.43493
2021-12-14,11.91,0.24,2.05656
2021-12-13,11.67,-0.14,-1.18544
2021-12-12,11.81,-0.24,-1.9917
2021-12-09,12.05,0.03,0.24958
