tradeDate,nav,change,changePercent
2022-08-30,7.3914,-0.0108,-0.1459
2022-08-29,7.4022,0.023,0.31169
2022-08-28,7.3792,0.0293,0.39864
2022-08-25,7.3499,0.011,0.14989
2022-08-24,7.3389,-0.0089,-0.12112
2022-08-23,7.3478,0.0285,0.38938
2022-08-22,7.3193,0.0175,0.23967
2022-08-21,7.3018,0.0205,0.28154
2022-08-18,7.2813,0.0031,0.04259
2022-08-17,7.2782,-0.0062,-0.08511
2022-08-16,7.2844,-0.0139,-0.19046
2022-08-15,7.2983,0.0244,0.33545
2022-08-14,7.2739,-0.0102,-0.14003
2022-08-11,7.2841,0.0147,0.20222
2022-08-10,7.2694,0.0207,0.28557
2022-08-09,7.2487,0.0086,0.11878
2022-08-08,7.2401,0.0043,0.05943
2022-08-07,7.2358,-0.0013,-0.01796
2022-08-04,7.2371,-0.0311,-0.42789
2022-08-03,7.2682,0.0209,0.28838
2022-08-02,7.2473,-0.0161,-0.22166
2022-08-01,7.2634,0.0125,0.17239
2022-07-31,7.2509,0.0286,0.396
2022-07-28,7.2223,0.0238,0.33062
2022-07-27,7.1985,0.014,0.19486
2022-07-26,7.1845,0.0056,0.07801
2022-07-25,7.1789,0.0008,0.01115
2022-07-24,7.1781,0.0234,0.32706
2022-07-21,7.1547,0.0314,0.44081
2022-07-20,7.1233,-0.0036,-0.05051
2022-07-19,7.1269,-0.005,-0.07011
2022-07-18,7.1319,-0.0025,-0.03504
2022-07-17,7.1344,-0.0061,-0.08543
2022-07-14,7.1405,-0.0104,-0.14544
2022-07-13,7.1509,-0.0204,-0.28447
2022-07-12,7.1713,-0.0264,-0.36678
2022-07-11,7.1977,0.0192,0.26747
2022-07-10,7.1785,0.0073,0.1018
2022-07-07,7.1712,-0.0297,-0.41245
2022-07-06,7.2009,-0.0273,-0.37769
2022-07-05,7.2282,0.0012,0.0166
2022-07-04,7.227,0.0062,0.08586
2022-06-30,7.2208,-0.0023,-0.03184
2022-06-29,7.2231,0.0101,0.14002
2022-06-28,7.213,0.0012,0.01664
2022-06-27,7.2118,0.0148,0.20564
2022-06-26,7.197,-0.0455,-0.62824
2022-06-23,7.2425,-0.0137,-0.1888
2022-06-22,7.2562,0.0012,0.01654
2022-06-21,7.255,,
2022-06-20,7.2379,-0.0134,-0.18479
2022-06-16,7.2513,-0.0166,-0.2284
2022-06-15,7.2679,0.0007,0.00963
2022-06-14,7.2672,-0.0088,-0.12095
2022-06-13,7.276,-0.0428,-0.5848
2022-06-12,7.3188,0.0091,0.12449
2022-06-09,7.3097,0.0074,0.10134
2022-06-08,7.3023,-0.0037,-0.05064
2022-06-07,7.306,-0.0243,-0.3315
2022-06-06,7.3303,0.0186,0.25439
2022-06-05,7.3117,0.0093,0.12736
2022-06-01,7.3024,0.0306,0.4208
2022-05-31,7.2718,0.0502,0.69514
2022-05-30,7.2216,-0.0612,-0.84034
2022-05-26,7.2828,-0.0332,-0.4538
2022-05-25,7.316,0.0022,0.03008
2022-05-24,7.3138,-0.0107,-0.14609
2022-05-23,7.3245,0.0051,0.06968
2022-05-22,7.3194,-0.0056,-0.07645
2022-05-19,7.325,-0.0238,-0.32386
2022-05-18,7.3488,0.0155,0.21136
2022-05-17,7.3333,-0.0118,-0.16065
2022-05-16,7.3451,-0.0212,-0.2878
2022-05-15,7.3663,-0.0012,-0.01629
2022-05-12,7.3675,-0.0042,-0.05697
2022-05-11,7.3717,0.0233,0.31708
2022-05-10,7.3484,0.0032,0.04357
2022-05-09,7.3452,-0.0109,-0.14818
2022-05-08,7.3561,-0.0217,-0.29413
2022-05-05,7.3778,0.0184,0.25002
2022-05-04,7.3594,0.0079,0.10746
2022-05-03,7.3515,0.0001,0.00136
2022-05-02,7.3514,-0.0191,-0.25914
2022-04-28,7.3705,-0.0149,-0.20175
2022-04-27,7.3854,0.0272,0.36966
2022-04-26,7.3582,0.0069,0.09386
2022-04-25,7.3513,-0.0222,-0.30108
2022-04-24,7.3735,0.017,0.23109
2022-04-21,7.3565,0.0052,0.07074
2022-04-20,7.3513,-0.0174,-0.23613
2022-04-19,7.3687,-0.0077,-0.10439
2022-04-18,7.3764,0.0064,0.08684
2022-04-17,7.37,0.0423,0.57726
2022-04-13,7.3277,-0.0174,-0.23689
2022-04-12,7.3451,-0.0164,-0.22278
2022-04-11,7.3615,0.0178,0.24238
2022-04-10,7.3437,-0.0088,-0.11969
2022-04-07,7.3525,0.0131,0.17849
2022-04-06,7.3394,0.0155,0.21164
2022-04-05,7.3239,0.0339,0.46502
2022-03-31,7.29,0.0241,0.33169
2022-03-30,7.2659,0.0187,0.25803
2022-03-29,7.2472,-0.0126,-0.17356
2022-03-28,7.2598,0.0001,0.00138
2022-03-27,7.2597,0.0318,0.43996
2022-03-24,7.2279,0.0003,0.00415
2022-03-23,7.2276,0.0123,0.17047
2022-03-22,7.2153,0.0062,0.086
2022-03-21,7.2091,0.0142,0.19736
2022-03-20,7.1949,0.0385,0.53798
2022-03-17,7.1564,0.0005,0.00699
2022-03-16,7.1559,0.0,0.0
2022-03-15,7.1559,0.0095,0.13293
2022-03-14,7.1464,0.0226,0.31725
2022-03-13,7.1238,0.0237,0.3338
2022-03-10,7.1001,0.0322,0.45558
2022-03-09,7.0679,0.0009,0.01274
2022-03-08,7.067,0.0069,0.09773
2022-03-07,7.0601,-0.0815,-1.1412
2022-03-06,7.1416,-0.0415,-0.57774
2022-03-03,7.1831,0.0191,0.26661
2022-03-02,7.164,-0.0512,-0.70961
2022-03-01,7.2152,-0.02,-0.27643
2022-02-28,7.2352,-0.1524,-2.06292
2022-02-24,7.3876,-0.2372,-3.1109
2022-02-23,7.6248,-0.0592,-0.77043
2022-02-22,7.684,-0.044,-0.56936
2022-02-21,7.728,-0.0282,-0.36358
2022-02-17,7.7562,-0.007,-0.09017
2022-02-16,7.7632,-0.009,-0.1158
2022-02-15,7.7722,-0.0011,-0.01415
2022-02-14,7.7733,-0.0277,-0.35508
2022-02-13,7.801,-0.0076,-0.09733
2022-02-10,7.8086,-0.0349,-0.44495
2022-02-09,7.8435,0.0111,0.14172
2022-02-08,7.8324,-0.0018,-0.02298
2022-02-07,7.8342,-0.0285,-0.36247
2022-02-06,7.8627,0.0109,0.13882
2022-01-27,7.8518,-0.013,-0.16529
2022-01-26,7.8648,-0.0115,-0.14601
2022-01-25,7.8763,-0.0261,-0.33028
2022-01-24,7.9024,-0.002,-0.0253
2022-01-23,7.9044,0.0032,0.0405
2022-01-20,7.9012,0.0328,0.41686
2022-01-19,7.8684,0.0134,0.17059
2022-01-18,7.855,-0.0127,-0.16142
2022-01-17,7.8677,-0.0538,-0.67916
2022-01-13,7.9215,-0.0278,-0.34972
2022-01-12,7.9493,-0.0096,-0.12062
2022-01-11,7.9589,-0.0099,-0.12423
2022-01-10,7.9688,-0.0076,-0.09528
2022-01-09,7.9764,-0.0119,-0.14897
2022-01-06,7.9883,-0.0342,-0.4263
2022-01-05,8.0225,-0.0097,-0.12076
2022-01-04,8.0322,-0.0072,-0.08956
2022-01-03,8.0394,-0.0083,-0.10314
2022-01-02,8.0477,-0.0106,-0.13154
2021-12-29,8.0583,0.0043,0.05339
2021-12-28,8.054,0.0056,0.06958
2021-12-27,8.0484,-0.0108,-0.13401
2021-12-26,8.0592,-0.0006,-0.00744
2021-12-23,8.0598,-0.0125,-0.15485
2021-12-22,8.0723,-0.0058,-0.0718
2021-12-21,8.0781,0.0009,0.01114
2021-12-20,8.0772,-0.0162,-0.20016
2021-12-19,8.0934,0.0044,0.05439
