tradeDate,nav,change,changePercent
2022-08-30,10.2419,-0.0538,-0.52255
2022-08-29,10.2957,-0.0478,-0.46213
2022-08-28,10.3435,-0.0199,-0.19202
2022-08-25,10.3634,0.0161,0.1556
2022-08-24,10.3473,-0.0119,-0.11487
2022-08-23,10.3592,-0.0047,-0.04535
2022-08-22,10.3639,-0.0582,-0.55843
2022-08-21,10.4221,-0.0436,-0.4166
2022-08-18,10.4657,-0.0068,-0.06493
2022-08-17,10.4725,-0.0271,-0.25811
2022-08-16,10.4996,-0.014,-0.13316
2022-08-15,10.5136,0.0001,0.00095
2022-08-14,10.5135,0.0175,0.16673
2022-08-11,10.496,0.0153,0.14598
2022-08-10,10.4807,0.0475,0.45528
2022-08-09,10.4332,-0.0208,-0.19897
2022-08-08,10.454,0.0018,0.01722
2022-08-07,10.4522,-0.0082,-0.07839
2022-08-04,10.4604,0.0274,0.26263
2022-08-03,10.433,0.0183,0.17571
2022-08-02,10.4147,0.0067,0.06437
2022-08-01,10.408,0.0116,0.11158
2022-07-31,10.3964,0.059,0.57074
2022-07-28,10.3374,0.0502,0.48799
2022-07-27,10.2872,0.0173,0.16845
2022-07-26,10.2699,-0.012,-0.11671
2022-07-25,10.2819,0.0087,0.08469
2022-07-24,10.2732,0.0472,0.46157
2022-07-21,10.226,0.0306,0.30014
2022-07-20,10.1954,0.0313,0.30795
2022-07-19,10.1641,0.0251,0.24756
2022-07-18,10.139,0.0297,0.29379
2022-07-17,10.1093,0.0588,0.58505
2022-07-14,10.0505,-0.0459,-0.45462
2022-07-13,10.0964,-0.0016,-0.01584
2022-07-12,10.098,0.0072,0.07135
2022-07-11,10.0908,0.0133,0.13198
2022-07-10,10.0775,0.0274,0.27263
2022-07-07,10.0501,0.0665,0.66609
2022-07-06,9.9836,0.0258,0.25909
2022-07-05,9.9578,0.0003,0.00301
2022-07-04,9.9575,0.0291,0.2931
2022-06-30,9.9284,-0.0292,-0.29324
2022-06-29,9.9576,-0.0586,-0.58505
2022-06-28,10.0162,-0.0553,-0.54907
2022-06-27,10.0715,0.0082,0.08148
2022-06-26,10.0633,0.0592,0.59176
2022-06-23,10.0041,0.0165,0.1652
2022-06-22,9.9876,-0.0169,-0.16892
2022-06-21,10.0045,,
2022-06-20,9.9937,0.0228,0.22867
2022-06-16,9.9709,-0.0709,-0.70605
2022-06-15,10.0418,0.0414,0.41398
2022-06-14,10.0004,-0.0241,-0.24041
2022-06-13,10.0245,-0.1979,-1.93594
2022-06-12,10.2224,-0.0933,-0.90445
2022-06-09,10.3157,-0.0296,-0.28612
2022-06-08,10.3453,-0.0239,-0.23049
2022-06-07,10.3692,-0.0179,-0.17233
2022-06-06,10.3871,-0.0326,-0.31287
2022-06-05,10.4197,-0.0181,-0.17341
2022-06-01,10.4378,0.0047,0.04505
2022-05-31,10.4331,-0.016,-0.15312
2022-05-30,10.4491,0.0537,0.51657
2022-05-26,10.3954,0.0891,0.86452
2022-05-25,10.3063,0.07,0.68384
2022-05-24,10.2363,0.0138,0.135
2022-05-23,10.2225,0.0188,0.18425
2022-05-22,10.2037,0.0155,0.15214
2022-05-19,10.1882,-0.0123,-0.12058
2022-05-18,10.2005,-0.0421,-0.41103
2022-05-17,10.2426,-0.002,-0.01952
2022-05-16,10.2446,-0.0003,-0.00293
2022-05-15,10.2449,0.0033,0.03222
2022-05-12,10.2416,-0.0264,-0.25711
2022-05-11,10.268,-0.0084,-0.08174
2022-05-10,10.2764,-0.0067,-0.06516
2022-05-09,10.2831,-0.0585,-0.56568
2022-05-08,10.3416,-0.0232,-0.22383
2022-05-05,10.3648,-0.0278,-0.2675
2022-05-04,10.3926,0.0238,0.22953
2022-05-03,10.3688,0.0194,0.18745
2022-05-02,10.3494,-0.0714,-0.68517
2022-04-28,10.4208,-0.0062,-0.05946
2022-04-27,10.427,-0.0107,-0.10251
2022-04-26,10.4377,0.0013,0.01246
2022-04-25,10.4364,0.0076,0.07288
2022-04-24,10.4288,-0.0321,-0.30686
2022-04-21,10.4609,-0.0118,-0.11267
2022-04-20,10.4727,0.0107,0.10227
2022-04-19,10.462,-0.0083,-0.07927
2022-04-18,10.4703,-0.0085,-0.08112
2022-04-17,10.4788,0.0007,0.00668
2022-04-13,10.4781,0.013,0.12422
2022-04-12,10.4651,0.0134,0.12821
2022-04-11,10.4517,-0.0262,-0.25005
2022-04-10,10.4779,-0.0154,-0.14676
2022-04-07,10.4933,-0.0064,-0.06095
2022-04-06,10.4997,-0.0316,-0.30006
2022-04-05,10.5313,-0.0025,-0.02373
2022-03-31,10.5338,-0.0055,-0.05219
2022-03-30,10.5393,0.0137,0.13016
2022-03-29,10.5256,0.0524,0.50032
2022-03-28,10.4732,0.004,0.03821
2022-03-27,10.4692,-0.0088,-0.08399
2022-03-24,10.478,0.0027,0.02577
2022-03-23,10.4753,0.0078,0.07452
2022-03-22,10.4675,-0.0144,-0.13738
2022-03-21,10.4819,-0.0013,-0.0124
2022-03-20,10.4832,0.0149,0.14233
2022-03-17,10.4683,0.0428,0.41053
2022-03-16,10.4255,0.0361,0.34747
2022-03-15,10.3894,-0.0032,-0.03079
2022-03-14,10.3926,-0.053,-0.50739
2022-03-13,10.4456,-0.024,-0.22924
2022-03-10,10.4696,-0.0249,-0.23727
2022-03-09,10.4945,0.0193,0.18424
2022-03-08,10.4752,-0.0301,-0.28652
2022-03-07,10.5053,-0.0289,-0.27434
2022-03-06,10.5342,-0.024,-0.22731
2022-03-03,10.5582,0.0014,0.01326
2022-03-02,10.5568,0.004,0.0379
2022-03-01,10.5528,0.0046,0.04361
2022-02-28,10.5482,0.0647,0.61716
2022-02-24,10.4835,-0.0107,-0.10196
2022-02-23,10.4942,-0.0108,-0.10281
2022-02-22,10.505,0.0027,0.02571
2022-02-21,10.5023,0.0018,0.01714
2022-02-17,10.5005,-0.0002,-0.0019
2022-02-16,10.5007,0.0051,0.04859
2022-02-15,10.4956,0.0176,0.16797
2022-02-14,10.478,-0.0178,-0.16959
2022-02-13,10.4958,-0.0398,-0.37777
2022-02-10,10.5356,-0.0291,-0.27545
2022-02-09,10.5647,0.007,0.0663
2022-02-08,10.5577,0.0074,0.07014
2022-02-07,10.5503,0.0019,0.01801
2022-02-06,10.5484,-0.0282,-0.26663
2022-01-27,10.5766,-0.0368,-0.34673
2022-01-26,10.6134,0.0161,0.15193
2022-01-25,10.5973,-0.0054,-0.05093
2022-01-24,10.6027,-0.0165,-0.15538
2022-01-23,10.6192,-0.0115,-0.10818
2022-01-20,10.6307,0.0,0.0
2022-01-19,10.6307,0.0096,0.09039
2022-01-18,10.6211,-0.0171,-0.16074
2022-01-17,10.6382,-0.0037,-0.03477
2022-01-13,10.6419,-0.0008,-0.00752
2022-01-12,10.6427,0.0055,0.05171
2022-01-11,10.6372,0.0179,0.16856
2022-01-10,10.6193,-0.0079,-0.07434
2022-01-09,10.6272,-0.0037,-0.0348
2022-01-06,10.6309,-0.015,-0.1409
2022-01-05,10.6459,-0.0063,-0.05914
2022-01-04,10.6522,-0.0042,-0.03941
2022-01-03,10.6564,-0.0031,-0.02908
2022-01-02,10.6595,0.0047,0.04411
2021-12-29,10.6548,-0.002,-0.01877
2021-12-28,10.6568,-0.0011,-0.01032
2021-12-27,10.6579,0.0104,0.09768
2021-12-26,10.6475,0.017,0.15992
2021-12-22,10.6305,0.0172,0.16206
2021-12-21,10.6133,0.0105,0.09903
2021-12-20,10.6028,-0.0022,-0.02074
2021-12-19,10.605,0.0024,0.02264
2021-12-16,10.6026,0.0042,0.03963
2021-12-15,10.5984,0.0014,0.01321
2021-12-14,10.597,-0.0059,-0.05565
2021-12-13,10.6029,0.0006,0.00566
