tradeDate,nav,change,changePercent
2022-08-30,7.2184,0.0261,0.36289
2022-08-29,7.1923,-0.0039,-0.0542
2022-08-28,7.1962,-0.0698,-0.96064
2022-08-25,7.266,0.0456,0.63154
2022-08-24,7.2204,0.0207,0.28751
2022-08-23,7.1997,0.013,0.18089
2022-08-22,7.1867,0.0017,0.02366
2022-08-21,7.185,0.0078,0.10868
2022-08-18,7.1772,-0.0031,-0.04317
2022-08-17,7.1803,0.0177,0.24712
2022-08-16,7.1626,-0.019,-0.26456
2022-08-15,7.1816,0.0404,0.56573
2022-08-14,7.1412,0.0742,1.04995
2022-08-11,7.067,0.0027,0.03822
2022-08-10,7.0643,0.0508,0.72432
2022-08-09,7.0135,-0.0163,-0.23187
2022-08-07,7.0298,-0.0297,-0.42071
2022-08-04,7.0595,-0.0053,-0.07502
2022-08-03,7.0648,-0.0241,-0.33997
2022-08-02,7.0889,-0.0445,-0.62383
2022-08-01,7.1334,0.0151,0.21213
2022-07-31,7.1183,0.025,0.35245
2022-07-28,7.0933,0.0239,0.33808
2022-07-27,7.0694,0.0296,0.42047
2022-07-26,7.0398,-0.0354,-0.50034
2022-07-25,7.0752,0.0556,0.79207
2022-07-24,7.0196,0.0521,0.74776
2022-07-21,6.9675,0.0453,0.65442
2022-07-20,6.9222,0.0184,0.26652
2022-07-19,6.9038,0.0241,0.35031
2022-07-18,6.8797,-0.0804,-1.15516
2022-07-17,6.9601,-0.1048,-1.48339
2022-07-14,7.0649,-0.0195,-0.27525
2022-07-13,7.0844,0.0162,0.2292
2022-07-12,7.0682,-0.038,-0.53474
2022-07-11,7.1062,-0.0879,-1.22183
2022-07-07,7.1941,-0.0095,-0.13188
2022-07-06,7.2036,-0.0282,-0.38994
2022-07-05,7.2318,0.0013,0.01798
2022-07-04,7.2305,-0.0205,-0.28272
2022-07-03,7.251,0.0304,0.42102
2022-06-30,7.2206,-0.0201,-0.2776
2022-06-29,7.2407,0.0001,0.00138
2022-06-28,7.2406,-0.0356,-0.48927
2022-06-27,7.2762,0.0057,0.0784
2022-06-26,7.2705,0.0108,0.14877
2022-06-23,7.2597,-0.0308,-0.42247
2022-06-22,7.2905,-0.0346,-0.47235
2022-06-21,7.3251,,
2022-06-20,7.3143,-0.0134,-0.18287
2022-06-19,7.3277,0.0013,0.01774
2022-06-16,7.3264,-0.0176,-0.23965
2022-06-15,7.344,-0.0799,-1.07625
2022-06-14,7.4239,0.0156,0.21057
2022-06-13,7.4083,-0.0591,-0.79144
2022-06-12,7.4674,-0.1172,-1.54524
2022-06-09,7.5846,-0.0261,-0.34294
2022-06-08,7.6107,-0.002,-0.02627
2022-06-07,7.6127,0.0054,0.07098
2022-06-06,7.6073,-0.0119,-0.15618
2022-06-05,7.6192,-0.0042,-0.05509
2022-06-01,7.6234,0.0103,0.13529
2022-05-31,7.6131,-0.0191,-0.25026
