tradeDate,nav,change,changePercent
2022-08-30,8.278,0.0056,0.06769
2022-08-29,8.2724,-0.0004,-0.00484
2022-08-28,8.2728,-0.028,-0.33732
2022-08-25,8.3008,0.0121,0.14598
2022-08-24,8.2887,0.0275,0.33288
2022-08-23,8.2612,0.0233,0.28284
2022-08-22,8.2379,0.0019,0.02307
2022-08-21,8.236,-0.0114,-0.13823
2022-08-18,8.2474,-0.0045,-0.05453
2022-08-17,8.2519,0.0028,0.03394
2022-08-16,8.2491,-0.0211,-0.25513
2022-08-15,8.2702,0.029,0.35189
2022-08-14,8.2412,0.0136,0.1653
2022-08-11,8.2276,0.0125,0.15216
2022-08-10,8.2151,0.0206,0.25139
2022-08-09,8.1945,0.0013,0.01587
2022-08-08,8.1932,-0.0484,-0.58726
2022-08-07,8.2416,0.0046,0.05585
2022-08-04,8.237,-0.011,-0.13337
2022-08-03,8.248,0.0008,0.0097
2022-08-02,8.2472,0.0061,0.07402
2022-08-01,8.2411,-0.0249,-0.30123
2022-07-31,8.266,0.0044,0.05326
2022-07-28,8.2616,0.0234,0.28404
2022-07-27,8.2382,0.0324,0.39484
2022-07-26,8.2058,0.0172,0.21005
2022-07-25,8.1886,0.0008,0.00977
2022-07-24,8.1878,0.0214,0.26205
2022-07-21,8.1664,0.0182,0.22336
2022-07-20,8.1482,0.0332,0.40912
2022-07-19,8.115,0.0175,0.21612
2022-07-18,8.0975,-0.0328,-0.40343
2022-07-17,8.1303,-0.002,-0.02459
2022-07-14,8.1323,-0.0062,-0.07618
2022-07-13,8.1385,,
2022-07-12,8.1531,-0.0193,-0.23616
2022-07-11,8.1724,-0.0375,-0.45677
2022-07-10,8.2099,-0.0217,-0.26362
2022-07-07,8.2316,-0.0052,-0.06313
2022-07-06,8.2368,-0.012,-0.14548
2022-07-05,8.2488,-0.0416,-0.50179
2022-07-04,8.2904,-0.0165,-0.19863
2022-06-30,8.3069,0.0086,0.10364
2022-06-29,8.2983,-0.0081,-0.09752
2022-06-28,8.3064,-0.0257,-0.30845
2022-06-27,8.3321,-0.0187,-0.22393
2022-06-26,8.3508,0.0023,0.02755
2022-06-23,8.3485,0.0065,0.07792
2022-06-22,8.342,-0.0062,-0.07427
2022-06-21,8.3482,,
2022-06-20,8.3384,-0.0207,-0.24763
2022-06-16,8.3591,-0.0222,-0.26488
2022-06-15,8.3813,-0.0255,-0.30333
2022-06-14,8.4068,0.0297,0.35454
2022-06-13,8.3771,-0.03,-0.35684
2022-06-12,8.4071,-0.091,-1.07083
2022-06-09,8.4981,-0.038,-0.44517
2022-06-08,8.5361,-0.0175,-0.20459
2022-06-07,8.5536,-0.0106,-0.12377
2022-06-06,8.5642,-0.0014,-0.01634
2022-06-05,8.5656,-0.0117,-0.13641
2022-06-01,8.5773,0.0009,0.01049
2022-05-31,8.5764,0.0032,0.03733
2022-05-30,8.5732,-0.0084,-0.09788
2022-05-26,8.5816,0.008,0.09331
2022-05-25,8.5736,0.0214,0.25023
2022-05-24,8.5522,0.009,0.10535
2022-05-23,8.5432,-0.0002,-0.00234
2022-05-22,8.5434,0.0122,0.143
2022-05-19,8.5312,0.0167,0.19614
2022-05-18,8.5145,0.003,0.03525
2022-05-17,8.5115,-0.0016,-0.01879
2022-05-16,8.5131,-0.0132,-0.15482
2022-05-15,8.5263,0.0005,0.00586
2022-05-12,8.5258,-0.0083,-0.09726
2022-05-11,8.5341,-0.0293,-0.34215
2022-05-10,8.5634,-0.0054,-0.06302
2022-05-09,8.5688,-0.0269,-0.31295
2022-05-08,8.5957,-0.0125,-0.14521
2022-05-05,8.6082,-0.028,-0.32422
2022-05-04,8.6362,-0.0207,-0.23912
2022-05-03,8.6569,0.016,0.18517
2022-05-02,8.6409,-0.0149,-0.17214
2022-04-28,8.6558,0.0015,0.01733
2022-04-27,8.6543,-0.0032,-0.03696
2022-04-26,8.6575,-0.0166,-0.19137
2022-04-25,8.6741,0.0033,0.03806
2022-04-24,8.6708,-0.0167,-0.19223
