tradeDate,nav,change,changePercent
2022-08-30,8.9984,-0.0549,-0.60641
2022-08-29,9.0533,-0.0686,-0.75204
2022-08-28,9.1219,-0.0478,-0.52128
2022-08-25,9.1697,-0.1393,-1.4964
2022-08-24,9.309,0.0747,0.80894
2022-08-23,9.2343,0.0134,0.14532
2022-08-22,9.2209,0.0018,0.01952
2022-08-21,9.2191,-0.0997,-1.06988
2022-08-18,9.3188,-0.0677,-0.72125
2022-08-17,9.3865,0.0276,0.29491
2022-08-16,9.3589,-0.0552,-0.58635
2022-08-15,9.4141,-0.0768,-0.80872
2022-08-14,9.4965,0.0337,0.35613
2022-08-11,9.4628,0.081,0.86337
2022-08-10,9.3818,0.0116,0.1238
2022-08-09,9.3702,0.099,1.06782
2022-08-08,9.2712,-0.0232,-0.24961
2022-08-07,9.2944,0.0112,0.12065
2022-08-04,9.2832,-0.0204,-0.21927
2022-08-03,9.3036,0.0077,0.08283
2022-08-02,9.2959,0.0524,0.56688
2022-08-01,9.2435,-0.0338,-0.36433
2022-07-31,9.2773,0.0112,0.12087
2022-07-28,9.2661,0.0778,0.84673
2022-07-27,9.1883,0.0599,0.65619
2022-07-26,9.1284,0.1245,1.38273
2022-07-25,9.0039,-0.0501,-0.55335
2022-07-24,9.054,0.0459,0.50954
2022-07-21,9.0081,-0.0395,-0.43658
2022-07-20,9.0476,0.0537,0.59707
2022-07-19,8.9939,0.0405,0.45234
2022-07-18,8.9534,0.1191,1.34815
2022-07-17,8.8343,-0.0836,-0.93744
2022-07-14,8.9179,0.0835,0.94517
2022-07-13,8.8344,-0.0277,-0.31257
2022-07-12,8.8621,-0.006,-0.06766
2022-07-11,8.8681,-0.0317,-0.35619
2022-07-10,8.8998,-0.0392,-0.43853
2022-07-07,8.939,-0.0014,-0.01566
2022-07-06,8.9404,0.1024,1.15863
2022-07-05,8.838,0.0079,0.08947
2022-07-04,8.8301,-0.0022,-0.02491
2022-06-30,8.8323,0.0557,0.63464
2022-06-29,8.7766,-0.0568,-0.64301
2022-06-28,8.8334,-0.0385,-0.43395
2022-06-27,8.8719,-0.0829,-0.92576
2022-06-26,8.9548,0.0166,0.18572
2022-06-23,8.9382,0.1206,1.36772
2022-06-22,8.8176,0.0474,0.54047
2022-06-21,8.7702,,
2022-06-20,8.8018,0.1221,1.40673
2022-06-16,8.6797,-0.0128,-0.14725
2022-06-15,8.6925,-0.2623,-2.92916
2022-06-14,8.9548,0.0765,0.86165
2022-06-13,8.8783,-0.0161,-0.18101
2022-06-12,8.8944,-0.2639,-2.88154
2022-06-09,9.1583,-0.1591,-1.70756
2022-06-08,9.3174,-0.1163,-1.23281
2022-06-07,9.4337,-0.0661,-0.6958
2022-06-06,9.4998,0.0484,0.51209
2022-06-05,9.4514,-0.0695,-0.72997
2022-06-01,9.5209,0.0667,0.70551
2022-05-31,9.4542,-0.0304,-0.32052
2022-05-30,9.4846,-0.0305,-0.32054
2022-05-26,9.5151,0.1052,1.11797
2022-05-25,9.4099,0.1341,1.4457
2022-05-24,9.2758,0.0946,1.03037
2022-05-23,9.1812,-0.0297,-0.32244
2022-05-22,9.2109,0.0964,1.05766
2022-05-19,9.1145,-0.0089,-0.09755
2022-05-18,9.1234,-0.0266,-0.29071
2022-05-17,9.15,-0.2158,-2.30413
2022-05-16,9.3658,0.0108,0.11545
2022-05-15,9.355,-0.0098,-0.10465
2022-05-12,9.3648,0.1038,1.12083
2022-05-11,9.261,-0.0059,-0.06367
2022-05-10,9.2669,-0.0781,-0.83574
2022-05-09,9.345,0.0321,0.34468
2022-05-08,9.3129,-0.1869,-1.96741
2022-05-05,9.4998,-0.0395,-0.41408
2022-05-04,9.5393,-0.1721,-1.77214
2022-05-03,9.7114,0.1578,1.65173
2022-05-02,9.5536,0.0804,0.84871
2022-04-28,9.4732,-0.2036,-2.104
2022-04-27,9.6768,0.1181,1.23552
2022-04-26,9.5587,0.0065,0.06805
2022-04-25,9.5522,-0.1176,-1.21616
2022-04-24,9.6698,0.0291,0.30185
2022-04-21,9.6407,-0.1399,-1.43038
2022-04-20,9.7806,-0.0899,-0.91079
2022-04-19,9.8705,0.0267,0.27124
2022-04-18,9.8438,-0.0125,-0.12682
2022-04-17,9.8563,-0.006,-0.06084
2022-04-13,9.8623,-0.0633,-0.63774
2022-04-12,9.9256,0.0764,0.7757
2022-04-11,9.8492,0.0109,0.11079
2022-04-10,9.8383,-0.1015,-1.02115
2022-04-07,9.9398,-0.0218,-0.21884
2022-04-06,9.9616,0.0219,0.22033
2022-04-05,9.9397,-0.1291,-1.28218
2022-03-31,10.0688,0.0119,0.11833
2022-03-30,10.0569,-0.0844,-0.83224
2022-03-29,10.1413,-0.027,-0.26553
2022-03-28,10.1683,0.0793,0.786
2022-03-27,10.089,0.0304,0.30223
2022-03-24,10.0586,0.0151,0.15035
2022-03-23,10.0435,0.067,0.67158
2022-03-22,9.9765,-0.0483,-0.48181
2022-03-21,10.0248,0.0378,0.37849
2022-03-20,9.987,0.0032,0.03205
2022-03-17,9.9838,0.0645,0.65025
2022-03-16,9.9193,0.0944,0.96082
2022-03-15,9.8249,0.0419,0.42829
2022-03-14,9.783,0.1147,1.18635
2022-03-13,9.6683,-0.0783,-0.80336
2022-03-10,9.7466,-0.0753,-0.76665
2022-03-09,9.8219,-0.0174,-0.17684
2022-03-08,9.8393,0.1458,1.5041
2022-03-07,9.6935,-0.04,-0.41095
2022-03-06,9.7335,-0.1776,-1.79193
2022-03-03,9.9111,-0.0714,-0.71525
2022-03-02,9.9825,-0.0273,-0.27273
2022-03-01,10.0098,0.1007,1.01624
2022-02-28,9.9091,-0.0446,-0.44807
2022-02-24,9.9537,0.1541,1.57251
2022-02-23,9.7996,0.0663,0.68117
2022-02-22,9.7333,-0.1053,-1.07027
2022-02-21,9.8386,-0.0676,-0.6824
2022-02-17,9.9062,-0.0292,-0.2939
2022-02-16,9.9354,-0.1251,-1.24348
2022-02-15,10.0605,-0.0653,-0.64489
2022-02-14,10.1258,0.091,0.90684
2022-02-13,10.0348,-0.0297,-0.2951
2022-02-10,10.0645,-0.1199,-1.17729
2022-02-09,10.1844,-0.1373,-1.33021
2022-02-08,10.3217,0.0903,0.88258
2022-02-07,10.2314,0.0521,0.51182
2022-02-06,10.1793,0.1686,1.6842
2022-01-25,10.0107,-0.0121,-0.12072
