tradeDate,nav,change,changePercent
2022-08-30,4.9616,0.0009,0.01814
2022-08-29,4.9607,-0.0011,-0.02217
2022-08-28,4.9618,-0.0207,-0.41545
2022-08-25,4.9825,0.0359,0.72575
2022-08-24,4.9466,0.0785,1.61254
2022-08-23,4.8681,0.0686,1.42932
2022-08-22,4.7995,0.0196,0.41005
2022-08-21,4.7799,0.0335,0.7058
2022-08-18,4.7464,0.0116,0.24499
2022-08-17,4.7348,-0.0224,-0.47087
2022-08-16,4.7572,-0.0133,-0.2788
2022-08-15,4.7705,0.0514,1.08919
2022-08-14,4.7191,0.0185,0.39357
2022-08-11,4.7006,-0.0082,-0.17414
2022-08-10,4.7088,0.0102,0.21709
2022-08-09,4.6986,-0.0028,-0.05956
2022-08-07,4.7014,-0.013,-0.27575
2022-08-04,4.7144,-0.0127,-0.26866
2022-08-03,4.7271,-0.0092,-0.19424
2022-08-02,4.7363,-0.0462,-0.96602
2022-08-01,4.7825,-0.0519,-1.07356
2022-07-31,4.8344,0.0437,0.91218
2022-07-28,4.7907,0.036,0.75715
2022-07-27,4.7547,0.0163,0.344
2022-07-26,4.7384,0.012,0.25389
2022-07-25,4.7264,0.0232,0.49328
2022-07-24,4.7032,0.043,0.92271
2022-07-21,4.6602,0.0412,0.89197
2022-07-20,4.619,0.0101,0.21914
2022-07-19,4.6089,-0.0138,-0.29853
2022-07-18,4.6227,-0.0183,-0.39431
2022-07-17,4.641,-0.0172,-0.36924
2022-07-14,4.6582,-0.0174,-0.37214
2022-07-13,4.6756,0.0096,0.20574
2022-07-12,4.666,-0.0533,-1.1294
2022-07-11,4.7193,-0.1281,-2.64265
2022-07-07,4.8474,-0.0117,-0.24079
2022-07-06,4.8591,-0.0652,-1.32405
2022-07-05,4.9243,-0.0487,-0.97929
2022-07-04,4.973,-0.135,-2.64291
2022-06-30,5.108,-0.0043,-0.08411
2022-06-29,5.1123,-0.0483,-0.93594
2022-06-28,5.1606,-0.0562,-1.07729
2022-06-27,5.2168,-0.0125,-0.23904
2022-06-26,5.2293,-0.0051,-0.09743
2022-06-23,5.2344,-0.0557,-1.05291
2022-06-22,5.2901,-0.0593,-1.10854
2022-06-21,5.3494,,
2022-06-20,5.3784,-0.1102,-2.0078
2022-06-16,5.4886,-0.0523,-0.94389
2022-06-15,5.5409,-0.0024,-0.0433
2022-06-14,5.5433,-0.0001,-0.0018
2022-06-13,5.5434,-0.0473,-0.84605
2022-06-12,5.5907,-0.0472,-0.83719
2022-06-09,5.6379,-0.029,-0.51174
2022-06-08,5.6669,-0.0019,-0.03352
2022-06-07,5.6688,-0.0155,-0.27268
2022-06-06,5.6843,-0.0027,-0.04748
2022-06-05,5.687,0.0002,0.00352
2022-06-01,5.6868,-0.0291,-0.50911
2022-05-31,5.7159,-0.0131,-0.22866
2022-05-30,5.729,-0.0296,-0.51401
2022-05-26,5.7586,-0.0177,-0.30642
2022-05-25,5.7763,0.0039,0.06756
2022-05-24,5.7724,-0.012,-0.20745
2022-05-23,5.7844,0.0031,0.05362
2022-05-22,5.7813,0.0165,0.28622
2022-05-19,5.7648,0.0143,0.24867
2022-05-18,5.7505,-0.0144,-0.24979
2022-05-17,5.7649,-0.0154,-0.26642
2022-05-16,5.7803,-0.0282,-0.4855
2022-05-12,5.8085,-0.0256,-0.4388
2022-05-11,5.8341,-0.0752,-1.27257
2022-05-10,5.9093,-0.0299,-0.50343
2022-05-09,5.9392,-0.0549,-0.9159
2022-05-08,5.9941,0.0061,0.10187
2022-05-05,5.988,-0.0247,-0.4108
2022-05-04,6.0127,-0.0532,-0.87703
2022-05-03,6.0659,0.0123,0.20318
2022-04-28,6.0536,0.0747,1.24939
2022-04-27,5.9789,0.054,0.91141
2022-04-26,5.9249,-0.0069,-0.11632
2022-04-25,5.9318,-0.0101,-0.16998
2022-04-24,5.9419,-0.0402,-0.672
2022-04-21,5.9821,-0.0232,-0.38633
2022-04-20,6.0053,-0.0451,-0.74541
2022-04-19,6.0504,-0.0358,-0.58822
2022-04-18,6.0862,-0.0158,-0.25893
2022-04-17,6.102,0.0189,0.3107
2022-04-13,6.0831,0.019,0.31332
2022-04-12,6.0641,-0.0004,-0.0066
2022-04-11,6.0645,-0.0703,-1.14592
2022-04-10,6.1348,-0.1062,-1.70165
2022-04-07,6.241,-0.0149,-0.23818
2022-04-06,6.2559,-0.0158,-0.25193
2022-04-05,6.2717,0.2572,4.27633
2022-03-31,6.0145,0.0234,0.39058
2022-03-30,5.9911,0.1038,1.76312
2022-03-29,5.8873,0.1573,2.7452
2022-03-28,5.73,0.1096,1.95004
2022-03-27,5.6204,0.086,1.55392
2022-03-24,5.5344,-0.0076,-0.13713
2022-03-23,5.542,-0.0081,-0.14594
2022-03-22,5.5501,0.0722,1.31802
2022-03-21,5.4779,0.0283,0.5193
2022-03-20,5.4496,0.0787,1.4653
2022-03-17,5.3709,0.0386,0.72389
2022-03-16,5.3323,0.1748,3.38924
2022-03-15,5.1575,0.0,0.0
2022-03-14,5.1575,-0.1635,-3.07273
2022-03-13,5.321,-0.0987,-1.82113
2022-03-10,5.4197,-0.0552,-1.00824
2022-03-09,5.4749,0.0325,0.59716
2022-03-08,5.4424,-0.1191,-2.14151
2022-03-07,5.5615,-0.1176,-2.07075
2022-03-06,5.6791,-0.0669,-1.16429
2022-03-03,5.746,-0.0505,-0.87122
2022-03-02,5.7965,-0.1024,-1.73592
2022-03-01,5.8989,-0.1438,-2.37973
2022-02-28,6.0427,-0.1094,-1.77825
2022-02-24,6.1521,-0.0982,-1.57112
2022-02-23,6.2503,-0.1034,-1.6274
2022-02-22,6.3537,0.0298,0.47123
2022-02-21,6.3239,-0.0197,-0.31055
2022-02-17,6.3436,0.0417,0.66171
2022-02-16,6.3019,-0.0135,-0.21376
2022-02-15,6.3154,-0.0126,-0.19912
2022-02-14,6.328,-0.0939,-1.46218
2022-02-13,6.4219,-0.0893,-1.37148
2022-02-10,6.5112,-0.0347,-0.5301
2022-02-09,6.5459,0.028,0.42959
2022-02-08,6.5179,0.0314,0.48408
2022-02-07,6.4865,-0.0944,-1.43445
2022-02-06,6.5809,-0.0669,-1.00635
2022-01-27,6.6478,-0.0851,-1.26394
2022-01-26,6.7329,-0.0521,-0.76787
2022-01-25,6.785,0.0497,0.7379
2022-01-24,6.7353,0.0163,0.2426
2022-01-23,6.719,0.0536,0.80415
2022-01-20,6.6654,0.1243,1.90029
2022-01-19,6.5411,0.1137,1.76899
2022-01-18,6.4274,0.1829,2.92898
2022-01-17,6.2445,-0.1902,-2.95585
2022-01-13,6.4347,-0.1164,-1.7768
2022-01-12,6.5511,-0.1055,-1.58489
2022-01-11,6.6566,-0.142,-2.08867
2022-01-10,6.7986,-0.101,-1.46385
2022-01-09,6.8996,-0.0657,-0.94325
2022-01-06,6.9653,-0.0416,-0.5937
2022-01-05,7.0069,-0.0877,-1.23615
2022-01-04,7.0946,-0.0808,-1.12607
2022-01-03,7.1754,-0.0822,-1.13261
2022-01-02,7.2576,-0.0085,-0.11698
2021-12-29,7.2661,-0.009,-0.12371
2021-12-28,7.2751,-0.0081,-0.11121
2021-12-27,7.2832,-0.005,-0.0686
2021-12-26,7.2882,-0.0072,-0.09869
2021-12-22,7.2954,-0.0109,-0.14919
2021-12-21,7.3063,-0.0031,-0.04241
2021-12-20,7.3094,-0.0192,-0.26199
2021-12-19,7.3286,-0.0065,-0.08862
2021-12-16,7.3351,-0.004,-0.0545
2021-12-15,7.3391,-0.0091,-0.12384
2021-12-14,7.3482,-0.0483,-0.65301
2021-12-13,7.3965,-0.0674,-0.90301
2021-12-12,7.4639,-0.0298,-0.39767
2021-12-09,7.4937,0.0721,0.97149
2021-12-08,7.4216,0.092,1.25518
2021-12-07,7.3296,0.066,0.90864
2021-12-06,7.2636,0.0776,1.07988
2021-12-05,7.186,0.0026,0.03619
2021-12-02,7.1834,-0.0325,-0.45039
2021-12-01,7.2159,-0.0417,-0.57457
2021-11-30,7.2576,-0.0642,-0.87683
2021-11-29,7.3218,0.005,0.06834
2021-11-28,7.3168,-0.0901,-1.21643
2021-11-25,7.4069,-0.122,-1.62042
2021-11-23,7.5289,-0.0328,-0.43376
2021-11-22,7.5617,-0.021,-0.27695
2021-11-21,7.5827,0.0281,0.37196
2021-11-18,7.5546,0.0498,0.66358
2021-11-17,7.5048,0.0345,0.46183
2021-11-16,7.4703,-0.0076,-0.10163
2021-11-15,7.4779,-0.0653,-0.86568
2021-11-14,7.5432,0.137,1.8498
2021-11-11,7.4062,0.6075,8.93553
2021-11-09,6.7987,0.0984,1.46859
2021-11-08,6.7003,-0.1432,-2.0925
2021-11-07,6.8435,-0.1857,-2.64184
2021-11-04,7.0292,-0.2583,-3.54443
2021-11-02,7.2875,0.0056,0.0769
2021-11-01,7.2819,-0.1481,-1.99327
2021-10-31,7.43,-0.181,-2.37814
2021-10-28,7.611,-0.0437,-0.57089
2021-10-27,7.6547,-0.1291,-1.65857
2021-10-26,7.7838,-0.0381,-0.48709
2021-10-25,7.8219,-0.066,-0.83672
2021-10-24,7.8879,-0.0905,-1.13431
2021-10-21,7.9784,-0.0035,-0.04385
