tradeDate,nav,change,changePercent
2022-08-31,11.73,-0.03,-0.2551
2022-08-30,11.76,-0.21,-1.75439
2022-08-29,11.97,-0.08,-0.6639
2022-08-28,12.05,-0.09,-0.74135
2022-08-25,12.14,-0.26,-2.09677
2022-08-24,12.4,0.15,1.22449
2022-08-23,12.25,0.02,0.16353
2022-08-22,12.23,-0.02,-0.16327
2022-08-21,12.25,-0.19,-1.52733
2022-08-18,12.44,-0.13,-1.03421
2022-08-17,12.57,0.01,0.07962
2022-08-16,12.56,-0.11,-0.86819
2022-08-15,12.67,-0.02,-0.1576
2022-08-14,12.69,0.03,0.23697
2022-08-11,12.66,0.1,0.79618
2022-08-10,12.56,-0.03,-0.23828
2022-08-09,12.59,0.19,1.53226
2022-08-08,12.4,-0.09,-0.72058
2022-08-07,12.49,0.02,0.16038
2022-08-04,12.47,-0.01,-0.08013
2022-08-03,12.48,0.03,0.24096
2022-08-02,12.45,0.11,0.89141
2022-08-01,12.34,-0.03,-0.24252
2022-07-31,12.37,-0.01,-0.08078
2022-07-28,12.38,-0.11,-0.8807
2022-07-27,12.49,0.13,1.05178
2022-07-26,12.36,0.2,1.64474
2022-07-25,12.16,-0.09,-0.73469
2022-07-24,12.25,0.0,0.0
2022-07-21,12.25,-0.07,-0.56818
2022-07-20,12.32,0.1,0.81833
2022-07-19,12.22,0.09,0.74196
2022-07-18,12.13,0.18,1.50628
2022-07-17,11.95,-0.03,-0.25042
2022-07-14,11.98,0.15,1.26796
2022-07-13,11.83,-0.03,-0.25295
2022-07-12,11.86,,
2022-07-11,11.89,-0.07,-0.58528
2022-07-10,11.96,-0.08,-0.66445
2022-07-07,12.04,0.01,0.08313
2022-07-06,12.03,0.14,1.17746
2022-07-05,11.89,0.02,0.16849
2022-07-04,11.87,0.06,0.50804
2022-06-30,11.81,0.07,0.59625
2022-06-29,11.74,-0.26,-2.16667
2022-06-28,12.0,-0.01,-0.08326
2022-06-27,12.01,-0.17,-1.39573
2022-06-26,12.18,-0.02,-0.16393
2022-06-23,12.2,0.2,1.66667
2022-06-22,12.0,0.12,1.0101
2022-06-21,11.88,-0.01,-0.0841
2022-06-20,11.89,0.16,1.36402
2022-06-16,11.73,0.04,0.34217
2022-06-15,11.69,-0.27,-2.25753
2022-06-14,11.96,0.18,1.52801
2022-06-13,11.78,-0.01,-0.08482
2022-06-12,11.79,-0.47,-3.83361
2022-06-09,12.26,-0.29,-2.31076
2022-06-08,12.55,-0.17,-1.33648
2022-06-07,12.72,-0.08,-0.625
2022-06-06,12.8,0.07,0.54988
2022-06-05,12.73,-0.11,-0.8567
2022-06-01,12.84,0.19,1.50198
2022-05-31,12.65,-0.12,-0.9397
2022-05-30,12.77,-0.18,-1.38996
2022-05-26,12.95,0.17,1.3302
2022-05-25,12.78,0.19,1.50913
2022-05-24,12.59,0.12,0.96231
2022-05-23,12.47,-0.06,-0.47885
2022-05-22,12.53,0.1,0.80451
2022-05-19,12.43,0.03,0.24194
2022-05-18,12.4,0.03,0.24252
2022-05-17,12.37,-0.27,-2.13608
2022-05-16,12.64,0.14,1.12
2022-05-15,12.5,-0.04,-0.31898
2022-05-12,12.54,0.22,1.78571
2022-05-11,12.32,-0.02,-0.16207
2022-05-10,12.34,-0.1,-0.80386
2022-05-09,12.44,0.02,0.16103
2022-05-08,12.42,-0.33,-2.58824
2022-05-05,12.75,-0.12,-0.9324
2022-05-04,12.87,-0.3,-2.2779
2022-05-03,13.17,0.17,1.30769
2022-05-02,13.0,0.07,0.54138
2022-04-28,12.93,-0.42,-3.14607
2022-04-27,13.35,0.17,1.28983
2022-04-26,13.18,-0.02,-0.15152
2022-04-25,13.2,-0.2,-1.49254
2022-04-24,13.4,0.05,0.37453
2022-04-21,13.35,-0.24,-1.766
2022-04-20,13.59,-0.18,-1.30719
2022-04-19,13.77,0.01,0.07267
2022-04-18,13.76,0.1,0.73206
2022-04-17,13.66,-0.02,-0.1462
2022-04-13,13.68,-0.1,-0.72569
2022-04-12,13.78,0.12,0.87848
2022-04-11,13.66,-0.01,-0.07315
2022-04-10,13.67,-0.14,-1.01376
2022-04-07,13.81,-0.05,-0.36075
2022-04-06,13.86,0.0,0.0
2022-04-05,13.86,-0.18,-1.28205
2022-03-31,14.04,0.02,0.14265
2022-03-30,14.02,-0.23,-1.61404
2022-03-29,14.25,-0.06,-0.41929
2022-03-28,14.31,0.17,1.20226
2022-03-27,14.14,0.05,0.35486
2022-03-24,14.09,-0.03,-0.21246
2022-03-23,14.12,0.1,0.71327
2022-03-22,14.02,-0.11,-0.77849
2022-03-21,14.13,0.08,0.5694
2022-03-20,14.05,-0.07,-0.49575
2022-03-17,14.12,0.1,0.71327
2022-03-16,14.02,0.12,0.86331
2022-03-15,13.9,0.24,1.75695
2022-03-14,13.66,0.17,1.26019
2022-03-13,13.49,-0.16,-1.17216
2022-03-10,13.65,-0.13,-0.9434
2022-03-09,13.78,-0.06,-0.43353
2022-03-08,13.84,0.24,1.76471
2022-03-07,13.6,-0.08,-0.5848
2022-03-06,13.68,-0.28,-2.00573
2022-03-03,13.96,-0.1,-0.71124
2022-03-02,14.06,-0.09,-0.63604
2022-03-01,14.15,0.1,0.71174
2022-02-28,14.05,-0.11,-0.77684
2022-02-24,14.16,0.04,0.28329
2022-02-23,14.12,0.16,1.14613
2022-02-22,13.96,-0.14,-0.99291
2022-02-21,14.1,-0.07,-0.494
2022-02-17,14.17,-0.07,-0.49157
2022-02-16,14.24,-0.16,-1.11111
2022-02-15,14.4,0.01,0.06949
2022-02-14,14.39,0.15,1.05337
2022-02-13,14.24,-0.06,-0.41958
2022-02-10,14.3,-0.19,-1.31125
2022-02-09,14.49,-0.18,-1.22699
2022-02-08,14.67,0.17,1.17241
2022-02-07,14.5,0.05,0.34602
2022-02-06,14.45,0.21,1.47472
2022-01-25,14.24,-0.16,-1.11111
2022-01-24,14.4,-0.17,-1.16678
2022-01-23,14.57,0.04,0.27529
2022-01-20,14.53,-0.19,-1.29076
2022-01-19,14.72,-0.09,-0.6077
2022-01-18,14.81,-0.05,-0.33647
2022-01-17,14.86,-0.22,-1.45889
2022-01-13,15.08,-0.01,-0.06627
2022-01-12,15.09,-0.16,-1.04918
2022-01-11,15.25,0.02,0.13132
2022-01-10,15.23,0.12,0.79418
2022-01-09,15.11,-0.02,-0.13219
2022-01-06,15.13,-0.11,-0.72178
2022-01-05,15.24,-0.03,-0.19646
2022-01-04,15.27,-0.24,-1.54739
2022-01-03,15.51,-0.08,-0.51315
2022-01-02,15.59,-0.05,-0.31969
2021-12-29,15.64,-0.15,-0.94997
2021-12-28,15.79,0.0,0.0
2021-12-27,15.79,-0.03,-0.18963
2021-12-26,15.82,0.12,0.76433
2021-12-22,15.7,0.06,0.38363
2021-12-21,15.64,0.11,0.70831
2021-12-20,15.53,0.2,1.30463
2021-12-19,15.33,-0.09,-0.58366
2021-12-16,15.42,-0.04,-0.25873
