tradeDate,nav,change,changePercent
2022-08-31,35.2262,-0.5778,-1.61379
2022-08-30,35.804,-0.3932,-1.08627
2022-08-29,36.1972,0.2193,0.60954
2022-08-28,35.9779,-0.1021,-0.28298
2022-08-25,36.08,0.303,0.84691
2022-08-24,35.777,0.3964,1.12039
2022-08-23,35.3806,-0.1741,-0.48967
2022-08-22,35.5547,-0.0702,-0.19705
2022-08-21,35.6249,-0.0515,-0.14435
2022-08-18,35.6764,-0.5362,-1.4807
2022-08-17,36.2126,0.0744,0.20588
2022-08-16,36.1382,-0.4228,-1.15642
2022-08-15,36.561,0.1754,0.48206
2022-08-14,36.3856,-0.0061,-0.01676
2022-08-11,36.3917,0.3832,1.06419
2022-08-10,36.0085,-0.9478,-2.56465
2022-08-09,36.9563,-0.2074,-0.55807
2022-08-08,37.1637,-0.1549,-0.41507
2022-08-07,37.3186,0.642,1.75043
2022-08-04,36.6766,-0.9119,-2.42601
2022-08-03,37.5885,-0.0494,-0.13125
2022-08-02,37.6379,0.563,1.51855
2022-08-01,37.0749,-0.7285,-1.92708
2022-07-31,37.8034,0.9449,2.56359
2022-07-28,36.8585,-0.0844,-0.22846
2022-07-27,36.9429,0.256,0.6978
2022-07-26,36.6869,-0.1701,-0.46151
2022-07-25,36.857,0.0515,0.13992
2022-07-24,36.8055,-0.4238,-1.13835
2022-07-21,37.2293,0.6612,1.80813
2022-07-20,36.5681,0.6143,1.70858
2022-07-19,35.9538,0.1103,0.30773
2022-07-18,35.8435,-0.2248,-0.62326
2022-07-17,36.0683,-0.7118,-1.93529
2022-07-14,36.7801,0.3008,0.82458
2022-07-13,36.4793,-0.298,-0.81028
2022-07-12,36.7773,0.3967,1.09042
2022-07-11,36.3806,0.2714,0.75161
2022-07-10,36.1092,0.6466,1.82333
2022-07-07,35.4626,-0.4075,-1.13604
2022-07-06,35.8701,-0.3523,-0.9726
2022-07-05,36.2224,-0.5393,-1.46702
2022-07-04,36.7617,0.3083,0.84574
2022-06-30,36.4534,0.4199,1.1653
2022-06-29,36.0335,0.3663,1.02699
2022-06-28,35.6672,0.566,1.61248
2022-06-27,35.1012,0.1826,0.52293
2022-06-26,34.9186,-0.4303,-1.21729
2022-06-23,35.3489,-0.5496,-1.53098
2022-06-22,35.8985,0.29,0.81441
2022-06-21,35.6085,,
2022-06-20,34.5866,-0.6594,-1.87085
2022-06-16,35.246,0.1697,0.4838
2022-06-15,35.0763,0.2208,0.63347
2022-06-14,34.8555,0.6999,2.04915
2022-06-13,34.1556,-0.4987,-1.43907
2022-06-12,34.6543,-0.9162,-2.57573
2022-06-09,35.5705,-0.1448,-0.40543
2022-06-08,35.7153,0.1291,0.36278
2022-06-07,35.5862,-0.2986,-0.83211
2022-06-06,35.8848,0.4835,1.36577
2022-06-05,35.4013,-0.7097,-1.96533
2022-06-01,36.111,0.1797,0.50012
2022-05-31,35.9313,0.2357,0.66031
2022-05-30,35.6956,-1.1025,-2.99608
2022-05-26,36.7981,-0.1062,-0.28777
2022-05-25,36.9043,-0.2497,-0.67207
2022-05-24,37.154,0.0582,0.15689
2022-05-23,37.0958,0.6912,1.89866
2022-05-22,36.4046,-0.6372,-1.72022
2022-05-19,37.0418,0.2973,0.8091
2022-05-18,36.7445,0.15,0.4099
2022-05-17,36.5945,0.7313,2.03914
2022-05-16,35.8632,-0.5341,-1.46742
2022-05-15,36.3973,-0.0484,-0.1328
2022-05-12,36.4457,-0.5416,-1.46429
2022-05-11,36.9873,0.0965,0.26158
2022-05-10,36.8908,0.6624,1.8284
2022-05-09,36.2284,0.2712,0.75423
2022-05-08,35.9572,0.3684,1.03516
2022-05-05,35.5888,-0.3204,-0.89225
2022-05-04,35.9092,-1.0059,-2.7249
2022-05-03,36.9151,0.1704,0.46374
2022-05-02,36.7447,-0.3181,-0.85827
2022-04-28,37.0628,-0.5216,-1.38781
2022-04-27,37.5844,0.1993,0.5331
2022-04-26,37.3851,-0.3482,-0.92279
2022-04-25,37.7333,0.2841,0.75863
2022-04-24,37.4492,0.4842,1.30989
2022-04-21,36.965,-0.1549,-0.4173
2022-04-20,37.1199,-0.349,-0.93144
2022-04-19,37.4689,0.4947,1.33796
2022-04-18,36.9742,-0.2197,-0.59069
2022-04-17,37.1939,0.0713,0.19207
2022-04-13,37.1226,-0.8293,-2.18513
2022-04-12,37.9519,-0.0937,-0.24628
2022-04-11,38.0456,0.1006,0.26512
2022-04-10,37.945,-0.3751,-0.97886
2022-04-07,38.3201,-0.3528,-0.91227
2022-04-06,38.6729,-0.1826,-0.46995
2022-04-05,38.8555,-1.3896,-3.45284
2022-03-31,40.2451,0.1937,0.48363
2022-03-30,40.0514,0.2553,0.64152
2022-03-29,39.7961,-0.0285,-0.07156
2022-03-28,39.8246,0.3461,0.87668
2022-03-27,39.4785,0.5353,1.37457
2022-03-24,38.9432,-0.5177,-1.31193
2022-03-23,39.4609,-0.2701,-0.67982
2022-03-22,39.731,0.8605,2.21376
2022-03-21,38.8705,-0.3767,-0.95981
2022-03-20,39.2472,-0.7194,-1.8
2022-03-17,39.9666,0.2769,0.69766
2022-03-16,39.6897,-0.589,-1.46231
2022-03-15,40.2787,0.4248,1.06589
2022-03-14,39.8539,0.0863,0.21701
2022-03-13,39.7676,-0.7676,-1.89366
2022-03-10,40.5352,0.2204,0.5467
