tradeDate,nav,change,changePercent
2022-08-31,31.7333,-0.5401,-1.67351
2022-08-30,32.2734,-0.3442,-1.05526
2022-08-29,32.6176,0.0555,0.17044
2022-08-28,32.5621,-0.2084,-0.63594
2022-08-25,32.7705,0.0644,0.19691
2022-08-24,32.7061,0.3944,1.22061
2022-08-23,32.3117,-0.1078,-0.33252
2022-08-22,32.4195,-0.0016,-0.00494
2022-08-21,32.4211,-0.1955,-0.59939
2022-08-18,32.6166,-0.5221,-1.5755
2022-08-17,33.1387,-0.2806,-0.83963
2022-08-16,33.4193,-0.3202,-0.94904
2022-08-15,33.7395,-0.098,-0.28962
2022-08-14,33.8375,0.2349,0.69905
2022-08-11,33.6026,0.3231,0.97087
2022-08-10,33.2795,-0.374,-1.11133
2022-08-09,33.6535,0.1288,0.38419
2022-08-08,33.5247,-0.199,-0.59009
2022-08-07,33.7237,0.3791,1.13692
2022-08-04,33.3446,-0.5864,-1.72821
2022-08-03,33.931,0.1199,0.35462
2022-08-02,33.8111,0.176,0.52326
2022-08-01,33.6351,-0.3542,-1.04209
2022-07-31,33.9893,0.3542,1.05307
2022-07-28,33.6351,0.4649,1.40156
2022-07-27,33.1702,0.0273,0.08237
2022-07-26,33.1429,0.1844,0.55949
2022-07-25,32.9585,0.0556,0.16898
2022-07-24,32.9029,-0.3244,-0.97631
2022-07-21,33.2273,0.3827,1.16518
2022-07-20,32.8446,0.5314,1.64453
2022-07-19,32.3132,0.1279,0.39739
2022-07-18,32.1853,-0.142,-0.43926
2022-07-17,32.3273,-0.1269,-0.39101
2022-07-14,32.4542,0.2635,0.81856
2022-07-13,32.1907,,
2022-07-12,32.3588,0.0443,0.13709
2022-07-11,32.3145,0.1657,0.51542
2022-07-10,32.1488,0.4479,1.41289
2022-07-07,31.7009,-0.1529,-0.48001
2022-07-06,31.8538,-0.0706,-0.22115
2022-07-05,31.9244,-0.2823,-0.87653
2022-07-04,32.2067,0.284,0.88965
2022-06-30,31.9227,0.0222,0.06959
2022-06-29,31.9005,0.1897,0.59822
2022-06-28,31.7108,0.3215,1.02423
2022-06-27,31.3893,-0.1145,-0.36345
2022-06-26,31.5038,-0.2749,-0.86504
2022-06-23,31.7787,-0.2002,-0.62604
2022-06-22,31.9789,0.1331,0.41795
2022-06-21,31.8458,0.5052,1.61197
2022-06-20,31.3406,-0.3353,-1.05853
