tradeDate,nav,change,changePercent
2022-08-31,10.17,-0.11,-1.07004
2022-08-30,10.28,-0.03,-0.29098
2022-08-29,10.31,0.0,0.0
2022-08-28,10.31,-0.08,-0.76997
2022-08-25,10.39,-0.04,-0.38351
2022-08-24,10.43,0.1,0.96805
2022-08-23,10.33,-0.07,-0.67308
2022-08-22,10.4,-0.03,-0.28763
2022-08-21,10.43,-0.07,-0.66667
2022-08-18,10.5,-0.11,-1.03676
2022-08-17,10.61,-0.07,-0.65543
2022-08-16,10.68,-0.05,-0.46598
2022-08-15,10.73,-0.04,-0.3714
2022-08-14,10.77,-0.04,-0.37003
2022-08-11,10.81,-0.04,-0.36866
2022-08-10,10.85,0.07,0.64935
2022-08-09,10.78,0.09,0.84191
2022-08-08,10.69,0.01,0.09363
2022-08-07,10.68,0.0,0.0
2022-08-04,10.68,-0.07,-0.65116
2022-08-03,10.75,0.1,0.93897
2022-08-02,10.65,0.01,0.09398
2022-08-01,10.64,-0.17,-1.57262
2022-07-31,10.81,0.06,0.55814
2022-07-28,10.75,0.1,0.93897
2022-07-27,10.65,0.04,0.377
2022-07-26,10.61,0.04,0.37843
2022-07-25,10.57,0.01,0.0947
2022-07-24,10.56,0.05,0.47574
2022-07-21,10.51,0.05,0.47801
2022-07-20,10.46,-0.05,-0.47574
2022-07-19,10.51,0.07,0.6705
2022-07-18,10.44,0.07,0.67502
2022-07-17,10.37,0.06,0.58196
2022-07-14,10.31,0.06,0.58537
2022-07-13,10.25,-0.08,-0.77444
2022-07-12,10.33,0.02,0.19399
2022-07-11,10.31,0.02,0.19436
2022-07-10,10.29,-0.11,-1.05769
2022-07-07,10.4,0.07,0.67764
2022-07-06,10.33,0.05,0.48638
2022-07-05,10.28,0.09,0.88322
2022-07-04,10.19,-0.12,-1.16392
2022-07-03,10.31,0.08,0.78201
2022-06-30,10.23,-0.05,-0.48638
2022-06-29,10.28,-0.11,-1.05871
2022-06-28,10.39,-0.13,-1.23574
2022-06-27,10.52,0.07,0.66986
2022-06-26,10.45,0.05,0.48077
2022-06-23,10.4,0.15,1.46341
2022-06-22,10.25,0.08,0.78663
2022-06-21,10.17,-0.08,-0.78049
2022-06-20,10.25,0.03,0.29354
2022-06-19,10.22,0.12,1.18812
2022-06-16,10.1,-0.11,-1.07738
2022-06-15,10.21,0.02,0.19627
2022-06-14,10.19,-0.01,-0.09804
2022-06-13,10.2,-0.34,-3.22581
2022-06-09,10.54,-0.18,-1.6791
2022-06-08,10.72,-0.14,-1.28913
2022-06-07,10.86,0.0,0.0
2022-06-06,10.86,-0.1,-0.91241
2022-06-05,10.96,-0.05,-0.45413
2022-06-01,11.01,0.03,0.27322
2022-05-31,10.98,-0.01,-0.09099
2022-05-30,10.99,-0.03,-0.27223
2022-05-29,11.02,0.1,0.91575
2022-05-26,10.92,0.11,1.01758
2022-05-25,10.81,-0.03,-0.27675
2022-05-24,10.84,-0.01,-0.09217
2022-05-23,10.85,-0.05,-0.45872
2022-05-22,10.9,0.05,0.46083
2022-05-19,10.85,0.0,0.0
2022-05-18,10.85,0.03,0.27726
2022-05-17,10.82,0.04,0.37106
2022-05-16,10.78,0.08,0.74766
2022-05-15,10.7,0.05,0.46948
2022-05-12,10.65,0.22,2.1093
2022-05-11,10.43,-0.18,-1.69651
2022-05-10,10.61,0.06,0.56872
2022-05-09,10.55,-0.09,-0.84586
2022-05-08,10.64,-0.21,-1.93548
2022-05-05,10.85,-0.2,-1.80995
2022-05-04,11.05,-0.03,-0.27076
2022-05-03,11.08,0.09,0.81893
2022-05-02,10.99,-0.15,-1.3465
2022-04-28,11.14,-0.02,-0.17921
2022-04-27,11.16,0.02,0.17953
2022-04-26,11.14,-0.01,-0.08969
2022-04-25,11.15,-0.15,-1.32743
2022-04-21,11.3,-0.14,-1.22378
2022-04-20,11.44,0.04,0.35088
2022-04-19,11.4,0.06,0.5291
2022-04-18,11.34,-0.04,-0.35149
2022-04-13,11.38,0.04,0.35273
2022-04-12,11.34,-0.02,-0.17606
2022-04-11,11.36,0.01,0.08811
2022-04-10,11.35,-0.07,-0.61296
2022-04-07,11.42,-0.01,-0.08749
2022-04-06,11.43,-0.03,-0.26178
2022-04-05,11.46,-0.01,-0.08718
2022-03-31,11.47,0.04,0.34996
2022-03-30,11.43,-0.05,-0.43554
2022-03-29,11.48,0.04,0.34965
2022-03-28,11.44,0.06,0.52724
2022-03-27,11.38,-0.03,-0.26293
2022-03-24,11.41,0.03,0.26362
2022-03-23,11.38,0.05,0.44131
2022-03-22,11.33,-0.03,-0.26408
2022-03-21,11.36,0.07,0.62002
2022-03-20,11.29,0.0,0.0
2022-03-17,11.29,0.07,0.62389
2022-03-16,11.22,0.22,2.0
2022-03-15,11.0,0.14,1.28913
2022-03-14,10.86,-0.09,-0.82192
2022-03-13,10.95,-0.07,-0.63521
2022-03-10,11.02,-0.09,-0.81008
2022-03-09,11.11,0.17,1.55393
2022-03-08,10.94,0.11,1.0157
2022-03-07,10.83,-0.03,-0.27624
2022-03-06,10.86,-0.11,-1.00273
2022-03-03,10.97,-0.01,-0.09107
2022-03-02,10.98,0.09,0.82645
2022-03-01,10.89,-0.06,-0.54795
2022-02-28,10.95,0.02,0.18298
2022-02-24,10.93,0.09,0.83026
2022-02-23,10.84,-0.22,-1.98915
2022-02-22,11.06,-0.02,-0.18051
2022-02-21,11.08,-0.08,-0.71685
2022-02-20,11.16,0.03,0.26954
2022-02-17,11.13,-0.01,-0.08977
2022-02-16,11.14,0.03,0.27003
2022-02-15,11.11,0.16,1.46119
2022-02-14,10.95,0.03,0.27473
2022-02-13,10.92,-0.06,-0.54645
2022-02-10,10.98,-0.12,-1.08108
2022-02-09,11.1,-0.02,-0.17986
2022-02-08,11.12,0.12,1.09091
2022-02-07,11.0,0.1,0.91743
2022-02-06,10.9,0.12,1.11317
2022-01-24,10.78,-0.14,-1.28205
2022-01-23,10.92,-0.03,-0.27397
2022-01-20,10.95,-0.09,-0.81522
2022-01-19,11.04,-0.02,-0.18083
2022-01-18,11.06,0.01,0.0905
2022-01-17,11.05,-0.02,-0.18067
2022-01-16,11.07,-0.01,-0.09025
2022-01-13,11.08,-0.1,-0.89445
2022-01-12,11.18,0.04,0.35907
2022-01-11,11.14,0.05,0.45086
2022-01-10,11.09,-0.03,-0.26978
2022-01-09,11.12,-0.07,-0.62556
2022-01-06,11.19,0.08,0.72007
2022-01-05,11.11,-0.22,-1.94175
2022-01-04,11.33,-0.05,-0.43937
2022-01-03,11.38,0.04,0.35273
2021-12-29,11.34,0.03,0.26525
2021-12-28,11.31,0.16,1.43498
2021-12-23,11.15,0.03,0.26978
2021-12-22,11.12,0.08,0.72464
2021-12-21,11.04,0.04,0.36364
2021-12-20,11.0,0.06,0.54845
2021-12-19,10.94,-0.07,-0.63579
2021-12-16,11.01,-0.08,-0.72137
2021-12-15,11.09,0.04,0.36199
2021-12-14,11.05,0.02,0.18132
2021-12-13,11.03,-0.01,-0.09058
2021-12-12,11.04,0.03,0.27248
2021-12-09,11.01,-0.01,-0.09074
2021-12-08,11.02,-0.01,-0.09066
2021-12-07,11.03,0.06,0.54695
2021-12-06,10.97,0.12,1.10599
2021-12-05,10.85,0.05,0.46296
2021-12-02,10.8,-0.05,-0.46083
2021-12-01,10.85,-0.03,-0.27574
2021-11-30,10.88,-0.05,-0.45746
2021-11-29,10.93,-0.06,-0.54595
2021-11-28,10.99,-0.12,-1.08011
2021-11-25,11.11,-0.19,-1.68142
2021-11-24,11.3,0.06,0.53381
2021-11-23,11.24,0.01,0.08905
2021-11-22,11.23,0.1,0.89847
2021-11-21,11.13,-0.04,-0.3581
2021-11-18,11.17,-0.03,-0.26786
2021-11-17,11.2,0.05,0.44843
2021-11-16,11.15,-0.02,-0.17905
2021-11-15,11.17,-0.04,-0.35682
2021-11-14,11.21,0.01,0.08929
2021-11-11,11.2,0.06,0.5386
2021-11-10,11.14,-0.06,-0.53571
2021-11-09,11.2,-0.07,-0.62112
2021-11-08,11.27,-0.09,-0.79225
2021-11-07,11.36,0.08,0.70922
2021-11-04,11.28,0.01,0.08873
2021-11-03,11.27,0.02,0.17778
2021-11-02,11.25,0.05,0.44643
2021-11-01,11.2,-0.09,-0.79717
2021-10-31,11.29,0.02,0.17746
2021-10-28,11.27,-0.13,-1.14035
2021-10-27,11.4,0.02,0.17575
2021-10-26,11.38,0.01,0.08795
2021-10-25,11.37,-0.01,-0.08787
2021-10-24,11.38,-0.01,-0.0878
2021-10-21,11.39,0.02,0.1759
2021-10-20,11.37,-0.01,-0.08787
2021-10-19,11.38,0.05,0.44131
2021-10-18,11.33,0.06,0.53239
2021-10-17,11.27,-0.04,-0.35367
2021-10-14,11.31,0.06,0.53333
2021-10-13,11.25,0.07,0.62612
2021-10-12,11.18,0.08,0.72072
2021-10-11,11.1,-0.02,-0.17986
2021-10-07,11.12,0.0,0.0
2021-10-06,11.12,0.08,0.72464
2021-10-05,11.04,-0.04,-0.36101
2021-10-04,11.08,-0.01,-0.09017
2021-10-03,11.09,0.07,0.63521
2021-09-30,11.02,-0.05,-0.45167
2021-09-29,11.07,0.12,1.09589
2021-09-28,10.95,-0.05,-0.45455
2021-09-27,11.0,-0.08,-0.72202
2021-09-26,11.08,0.0,0.0
2021-09-23,11.08,-0.16,-1.42349
2021-09-22,11.24,0.17,1.53568
2021-09-21,11.07,0.01,0.09042
2021-09-16,11.06,0.01,0.0905
2021-09-15,11.05,-0.04,-0.36069
2021-09-14,11.09,0.02,0.18067
2021-09-13,11.07,-0.02,-0.18034
2021-09-12,11.09,-0.04,-0.35939
2021-09-09,11.13,0.02,0.18002
2021-09-08,11.11,-0.1,-0.89206
2021-09-07,11.21,-0.02,-0.17809
2021-09-06,11.23,-0.08,-0.70734
2021-09-05,11.31,-0.04,-0.35242
2021-09-02,11.35,0.08,0.70985
2021-09-01,11.27,0.1,0.89526
2021-08-31,11.17,0.08,0.72137
2021-08-30,11.09,0.01,0.09025
2021-08-29,11.08,0.05,0.45331
2021-08-26,11.03,0.08,0.73059
2021-08-25,10.95,-0.08,-0.72529
2021-08-24,11.03,0.01,0.09074
2021-08-23,11.02,0.08,0.73126
2021-08-22,10.94,0.06,0.55147
2021-08-19,10.88,0.03,0.2765
2021-08-18,10.85,-0.13,-1.18397
2021-08-17,10.98,0.09,0.82645
2021-08-16,10.89,-0.15,-1.3587
2021-08-15,11.04,0.02,0.18149
2021-08-12,11.02,0.05,0.45579
2021-08-11,10.97,-0.04,-0.36331
2021-08-10,11.01,0.06,0.54795
2021-08-09,10.95,0.0,0.0
2021-08-08,10.95,0.01,0.09141
2021-08-05,10.94,-0.04,-0.3643
2021-08-04,10.98,0.0,0.0
2021-08-03,10.98,0.01,0.09116
2021-08-02,10.97,0.03,0.27422
2021-08-01,10.94,0.07,0.64397
2021-07-29,10.87,-0.01,-0.09191
2021-07-28,10.88,0.01,0.092
2021-07-27,10.87,0.06,0.55504
2021-07-26,10.81,-0.02,-0.18467
2021-07-25,10.83,-0.06,-0.55096
2021-07-22,10.89,-0.02,-0.18332
2021-07-21,10.91,0.1,0.92507
2021-07-20,10.81,0.04,0.3714
2021-07-19,10.77,-0.05,-0.46211
2021-07-18,10.82,-0.13,-1.18721
2021-07-15,10.95,-0.01,-0.09124
2021-07-14,10.96,-0.03,-0.27298
2021-07-13,10.99,0.06,0.54895
2021-07-12,10.93,0.02,0.18332
2021-07-11,10.91,0.02,0.18365
2021-07-08,10.89,0.02,0.18399
2021-07-07,10.87,-0.1,-0.91158
2021-07-06,10.97,-0.03,-0.27273
2021-07-05,11.0,-0.02,-0.18149
2021-07-04,11.02,0.06,0.54745
2021-07-01,10.96,0.07,0.64279
2021-06-30,10.89,-0.03,-0.27473
2021-06-29,10.92,-0.05,-0.45579
2021-06-28,10.97,-0.07,-0.63406
2021-06-27,11.04,-0.04,-0.36101
2021-06-24,11.08,0.02,0.18083
2021-06-23,11.06,0.01,0.0905
2021-06-22,11.05,-0.02,-0.18067
2021-06-21,11.07,0.06,0.54496
2021-06-20,11.01,-0.03,-0.27174
2021-06-17,11.04,-0.02,-0.18083
2021-06-16,11.06,-0.15,-1.33809
2021-06-15,11.21,-0.07,-0.62057
2021-06-14,11.28,-0.02,-0.17699
2021-06-10,11.3,-0.03,-0.26478
2021-06-09,11.33,0.11,0.98039
2021-06-08,11.22,0.0,0.0
2021-06-07,11.22,0.05,0.44763
2021-06-06,11.17,0.03,0.2693
2021-06-03,11.14,0.06,0.54152
2021-06-02,11.08,-0.08,-0.71685
2021-06-01,11.16,0.09,0.81301
2021-05-31,11.07,-0.01,-0.09025
2021-05-30,11.08,0.01,0.09033
2021-05-27,11.07,0.07,0.63636
2021-05-26,11.0,-0.02,-0.18149
2021-05-25,11.02,0.04,0.3643
2021-05-24,10.98,0.03,0.27397
2021-05-23,10.95,0.02,0.18298
2021-05-20,10.93,-0.05,-0.45537
2021-05-19,10.98,0.1,0.91912
2021-05-18,10.88,-0.15,-1.35993
2021-05-17,11.03,0.08,0.73059
2021-05-16,10.95,-0.02,-0.18232
2021-05-13,10.97,0.08,0.73462
2021-05-12,10.89,-0.06,-0.54795
2021-05-11,10.95,-0.21,-1.88172
2021-05-10,11.16,-0.06,-0.53476
2021-05-09,11.22,0.0,0.0
2021-05-06,11.22,0.07,0.6278
2021-05-05,11.15,0.02,0.17969
2021-05-04,11.13,0.02,0.18002
2021-05-03,11.11,-0.04,-0.35874
2021-05-02,11.15,-0.08,-0.71238
2021-04-28,11.23,0.0,0.0
2021-04-27,11.23,0.06,0.53715
2021-04-26,11.17,-0.07,-0.62278
2021-04-25,11.24,0.03,0.26762
2021-04-22,11.21,0.01,0.08929
2021-04-21,11.2,0.05,0.44843
2021-04-20,11.15,-0.05,-0.44643
2021-04-19,11.2,-0.07,-0.62112
2021-04-18,11.27,-0.02,-0.17715
2021-04-15,11.29,0.02,0.17746
2021-04-14,11.27,0.0,0.0
2021-04-13,11.27,0.13,1.16697
2021-04-12,11.14,0.04,0.36036
2021-04-11,11.1,-0.04,-0.35907
2021-04-08,11.14,-0.01,-0.08969
2021-04-07,11.15,0.03,0.26978
2021-04-06,11.12,0.04,0.36101
2021-04-05,11.08,0.09,0.81893
2021-03-31,10.99,0.0,0.0
2021-03-30,10.99,-0.01,-0.09091
2021-03-29,11.0,-0.01,-0.09083
2021-03-28,11.01,-0.03,-0.27174
2021-03-25,11.04,0.08,0.72993
2021-03-24,10.96,0.0,0.0
2021-03-23,10.96,-0.02,-0.18215
2021-03-22,10.98,-0.15,-1.34771
2021-03-21,11.13,0.03,0.27027
2021-03-18,11.1,0.01,0.09017
2021-03-17,11.09,-0.09,-0.80501
2021-03-16,11.18,0.08,0.72072
2021-03-15,11.1,0.06,0.54348
2021-03-14,11.04,0.04,0.36364
2021-03-11,11.0,0.01,0.09099
2021-03-10,10.99,0.05,0.45704
2021-03-09,10.94,-0.02,-0.18248
2021-03-08,10.96,0.11,1.01382
2021-03-07,10.85,-0.03,-0.27574
2021-03-04,10.88,-0.06,-0.54845
2021-03-03,10.94,-0.09,-0.81596
2021-03-02,11.03,0.0,0.0
2021-03-01,11.03,0.11,1.00733
2021-02-25,10.92,-0.23,-2.06278
2021-02-24,11.15,0.02,0.17969
2021-02-23,11.13,0.07,0.63291
2021-02-22,11.06,0.12,1.09689
2021-02-21,10.94,-0.02,-0.18248
2021-02-18,10.96,0.04,0.3663
2021-02-17,10.92,-0.07,-0.63694
2021-02-16,10.99,0.02,0.18232
2021-02-04,10.97,0.11,1.01289
2021-02-03,10.86,-0.13,-1.18289
2021-02-02,10.99,0.07,0.64103
2021-02-01,10.92,0.06,0.55249
2021-01-31,10.86,0.01,0.09217
2021-01-28,10.85,-0.1,-0.91324
2021-01-27,10.95,-0.04,-0.36397
2021-01-26,10.99,-0.04,-0.36265
2021-01-24,11.03,-0.06,-0.54103
2021-01-21,11.09,-0.04,-0.35939
2021-01-20,11.13,-0.01,-0.08977
2021-01-19,11.14,0.02,0.17986
2021-01-18,11.12,0.1,0.90744
2021-01-17,11.02,-0.03,-0.27149
2021-01-14,11.05,-0.01,-0.09042
2021-01-13,11.06,0.07,0.63694
2021-01-12,10.99,-0.08,-0.72267
2021-01-11,11.07,0.0,0.0
2021-01-10,11.07,-0.17,-1.51246
2021-01-07,11.24,-0.01,-0.08889
2021-01-06,11.25,-0.03,-0.26596
2021-01-05,11.28,0.03,0.26667
2021-01-04,11.25,0.09,0.80645
2021-01-03,11.16,0.05,0.45005
2020-12-30,11.11,-0.14,-1.24444
2020-12-29,11.25,0.08,0.7162
2020-12-28,11.17,0.19,1.73042
2020-12-22,10.98,0.11,1.01196
2020-12-21,10.87,-0.03,-0.27523
2020-12-20,10.9,-0.09,-0.81893
2020-12-17,10.99,-0.07,-0.63291
2020-12-16,11.06,0.04,0.36298
2020-12-15,11.02,0.03,0.27298
2020-12-14,10.99,-0.01,-0.09091
2020-12-13,11.0,0.07,0.64044
2020-12-10,10.93,-0.03,-0.27372
2020-12-09,10.96,0.03,0.27447
2020-12-08,10.93,0.04,0.36731
2020-12-07,10.89,-0.01,-0.09174
2020-12-06,10.9,-0.02,-0.18315
2020-12-03,10.92,0.02,0.18349
2020-12-02,10.9,0.04,0.36832
2020-12-01,10.86,0.0,0.0
2020-11-30,10.86,0.06,0.55556
2020-11-29,10.8,-0.09,-0.82645
2020-11-26,10.89,-0.02,-0.18332
2020-11-25,10.91,-0.01,-0.09158
2020-11-24,10.92,0.03,0.27548
2020-11-23,10.89,0.09,0.83333
2020-11-22,10.8,-0.06,-0.55249
2020-11-19,10.86,0.04,0.36969
2020-11-18,10.82,-0.09,-0.82493
2020-11-17,10.91,-0.02,-0.18298
2020-11-16,10.93,0.01,0.09158
2020-11-15,10.92,0.16,1.48699
2020-11-12,10.76,-0.03,-0.27804
2020-11-11,10.79,-0.15,-1.37112
2020-11-10,10.94,0.18,1.67286
2020-11-09,10.76,0.14,1.31827
2020-11-08,10.62,0.09,0.8547
2020-11-05,10.53,0.02,0.19029
2020-11-04,10.51,0.21,2.03883
2020-11-03,10.3,0.06,0.58594
2020-11-02,10.24,0.22,2.19561
2020-11-01,10.02,0.1,1.00806
2020-10-29,9.92,-0.05,-0.5015
2020-10-28,9.97,-0.12,-1.1893
2020-10-27,10.09,-0.11,-1.07843
2020-10-26,10.2,-0.09,-0.87464
2020-10-25,10.29,-0.03,-0.2907
2020-10-22,10.32,0.03,0.29155
2020-10-21,10.29,-0.03,-0.2907
2020-10-20,10.32,0.01,0.09699
2020-10-19,10.31,-0.04,-0.38647
2020-10-18,10.35,0.03,0.2907
2020-10-15,10.32,-0.1,-0.95969
2020-10-14,10.42,-0.01,-0.09588
2020-10-13,10.43,-0.06,-0.57197
2020-10-12,10.49,0.06,0.57526
2020-10-11,10.43,0.02,0.19212
2020-10-07,10.41,0.04,0.38573
