tradeDate,nav,change,changePercent
2022-08-30,6.77,-0.03,-0.44118
2022-08-29,6.8,-0.07,-1.01892
2022-08-25,6.87,-0.04,-0.57887
2022-08-24,6.91,0.03,0.43605
2022-08-23,6.88,0.0,0.0
2022-08-22,6.88,0.0,0.0
2022-08-21,6.88,-0.06,-0.86455
2022-08-18,6.94,-0.04,-0.57307
2022-08-17,6.98,-0.01,-0.14306
2022-08-16,6.99,-0.04,-0.56899
2022-08-15,7.03,-0.01,-0.14205
2022-08-14,7.04,0.0,0.0
2022-08-11,7.04,0.02,0.2849
2022-08-10,7.02,0.01,0.14265
2022-08-09,7.01,0.04,0.57389
2022-08-08,6.97,-0.01,-0.14327
2022-08-07,6.98,0.03,0.43165
2022-08-04,6.95,-0.02,-0.28694
2022-08-03,6.97,0.03,0.43228
2022-08-02,6.94,0.01,0.1443
2022-08-01,6.93,-0.02,-0.28777
2022-07-31,6.95,-0.04,-0.57225
2022-07-28,6.99,0.03,0.43103
2022-07-27,6.96,0.05,0.72359
2022-07-26,6.91,0.03,0.43605
2022-07-25,6.88,-0.02,-0.28986
2022-07-24,6.9,0.0,0.0
2022-07-21,6.9,0.04,0.58309
2022-07-20,6.86,0.03,0.43924
2022-07-19,6.83,0.02,0.29369
2022-07-18,6.81,0.02,0.29455
2022-07-17,6.79,0.02,0.29542
2022-07-14,6.77,0.05,0.74405
2022-07-13,6.72,-0.04,-0.59172
2022-07-12,6.76,0.0,0.0
2022-07-11,6.76,-0.03,-0.44183
2022-07-10,6.79,-0.01,-0.14706
2022-07-07,6.8,0.01,0.14728
2022-07-06,6.79,0.03,0.44379
2022-07-05,6.76,0.01,0.14815
2022-07-04,6.75,-0.04,-0.5891
2022-06-30,6.79,-0.04,-0.58565
2022-06-29,6.83,-0.03,-0.43732
2022-06-28,6.86,-0.02,-0.2907
2022-06-27,6.88,-0.03,-0.43415
2022-06-26,6.91,-0.01,-0.14451
2022-06-23,6.92,0.03,0.43541
2022-06-22,6.89,0.0,0.0
2022-06-21,6.89,,
2022-06-20,6.89,0.05,0.73099
2022-06-16,6.84,0.0,0.0
2022-06-15,6.84,-0.06,-0.86957
2022-06-14,6.9,0.06,0.87719
2022-06-13,6.84,-0.04,-0.5814
2022-06-12,6.88,-0.2,-2.82486
2022-06-09,7.08,-0.1,-1.39276
2022-06-08,7.18,-0.05,-0.69156
2022-06-07,7.23,-0.01,-0.13812
2022-06-06,7.24,-0.02,-0.27548
2022-06-05,7.26,0.0,0.0
2022-05-31,7.26,-0.08,-1.08992
2022-05-30,7.34,-0.01,-0.13605
2022-05-26,7.35,0.05,0.68493
2022-05-25,7.3,0.06,0.82873
2022-05-24,7.24,0.05,0.69541
2022-05-23,7.19,0.01,0.13928
2022-05-22,7.18,0.04,0.56022
2022-05-19,7.14,0.01,0.14025
2022-05-18,7.13,0.0,0.0
2022-05-17,7.13,-0.04,-0.55788
2022-05-16,7.17,0.02,0.27972
2022-05-15,7.15,0.01,0.14006
2022-05-12,7.14,0.03,0.42194
2022-05-11,7.11,-0.04,-0.55944
2022-05-10,7.15,0.0,0.0
2022-05-09,7.15,-0.01,-0.13966
2022-05-08,7.16,-0.07,-0.96819
2022-05-05,7.23,-0.05,-0.68681
2022-05-04,7.28,-0.04,-0.54645
2022-05-03,7.32,0.05,0.68776
2022-05-02,7.27,-0.11,-1.49051
2022-04-28,7.38,-0.05,-0.67295
2022-04-27,7.43,0.01,0.13477
2022-04-26,7.42,-0.03,-0.40268
2022-04-25,7.45,-0.03,-0.40107
2022-04-24,7.48,-0.03,-0.39947
2022-04-21,7.51,-0.09,-1.18421
2022-04-20,7.6,-0.04,-0.52356
2022-04-19,7.64,0.01,0.13106
2022-04-18,7.63,-0.02,-0.26144
2022-04-13,7.65,-0.03,-0.39062
2022-04-12,7.68,0.02,0.2611
2022-04-11,7.66,0.01,0.13072
2022-04-10,7.65,-0.05,-0.64935
2022-04-07,7.7,-0.03,-0.3881
2022-04-06,7.73,-0.01,-0.1292
2022-04-05,7.74,-0.07,-0.89629
2022-03-31,7.81,-0.07,-0.88832
2022-03-30,7.88,0.0,0.0
2022-03-29,7.88,0.02,0.25445
2022-03-28,7.86,0.06,0.76923
2022-03-27,7.8,0.0,0.0
2022-03-24,7.8,0.0,0.0
2022-03-23,7.8,0.0,0.0
2022-03-22,7.8,0.02,0.25707
2022-03-21,7.78,-0.01,-0.12837
2022-03-20,7.79,-0.02,-0.25608
2022-03-17,7.81,0.01,0.12821
2022-03-16,7.8,0.06,0.77519
2022-03-15,7.74,0.06,0.78125
2022-03-14,7.68,0.02,0.2611
2022-03-13,7.66,-0.06,-0.7772
2022-03-10,7.72,-0.01,-0.12937
2022-03-09,7.73,-0.03,-0.3866
2022-03-08,7.76,0.06,0.77922
2022-03-07,7.7,-0.03,-0.3881
2022-03-06,7.73,-0.08,-1.02433
2022-03-03,7.81,-0.05,-0.63613
2022-03-02,7.86,0.0,0.0
2022-03-01,7.86,-0.03,-0.38023
2022-02-28,7.89,-0.22,-2.7127
2022-02-24,8.11,0.14,1.75659
2022-02-23,7.97,-0.13,-1.60494
2022-02-22,8.1,-0.05,-0.6135
2022-02-21,8.15,-0.04,-0.4884
2022-02-17,8.19,-0.01,-0.12195
2022-02-16,8.2,-0.02,-0.24331
2022-02-15,8.22,0.01,0.1218
2022-02-14,8.21,0.04,0.4896
2022-02-13,8.17,-0.05,-0.60827
2022-02-10,8.22,-0.05,-0.60459
2022-02-09,8.27,-0.04,-0.48135
2022-02-08,8.31,0.04,0.48368
2022-02-07,8.27,-0.01,-0.12077
2022-02-06,8.28,0.0,0.0
2022-01-27,8.28,-0.01,-0.12063
2022-01-26,8.29,-0.01,-0.12048
2022-01-25,8.3,0.0,0.0
2022-01-24,8.3,0.0,0.0
2022-01-23,8.3,-0.07,-0.83632
2022-01-20,8.37,-0.04,-0.47562
2022-01-19,8.41,0.01,0.11905
2022-01-18,8.4,0.01,0.11919
2022-01-17,8.39,-0.06,-0.71006
2022-01-13,8.45,-0.02,-0.23613
2022-01-12,8.47,-0.01,-0.11792
2022-01-11,8.48,0.03,0.35503
2022-01-10,8.45,0.03,0.35629
2022-01-09,8.42,-0.02,-0.23697
2022-01-06,8.44,-0.01,-0.11834
2022-01-05,8.45,-0.03,-0.35377
2022-01-04,8.48,-0.02,-0.23529
2022-01-03,8.5,-0.08,-0.9324
2021-12-29,8.58,0.0,0.0
2021-12-28,8.58,0.02,0.23364
2021-12-22,8.56,0.02,0.23419
2021-12-21,8.54,0.02,0.23474
2021-12-20,8.52,0.05,0.59032
2021-12-19,8.47,-0.05,-0.58685
2021-12-16,8.52,0.0,0.0
2021-12-15,8.52,0.02,0.23529
2021-12-14,8.5,-0.01,-0.11751
2021-12-13,8.51,-0.02,-0.23447
2021-12-12,8.53,-0.01,-0.1171
2021-12-09,8.54,0.01,0.11723
2021-12-08,8.53,-0.01,-0.1171
2021-12-07,8.54,0.02,0.23474
2021-12-06,8.52,0.04,0.4717
2021-12-05,8.48,0.03,0.35503
2021-12-02,8.45,0.0,0.0
2021-12-01,8.45,0.0,0.0
2021-11-30,8.45,-0.05,-0.58824
2021-11-29,8.5,-0.01,-0.11751
2021-11-28,8.51,0.03,0.35377
2021-11-25,8.48,-0.06,-0.70258
2021-11-23,8.54,0.01,0.11723
2021-11-22,8.53,-0.04,-0.46674
2021-11-21,8.57,-0.03,-0.34884
2021-11-18,8.6,-0.01,-0.11614
2021-11-17,8.61,-0.01,-0.11601
2021-11-16,8.62,0.0,0.0
2021-11-15,8.62,-0.03,-0.34682
2021-11-14,8.65,-0.01,-0.11547
2021-11-11,8.66,0.0,0.0
2021-11-10,8.66,0.0,0.0
2021-11-09,8.66,-0.04,-0.45977
2021-11-08,8.7,0.0,0.0
2021-11-07,8.7,0.02,0.23041
2021-11-04,8.68,0.03,0.34682
2021-11-03,8.65,0.02,0.23175
2021-11-02,8.63,0.0,0.0
2021-11-01,8.63,0.01,0.11601
2021-10-31,8.62,-0.09,-1.0333
2021-10-28,8.71,0.0,0.0
2021-10-27,8.71,0.0,0.0
2021-10-26,8.71,-0.01,-0.11468
2021-10-25,8.72,0.0,0.0
2021-10-24,8.72,0.0,0.0
2021-10-21,8.72,-0.01,-0.11455
2021-10-20,8.73,-0.02,-0.22857
2021-10-19,8.75,0.0,0.0
2021-10-18,8.75,0.01,0.11442
2021-10-17,8.74,-0.02,-0.22831
2021-10-14,8.76,0.02,0.22883
2021-10-13,8.74,0.04,0.45977
2021-10-12,8.7,0.01,0.11507
2021-10-11,8.69,-0.02,-0.22962
2021-10-07,8.71,-0.01,-0.11468
2021-10-06,8.72,0.03,0.34522
2021-10-05,8.69,-0.02,-0.22962
2021-10-04,8.71,0.01,0.11494
2021-10-03,8.7,-0.03,-0.34364
2021-09-30,8.73,-0.06,-0.68259
2021-09-29,8.79,-0.01,-0.11364
2021-09-28,8.8,0.0,0.0
2021-09-27,8.8,-0.05,-0.56497
2021-09-26,8.85,-0.01,-0.11287
2021-09-23,8.86,-0.02,-0.22523
2021-09-22,8.88,0.01,0.11274
2021-09-21,8.87,-0.03,-0.33708
2021-09-16,8.9,-0.02,-0.22422
2021-09-15,8.92,-0.01,-0.11198
2021-09-14,8.93,0.01,0.11211
2021-09-13,8.92,0.0,0.0
2021-09-12,8.92,0.0,0.0
2021-09-09,8.92,0.0,0.0
2021-09-08,8.92,0.0,0.0
2021-09-07,8.92,-0.01,-0.11198
2021-09-06,8.93,-0.01,-0.11186
2021-09-02,8.94,0.0,0.0
2021-09-01,8.94,0.0,0.0
2021-08-31,8.94,-0.06,-0.66667
2021-08-30,9.0,0.05,0.55866
2021-08-26,8.95,0.02,0.22396
2021-08-25,8.93,0.0,0.0
2021-08-24,8.93,0.01,0.11211
2021-08-23,8.92,0.02,0.22472
2021-08-22,8.9,0.04,0.45147
2021-08-19,8.86,0.0,0.0
2021-08-18,8.86,-0.03,-0.33746
2021-08-17,8.89,-0.01,-0.11236
2021-08-16,8.9,-0.02,-0.22422
2021-08-15,8.92,0.0,0.0
2021-08-12,8.92,0.01,0.11223
2021-08-11,8.91,0.01,0.11236
2021-08-10,8.9,0.01,0.11249
2021-08-09,8.89,-0.01,-0.11236
2021-08-08,8.9,-0.01,-0.11223
2021-08-05,8.91,-0.02,-0.22396
2021-08-04,8.93,-0.01,-0.11186
2021-08-03,8.94,0.0,0.0
2021-08-02,8.94,-0.01,-0.11173
2021-08-01,8.95,-0.06,-0.66593
2021-07-29,9.01,-0.01,-0.11086
2021-07-28,9.02,0.03,0.3337
2021-07-27,8.99,0.01,0.11136
2021-07-26,8.98,-0.01,-0.11123
2021-07-25,8.99,0.0,0.0
2021-07-22,8.99,0.01,0.11136
2021-07-21,8.98,0.01,0.11148
2021-07-20,8.97,0.02,0.22346
2021-07-19,8.95,0.02,0.22396
2021-07-18,8.93,-0.06,-0.66741
2021-07-15,8.99,0.0,0.0
2021-07-14,8.99,-0.01,-0.11111
2021-07-13,9.0,0.01,0.11123
2021-07-12,8.99,-0.01,-0.11111
2021-07-11,9.0,0.01,0.11123
2021-07-08,8.99,0.02,0.22297
2021-07-07,8.97,-0.02,-0.22247
2021-07-06,8.99,-0.01,-0.11111
2021-07-05,9.0,-0.01,-0.11099
2021-07-01,9.01,-0.01,-0.11086
2021-06-30,9.02,-0.06,-0.66079
2021-06-29,9.08,-0.01,-0.11001
2021-06-28,9.09,0.0,0.0
2021-06-27,9.09,0.0,0.0
2021-06-24,9.09,0.02,0.22051
2021-06-23,9.07,0.01,0.11038
2021-06-22,9.06,0.01,0.1105
2021-06-21,9.05,0.01,0.11062
2021-06-20,9.04,0.01,0.11074
2021-06-17,9.03,-0.03,-0.33113
2021-06-16,9.06,-0.04,-0.43956
2021-06-15,9.1,0.0,0.0
2021-06-14,9.1,-0.02,-0.2193
2021-06-10,9.12,-0.01,-0.10953
2021-06-09,9.13,0.01,0.10965
2021-06-08,9.12,0.0,0.0
2021-06-07,9.12,0.01,0.10977
2021-06-06,9.11,0.0,0.0
2021-06-03,9.11,0.03,0.3304
2021-06-02,9.08,-0.01,-0.11001
2021-06-01,9.09,0.01,0.11013
2021-05-31,9.08,-0.05,-0.54765
2021-05-27,9.13,0.01,0.10965
2021-05-26,9.12,0.01,0.10977
2021-05-25,9.11,0.0,0.0
2021-05-24,9.11,0.01,0.10989
2021-05-23,9.1,0.02,0.22026
2021-05-20,9.08,0.0,0.0
2021-05-19,9.08,0.02,0.22075
2021-05-18,9.06,-0.03,-0.33003
2021-05-17,9.09,0.01,0.11013
2021-05-16,9.08,0.0,0.0
2021-05-13,9.08,0.03,0.33149
2021-05-12,9.05,0.02,0.22148
2021-05-11,9.03,-0.05,-0.55066
2021-05-10,9.08,-0.02,-0.21978
2021-05-09,9.1,-0.01,-0.10977
2021-05-06,9.11,0.04,0.44101
2021-05-05,9.07,0.03,0.33186
2021-05-04,9.04,0.02,0.22173
2021-05-03,9.02,-0.1,-1.09649
2021-04-28,9.12,0.01,0.10977
2021-04-27,9.11,0.0,0.0
2021-04-26,9.11,0.0,0.0
2021-04-25,9.11,0.01,0.10989
2021-04-22,9.1,0.01,0.11001
2021-04-21,9.09,0.0,0.0
2021-04-20,9.09,0.0,0.0
2021-04-19,9.09,-0.01,-0.10989
2021-04-18,9.1,0.0,0.0
2021-04-15,9.1,0.01,0.11001
2021-04-14,9.09,0.03,0.33113
2021-04-13,9.06,0.01,0.1105
2021-04-12,9.05,0.01,0.11062
2021-04-11,9.04,0.0,0.0
2021-04-08,9.04,-0.02,-0.22075
2021-04-07,9.06,0.02,0.22124
2021-04-06,9.04,0.02,0.22173
2021-04-05,9.02,0.04,0.44543
2021-03-31,8.98,-0.05,-0.55371
2021-03-30,9.03,0.03,0.33333
2021-03-29,9.0,0.0,0.0
2021-03-28,9.0,-0.01,-0.11099
2021-03-25,9.01,0.02,0.22247
2021-03-24,8.99,-0.01,-0.11111
2021-03-23,9.0,-0.02,-0.22173
2021-03-22,9.02,-0.01,-0.11074
2021-03-21,9.03,-0.01,-0.11062
2021-03-18,9.04,0.01,0.11074
2021-03-17,9.03,-0.01,-0.11062
