tradeDate,nav,change,changePercent
2022-08-30,9.5636,-0.057,-0.59248
2022-08-29,9.6206,-0.0667,-0.68853
2022-08-28,9.6873,-0.0609,-0.62473
2022-08-25,9.7482,-0.1732,-1.74572
2022-08-24,9.9214,0.0926,0.94213
2022-08-23,9.8288,0.0212,0.21616
2022-08-22,9.8076,-0.0072,-0.07336
2022-08-21,9.8148,-0.1468,-1.47366
2022-08-18,9.9616,-0.0902,-0.89735
2022-08-17,10.0518,0.0056,0.05574
2022-08-16,10.0462,-0.0813,-0.80276
2022-08-15,10.1275,-0.0054,-0.05329
2022-08-14,10.1329,0.0323,0.31978
2022-08-11,10.1006,0.1142,1.14356
2022-08-10,9.9864,-0.0334,-0.33334
2022-08-09,10.0198,0.1453,1.47147
2022-08-08,9.8745,-0.0425,-0.42856
2022-08-07,9.917,0.0004,0.00403
2022-08-04,9.9166,-0.1284,-1.27825
2022-08-03,10.045,0.0078,0.07771
2022-08-02,10.0372,0.1105,1.11316
2022-08-01,9.9267,-0.0283,-0.28428
2022-07-31,9.955,-0.0078,-0.07829
2022-07-28,9.9628,0.0773,0.78195
2022-07-27,9.8855,0.0747,0.76141
2022-07-26,9.8108,0.1332,1.37637
2022-07-25,9.6776,-0.066,-0.67737
2022-07-24,9.7436,-0.0335,-0.34264
2022-07-21,9.7771,-0.0151,-0.1542
2022-07-20,9.7922,0.0542,0.55658
2022-07-19,9.738,0.0348,0.35864
2022-07-18,9.7032,0.1116,1.16352
2022-07-17,9.5916,-0.0641,-0.66386
2022-07-14,9.6557,0.0986,1.03169
2022-07-13,9.5571,-0.0185,-0.1932
2022-07-12,9.5756,,
2022-07-11,9.5966,-0.0219,-0.22769
2022-07-10,9.6185,-0.0548,-0.56651
2022-07-07,9.6733,-0.111,-1.13447
2022-07-06,9.7843,0.0723,0.74444
2022-07-05,9.712,-0.0086,-0.08847
2022-07-04,9.7206,0.0157,0.16177
2022-06-30,9.7049,0.0597,0.61896
2022-06-29,9.6452,-0.0331,-0.342
2022-06-28,9.6783,0.0015,0.0155
2022-06-27,9.6768,-0.0939,-0.96104
2022-06-26,9.7707,-0.0305,-0.31119
2022-06-23,9.8012,0.125,1.29183
2022-06-22,9.6762,0.0488,0.50689
2022-06-21,9.6274,,
2022-06-20,9.6283,0.0817,0.8558
2022-06-16,9.5466,0.0332,0.34898
2022-06-15,9.5134,-0.1664,-1.71904
2022-06-14,9.6798,0.1101,1.15051
2022-06-13,9.5697,-0.0143,-0.14921
2022-06-12,9.584,-0.3336,-3.36372
2022-06-09,9.9176,-0.1902,-1.88172
