tradeDate,nav,change,changePercent
2022-09-01,43.0382,0.1275,0.29713
2022-08-31,42.9107,0.1709,0.39986
2022-08-30,42.7398,0.0009,0.00211
2022-08-29,42.7389,0.1465,0.34396
2022-08-28,42.5924,-0.0537,-0.12592
2022-08-25,42.6461,-0.1198,-0.28013
2022-08-24,42.7659,0.0201,0.04702
2022-08-23,42.7458,0.1336,0.31353
2022-08-22,42.6122,-0.103,-0.24113
2022-08-21,42.7152,-0.0679,-0.15871
2022-08-18,42.7831,-0.039,-0.09107
2022-08-17,42.8221,-0.0708,-0.16506
2022-08-16,42.8929,0.1444,0.33779
2022-08-15,42.7485,-0.9847,-2.25161
2022-08-14,43.7332,-0.0395,-0.09024
2022-08-11,43.7727,0.0241,0.05509
2022-08-10,43.7486,0.0701,0.16049
2022-08-09,43.6785,0.0593,0.13595
2022-08-08,43.6192,-0.0189,-0.04331
2022-08-07,43.6381,0.0002,0.00046
2022-08-04,43.6379,-0.0341,-0.07808
2022-08-03,43.672,0.0422,0.09672
2022-08-02,43.6298,0.0895,0.20556
2022-08-01,43.5403,-0.0332,-0.07619
2022-07-31,43.5735,0.0936,0.21527
2022-07-28,43.4799,0.0554,0.12758
2022-07-27,43.4245,0.0629,0.14506
2022-07-26,43.3616,0.0131,0.03022
2022-07-25,43.3485,0.0485,0.11201
2022-07-24,43.3,0.1342,0.31089
2022-07-21,43.1658,-0.0424,-0.09813
2022-07-20,43.2082,-0.0484,-0.11189
2022-07-19,43.2566,0.0181,0.04186
2022-07-18,43.2385,0.0075,0.01735
2022-07-17,43.231,0.12,0.27835
2022-07-14,43.111,-0.1076,-0.24897
2022-07-13,43.2186,-0.0638,-0.1474
2022-07-12,43.2824,0.063,0.14577
2022-07-11,43.2194,-0.0323,-0.07468
2022-07-10,43.2517,0.0608,0.14077
2022-07-07,43.1909,0.015,0.03474
2022-07-06,43.1759,-0.0324,-0.07499
2022-07-05,43.2083,-0.0615,-0.14213
2022-07-04,43.2698,0.0541,0.12519
2022-07-03,43.2157,0.0286,0.06622
2022-06-29,43.1871,0.1897,0.44119
2022-06-28,42.9974,-0.1885,-0.43649
2022-06-27,43.1859,0.1197,0.27794
2022-06-26,43.0662,-0.1733,-0.40079
2022-06-23,43.2395,-0.0314,-0.07257
2022-06-22,43.2709,0.1142,0.26462
2022-06-21,43.1567,-0.0459,-0.10624
2022-06-20,43.2026,-0.1289,-0.29747
2022-06-19,43.3315,0.0754,0.17431
2022-06-16,43.2561,0.1352,0.31354
2022-06-15,43.1209,0.2864,0.66862
2022-06-14,42.8345,0.0927,0.21688
2022-06-13,42.7418,0.0107,0.02504
2022-06-12,42.7311,-0.1904,-0.4436
2022-06-09,42.9215,0.0383,0.08931
2022-06-08,42.8832,0.0113,0.02636
2022-06-07,42.8719,-0.0206,-0.04803
2022-06-06,42.8925,0.0543,0.12676
2022-06-05,42.8382,0.1688,0.3956
2022-06-01,42.6694,0.4009,0.94846
2022-05-31,42.2685,0.0451,0.10681
2022-05-30,42.2234,-0.1364,-0.322
2022-05-29,42.3598,0.1722,0.40818
2022-05-26,42.1876,-0.3132,-0.73693
2022-05-25,42.5008,-0.6767,-1.56725
2022-05-24,43.1775,0.0139,0.0322
2022-05-23,43.1636,-0.1037,-0.23967
2022-05-22,43.2673,0.1146,0.26557
2022-05-19,43.1527,0.3948,0.92334
2022-05-18,42.7579,0.0322,0.07536
2022-05-17,42.7257,0.0589,0.13805
2022-05-16,42.6668,0.1405,0.33038
2022-05-15,42.5263,0.0669,0.15756
2022-05-12,42.4594,-0.1898,-0.44503
2022-05-11,42.6492,-0.0966,-0.22599
2022-05-10,42.7458,-0.1427,-0.33272
2022-05-09,42.8885,0.0041,0.00956
2022-05-05,42.8844,-0.1642,-0.38143
2022-05-04,43.0486,0.0131,0.03044
2022-04-28,43.0355,0.0015,0.00349
2022-04-27,43.034,-0.238,-0.55001
2022-04-26,43.272,0.091,0.21074
2022-04-25,43.181,-0.0298,-0.06896
2022-04-24,43.2108,-0.4461,-1.02183
2022-04-21,43.6569,-0.0699,-0.15986
2022-04-20,43.7268,-0.3972,-0.90019
2022-04-19,44.124,-0.2543,-0.57303
2022-04-18,44.3783,0.2781,0.63061
2022-04-13,44.1002,-0.0306,-0.06934
2022-04-12,44.1308,-0.1682,-0.37969
2022-04-11,44.299,0.1965,0.44555
2022-04-10,44.1025,0.0912,0.20722
2022-04-07,44.0113,0.1225,0.27911
2022-04-06,43.8888,0.2164,0.49551
2022-04-05,43.6724,0.0637,0.14607
2022-03-31,43.6087,0.0889,0.20427
2022-03-30,43.5198,0.2542,0.58753
2022-03-29,43.2656,-0.2402,-0.55211
2022-03-28,43.5058,0.0164,0.03771
2022-03-27,43.4894,0.2039,0.47106
2022-03-24,43.2855,0.0878,0.20325
2022-03-23,43.1977,0.1055,0.24482
2022-03-22,43.0922,-0.0722,-0.16727
2022-03-21,43.1644,0.0914,0.2122
2022-03-20,43.073,0.1703,0.39694
2022-03-17,42.9027,-0.1068,-0.24832
2022-03-16,43.0095,-0.314,-0.72478
2022-03-15,43.3235,0.2366,0.54912
2022-03-14,43.0869,-0.1715,-0.39645
2022-03-13,43.2584,0.0492,0.11386
2022-03-10,43.2092,0.1249,0.2899
2022-03-09,43.0843,-0.2153,-0.49723
2022-03-08,43.2996,0.0313,0.07234
2022-03-07,43.2683,0.2159,0.50148
2022-03-06,43.0524,0.2338,0.54602
2022-03-03,42.8186,0.1209,0.28315
2022-03-02,42.6977,-0.1336,-0.31192
2022-03-01,42.8313,0.0153,0.03573
2022-02-28,42.816,-0.0011,-0.00257
2022-02-24,42.8171,0.0564,0.1319
2022-02-23,42.7607,0.2527,0.59448
2022-02-22,42.508,0.1454,0.34323
2022-02-21,42.3626,-0.8495,-1.96588
2022-02-20,43.2121,-0.1423,-0.32823
2022-02-17,43.3544,-0.0017,-0.00392
2022-02-16,43.3561,0.0439,0.10136
2022-02-15,43.3122,0.1277,0.29571
2022-02-14,43.1845,0.0846,0.19629
2022-02-13,43.0999,0.0301,0.06989
2022-02-10,43.0698,-0.1603,-0.37081
2022-02-09,43.2301,0.0487,0.11278
2022-02-08,43.1814,-0.044,-0.10179
2022-02-07,43.2254,-0.0173,-0.04001
2022-02-06,43.2427,-0.0272,-0.06286
2022-01-25,43.2699,0.0204,0.04717
2022-01-24,43.2495,0.0142,0.03284
2022-01-23,43.2353,0.162,0.3761
