tradeDate,nav,change,changePercent
2022-08-31,12.24,-0.5,-3.92465
2022-08-30,12.74,0.43,3.4931
2022-08-29,12.31,-0.73,-5.59816
2022-08-28,13.04,-0.14,-1.06222
2022-08-25,13.18,0.11,0.84162
2022-08-24,13.07,0.68,5.4883
2022-08-23,12.39,0.16,1.30826
2022-08-22,12.23,-0.03,-0.2447
2022-08-21,12.26,0.19,1.57415
2022-08-18,12.07,-0.27,-2.18801
2022-08-17,12.34,-0.11,-0.88353
2022-08-16,12.45,-0.14,-1.11199
2022-08-15,12.59,-0.08,-0.63141
2022-08-14,12.67,-0.01,-0.07886
2022-08-11,12.68,-0.25,-1.93349
2022-08-10,12.93,0.59,4.7812
2022-08-09,12.34,-0.1,-0.80386
2022-08-08,12.44,-0.24,-1.89274
2022-08-07,12.68,0.08,0.63492
2022-08-04,12.6,-0.29,-2.24981
2022-08-03,12.89,0.51,4.11955
2022-08-02,12.38,-0.03,-0.24174
2022-08-01,12.41,-0.06,-0.48115
2022-07-31,12.47,-0.19,-1.50079
2022-07-28,12.66,-0.81,-6.01336
2022-07-27,13.47,-0.19,-1.39092
2022-07-26,13.66,0.01,0.07326
2022-07-25,13.65,-0.03,-0.2193
2022-07-24,13.68,-0.13,-0.94135
2022-07-21,13.81,-0.2,-1.42755
2022-07-20,14.01,-0.12,-0.84926
2022-07-19,14.13,-0.04,-0.28229
2022-07-18,14.17,-0.09,-0.63114
2022-07-17,14.26,0.85,6.33855
2022-07-14,13.41,-0.52,-3.73295
2022-07-13,13.93,-0.48,-3.33102
2022-07-12,14.41,,
2022-07-11,14.49,-0.08,-0.54907
2022-07-10,14.57,-1.58,-9.78328
2022-07-07,16.15,-0.06,-0.37014
2022-07-06,16.21,0.95,6.22543
2022-07-05,15.26,-0.11,-0.71568
2022-07-04,15.37,-0.38,-2.4127
2022-06-29,15.75,0.03,0.19084
2022-06-28,15.72,-0.5,-3.08261
2022-06-27,16.22,-0.02,-0.12315
2022-06-26,16.24,0.39,2.46057
2022-06-23,15.85,0.68,4.48253
2022-06-22,15.17,0.43,2.91723
2022-06-21,14.74,-0.41,-2.70627
2022-06-20,15.15,0.81,5.64854
2022-06-16,14.34,0.59,4.29091
2022-06-15,13.75,-1.14,-7.65615
2022-06-14,14.89,0.63,4.41795
2022-06-13,14.26,0.82,6.10119
2022-06-12,13.44,-1.12,-7.69231
2022-06-09,14.56,-0.21,-1.4218
2022-06-08,14.77,-0.79,-5.07712
2022-06-07,15.56,0.95,6.5024
2022-06-06,14.61,0.1,0.68918
2022-06-05,14.51,0.59,4.23851
2022-06-01,13.92,0.64,4.81928
2022-05-31,13.28,-0.31,-2.28109
2022-05-30,13.59,0.86,6.7557
2022-05-26,12.73,0.15,1.19237
2022-05-25,12.58,0.69,5.8032
2022-05-24,11.89,0.25,2.14777
2022-05-23,11.64,-0.95,-7.54567
2022-05-22,12.59,0.01,0.07949
2022-05-19,12.58,0.07,0.55955
2022-05-18,12.51,0.18,1.45985
2022-05-17,12.33,-0.3,-2.3753
2022-05-16,12.63,0.65,5.42571
2022-05-15,11.98,0.0,0.0
2022-05-12,11.98,0.66,5.83039
