tradeDate,nav,change,changePercent
2022-09-01,24.83,-0.03,-0.12068
2022-08-31,24.86,-0.2,-0.79808
2022-08-30,25.06,-0.14,-0.55556
2022-08-29,25.2,-0.05,-0.19802
2022-08-28,25.25,-0.08,-0.31583
2022-08-25,25.33,-0.17,-0.66667
2022-08-24,25.5,0.14,0.55205
2022-08-23,25.36,-0.49,-1.89555
2022-08-22,25.85,-0.07,-0.27006
2022-08-21,25.92,0.2,0.7776
2022-08-18,25.72,-0.26,-1.00077
2022-08-17,25.98,-0.21,-0.80183
2022-08-16,26.19,0.23,0.88598
2022-08-15,25.96,-0.17,-0.65059
2022-08-14,26.13,-0.02,-0.07648
2022-08-11,26.15,-0.02,-0.07642
2022-08-10,26.17,0.53,2.06708
2022-08-09,25.64,-0.26,-1.00386
2022-08-08,25.9,0.14,0.54348
2022-08-07,25.76,-0.02,-0.07758
2022-08-04,25.78,0.36,1.41621
2022-08-03,25.42,0.19,0.75307
2022-08-02,25.23,-0.23,-0.90338
2022-08-01,25.46,-0.49,-1.88825
2022-07-31,25.95,0.19,0.73758
2022-07-28,25.76,-0.33,-1.26485
2022-07-27,26.09,0.08,0.30757
2022-07-26,26.01,-0.02,-0.07683
2022-07-25,26.03,0.23,0.89147
2022-07-24,25.8,-0.18,-0.69284
2022-07-21,25.98,-0.03,-0.11534
2022-07-20,26.01,-0.27,-1.0274
2022-07-19,26.28,0.09,0.34364
2022-07-18,26.19,-0.16,-0.60721
2022-07-17,26.35,0.28,1.07403
2022-07-14,26.07,-0.44,-1.65975
2022-07-13,26.51,0.09,0.34065
2022-07-12,26.42,0.09,0.34182
2022-07-11,26.33,-0.29,-1.08941
2022-07-10,26.62,-0.47,-1.73496
2022-07-07,27.09,-0.1,-0.36778
2022-07-06,27.19,0.16,0.59193
2022-07-05,27.03,-0.33,-1.20614
2022-07-04,27.36,-0.04,-0.14599
2022-07-03,27.4,0.11,0.40308
2022-06-29,27.29,0.45,1.6766
2022-06-28,26.84,-0.54,-1.97224
2022-06-27,27.38,0.38,1.40741
2022-06-26,27.0,0.27,1.0101
2022-06-23,26.73,0.22,0.82988
2022-06-22,26.51,,
2022-06-21,25.99,-0.33,-1.2538
2022-06-20,26.32,-0.17,-0.64175
2022-06-19,26.49,0.26,0.99123
2022-06-16,26.23,0.37,1.43078
2022-06-15,25.86,-0.09,-0.34682
2022-06-14,25.95,0.35,1.36719
2022-06-13,25.6,0.22,0.86682
2022-06-12,25.38,-0.22,-0.85938
2022-06-09,25.6,0.46,1.82975
2022-06-08,25.14,-0.27,-1.06257
2022-06-07,25.41,0.18,0.71344
2022-06-06,25.23,0.04,0.15879
2022-06-05,25.19,0.57,2.31519
2022-06-01,24.62,0.33,1.35858
2022-05-31,24.29,0.07,0.28902
2022-05-30,24.22,0.32,1.33891
2022-05-29,23.9,0.21,0.88645
2022-05-26,23.69,-0.13,-0.54576
2022-05-25,23.82,-0.12,-0.50125
2022-05-24,23.94,0.09,0.37736
2022-05-23,23.85,-0.62,-2.53371
2022-05-22,24.47,-0.09,-0.36645
2022-05-19,24.56,0.56,2.33333
2022-05-18,24.0,0.19,0.79798
2022-05-17,23.81,-0.01,-0.04198
2022-05-16,23.82,0.45,1.92555
2022-05-15,23.37,-0.16,-0.67998
2022-05-12,23.53,0.07,0.29838
2022-05-11,23.46,-0.14,-0.59322
2022-05-10,23.6,0.35,1.50538
2022-05-09,23.25,0.04,0.17234
2022-05-05,23.21,-0.63,-2.64262
2022-05-04,23.84,-0.15,-0.62526
2022-04-28,23.99,0.72,3.09411
2022-04-27,23.27,0.09,0.38827
2022-04-26,23.18,0.87,3.8996
2022-04-25,22.31,-0.34,-1.5011
2022-04-24,22.65,-1.61,-6.63644
2022-04-21,24.26,-0.08,-0.32868
2022-04-20,24.34,-0.79,-3.14365
2022-04-19,25.13,-0.56,-2.17984
2022-04-18,25.69,-0.08,-0.31044
2022-04-13,25.77,0.3,1.17786
2022-04-12,25.47,-0.4,-1.54619
2022-04-11,25.87,0.5,1.97083
2022-04-10,25.37,-0.87,-3.31555
2022-04-07,26.24,0.21,0.80676
2022-04-06,26.03,-0.26,-0.98897
2022-04-05,26.29,-0.18,-0.68002
2022-03-31,26.47,0.25,0.95347
2022-03-30,26.22,-0.16,-0.60652
2022-03-29,26.38,0.6,2.32739
2022-03-28,25.78,-0.1,-0.3864
2022-03-27,25.88,-0.06,-0.2313
2022-03-24,25.94,-0.47,-1.77963
2022-03-23,26.41,-0.15,-0.56476
2022-03-22,26.56,0.01,0.03766
2022-03-21,26.55,-0.02,-0.07527
2022-03-20,26.57,0.14,0.5297
2022-03-17,26.43,0.05,0.18954
2022-03-16,26.38,0.17,0.64861
2022-03-15,26.21,1.33,5.34566
2022-03-14,24.88,-1.2,-4.60123
2022-03-13,26.08,-0.84,-3.12036
2022-03-10,26.92,0.11,0.41029
2022-03-09,26.81,0.32,1.208
2022-03-08,26.49,-0.24,-0.89787
2022-03-07,26.73,-0.5,-1.83621
2022-03-06,27.23,-0.73,-2.61087
2022-03-03,27.96,-0.31,-1.09657
2022-03-02,28.27,-0.18,-0.63269
2022-03-01,28.45,-0.2,-0.69808
2022-02-28,28.65,0.19,0.6676
2022-02-24,28.46,0.27,0.95779
2022-02-23,28.19,-0.39,-1.36459
2022-02-22,28.58,0.42,1.49148
2022-02-21,28.16,-0.26,-0.91485
2022-02-20,28.42,-0.12,-0.42046
2022-02-17,28.54,0.15,0.52836
2022-02-16,28.39,0.1,0.35348
2022-02-15,28.29,0.19,0.67616
2022-02-14,28.1,0.44,1.59074
2022-02-13,27.66,-0.38,-1.35521
2022-02-10,28.04,-0.21,-0.74336
2022-02-09,28.25,-0.06,-0.21194
2022-02-08,28.31,0.22,0.7832
2022-02-07,28.09,-0.18,-0.63672
2022-02-06,28.27,-0.65,-2.24758
2022-01-25,28.92,0.24,0.83682
2022-01-24,28.68,-0.66,-2.24949
2022-01-23,29.34,0.17,0.58279
2022-01-20,29.17,-0.2,-0.68097
2022-01-19,29.37,0.18,0.61665
2022-01-18,29.19,-0.18,-0.61287
2022-01-17,29.37,0.34,1.1712
2022-01-16,29.03,0.25,0.86866
2022-01-13,28.78,-0.21,-0.72439
2022-01-12,28.99,-0.5,-1.69549
2022-01-11,29.49,0.28,0.95858
2022-01-10,29.21,-0.37,-1.25085
2022-01-09,29.58,0.13,0.44143
2022-01-06,29.45,0.07,0.23826
2022-01-05,29.38,-0.22,-0.74324
2022-01-04,29.6,-0.29,-0.97022
2022-01-03,29.89,-0.19,-0.63165
2021-12-29,30.08,0.29,0.97348
2021-12-28,29.79,-0.41,-1.35762
2021-12-27,30.2,0.21,0.70023
2021-12-23,29.99,-0.29,-0.95773
2021-12-22,30.28,0.14,0.4645
2021-12-21,30.14,0.01,0.03319
2021-12-20,30.13,0.69,2.34375
2021-12-19,29.44,-0.44,-1.47256
2021-12-16,29.88,-0.67,-2.19313
2021-12-15,30.55,0.27,0.89168
2021-12-14,30.28,-0.22,-0.72131
2021-12-13,30.5,-0.22,-0.71615
2021-12-12,30.72,0.13,0.42498
2021-12-09,30.59,-0.19,-0.61728
2021-12-08,30.78,0.44,1.45023
2021-12-07,30.34,0.55,1.84626
2021-12-06,29.79,0.09,0.30303
2021-12-05,29.7,-0.2,-0.6689
2021-12-02,29.9,0.22,0.74124
2021-12-01,29.68,0.09,0.30416
2021-11-30,29.59,-0.06,-0.20236
2021-11-29,29.65,0.02,0.0675
2021-11-28,29.63,-0.07,-0.23569
2021-11-25,29.7,-0.11,-0.369
2021-11-24,29.81,-0.09,-0.301
2021-11-23,29.9,-0.1,-0.33333
2021-11-22,30.0,0.0,0.0
2021-11-21,30.0,0.31,1.04412
2021-11-18,29.69,0.25,0.84918
2021-11-17,29.44,-0.2,-0.67476
2021-11-16,29.64,0.11,0.3725
2021-11-15,29.53,-0.01,-0.03385
2021-11-14,29.54,-0.22,-0.73925
2021-11-11,29.76,0.03,0.10091
2021-11-10,29.73,0.4,1.36379
2021-11-09,29.33,-0.13,-0.44128
2021-11-08,29.46,-0.02,-0.06784
2021-11-07,29.48,0.22,0.75188
2021-11-04,29.26,-0.24,-0.81356
2021-11-03,29.5,0.29,0.99281
2021-11-02,29.21,-0.12,-0.40914
2021-11-01,29.33,-0.2,-0.67728
2021-10-31,29.53,-0.21,-0.70612
2021-10-28,29.74,0.3,1.01902
2021-10-27,29.44,-0.31,-1.04202
2021-10-26,29.75,-0.32,-1.06418
2021-10-25,30.07,-0.09,-0.29841
2021-10-24,30.16,0.38,1.27602
2021-10-21,29.78,0.15,0.50624
2021-10-20,29.63,-0.05,-0.16846
2021-10-19,29.68,0.01,0.0337
2021-10-18,29.67,0.28,0.95271
2021-10-17,29.39,-0.18,-0.60873
2021-10-14,29.57,0.56,1.93037
2021-10-11,29.01,-0.41,-1.39361
2021-10-07,29.42,0.43,1.48327
2021-09-29,28.99,0.36,1.25742
2021-09-28,28.63,-0.33,-1.1395
2021-09-27,28.96,0.01,0.03454
2021-09-26,28.95,-0.06,-0.20683
2021-09-23,29.01,-0.11,-0.37775
2021-09-22,29.12,-0.01,-0.03433
2021-09-16,29.13,0.14,0.48293
2021-09-15,28.99,-0.5,-1.69549
2021-09-14,29.49,-0.28,-0.94054
2021-09-13,29.77,-0.41,-1.35852
2021-09-12,30.18,-0.24,-0.78895
2021-09-09,30.42,0.26,0.86207
2021-09-08,30.16,-0.02,-0.06627
2021-09-07,30.18,-0.1,-0.33025
2021-09-06,30.28,0.36,1.20321
2021-09-05,29.92,0.5,1.69952
2021-09-02,29.42,-0.38,-1.27517
2021-09-01,29.8,0.0,0.0
2021-08-31,29.8,0.06,0.20175
2021-08-30,29.74,0.05,0.16841
2021-08-29,29.69,-0.1,-0.33568
2021-08-26,29.79,0.17,0.57394
2021-08-25,29.62,-0.56,-1.85553
2021-08-24,30.18,-0.01,-0.03312
2021-08-23,30.19,0.36,1.20684
2021-08-22,29.83,0.57,1.94805
2021-08-19,29.26,-0.49,-1.64706
2021-08-18,29.75,0.11,0.37112
2021-08-17,29.64,0.22,0.74779
2021-08-16,29.42,-0.61,-2.0313
2021-08-15,30.03,-0.05,-0.16622
2021-08-12,30.08,-0.3,-0.98749
2021-08-11,30.38,-0.22,-0.71895
2021-08-10,30.6,-0.17,-0.55249
2021-08-09,30.77,0.17,0.55556
2021-08-08,30.6,0.22,0.72416
2021-08-05,30.38,-0.11,-0.36077
2021-08-04,30.49,-0.2,-0.65168
2021-08-03,30.69,0.43,1.42102
2021-08-02,30.26,-0.15,-0.49326
2021-08-01,30.41,0.56,1.87605
2021-07-29,29.85,0.05,0.16779
2021-07-28,29.8,0.9,3.11419
2021-07-27,28.9,-0.15,-0.51635
2021-07-26,29.05,-1.08,-3.58447
2021-07-25,30.13,-0.84,-2.7123
2021-07-22,30.97,-0.35,-1.1175
2021-07-21,31.32,0.02,0.0639
2021-07-20,31.3,0.63,2.05412
2021-07-19,30.67,0.02,0.06525
2021-07-18,30.65,0.08,0.26169
2021-07-15,30.57,-0.2,-0.64998
2021-07-14,30.77,0.29,0.95144
2021-07-13,30.48,-0.42,-1.35922
2021-07-12,30.9,0.08,0.25957
2021-07-11,30.82,0.42,1.38158
2021-07-08,30.4,-0.04,-0.13141
2021-07-07,30.44,-0.19,-0.62031
2021-07-06,30.63,0.57,1.89621
2021-07-05,30.06,-0.12,-0.39761
