tradeDate,nav,change,changePercent
2022-08-30,8.9388,-0.0001,-0.00112
2022-08-29,8.9389,-0.0101,-0.11286
2022-08-28,8.949,-0.0169,-0.18849
2022-08-25,8.9659,0.0272,0.30429
2022-08-24,8.9387,0.0291,0.32661
2022-08-23,8.9096,0.0045,0.05053
2022-08-22,8.9051,0.0025,0.02808
2022-08-21,8.9026,0.0089,0.10007
2022-08-18,8.8937,-0.0011,-0.01237
2022-08-17,8.8948,-0.008,-0.08986
2022-08-16,8.9028,-0.0115,-0.12901
2022-08-15,8.9143,0.0338,0.38061
2022-08-14,8.8805,0.0248,0.28005
2022-08-11,8.8557,0.0053,0.05988
2022-08-10,8.8504,0.0012,0.01356
2022-08-09,8.8492,0.0004,0.00452
2022-08-08,8.8488,-0.0214,-0.24126
2022-08-07,8.8702,-0.0001,-0.00113
2022-08-04,8.8703,-0.0004,-0.00451
2022-08-03,8.8707,-0.005,-0.05633
2022-08-02,8.8757,-0.018,-0.20239
2022-08-01,8.8937,-0.017,-0.19078
2022-07-31,8.9107,0.0255,0.28699
2022-07-28,8.8852,0.0506,0.57275
2022-07-27,8.8346,0.0165,0.18712
2022-07-26,8.8181,-0.0038,-0.04307
2022-07-25,8.8219,0.0268,0.30472
2022-07-24,8.7951,0.0234,0.26677
2022-07-21,8.7717,0.0189,0.21593
2022-07-20,8.7528,0.0053,0.06059
2022-07-19,8.7475,-0.0026,-0.02971
2022-07-18,8.7501,-0.0305,-0.34736
2022-07-17,8.7806,0.0051,0.05812
2022-07-14,8.7755,-0.0094,-0.107
2022-07-13,8.7849,-0.028,-0.31772
2022-07-12,8.8129,,
2022-07-11,8.8406,-0.0363,-0.40893
2022-07-10,8.8769,-0.0163,-0.18329
2022-07-07,8.8932,-0.0244,-0.27362
2022-07-06,8.9176,-0.0135,-0.15116
2022-07-05,8.9311,-0.0277,-0.30919
2022-07-04,8.9588,-0.0347,-0.38583
2022-07-03,8.9935,0.0015,0.01668
2022-06-30,8.992,0.0083,0.09239
2022-06-29,8.9837,0.0011,0.01225
2022-06-28,8.9826,-0.0197,-0.21883
2022-06-27,9.0023,0.008,0.08895
2022-06-26,8.9943,-0.0128,-0.14211
2022-06-23,9.0071,-0.0187,-0.20718
2022-06-22,9.0258,-0.0233,-0.25748
2022-06-21,9.0491,,
2022-06-20,9.0585,-0.0244,-0.26864
2022-06-19,9.0829,-0.0072,-0.07921
2022-06-16,9.0901,0.0057,0.06274
2022-06-15,9.0844,-0.0168,-0.18459
2022-06-14,9.1012,0.0011,0.01209
2022-06-13,9.1001,-0.0224,-0.24555
2022-06-12,9.1225,-0.0866,-0.94037
2022-06-09,9.2091,-0.0346,-0.37431
2022-06-08,9.2437,-0.0082,-0.08863
2022-06-07,9.2519,-0.0016,-0.01729
2022-06-06,9.2535,-0.0049,-0.05292
2022-06-05,9.2584,-0.0083,-0.08957
2022-06-01,9.2667,-0.0039,-0.04207
2022-05-31,9.2706,0.0005,0.00539
2022-05-30,9.2701,0.0002,0.00216
2022-05-29,9.2699,0.0041,0.04425
2022-05-26,9.2658,-0.0075,-0.08088
2022-05-25,9.2733,0.0121,0.13065
2022-05-24,9.2612,0.01,0.10809
2022-05-23,9.2512,0.0049,0.05299
2022-05-22,9.2463,0.0163,0.1766
2022-05-19,9.23,0.0082,0.08892
2022-05-18,9.2218,0.0016,0.01735
2022-05-17,9.2202,-0.0211,-0.22832
2022-05-16,9.2413,-0.0318,-0.34293
2022-05-15,9.2731,-0.0093,-0.10019
2022-05-12,9.2824,-0.0074,-0.07966
2022-05-11,9.2898,-0.0216,-0.23197
2022-05-10,9.3114,-0.0134,-0.1437
2022-05-09,9.3248,-0.0162,-0.17343
2022-05-08,9.341,-0.0076,-0.0813
2022-05-05,9.3486,-0.0209,-0.22306
2022-05-04,9.3695,0.002,0.02135
2022-05-03,9.3675,-0.0075,-0.08
2022-05-02,9.375,-0.0008,-0.00853
2022-04-28,9.3758,0.0082,0.08754
2022-04-27,9.3676,0.0173,0.18502
2022-04-26,9.3503,0.0017,0.01818
2022-04-25,9.3486,-0.0004,-0.00428
2022-04-24,9.349,-0.0062,-0.06627
2022-04-21,9.3552,-0.0098,-0.10464
2022-04-20,9.365,-0.018,-0.19184
2022-04-19,9.383,-0.0068,-0.07242
2022-04-18,9.3898,-0.0146,-0.15525
2022-04-13,9.4044,0.0135,0.14376
2022-04-12,9.3909,0.005,0.05327
2022-04-11,9.3859,-0.0278,-0.29531
2022-04-10,9.4137,-0.0492,-0.51993
2022-04-07,9.4629,-0.0071,-0.07497
2022-04-06,9.47,0.0093,0.0983
2022-04-05,9.4607,0.0688,0.73255
2022-03-31,9.3919,0.0088,0.09379
2022-03-30,9.3831,0.0295,0.31539
2022-03-29,9.3536,0.0573,0.61637
2022-03-28,9.2963,0.0435,0.47013
2022-03-27,9.2528,0.008,0.08654
2022-03-24,9.2448,-0.0123,-0.13287
2022-03-23,9.2571,-0.0135,-0.14562
2022-03-22,9.2706,0.0324,0.35072
2022-03-21,9.2382,-0.0054,-0.05842
2022-03-20,9.2436,0.0339,0.36809
2022-03-17,9.2097,0.0296,0.32244
2022-03-16,9.1801,0.0818,0.89907
2022-03-15,9.0983,-0.0211,-0.23137
2022-03-14,9.1194,-0.0539,-0.58757
2022-03-13,9.1733,-0.0493,-0.53456
2022-03-10,9.2226,-0.0195,-0.21099
2022-03-09,9.2421,-0.0166,-0.17929
2022-03-08,9.2587,-0.0383,-0.41196
2022-03-07,9.297,-0.0664,-0.70914
2022-03-06,9.3634,-0.0394,-0.41902
2022-03-03,9.4028,-0.0291,-0.30853
2022-03-02,9.4319,-0.0526,-0.55459
2022-03-01,9.4845,-0.0391,-0.41056
2022-02-28,9.5236,-0.0346,-0.36199
2022-02-24,9.5582,-0.0286,-0.29833
2022-02-23,9.5868,-0.0362,-0.37618
2022-02-22,9.623,0.0004,0.00416
2022-02-21,9.6226,-0.0054,-0.05609
2022-02-20,9.628,0.004,0.04156
2022-02-17,9.624,0.0114,0.11859
2022-02-16,9.6126,-0.0176,-0.18276
2022-02-15,9.6302,-0.0098,-0.10166
2022-02-14,9.64,-0.037,-0.38235
2022-02-13,9.677,-0.0227,-0.23403
2022-02-10,9.6997,-0.0263,-0.27041
2022-02-09,9.726,-0.0054,-0.05549
2022-02-08,9.7314,0.005,0.05141
2022-02-07,9.7264,-0.0243,-0.24921
2022-02-06,9.7507,-0.0473,-0.48275
2022-01-27,9.798,-0.0268,-0.27278
2022-01-26,9.8248,-0.0245,-0.24875
2022-01-25,9.8493,0.0066,0.06705
2022-01-24,9.8427,0.0051,0.05184
2022-01-23,9.8376,0.0111,0.11296
2022-01-20,9.8265,0.0304,0.31033
2022-01-19,9.7961,0.0474,0.48622
2022-01-18,9.7487,0.0372,0.38305
2022-01-17,9.7115,-0.0509,-0.52139
