tradeDate,nav,change,changePercent
2022-09-01,12.39,-0.12,-0.95923
2022-08-31,12.51,-0.22,-1.7282
2022-08-30,12.73,0.08,0.63241
2022-08-29,12.65,0.04,0.31721
2022-08-28,12.61,-0.25,-1.94401
2022-08-25,12.86,0.12,0.94192
2022-08-24,12.74,0.08,0.63191
2022-08-23,12.66,-0.01,-0.07893
2022-08-22,12.67,-0.17,-1.32399
2022-08-21,12.84,-0.11,-0.84942
2022-08-18,12.95,-0.01,-0.07716
2022-08-17,12.96,-0.03,-0.23095
2022-08-16,12.99,0.03,0.23148
2022-08-15,12.96,0.0,0.0
2022-08-14,12.96,0.1,0.7776
2022-08-11,12.86,0.06,0.46875
2022-08-10,12.8,0.19,1.50674
2022-08-09,12.61,-0.07,-0.55205
2022-08-08,12.68,0.05,0.39588
2022-08-07,12.63,0.0,0.0
2022-08-04,12.63,0.22,1.77276
2022-08-03,12.41,-0.01,-0.08052
2022-08-02,12.42,0.01,0.08058
2022-08-01,12.41,-0.17,-1.35135
2022-07-31,12.58,-0.01,-0.07943
2022-07-28,12.59,0.03,0.23885
2022-07-27,12.56,-0.03,-0.23828
2022-07-26,12.59,0.12,0.96231
2022-07-25,12.47,-0.09,-0.71656
2022-07-24,12.56,-0.03,-0.23828
2022-07-21,12.59,-0.03,-0.23772
2022-07-20,12.62,0.19,1.52856
2022-07-19,12.43,0.08,0.64777
2022-07-18,12.35,0.0,0.0
2022-07-17,12.35,0.19,1.5625
2022-07-14,12.16,0.01,0.0823
2022-07-13,12.15,0.11,0.91362
2022-07-12,12.04,0.3,2.55537
2022-07-11,11.74,-0.25,-2.08507
2022-07-10,11.99,-0.07,-0.58043
2022-07-07,12.06,0.08,0.66778
2022-07-06,11.98,0.29,2.48075
2022-07-05,11.69,-0.26,-2.17573
2022-07-04,11.95,0.14,1.18544
2022-07-03,11.81,-0.05,-0.42159
2022-06-30,11.86,-0.34,-2.78689
2022-06-29,12.2,-0.25,-2.00803
2022-06-28,12.45,-0.07,-0.55911
2022-06-27,12.52,-0.13,-1.02767
2022-06-26,12.65,0.16,1.28102
2022-06-23,12.49,0.03,0.24077
2022-06-22,12.46,-0.18,-1.42405
2022-06-21,12.64,-0.35,-2.69438
2022-06-20,12.99,0.38,3.01348
2022-06-19,12.61,-0.22,-1.71473
2022-06-16,12.83,-0.22,-1.68582
2022-06-15,13.05,-0.13,-0.98634
2022-06-14,13.18,-0.13,-0.97671
2022-06-13,13.31,0.02,0.15049
2022-06-12,13.29,-0.28,-2.06338
2022-06-09,13.57,-0.09,-0.65886
2022-06-08,13.66,-0.02,-0.1462
2022-06-07,13.68,0.12,0.88496
2022-06-06,13.56,-0.1,-0.73206
2022-06-05,13.66,0.0,0.0
2022-06-01,13.66,-0.08,-0.58224
2022-05-31,13.74,-0.08,-0.57887
2022-05-30,13.82,0.14,1.02339
2022-05-29,13.68,0.26,1.93741
2022-05-26,13.42,0.2,1.51286
2022-05-25,13.22,-0.13,-0.97378
2022-05-24,13.35,0.19,1.44377
2022-05-23,13.16,-0.13,-0.97818
2022-05-22,13.29,0.0,0.0
2022-05-19,13.29,0.06,0.45351
2022-05-18,13.23,-0.19,-1.4158
2022-05-17,13.42,0.17,1.28302
2022-05-16,13.25,0.04,0.3028
2022-05-15,13.21,-0.02,-0.15117
2022-05-12,13.23,0.14,1.06952
2022-05-11,13.09,-0.28,-2.09424
2022-05-10,13.37,-0.08,-0.5948
2022-05-09,13.45,0.0,0.0
2022-05-08,13.45,-0.24,-1.7531
2022-05-05,13.69,-0.18,-1.29776
2022-05-04,13.87,0.05,0.36179
2022-05-03,13.82,0.07,0.50909
2022-05-02,13.75,-0.08,-0.57845
2022-04-28,13.83,0.09,0.65502
2022-04-27,13.74,0.16,1.1782
2022-04-26,13.58,-0.17,-1.23636
2022-04-25,13.75,0.0,0.0
2022-04-24,13.75,-0.29,-2.06553
2022-04-21,14.04,-0.07,-0.4961
2022-04-20,14.11,0.01,0.07092
2022-04-19,14.1,0.16,1.14778
2022-04-18,13.94,0.15,1.08774
2022-04-17,13.79,-0.11,-0.79137
2022-04-14,13.9,-0.15,-1.06762
2022-04-13,14.05,-0.04,-0.28389
2022-04-12,14.09,0.25,1.80636
2022-04-11,13.84,0.0,0.0
2022-04-10,13.84,-0.19,-1.35424
2022-04-07,14.03,0.08,0.57348
2022-04-06,13.95,-0.25,-1.76056
2022-04-05,14.2,-0.13,-0.90719
2022-03-31,14.33,-0.02,-0.13937
2022-03-30,14.35,-0.03,-0.20862
2022-03-29,14.38,0.04,0.27894
2022-03-28,14.34,-0.01,-0.06969
2022-03-27,14.35,-0.04,-0.27797
2022-03-24,14.39,-0.05,-0.34626
2022-03-23,14.44,-0.12,-0.82418
2022-03-22,14.56,0.14,0.97087
2022-03-21,14.42,-0.04,-0.27663
2022-03-20,14.46,0.09,0.6263
2022-03-17,14.37,-0.14,-0.96485
2022-03-16,14.51,0.44,3.12722
2022-03-15,14.07,-0.03,-0.21277
2022-03-14,14.1,-0.28,-1.94715
2022-03-13,14.38,-0.01,-0.06949
2022-03-10,14.39,-0.04,-0.2772
2022-03-09,14.43,0.36,2.55864
2022-03-08,14.07,0.25,1.80897
2022-03-07,13.82,-0.31,-2.19391
2022-03-06,14.13,-0.5,-3.41763
2022-03-03,14.63,-0.17,-1.14865
2022-03-02,14.8,0.12,0.81744
2022-03-01,14.68,-0.04,-0.27174
2022-02-28,14.72,0.25,1.72771
2022-02-24,14.47,0.1,0.69589
2022-02-23,14.37,-0.38,-2.57627
2022-02-22,14.75,0.15,1.0274
2022-02-21,14.6,-0.18,-1.21786
2022-02-20,14.78,-0.06,-0.40431
2022-02-17,14.84,0.08,0.54201
2022-02-16,14.76,0.12,0.81967
2022-02-15,14.64,0.28,1.94986
2022-02-14,14.36,0.03,0.20935
2022-02-13,14.33,-0.32,-2.1843
2022-02-10,14.65,0.0,0.0
2022-02-09,14.65,0.1,0.68729
2022-02-08,14.55,0.22,1.53524
2022-02-07,14.33,0.13,0.91549
2022-02-06,14.2,0.23,1.64639
2022-01-25,13.97,-0.04,-0.28551
2022-01-24,14.01,-0.2,-1.40746
2022-01-23,14.21,0.01,0.07042
2022-01-20,14.2,-0.31,-2.13646
2022-01-19,14.51,0.03,0.20718
2022-01-18,14.48,-0.17,-1.16041
2022-01-17,14.65,-0.05,-0.34014
2022-01-16,14.7,0.1,0.68493
2022-01-13,14.6,-0.02,-0.1368
2022-01-12,14.62,0.06,0.41209
2022-01-11,14.56,-0.02,-0.13717
2022-01-10,14.58,0.0,0.0
2022-01-09,14.58,-0.06,-0.40984
2022-01-06,14.64,-0.15,-1.0142
2022-01-05,14.79,-0.11,-0.73826
2022-01-04,14.9,-0.02,-0.13405
2022-01-03,14.92,0.14,0.94723
2022-01-02,14.78,-0.16,-1.07095
2021-12-29,14.94,0.06,0.40323
2021-12-28,14.88,-0.01,-0.06716
2021-12-27,14.89,0.13,0.88076
2021-12-26,14.76,0.08,0.54496
2021-12-23,14.68,0.01,0.06817
2021-12-22,14.67,0.1,0.68634
