tradeDate,nav,change,changePercent
2022-08-31,11.46,0.14,1.23675
2022-08-30,11.32,-0.08,-0.70175
2022-08-29,11.4,-0.1,-0.86957
2022-08-28,11.5,0.05,0.43668
2022-08-25,11.45,-0.26,-2.22032
2022-08-24,11.71,0.05,0.42882
2022-08-23,11.66,0.06,0.51724
2022-08-22,11.6,-0.04,-0.34364
2022-08-21,11.64,-0.14,-1.18846
2022-08-18,11.78,-0.04,-0.33841
2022-08-17,11.82,0.01,0.08467
2022-08-16,11.81,-0.02,-0.16906
2022-08-15,11.83,0.05,0.42445
2022-08-14,11.78,0.09,0.76989
2022-08-11,11.69,0.17,1.47569
2022-08-10,11.52,-0.03,-0.25974
2022-08-09,11.55,0.12,1.04987
2022-08-08,11.43,0.07,0.6162
2022-08-07,11.36,0.04,0.35336
2022-08-04,11.32,-0.02,-0.17637
2022-08-03,11.34,-0.01,-0.08811
2022-08-02,11.35,0.05,0.44248
2022-08-01,11.3,-0.05,-0.44053
2022-07-31,11.35,-0.02,-0.1759
2022-07-28,11.37,0.07,0.61947
2022-07-27,11.3,0.2,1.8018
2022-07-26,11.1,0.08,0.72595
2022-07-25,11.02,0.04,0.3643
2022-07-24,10.98,0.06,0.54945
2022-07-21,10.92,0.06,0.55249
2022-07-20,10.86,0.05,0.46253
2022-07-19,10.81,-0.06,-0.55198
2022-07-18,10.87,0.15,1.39925
2022-07-17,10.72,-0.15,-1.37994
2022-07-14,10.87,0.13,1.21043
2022-07-13,10.74,-0.05,-0.46339
2022-07-12,10.79,-0.06,-0.553
2022-07-11,10.85,-0.04,-0.36731
2022-07-10,10.89,0.02,0.18399
2022-07-07,10.87,-0.03,-0.27523
2022-07-06,10.9,-0.01,-0.09166
2022-07-05,10.91,0.08,0.73869
2022-07-04,10.83,-0.16,-1.45587
2022-06-30,10.99,0.17,1.57116
2022-06-29,10.82,0.02,0.18519
2022-06-28,10.8,0.05,0.46512
2022-06-27,10.75,-0.11,-1.01289
2022-06-26,10.86,-0.01,-0.092
2022-06-23,10.87,0.22,2.06573
2022-06-22,10.65,0.15,1.42857
2022-06-21,10.5,,
2022-06-20,10.43,0.22,2.15475
2022-06-16,10.21,-0.03,-0.29297
2022-06-15,10.24,-0.17,-1.63305
2022-06-14,10.41,0.06,0.57971
2022-06-13,10.35,-0.16,-1.52236
2022-06-12,10.51,-0.27,-2.50464
2022-06-09,10.78,-0.09,-0.82797
2022-06-08,10.87,-0.23,-2.07207
2022-06-07,11.1,-0.16,-1.42096
2022-06-06,11.26,0.14,1.25899
2022-06-05,11.12,-0.08,-0.71429
2022-06-01,11.2,0.12,1.08303
2022-05-31,11.08,-0.01,-0.09017
2022-05-30,11.09,-0.2,-1.77148
2022-05-26,11.29,0.11,0.9839
2022-05-25,11.18,0.04,0.35907
2022-05-24,11.14,-0.02,-0.17921
2022-05-23,11.16,0.13,1.1786
2022-05-22,11.03,0.13,1.19266
2022-05-19,10.9,-0.02,-0.18315
2022-05-18,10.92,-0.06,-0.54645
2022-05-17,10.98,-0.39,-3.43008
2022-05-16,11.37,0.04,0.35305
2022-05-15,11.33,0.02,0.17683
2022-05-12,11.31,0.12,1.07239
2022-05-11,11.19,0.05,0.44883
2022-05-10,11.14,-0.01,-0.08969
2022-05-09,11.15,-0.1,-0.88889
2022-05-08,11.25,-0.09,-0.79365
2022-05-05,11.34,0.06,0.53191
2022-05-04,11.28,-0.23,-1.99826
2022-05-03,11.51,0.24,2.12955
2022-05-02,11.27,-0.06,-0.52957
2022-04-28,11.33,-0.39,-3.32765
2022-04-27,11.72,0.18,1.55979
2022-04-26,11.54,0.04,0.34783
2022-04-25,11.5,-0.17,-1.45673
2022-04-24,11.67,0.03,0.25773
2022-04-21,11.64,-0.22,-1.85497
2022-04-20,11.86,-0.08,-0.67002
2022-04-19,11.94,0.14,1.18644
2022-04-18,11.8,0.16,1.37457
2022-04-17,11.64,0.0,0.0
2022-04-13,11.64,-0.06,-0.51282
2022-04-12,11.7,0.0,0.0
2022-04-11,11.7,0.03,0.25707
2022-04-10,11.67,-0.04,-0.34159
2022-04-07,11.71,0.05,0.42882
2022-04-06,11.66,0.07,0.60397
2022-04-05,11.59,0.13,1.13438
2022-03-31,11.46,0.15,1.32626
2022-03-30,11.31,-0.06,-0.5277
2022-03-29,11.37,-0.04,-0.35057
2022-03-28,11.41,0.12,1.06289
2022-03-27,11.29,0.1,0.89366
2022-03-24,11.19,0.13,1.17541
2022-03-23,11.06,0.11,1.00457
2022-03-22,10.95,-0.05,-0.45455
2022-03-21,11.0,0.04,0.36496
2022-03-20,10.96,0.09,0.82797
2022-03-17,10.87,-0.04,-0.36664
2022-03-16,10.91,0.03,0.27574
2022-03-15,10.88,0.04,0.369
2022-03-14,10.84,0.18,1.68856
2022-03-13,10.66,0.08,0.75614
2022-03-10,10.58,-0.05,-0.47037
2022-03-09,10.63,-0.06,-0.56127
2022-03-08,10.69,0.11,1.0397
2022-03-07,10.58,-0.18,-1.67286
2022-03-06,10.76,-0.07,-0.64635
2022-03-03,10.83,0.12,1.12045
2022-03-02,10.71,0.1,0.94251
2022-03-01,10.61,0.17,1.62835
2022-02-28,10.44,-0.15,-1.41643
2022-02-24,10.59,0.3,2.91545
2022-02-23,10.29,0.03,0.2924
2022-02-22,10.26,-0.11,-1.06075
2022-02-21,10.37,-0.03,-0.28846
2022-02-17,10.4,0.0,0.0
2022-02-16,10.4,-0.06,-0.57361
2022-02-15,10.46,0.0,0.0
2022-02-14,10.46,0.03,0.28763
2022-02-13,10.43,-0.06,-0.57197
