tradeDate,nav,change,changePercent
2022-08-30,10.4251,-0.0347,-0.33175
2022-08-29,10.4598,-0.056,-0.53253
2022-08-28,10.5158,-0.0136,-0.12916
2022-08-25,10.5294,-0.0187,-0.17728
2022-08-24,10.5481,0.0339,0.32242
2022-08-23,10.5142,0.0164,0.15622
2022-08-22,10.4978,-0.0674,-0.63794
2022-08-21,10.5652,-0.0833,-0.78227
2022-08-18,10.6485,-0.0503,-0.47015
2022-08-17,10.6988,0.0085,0.07951
2022-08-16,10.6903,-0.061,-0.56737
2022-08-15,10.7513,0.0061,0.05677
2022-08-14,10.7452,0.0138,0.12859
2022-08-11,10.7314,0.0059,0.05501
2022-08-10,10.7255,-0.0115,-0.10711
2022-08-09,10.737,0.0473,0.44248
2022-08-08,10.6897,-0.0344,-0.32077
2022-08-07,10.7241,0.0101,0.09427
2022-08-04,10.714,-0.0454,-0.42196
2022-08-03,10.7594,0.0064,0.05952
2022-08-02,10.753,0.0235,0.21902
2022-08-01,10.7295,0.0599,0.56141
2022-07-31,10.6696,0.0301,0.28291
2022-07-28,10.6395,0.0605,0.57189
2022-07-27,10.579,0.057,0.54172
2022-07-26,10.522,0.0235,0.22384
2022-07-25,10.4985,-0.0098,-0.09326
2022-07-24,10.5083,0.0289,0.27578
2022-07-21,10.4794,0.0406,0.38893
2022-07-20,10.4388,0.0365,0.35088
2022-07-19,10.4023,0.0443,0.42769
2022-07-18,10.358,0.0311,0.30116
2022-07-17,10.3269,0.0132,0.12799
2022-07-14,10.3137,0.0446,0.43431
2022-07-13,10.2691,-0.0294,-0.28548
2022-07-12,10.2985,-0.0346,-0.33485
2022-07-11,10.3331,0.0087,0.08427
2022-07-10,10.3244,0.0126,0.12219
2022-07-07,10.3118,0.0369,0.35913
2022-07-06,10.2749,0.0383,0.37415
2022-07-05,10.2366,-0.0127,-0.12391
2022-07-04,10.2493,-0.0109,-0.10624
2022-06-30,10.2602,0.0461,0.45134
2022-06-29,10.2141,-0.0465,-0.45319
2022-06-28,10.2606,-0.026,-0.25276
2022-06-27,10.2866,-0.0182,-0.17662
2022-06-26,10.3048,0.001,0.00971
2022-06-23,10.3038,0.0406,0.39559
2022-06-22,10.2632,0.0214,0.20895
2022-06-21,10.2418,0.0091,0.08893
2022-06-20,10.2327,0.0589,0.57894
2022-06-16,10.1738,-0.0074,-0.07268
2022-06-15,10.1812,-0.1118,-1.08618
2022-06-14,10.293,0.0653,0.63846
