tradeDate,nav,change,changePercent
2022-08-30,8.7554,-0.0089,-0.10155
2022-08-29,8.7643,-0.0157,-0.17882
2022-08-28,8.78,-0.0283,-0.32129
2022-08-25,8.8083,0.0212,0.24126
2022-08-24,8.7871,0.0399,0.45615
2022-08-23,8.7472,0.0101,0.1156
2022-08-22,8.7371,0.0153,0.17542
2022-08-21,8.7218,-0.0199,-0.22764
2022-08-18,8.7417,-0.0158,-0.18042
2022-08-17,8.7575,-0.0062,-0.07075
2022-08-16,8.7637,-0.0161,-0.18338
2022-08-15,8.7798,0.0039,0.04444
2022-08-14,8.7759,0.0127,0.14492
2022-08-11,8.7632,0.025,0.2861
2022-08-10,8.7382,0.0058,0.06642
2022-08-09,8.7324,0.0054,0.06188
2022-08-08,8.727,-0.0038,-0.04352
2022-08-07,8.7308,0.003,0.03437
2022-08-04,8.7278,-0.0167,-0.19098
2022-08-03,8.7445,0.0096,0.1099
2022-08-02,8.7349,0.0133,0.15249
2022-08-01,8.7216,-0.0271,-0.30976
2022-07-31,8.7487,0.0124,0.14194
2022-07-28,8.7363,0.0225,0.25821
2022-07-27,8.7138,0.0392,0.45189
2022-07-26,8.6746,0.0239,0.27628
2022-07-25,8.6507,0.0016,0.0185
2022-07-24,8.6491,0.0152,0.17605
2022-07-21,8.6339,0.0315,0.36618
2022-07-20,8.6024,0.0431,0.50355
2022-07-19,8.5593,-0.0058,-0.06772
2022-07-18,8.5651,-0.0461,-0.53535
2022-07-17,8.6112,-0.0174,-0.20165
2022-07-14,8.6286,-0.0087,-0.10073
2022-07-13,8.6373,-0.0183,-0.21142
2022-07-12,8.6556,-0.0252,-0.2903
2022-07-11,8.6808,-0.0351,-0.40271
2022-07-10,8.7159,-0.002,-0.02294
2022-07-07,8.7179,-0.0182,-0.20833
2022-07-06,8.7361,-0.0177,-0.2022
2022-07-05,8.7538,-0.0251,-0.28591
2022-07-04,8.7789,-0.0085,-0.09673
2022-07-03,8.7874,-0.0062,-0.07051
2022-06-30,8.7936,0.0145,0.16516
2022-06-29,8.7791,-0.0015,-0.01708
2022-06-28,8.7806,-0.012,-0.13648
2022-06-27,8.7926,-0.003,-0.03411
2022-06-26,8.7956,-0.0032,-0.03637
2022-06-23,8.7988,-0.0158,-0.17925
2022-06-22,8.8146,-0.0183,-0.20718
2022-06-21,8.8329,,
2022-06-20,8.8375,-0.0088,-0.09948
2022-06-19,8.8463,,
2022-06-16,8.8449,-0.0192,-0.2166
2022-06-15,8.8641,-0.0018,-0.0203
2022-06-14,8.8659,0.0233,0.2635
2022-06-13,8.8426,-0.0284,-0.32014
2022-06-12,8.871,-0.0685,-0.76626
2022-06-09,8.9395,-0.032,-0.35669
2022-06-08,8.9715,-0.0074,-0.08242
2022-06-07,8.9789,0.0086,0.09587
2022-06-06,8.9703,0.0075,0.08368
2022-06-05,8.9628,0.0086,0.09604
2022-06-01,8.9542,0.0433,0.48592
2022-05-31,8.9109,-0.0323,-0.36117
2022-05-30,8.9432,-0.019,-0.212
2022-05-29,8.9622,-0.0053,-0.0591
2022-05-26,8.9675,0.0036,0.04016
2022-05-25,8.9639,0.0129,0.14412
2022-05-24,8.951,0.0133,0.14881
2022-05-23,8.9377,0.0226,0.2535
2022-05-22,8.9151,-0.0004,-0.00449
2022-05-19,8.9155,0.0103,0.11566
2022-05-18,8.9052,-0.0022,-0.0247
2022-05-17,8.9074,-0.0007,-0.00786
2022-05-16,8.9081,-0.0274,-0.30664
2022-05-15,8.9355,0.0021,0.02351
2022-05-12,8.9334,-0.0152,-0.16986
2022-05-11,8.9486,-0.0158,-0.17625
2022-05-10,8.9644,0.0048,0.05357
2022-05-09,8.9596,-0.0079,-0.0881
2022-05-08,8.9675,0.0242,0.27059
2022-05-05,8.9433,-0.0141,-0.15741
2022-05-04,8.9574,-0.0165,-0.18387
2022-05-03,8.9739,0.0258,0.28833
2022-05-02,8.9481,-0.0104,-0.11609
2022-04-28,8.9585,-0.0031,-0.03459
2022-04-27,8.9616,0.0093,0.10388
2022-04-26,8.9523,-0.0127,-0.14166
2022-04-25,8.965,0.0361,0.40431
2022-04-24,8.9289,-0.0306,-0.34154
2022-04-21,8.9595,-0.0106,-0.11817
2022-04-20,8.9701,-0.0163,-0.18139
2022-04-19,8.9864,0.0056,0.06236
2022-04-18,8.9808,-0.0149,-0.16563
2022-04-17,8.9957,0.0021,0.02335
2022-04-14,8.9936,-0.0137,-0.1521
2022-04-13,9.0073,-0.0024,-0.02664
2022-04-12,9.0097,0.015,0.16676
2022-04-11,8.9947,-0.0159,-0.17646
2022-04-10,9.0106,-0.0323,-0.35719
2022-04-07,9.0429,-0.0153,-0.16891
2022-04-06,9.0582,0.0059,0.06518
2022-04-05,9.0523,0.051,0.56658
2022-03-31,9.0013,-0.0081,-0.08991
2022-03-30,9.0094,0.0246,0.2738
2022-03-29,8.9848,0.046,0.51461
2022-03-28,8.9388,0.0207,0.23211
2022-03-27,8.9181,-0.0003,-0.00336
2022-03-24,8.9184,-0.0028,-0.03139
2022-03-23,8.9212,-0.0088,-0.09854
2022-03-22,8.93,0.022,0.24697
2022-03-21,8.908,-0.0196,-0.21954
2022-03-20,8.9276,0.0079,0.08857
2022-03-17,8.9197,0.0313,0.35214
2022-03-16,8.8884,0.0348,0.39306
2022-03-15,8.8536,0.0,0.0
2022-03-14,8.8536,-0.0425,-0.47774
2022-03-13,8.8961,-0.024,-0.26906
2022-03-10,8.9201,-0.045,-0.50195
2022-03-09,8.9651,0.0189,0.21126
2022-03-08,8.9462,-0.0462,-0.51377
2022-03-07,8.9924,-0.0705,-0.7779
2022-03-06,9.0629,-0.0462,-0.50719
2022-03-03,9.1091,-0.0106,-0.11623
