tradeDate,nav,change,changePercent
2022-08-30,10.6638,0.0049,0.04597
2022-08-29,10.6589,0.0084,0.07887
2022-08-28,10.6505,-0.0492,-0.45983
2022-08-25,10.6997,0.0094,0.08793
2022-08-24,10.6903,0.0234,0.21937
2022-08-23,10.6669,0.0112,0.10511
2022-08-22,10.6557,0.0113,0.10616
2022-08-21,10.6444,0.0004,0.00376
2022-08-18,10.644,-0.0103,-0.09667
2022-08-17,10.6543,0.0038,0.03568
2022-08-16,10.6505,-0.0121,-0.11348
2022-08-15,10.6626,0.0413,0.38884
2022-08-14,10.6213,0.0194,0.18299
2022-08-11,10.6019,0.0054,0.05096
2022-08-10,10.5965,0.0156,0.14744
2022-08-09,10.5809,0.0128,0.12112
2022-08-08,10.5681,-0.0072,-0.06808
2022-08-07,10.5753,0.0165,0.15627
2022-08-04,10.5588,0.0069,0.06539
2022-08-03,10.5519,0.0056,0.0531
2022-08-02,10.5463,-0.0104,-0.09852
2022-08-01,10.5567,-0.0061,-0.05775
2022-07-31,10.5628,0.0195,0.18495
2022-07-28,10.5433,0.0236,0.22434
2022-07-27,10.5197,0.0351,0.33478
2022-07-26,10.4846,0.0054,0.05153
2022-07-25,10.4792,0.0059,0.05633
2022-07-24,10.4733,0.0225,0.21529
2022-07-21,10.4508,0.0255,0.2446
2022-07-20,10.4253,0.0137,0.13158
2022-07-19,10.4116,0.0272,0.26193
2022-07-18,10.3844,-0.0118,-0.1135
2022-07-17,10.3962,0.0086,0.08279
2022-07-14,10.3876,0.0045,0.04334
2022-07-13,10.3831,-0.0112,-0.10775
2022-07-12,10.3943,0.0054,0.05198
2022-07-11,10.3889,-0.0461,-0.44178
2022-07-10,10.435,-0.0052,-0.04981
2022-07-07,10.4402,0.0011,0.01054
2022-07-06,10.4391,-0.0383,-0.36555
2022-07-05,10.4774,0.0004,0.00382
2022-07-04,10.477,0.375,3.71214
2022-07-03,10.102,0.0048,0.04754
2022-06-30,10.0972,0.0122,0.12097
2022-06-29,10.085,-0.0031,-0.03073
2022-06-28,10.0881,-0.0227,-0.22451
2022-06-27,10.1108,-0.0232,-0.22893
2022-06-26,10.134,0.0015,0.0148
2022-06-23,10.1325,-0.0078,-0.07692
2022-06-22,10.1403,-0.0033,-0.03253
2022-06-21,10.1436,,
2022-06-20,10.1435,-0.0103,-0.10144
2022-06-19,10.1538,0.0045,0.04434
2022-06-16,10.1493,0.0052,0.05126
2022-06-15,10.1441,-0.0085,-0.08372
2022-06-14,10.1526,0.0303,0.29934
2022-06-13,10.1223,-0.0374,-0.36812
2022-06-12,10.1597,-0.1146,-1.1154
2022-06-09,10.2743,-0.0419,-0.40616
2022-06-08,10.3162,-0.0185,-0.17901
2022-06-07,10.3347,-0.0082,-0.07928
2022-06-06,10.3429,-0.005,-0.04832
2022-06-05,10.3479,0.0022,0.02126
2022-06-01,10.3457,-0.0035,-0.03382
2022-05-31,10.3492,-0.008,-0.07724
2022-05-30,10.3572,0.0011,0.01062
2022-05-29,10.3561,0.0043,0.04154
2022-05-26,10.3518,0.0048,0.04639
2022-05-25,10.347,0.0117,0.1132
2022-05-24,10.3353,0.0169,0.16379
2022-05-23,10.3184,0.0091,0.08827
2022-05-22,10.3093,0.018,0.17491
2022-05-19,10.2913,0.0059,0.05736
2022-05-18,10.2854,-0.0067,-0.0651
2022-05-17,10.2921,-0.0166,-0.16103
2022-05-16,10.3087,0.0009,0.00873
2022-05-15,10.3078,-0.0013,-0.01261
2022-05-12,10.3091,0.005,0.04852
2022-05-11,10.3041,-0.0118,-0.11439
2022-05-10,10.3159,0.0003,0.00291
2022-05-09,10.3156,-0.0028,-0.02714
2022-05-08,10.3184,0.011,0.10672
2022-05-05,10.3074,-0.0123,-0.11919
2022-05-04,10.3197,0.0091,0.08826
2022-05-03,10.3106,0.0149,0.14472
2022-05-02,10.2957,-0.0151,-0.14645
2022-04-28,10.3108,-0.0021,-0.02036
2022-04-27,10.3129,-0.0034,-0.03296
2022-04-26,10.3163,-0.0033,-0.03198
2022-04-25,10.3196,0.0071,0.06885
2022-04-24,10.3125,-0.019,-0.1839
2022-04-21,10.3315,-0.0184,-0.17778
2022-04-20,10.3499,-0.0065,-0.06276
2022-04-19,10.3564,-0.004,-0.03861
2022-04-18,10.3604,-0.0131,-0.12628
2022-04-17,10.3735,-0.0002,-0.00193
2022-04-14,10.3737,0.0006,0.00578
2022-04-13,10.3731,-0.0036,-0.03469
2022-04-12,10.3767,0.006,0.05786
2022-04-11,10.3707,-0.0059,-0.05686
2022-04-10,10.3766,-0.0195,-0.18757
2022-04-07,10.3961,-0.006,-0.05768
2022-04-06,10.4021,0.0035,0.03366
2022-04-05,10.3986,0.0037,0.03559
2022-03-31,10.3949,-0.005,-0.04808
2022-03-30,10.3999,-0.0012,-0.01154
2022-03-29,10.4011,0.0375,0.36184
2022-03-28,10.3636,0.0298,0.28837
2022-03-27,10.3338,0.0024,0.02323
2022-03-24,10.3314,0.0048,0.04648
2022-03-23,10.3266,-0.0293,-0.28293
2022-03-22,10.3559,0.0428,0.41501
2022-03-21,10.3131,-0.0349,-0.33726
2022-03-20,10.348,0.0178,0.17231
2022-03-17,10.3302,0.0452,0.43947
2022-03-16,10.285,0.0411,0.40121
2022-03-15,10.2439,0.0293,0.28684
2022-03-14,10.2146,-0.0202,-0.19737
2022-03-13,10.2348,-0.0217,-0.21157
2022-03-10,10.2565,-0.0079,-0.07697
2022-03-09,10.2644,0.0099,0.09654
2022-03-08,10.2545,-0.0582,-0.56435
2022-03-07,10.3127,-0.0301,-0.29102
2022-03-06,10.3428,-0.0433,-0.4169
2022-03-03,10.3861,-0.0371,-0.35594
2022-03-02,10.4232,-0.0082,-0.07861
2022-03-01,10.4314,-0.0377,-0.36011
2022-02-28,10.4691,-0.2989,-2.77582
2022-02-24,10.768,-0.0752,-0.69352
2022-02-23,10.8432,-0.1252,-1.14146
2022-02-22,10.9684,-0.2873,-2.55248
2022-02-21,11.2557,-0.0502,-0.44402
2022-02-20,11.3059,0.0036,0.03185
2022-02-17,11.3023,-0.0067,-0.05924
2022-02-16,11.309,-0.0089,-0.07864
2022-02-15,11.3179,0.0079,0.06985
2022-02-14,11.31,0.0091,0.08052
2022-02-13,11.3009,-0.0207,-0.18284
2022-02-10,11.3216,-0.0253,-0.22297
2022-02-09,11.3469,-0.0074,-0.06517
2022-02-08,11.3543,0.0077,0.06786
2022-02-07,11.3466,-0.0014,-0.01234
2022-02-06,11.348,0.0058,0.05114
2022-01-25,11.3422,0.0056,0.0494
