tradeDate,nav,change,changePercent
2022-08-31,9.4358,-0.0121,-0.12807
2022-08-30,9.4479,-0.0128,-0.1353
2022-08-29,9.4607,-0.0081,-0.08554
2022-08-28,9.4688,-0.0198,-0.20867
2022-08-25,9.4886,0.0287,0.30339
2022-08-24,9.4599,-0.0085,-0.08977
2022-08-23,9.4684,0.0102,0.10784
2022-08-22,9.4582,-0.0124,-0.13093
2022-08-21,9.4706,-0.0261,-0.27483
2022-08-18,9.4967,-0.005,-0.05262
2022-08-17,9.5017,-0.0054,-0.0568
2022-08-16,9.5071,-0.0041,-0.04311
2022-08-15,9.5112,-0.0008,-0.00841
2022-08-14,9.512,-0.0023,-0.02417
2022-08-11,9.5143,-0.0172,-0.18045
2022-08-10,9.5315,0.0402,0.42355
2022-08-09,9.4913,0.0104,0.10969
2022-08-08,9.4809,0.0077,0.08128
2022-08-07,9.4732,-0.0113,-0.11914
2022-08-04,9.4845,0.0252,0.2664
2022-08-03,9.4593,0.0044,0.04654
2022-08-02,9.4549,-0.0359,-0.37826
2022-08-01,9.4908,0.0467,0.49449
2022-07-31,9.4441,0.0187,0.1984
2022-07-28,9.4254,0.0143,0.15195
2022-07-27,9.4111,0.035,0.37329
2022-07-26,9.3761,-0.024,-0.25532
2022-07-25,9.4001,0.0065,0.0692
2022-07-24,9.3936,0.0076,0.08097
2022-07-21,9.386,0.0338,0.36141
2022-07-20,9.3522,-0.0291,-0.31019
2022-07-19,9.3813,0.0215,0.22971
2022-07-18,9.3598,0.0121,0.12944
2022-07-17,9.3477,0.0247,0.26494
2022-07-14,9.323,0.0036,0.03863
2022-07-13,9.3194,0.0043,0.04616
2022-07-12,9.3151,-0.0367,-0.39244
2022-07-11,9.3518,-0.005,-0.05344
2022-07-10,9.3568,-0.0208,-0.22181
2022-07-07,9.3776,0.0141,0.15058
2022-07-06,9.3635,-0.003,-0.03203
2022-07-05,9.3665,0.0312,0.33422
2022-07-04,9.3353,-0.0295,-0.31501
2022-07-03,9.3648,0.0048,0.05128
2022-06-30,9.36,0.0074,0.07912
2022-06-29,9.3526,-0.0275,-0.29317
2022-06-28,9.3801,-0.0401,-0.42568
2022-06-27,9.4202,-0.0172,-0.18225
2022-06-26,9.4374,0.0172,0.18259
2022-06-23,9.4202,0.005,0.05311
2022-06-22,9.4152,0.0036,0.03825
2022-06-21,9.4116,-0.0378,-0.40003
2022-06-20,9.4494,0.001,0.01058
2022-06-19,9.4484,-0.0037,-0.03914
2022-06-16,9.4521,0.0081,0.08577
2022-06-15,9.444,-0.0348,-0.36714
2022-06-14,9.4788,-0.0349,-0.36684
2022-06-13,9.5137,-0.0169,-0.17732
2022-06-12,9.5306,-0.0406,-0.42419
2022-06-09,9.5712,0.0013,0.01358
2022-06-08,9.5699,-0.0148,-0.15441
2022-06-07,9.5847,0.0064,0.06682
2022-06-06,9.5783,-0.0352,-0.36615
2022-06-05,9.6135,0.0147,0.15314
2022-06-01,9.5988,-0.0322,-0.33434
2022-05-31,9.631,0.0222,0.23104
2022-05-30,9.6088,-0.0068,-0.07072
2022-05-29,9.6156,0.0123,0.12808
2022-05-26,9.6033,0.0365,0.38153
2022-05-25,9.5668,0.0358,0.37562
2022-05-24,9.531,0.0198,0.20818
2022-05-23,9.5112,-0.0233,-0.24438
2022-05-22,9.5345,0.0421,0.44351
2022-05-19,9.4924,-0.0125,-0.13151
