tradeDate,nav,change,changePercent
2022-08-30,6.4191,-0.0099,-0.15399
2022-08-29,6.429,0.0322,0.50338
2022-08-28,6.3968,0.0021,0.03284
2022-08-25,6.3947,0.0305,0.47924
2022-08-24,6.3642,0.0315,0.49742
2022-08-23,6.3327,0.024,0.38043
2022-08-22,6.3087,0.0214,0.34037
2022-08-21,6.2873,0.0042,0.06685
2022-08-18,6.2831,-0.0125,-0.19855
2022-08-17,6.2956,-0.0034,-0.05398
2022-08-16,6.299,-0.0178,-0.28179
2022-08-15,6.3168,0.0538,0.85901
2022-08-14,6.263,0.0353,0.56682
2022-08-11,6.2277,0.0173,0.27856
2022-08-10,6.2104,0.0377,0.61075
2022-08-09,6.1727,-0.0045,-0.07285
2022-08-07,6.1772,0.0062,0.10047
2022-08-04,6.171,-0.0377,-0.60721
2022-08-03,6.2087,-0.0113,-0.18167
2022-08-02,6.22,-0.0284,-0.45452
2022-08-01,6.2484,0.0042,0.06726
2022-07-31,6.2442,0.0214,0.3439
2022-07-28,6.2228,0.0244,0.39365
2022-07-27,6.1984,0.0097,0.15674
2022-07-26,6.1887,-0.0009,-0.01454
2022-07-25,6.1896,0.03,0.48704
2022-07-24,6.1596,0.0366,0.59775
2022-07-21,6.123,0.0205,0.33593
2022-07-20,6.1025,-0.0068,-0.11131
2022-07-19,6.1093,-0.0108,-0.17647
2022-07-18,6.1201,-0.0133,-0.21685
2022-07-17,6.1334,-0.0105,-0.1709
2022-07-14,6.1439,-0.0144,-0.23383
2022-07-13,6.1583,,
2022-07-12,6.1654,,
2022-07-11,6.1794,-0.0583,-0.93464
2022-07-07,6.2377,-0.0109,-0.17444
2022-07-06,6.2486,-0.0417,-0.66293
2022-07-05,6.2903,-0.0275,-0.43528
2022-07-04,6.3178,-0.0737,-1.15309
2022-07-03,6.3915,0.0258,0.4053
2022-06-30,6.3657,-0.0243,-0.38028
2022-06-29,6.39,-0.0041,-0.06412
2022-06-28,6.3941,-0.0168,-0.26205
2022-06-27,6.4109,0.0027,0.04213
2022-06-26,6.4082,-0.0035,-0.05459
2022-06-23,6.4117,-0.0255,-0.39613
2022-06-22,6.4372,-0.0505,-0.7784
2022-06-21,6.4877,,
2022-06-20,6.5223,-0.0081,-0.12404
2022-06-19,6.5304,0.0051,0.07816
