tradeDate,nav,change,changePercent
2022-08-31,12.52,-0.13,-1.02767
2022-08-30,12.65,-0.11,-0.86207
2022-08-29,12.76,-0.11,-0.8547
2022-08-28,12.87,-0.03,-0.23256
2022-08-25,12.9,-0.18,-1.37615
2022-08-24,13.08,0.11,0.84811
2022-08-23,12.97,0.03,0.23184
2022-08-22,12.94,0.05,0.3879
2022-08-21,12.89,-0.07,-0.54012
2022-08-18,12.96,-0.14,-1.0687
2022-08-17,13.1,0.06,0.46012
2022-08-16,13.04,-0.1,-0.76104
2022-08-15,13.14,-0.09,-0.68027
2022-08-14,13.23,-0.03,-0.22624
2022-08-11,13.26,0.09,0.68337
2022-08-10,13.17,0.05,0.3811
2022-08-09,13.12,0.11,0.8455
2022-08-08,13.01,-0.01,-0.0768
2022-08-07,13.02,0.07,0.54054
2022-08-04,12.95,0.02,0.15468
2022-08-03,12.93,0.02,0.15492
2022-08-02,12.91,-0.01,-0.0774
2022-08-01,12.92,-0.04,-0.30864
2022-07-31,12.96,-0.04,-0.30769
2022-07-28,13.0,0.14,1.08865
2022-07-27,12.86,0.14,1.10063
2022-07-26,12.72,0.12,0.95238
2022-07-25,12.6,0.0,0.0
2022-07-24,12.6,0.05,0.39841
2022-07-21,12.55,0.03,0.23962
2022-07-20,12.52,0.0,0.0
2022-07-19,12.52,0.0,0.0
2022-07-18,12.52,0.16,1.2945
2022-07-17,12.36,0.07,0.56957
2022-07-14,12.29,0.11,0.90312
2022-07-13,12.18,,
2022-07-12,12.36,0.01,0.08097
2022-07-11,12.35,-0.04,-0.32284
2022-07-10,12.39,-0.06,-0.48193
2022-07-07,12.45,-0.01,-0.08026
2022-07-06,12.46,0.16,1.30081
2022-07-05,12.3,-0.07,-0.56589
2022-07-04,12.37,-0.2,-1.59109
2022-07-03,12.57,-0.02,-0.15886
2022-06-30,12.59,0.07,0.55911
2022-06-29,12.52,-0.12,-0.94937
2022-06-28,12.64,-0.12,-0.94044
2022-06-27,12.76,0.01,0.07843
2022-06-26,12.75,0.06,0.47281
2022-06-23,12.69,0.16,1.27694
2022-06-22,12.53,-0.15,-1.18297
2022-06-21,12.68,,
2022-06-20,12.79,0.09,0.70866
2022-06-19,12.7,0.04,0.31596
2022-06-16,12.66,-0.05,-0.39339
2022-06-15,12.71,-0.22,-1.70147
2022-06-14,12.93,0.04,0.31032
2022-06-13,12.89,-0.08,-0.61681
2022-06-12,12.97,-0.34,-2.55447
2022-06-09,13.31,-0.17,-1.26113
2022-06-08,13.48,-0.15,-1.10051
2022-06-07,13.63,-0.09,-0.65598
2022-06-06,13.72,0.05,0.36576
2022-06-05,13.67,0.0,0.0
2022-06-01,13.67,0.11,0.81121
2022-05-31,13.56,-0.07,-0.51357
2022-05-30,13.63,-0.09,-0.65598
2022-05-29,13.72,0.04,0.2924
2022-05-26,13.68,0.09,0.66225
2022-05-25,13.59,0.07,0.51775
2022-05-24,13.52,0.06,0.44577
2022-05-23,13.46,-0.03,-0.22239
2022-05-22,13.49,0.11,0.82212
2022-05-19,13.38,0.07,0.52592
2022-05-18,13.31,0.0,0.0
2022-05-17,13.31,-0.12,-0.89352
2022-05-16,13.43,0.14,1.05342
2022-05-15,13.29,0.06,0.45351
2022-05-12,13.23,0.15,1.14679
2022-05-11,13.08,-0.08,-0.6079
2022-05-10,13.16,0.11,0.84291
2022-05-09,13.05,-0.02,-0.15302
2022-05-08,13.07,-0.31,-2.31689
2022-05-05,13.38,-0.13,-0.96225
2022-05-04,13.51,-0.08,-0.58867
2022-05-03,13.59,0.07,0.51775
2022-05-02,13.52,0.01,0.07402
2022-04-28,13.51,-0.04,-0.2952
2022-04-27,13.55,0.07,0.51929
2022-04-26,13.48,0.03,0.22305
2022-04-25,13.45,-0.03,-0.22255
2022-04-24,13.48,-0.18,-1.31772
2022-04-21,13.66,-0.19,-1.37184
2022-04-20,13.85,-0.14,-1.00071
2022-04-19,13.99,0.09,0.64748
2022-04-18,13.9,-0.02,-0.14368
2022-04-17,13.92,0.0,0.0
2022-04-13,13.92,0.04,0.28818
2022-04-12,13.88,0.06,0.43415
2022-04-11,13.82,0.02,0.14493
2022-04-10,13.8,-0.08,-0.57637
2022-04-07,13.88,0.15,1.0925
2022-04-06,13.73,0.0,0.0
2022-04-05,13.73,-0.13,-0.93795
2022-03-31,13.86,0.1,0.72674
2022-03-30,13.76,-0.06,-0.43415
2022-03-29,13.82,0.06,0.43605
2022-03-28,13.76,0.09,0.65838
2022-03-27,13.67,-0.03,-0.21898
2022-03-24,13.7,0.07,0.51357
2022-03-23,13.63,0.01,0.07342
2022-03-22,13.62,-0.02,-0.14663
2022-03-21,13.64,0.02,0.14684
2022-03-20,13.62,0.08,0.59084
2022-03-17,13.54,0.02,0.14793
2022-03-16,13.52,0.18,1.34933
2022-03-15,13.34,0.12,0.90772
2022-03-14,13.22,-0.03,-0.22642
2022-03-13,13.25,-0.09,-0.67466
2022-03-10,13.34,-0.02,-0.1497
2022-03-09,13.36,0.03,0.22506
2022-03-08,13.33,0.16,1.21488
2022-03-07,13.17,0.05,0.3811
2022-03-06,13.12,-0.07,-0.53071
2022-03-03,13.19,-0.07,-0.5279
2022-03-02,13.26,-0.06,-0.45045
2022-03-01,13.32,0.07,0.5283
2022-02-28,13.25,-0.08,-0.60015
2022-02-24,13.33,0.27,2.06738
2022-02-23,13.06,-0.12,-0.91047
2022-02-22,13.18,-0.02,-0.15152
2022-02-21,13.2,-0.06,-0.45249
2022-02-20,13.26,-0.05,-0.37566
2022-02-17,13.31,-0.09,-0.67164
2022-02-16,13.4,-0.02,-0.14903
2022-02-15,13.42,0.08,0.5997
2022-02-14,13.34,0.04,0.30075
2022-02-13,13.3,-0.11,-0.82028
2022-02-10,13.41,0.03,0.22422
2022-02-09,13.38,-0.05,-0.3723
2022-02-08,13.43,0.14,1.05342
2022-02-07,13.29,0.0,0.0
2022-02-06,13.29,0.12,0.91116
2022-01-27,13.17,-0.02,-0.15163
2022-01-26,13.19,-0.04,-0.30234
2022-01-25,13.23,0.05,0.37936
2022-01-24,13.18,0.03,0.22814
2022-01-23,13.15,-0.15,-1.12782
2022-01-20,13.3,-0.17,-1.26206
2022-01-19,13.47,-0.03,-0.22222
2022-01-18,13.5,0.02,0.14837
2022-01-17,13.48,-0.08,-0.58997
2022-01-16,13.56,-0.01,-0.07369
2022-01-13,13.57,-0.03,-0.22059
2022-01-12,13.6,0.01,0.07358
2022-01-11,13.59,0.09,0.66667
2022-01-10,13.5,0.09,0.67114
2022-01-09,13.41,-0.03,-0.22321
2022-01-06,13.44,0.01,0.07446
2022-01-05,13.43,-0.09,-0.66568
2022-01-04,13.52,-0.08,-0.58824
2022-01-03,13.6,-0.03,-0.2201
2022-01-02,13.63,0.06,0.44215
2021-12-29,13.57,0.02,0.1476
2021-12-28,13.55,0.01,0.07386
2021-12-27,13.54,0.04,0.2963
2021-12-26,13.5,0.09,0.67114
2021-12-22,13.41,0.05,0.37425
2021-12-21,13.36,0.05,0.37566
2021-12-20,13.31,0.14,1.06302
2021-12-19,13.17,-0.13,-0.97744
2021-12-16,13.3,-0.03,-0.22506
2021-12-15,13.33,0.07,0.5279
2021-12-14,13.26,0.01,0.07547
2021-12-13,13.25,-0.07,-0.52553
2021-12-12,13.32,-0.04,-0.2994
2021-12-09,13.36,-0.02,-0.14948
2021-12-08,13.38,-0.05,-0.3723
2021-12-07,13.43,-0.01,-0.0744
2021-12-06,13.44,0.15,1.12867
2021-12-05,13.29,0.1,0.75815
2021-12-02,13.19,-0.02,-0.1514
2021-12-01,13.21,0.03,0.22762
2021-11-30,13.18,-0.01,-0.07582
2021-11-29,13.19,-0.12,-0.90158
2021-11-28,13.31,0.06,0.45283
2021-11-25,13.25,-0.25,-1.85185
2021-11-24,13.5,0.04,0.29718
2021-11-23,13.46,0.04,0.29806
2021-11-22,13.42,-0.05,-0.3712
2021-11-21,13.47,0.0,0.0
2021-11-18,13.47,-0.08,-0.59041
2021-11-17,13.55,-0.04,-0.29433
2021-11-16,13.59,-0.02,-0.14695
2021-11-15,13.61,-0.01,-0.07342
2021-11-14,13.62,0.04,0.29455
2021-11-11,13.58,0.02,0.14749
2021-11-10,13.56,0.03,0.22173
2021-11-09,13.53,-0.03,-0.22124
2021-11-08,13.56,0.01,0.0738
2021-11-07,13.55,0.02,0.14782
2021-11-04,13.53,0.05,0.37092
2021-11-03,13.48,0.06,0.44709
2021-11-02,13.42,0.03,0.22405
2021-11-01,13.39,-0.02,-0.14914
2021-10-31,13.41,0.07,0.52474
2021-10-28,13.34,-0.08,-0.59613
2021-10-27,13.42,0.06,0.4491
2021-10-26,13.36,-0.05,-0.37286
2021-10-25,13.41,-0.01,-0.07452
2021-10-24,13.42,0.07,0.52434
2021-10-21,13.35,0.01,0.07496
2021-10-20,13.34,-0.05,-0.37341
2021-10-19,13.39,0.07,0.52553
2021-10-18,13.32,0.06,0.45249
2021-10-17,13.26,-0.01,-0.07536
2021-10-14,13.27,0.04,0.30234
2021-10-13,13.23,0.12,0.91533
2021-10-12,13.11,0.08,0.61397
2021-10-11,13.03,0.04,0.30793
2021-10-07,12.99,0.0,0.0
2021-10-06,12.99,0.11,0.85404
2021-10-05,12.88,-0.05,-0.3867
2021-10-04,12.93,0.05,0.3882
2021-10-03,12.88,-0.02,-0.15504
2021-09-30,12.9,0.05,0.38911
2021-09-29,12.85,-0.05,-0.3876
2021-09-28,12.9,-0.01,-0.07746
2021-09-27,12.91,-0.12,-0.92095
2021-09-26,13.03,0.05,0.38521
2021-09-23,12.98,-0.05,-0.38373
2021-09-22,13.03,0.05,0.38521
2021-09-21,12.98,-0.01,-0.07698
2021-09-16,12.99,-0.08,-0.61209
2021-09-15,13.07,-0.07,-0.53272
2021-09-14,13.14,0.02,0.15244
2021-09-13,13.12,-0.03,-0.22814
2021-09-12,13.15,0.04,0.30511
2021-09-09,13.11,-0.05,-0.37994
2021-09-08,13.16,-0.02,-0.15175
2021-09-07,13.18,-0.06,-0.45317
2021-09-06,13.24,-0.08,-0.6006
2021-09-05,13.32,0.01,0.07513
2021-09-02,13.31,0.01,0.07519
2021-09-01,13.3,0.07,0.5291
2021-08-31,13.23,0.01,0.07564
2021-08-30,13.22,-0.02,-0.15106
2021-08-29,13.24,0.03,0.2271
2021-08-26,13.21,0.11,0.83969
2021-08-25,13.1,-0.03,-0.22848
2021-08-24,13.13,0.0,0.0
2021-08-23,13.13,0.01,0.07622
2021-08-22,13.12,0.1,0.76805
2021-08-19,13.02,0.02,0.15385
2021-08-18,13.0,-0.1,-0.76336
2021-08-17,13.1,-0.04,-0.30441
2021-08-16,13.14,-0.07,-0.5299
2021-08-15,13.21,-0.05,-0.37707
2021-08-12,13.26,0.03,0.22676
2021-08-11,13.23,0.0,0.0
2021-08-10,13.23,0.06,0.45558
2021-08-09,13.17,0.03,0.22831
2021-08-08,13.14,-0.02,-0.15198
2021-08-05,13.16,0.0,0.0
2021-08-04,13.16,0.02,0.15221
2021-08-03,13.14,-0.02,-0.15198
2021-08-02,13.16,0.05,0.38139
2021-08-01,13.11,0.02,0.15279
2021-07-29,13.09,-0.02,-0.15256
2021-07-28,13.11,0.08,0.61397
2021-07-27,13.03,0.06,0.46261
2021-07-26,12.97,-0.02,-0.15396
2021-07-25,12.99,0.03,0.23148
2021-07-22,12.96,0.0,0.0
2021-07-21,12.96,0.01,0.07722
2021-07-20,12.95,0.11,0.8567
2021-07-19,12.84,0.08,0.62696
2021-07-18,12.76,-0.18,-1.39104
2021-07-15,12.94,-0.08,-0.61444
2021-07-14,13.02,-0.03,-0.22989
2021-07-13,13.05,-0.01,-0.07657
2021-07-12,13.06,-0.04,-0.30534
2021-07-11,13.1,0.08,0.61444
2021-07-08,13.02,0.14,1.08696
2021-07-07,12.88,-0.11,-0.84681
2021-07-06,12.99,0.01,0.07704
2021-07-05,12.98,-0.04,-0.30722
2021-07-04,13.02,0.03,0.23095
2021-07-01,12.99,0.04,0.30888
2021-06-30,12.95,0.05,0.3876
2021-06-29,12.9,-0.02,-0.1548
2021-06-28,12.92,0.0,0.0
2021-06-27,12.92,-0.05,-0.38551
2021-06-24,12.97,0.01,0.07716
2021-06-23,12.96,0.04,0.3096
2021-06-22,12.92,-0.03,-0.23166
2021-06-21,12.95,0.04,0.30984
2021-06-20,12.91,0.11,0.85937
2021-06-17,12.8,-0.15,-1.1583
2021-06-16,12.95,-0.14,-1.06952
2021-06-15,13.09,-0.04,-0.30465
2021-06-14,13.13,-0.05,-0.37936
2021-06-10,13.18,0.02,0.15198
2021-06-09,13.16,0.01,0.07605
2021-06-08,13.15,-0.01,-0.07599
2021-06-07,13.16,-0.04,-0.30303
2021-06-06,13.2,0.02,0.15175
2021-06-03,13.18,0.05,0.38081
2021-06-02,13.13,-0.05,-0.37936
2021-06-01,13.18,0.03,0.22814
2021-05-31,13.15,0.12,0.92095
2021-05-30,13.03,-0.02,-0.15326
2021-05-27,13.05,0.04,0.30746
2021-05-26,13.01,0.01,0.07692
2021-05-25,13.0,0.02,0.15408
2021-05-24,12.98,0.0,0.0
2021-05-23,12.98,0.03,0.23166
2021-05-20,12.95,0.01,0.07728
2021-05-19,12.94,0.08,0.62208
2021-05-18,12.86,-0.12,-0.9245
2021-05-17,12.98,0.02,0.15432
2021-05-16,12.96,0.04,0.3096
2021-05-13,12.92,0.14,1.09546
2021-05-12,12.78,-0.02,-0.15625
2021-05-11,12.8,-0.1,-0.77519
2021-05-10,12.9,-0.1,-0.76923
2021-05-09,13.0,-0.01,-0.07686
2021-05-06,13.01,0.12,0.93095
2021-05-05,12.89,0.01,0.07764
2021-05-04,12.88,0.1,0.78247
2021-05-03,12.78,-0.05,-0.38971
2021-05-02,12.83,0.12,0.94414
2021-04-28,12.71,-0.04,-0.31373
2021-04-27,12.75,0.03,0.23585
2021-04-26,12.72,-0.02,-0.15699
2021-04-25,12.74,0.05,0.39401
2021-04-22,12.69,0.03,0.23697
2021-04-21,12.66,0.01,0.07905
2021-04-20,12.65,0.04,0.31721
2021-04-19,12.61,-0.06,-0.47356
2021-04-18,12.67,-0.02,-0.1576
2021-04-15,12.69,0.04,0.31621
2021-04-14,12.65,0.02,0.15835
2021-04-13,12.63,0.04,0.31771
2021-04-12,12.59,0.02,0.15911
2021-04-11,12.57,-0.01,-0.07949
