tradeDate,nav,change,changePercent
2022-08-30,10.9955,-0.0586,-0.53012
2022-08-29,11.0541,-0.0767,-0.68908
2022-08-28,11.1308,-0.0559,-0.4997
2022-08-25,11.1867,-0.2302,-2.01631
2022-08-24,11.4169,0.1042,0.92109
2022-08-23,11.3127,0.0133,0.11771
2022-08-22,11.2994,-0.0268,-0.23662
2022-08-21,11.3262,-0.1508,-1.31393
2022-08-18,11.477,-0.1035,-0.89374
2022-08-17,11.5805,0.0117,0.10113
2022-08-16,11.5688,-0.0738,-0.63388
2022-08-15,11.6426,-0.0017,-0.0146
2022-08-14,11.6443,0.0381,0.32827
2022-08-11,11.6062,0.1296,1.12925
2022-08-10,11.4766,-0.0347,-0.30144
2022-08-09,11.5113,0.1569,1.38184
2022-08-08,11.3544,-0.0402,-0.3528
2022-08-07,11.3946,-0.014,-0.12271
2022-08-04,11.4086,-0.0435,-0.37984
2022-08-03,11.4521,0.0209,0.18283
2022-08-02,11.4312,0.1191,1.05285
2022-08-01,11.3121,-0.0675,-0.59317
2022-07-31,11.3796,-0.0178,-0.15618
2022-07-28,11.3974,0.1145,1.01481
2022-07-27,11.2829,0.1332,1.19465
2022-07-26,11.1497,0.176,1.60383
2022-07-25,10.9737,-0.0925,-0.83588
2022-07-24,11.0662,-0.0046,-0.04155
2022-07-21,11.0708,-0.0383,-0.34476
2022-07-20,11.1091,0.1075,0.97713
2022-07-19,11.0016,0.0319,0.2908
2022-07-18,10.9697,0.1797,1.66543
2022-07-17,10.79,-0.0757,-0.69669
2022-07-14,10.8657,0.1412,1.31661
2022-07-13,10.7245,-0.0138,-0.12851
2022-07-12,10.7383,-0.0197,-0.18312
2022-07-11,10.758,-0.0723,-0.66757
2022-07-10,10.8303,-0.0681,-0.62486
2022-07-07,10.8984,-0.0014,-0.01284
2022-07-06,10.8998,0.1116,1.03446
2022-07-05,10.7882,0.0165,0.15318
2022-07-04,10.7717,0.0251,0.23356
2022-06-30,10.7466,0.0874,0.81995
2022-06-29,10.6592,-0.0586,-0.54675
2022-06-28,10.7178,0.0119,0.11115
2022-06-27,10.7059,-0.163,-1.49969
2022-06-26,10.8689,-0.0448,-0.41049
2022-06-23,10.9137,0.1968,1.83635
2022-06-22,10.7169,0.0919,0.86494
2022-06-21,10.625,,
2022-06-20,10.6233,0.175,1.67491
2022-06-16,10.4483,0.0184,0.17642
2022-06-15,10.4299,-0.2333,-2.1879
2022-06-14,10.6632,0.1513,1.43932
2022-06-13,10.5119,-0.0134,-0.12731
2022-06-12,10.5253,-0.3528,-3.24321
2022-06-09,10.8781,-0.2686,-2.40968
2022-06-08,11.1467,-0.1901,-1.67684
2022-06-07,11.3368,-0.0963,-0.84229
2022-06-06,11.4331,0.0672,0.59124
2022-06-05,11.3659,-0.126,-1.09642
2022-06-01,11.4919,0.143,1.26003
