tradeDate,nav,change,changePercent
2022-08-30,8.9514,-0.0135,-0.15059
2022-08-29,8.9649,-0.0024,-0.02676
2022-08-28,8.9673,-0.0038,-0.04236
2022-08-25,8.9711,0.0287,0.32094
2022-08-24,8.9424,-0.0022,-0.0246
2022-08-23,8.9446,0.021,0.23533
2022-08-22,8.9236,-0.0076,-0.08509
2022-08-21,8.9312,-0.0021,-0.02351
2022-08-18,8.9333,0.0076,0.08515
2022-08-17,8.9257,-0.0034,-0.03808
2022-08-16,8.9291,-0.0105,-0.11745
2022-08-15,8.9396,-0.0138,-0.15413
2022-08-14,8.9534,0.0079,0.08831
2022-08-11,8.9455,0.0008,0.00894
2022-08-10,8.9447,0.0307,0.3444
2022-08-09,8.914,-0.0051,-0.05718
2022-08-08,8.9191,0.0074,0.08304
2022-08-07,8.9117,0.006,0.06737
2022-08-04,8.9057,0.0145,0.16308
2022-08-03,8.8912,0.0056,0.06302
2022-08-02,8.8856,-0.0062,-0.06973
2022-08-01,8.8918,-0.0023,-0.02586
2022-07-31,8.8941,0.0441,0.49831
2022-07-28,8.85,0.0367,0.41642
2022-07-27,8.8133,0.0184,0.20921
2022-07-26,8.7949,-0.005,-0.05682
2022-07-25,8.7999,0.0112,0.12744
2022-07-24,8.7887,0.0095,0.10821
2022-07-21,8.7792,0.0312,0.35665
2022-07-20,8.748,0.0047,0.05376
2022-07-19,8.7433,0.0272,0.31207
2022-07-18,8.7161,-0.0121,-0.13863
2022-07-17,8.7282,-0.0019,-0.02176
2022-07-14,8.7301,-0.0493,-0.56154
2022-07-13,8.7794,0.0041,0.04672
2022-07-12,8.7753,-0.0186,-0.21151
2022-07-11,8.7939,-0.0129,-0.14648
2022-07-10,8.8068,0.0182,0.20709
2022-07-07,8.7886,-0.0029,-0.03299
2022-07-06,8.7915,-0.0113,-0.12837
2022-07-05,8.8028,-0.0105,-0.11914
2022-07-04,8.8133,-0.0075,-0.08503
2022-07-03,8.8208,-0.0089,-0.1008
2022-06-30,8.8297,0.0064,0.07254
2022-06-29,8.8233,-0.0285,-0.32197
2022-06-28,8.8518,-0.0148,-0.16692
2022-06-27,8.8666,-0.0053,-0.05974
2022-06-26,8.8719,0.0116,0.13092
2022-06-23,8.8603,-0.0185,-0.20836
2022-06-22,8.8788,-0.0121,-0.13609
2022-06-21,8.8909,,
2022-06-20,8.89,-0.0215,-0.24126
2022-06-19,8.9115,-0.0207,-0.23175
2022-06-16,8.9322,0.0025,0.028
2022-06-15,8.9297,-0.054,-0.60109
2022-06-14,8.9837,-0.0438,-0.48518
2022-06-13,9.0275,-0.0382,-0.42137
2022-06-12,9.0657,-0.0159,-0.17508
2022-06-09,9.0816,0.0054,0.0595
2022-06-08,9.0762,-0.0042,-0.04625
2022-06-07,9.0804,0.0164,0.18094
2022-06-06,9.064,0.0073,0.0806
2022-06-05,9.0567,0.0052,0.05745
2022-06-01,9.0515,-0.0238,-0.26225
2022-05-31,9.0753,0.0082,0.09044
2022-05-30,9.0671,0.0096,0.10599
2022-05-29,9.0575,-0.0135,-0.14883
2022-05-26,9.071,-0.0173,-0.19035
2022-05-25,9.0883,0.0373,0.41211
2022-05-24,9.051,0.0478,0.53092
2022-05-23,9.0032,0.0047,0.05223
2022-05-22,8.9985,-0.0112,-0.12431
2022-05-19,9.0097,-0.0099,-0.10976
2022-05-18,9.0196,-0.0425,-0.46899
2022-05-17,9.0621,0.014,0.15473
2022-05-16,9.0481,-0.0936,-1.02388
2022-05-15,9.1417,-0.0039,-0.04264
2022-05-12,9.1456,-0.0197,-0.21494
2022-05-11,9.1653,0.0226,0.24719
2022-05-10,9.1427,0.0073,0.07991
2022-05-09,9.1354,-0.0121,-0.13228
2022-05-08,9.1475,0.0171,0.18729
2022-05-05,9.1304,0.0044,0.04821
2022-05-04,9.126,0.0287,0.31548
2022-05-03,9.0973,-0.0086,-0.09444
2022-05-02,9.1059,-0.0015,-0.01647
2022-04-28,9.1074,-0.0143,-0.15677
2022-04-27,9.1217,0.0362,0.39844
2022-04-26,9.0855,-0.0092,-0.10116
2022-04-25,9.0947,0.0155,0.17072
2022-04-24,9.0792,0.0159,0.17543
2022-04-21,9.0633,0.0153,0.1691
2022-04-20,9.048,0.0126,0.13945
2022-04-19,9.0354,0.0089,0.0986
2022-04-18,9.0265,-0.0258,-0.28501
2022-04-17,9.0523,-0.0013,-0.01436
2022-04-14,9.0536,-0.0006,-0.00663
2022-04-13,9.0542,0.004,0.0442
2022-04-12,9.0502,0.0037,0.0409
2022-04-11,9.0465,-0.0099,-0.10931
2022-04-10,9.0564,-0.0075,-0.08275
2022-04-07,9.0639,-0.0029,-0.03198
2022-04-06,9.0668,0.0008,0.00882
2022-04-05,9.066,-0.0012,-0.01323
2022-03-31,9.0672,0.0026,0.02868
2022-03-30,9.0646,0.0039,0.04304
2022-03-29,9.0607,0.0059,0.06516
2022-03-28,9.0548,0.0081,0.08954
2022-03-27,9.0467,0.0054,0.05973
2022-03-24,9.0413,0.0027,0.02987
2022-03-23,9.0386,0.0002,0.00221
2022-03-22,9.0384,0.0139,0.15403
2022-03-21,9.0245,0.0045,0.04989
2022-03-20,9.02,0.0278,0.30916
2022-03-17,8.9922,0.0237,0.26426
2022-03-16,8.9685,0.0277,0.30982
2022-03-15,8.9408,0.0028,0.03133
