tradeDate,nav,change,changePercent
2022-08-30,8.1326,-0.0012,-0.01475
2022-08-29,8.1338,-0.003,-0.03687
2022-08-28,8.1368,-0.0359,-0.43927
2022-08-25,8.1727,0.0086,0.10534
2022-08-24,8.1641,0.0357,0.4392
2022-08-23,8.1284,0.0035,0.04308
2022-08-22,8.1249,-0.006,-0.07379
2022-08-21,8.1309,-0.0014,-0.01722
2022-08-18,8.1323,-0.009,-0.11055
2022-08-17,8.1413,0.0018,0.02211
2022-08-16,8.1395,-0.037,-0.45252
2022-08-15,8.1765,0.0389,0.47803
2022-08-14,8.1376,0.0448,0.55358
2022-08-11,8.0928,0.0078,0.09647
2022-08-10,8.085,0.0101,0.12508
2022-08-09,8.0749,0.0055,0.06816
2022-08-08,8.0694,-0.0413,-0.5092
2022-08-07,8.1107,0.0061,0.07527
2022-08-04,8.1046,-0.0199,-0.24494
2022-08-03,8.1245,0.0144,0.17756
2022-08-02,8.1101,-0.0275,-0.33794
2022-08-01,8.1376,-0.0198,-0.24272
2022-07-31,8.1574,0.0083,0.10185
2022-07-28,8.1491,0.0352,0.43382
2022-07-27,8.1139,0.0315,0.38974
2022-07-26,8.0824,0.0068,0.0842
2022-07-25,8.0756,0.0273,0.3392
2022-07-24,8.0483,0.0303,0.3779
2022-07-21,8.018,0.0296,0.37054
2022-07-20,7.9884,0.0347,0.43627
2022-07-19,7.9537,0.0013,0.01635
2022-07-18,7.9524,-0.0316,-0.39579
2022-07-17,7.984,-0.0046,-0.05758
2022-07-14,7.9886,-0.0045,-0.0563
2022-07-13,7.9931,-0.0219,-0.27324
2022-07-12,8.015,-0.0208,-0.25884
2022-07-11,8.0358,-0.0277,-0.34352
2022-07-10,8.0635,-0.0148,-0.18321
2022-07-07,8.0783,-0.011,-0.13598
2022-07-06,8.0893,-0.0231,-0.28475
2022-07-05,8.1124,-0.026,-0.31947
2022-07-04,8.1384,-0.0073,-0.08962
2022-07-03,8.1457,0.0065,0.07986
2022-06-30,8.1392,0.0203,0.25003
2022-06-29,8.1189,0.0105,0.1295
2022-06-28,8.1084,-0.0058,-0.07148
2022-06-27,8.1142,-0.0158,-0.19434
2022-06-26,8.13,0.0026,0.03199
2022-06-23,8.1274,0.0001,0.00123
2022-06-22,8.1273,0.0119,0.14663
2022-06-21,8.1154,,
2022-06-20,8.1032,-0.0192,-0.23638
2022-06-19,8.1224,0.0007,0.00862
2022-06-16,8.1217,0.0075,0.09243
2022-06-15,8.1142,-0.0097,-0.1194
2022-06-14,8.1239,0.0151,0.18622
2022-06-13,8.1088,-0.0377,-0.46278
2022-06-12,8.1465,-0.1097,-1.3287
2022-06-09,8.2562,-0.0549,-0.66056
2022-06-08,8.3111,-0.0161,-0.19334
2022-06-07,8.3272,-0.0053,-0.06361
2022-06-06,8.3325,0.0047,0.05644
2022-06-05,8.3278,-0.0092,-0.11035
2022-06-01,8.337,-0.0025,-0.02998
2022-05-31,8.3395,-0.0016,-0.01918
2022-05-30,8.3411,-0.0036,-0.04314
2022-05-29,8.3447,0.0041,0.04916
2022-05-26,8.3406,0.0009,0.01079
2022-05-25,8.3397,0.0208,0.25003
2022-05-24,8.3189,0.026,0.31352
2022-05-23,8.2929,0.0107,0.12919
2022-05-22,8.2822,0.0021,0.02536
2022-05-19,8.2801,0.011,0.13303
2022-05-18,8.2691,0.0138,0.16717
2022-05-17,8.2553,-0.0098,-0.11857
2022-05-16,8.2651,-0.0181,-0.21851
2022-05-15,8.2832,0.0114,0.13782
2022-05-12,8.2718,-0.0221,-0.26646
2022-05-11,8.2939,-0.0038,-0.0458
2022-05-10,8.2977,0.0053,0.06391
2022-05-09,8.2924,0.001,0.01206
2022-05-08,8.2914,-0.0213,-0.25623
2022-05-05,8.3127,-0.0325,-0.38945
2022-05-04,8.3452,-0.0035,-0.04192
2022-05-03,8.3487,0.0092,0.11032
2022-05-02,8.3395,-0.0413,-0.49279
2022-04-28,8.3808,0.0006,0.00716
2022-04-27,8.3802,-0.0048,-0.05725
2022-04-26,8.385,-0.0059,-0.07031
2022-04-25,8.3909,0.0102,0.12171
2022-04-24,8.3807,0.0077,0.09196
2022-04-21,8.373,-0.02,-0.23829
2022-04-20,8.393,-0.0225,-0.26736
2022-04-19,8.4155,0.0008,0.00951
2022-04-18,8.4147,-0.0369,-0.4366
2022-04-13,8.4516,-0.0113,-0.13352
2022-04-12,8.4629,0.0108,0.12778
2022-04-11,8.4521,0.0004,0.00473
2022-04-10,8.4517,-0.0323,-0.38072
2022-04-07,8.484,-0.0209,-0.24574
2022-04-06,8.5049,-0.0025,-0.02939
2022-04-05,8.5074,-0.009,-0.10568
2022-03-31,8.5164,-0.0174,-0.2039
2022-03-30,8.5338,0.0089,0.1044
2022-03-29,8.5249,0.0367,0.43236
2022-03-28,8.4882,0.0466,0.55203
2022-03-27,8.4416,0.0119,0.14117
2022-03-24,8.4297,-0.0155,-0.18354
2022-03-23,8.4452,-0.0149,-0.17612
2022-03-22,8.4601,0.0187,0.22153
2022-03-21,8.4414,-0.0136,-0.16085
2022-03-20,8.455,0.0108,0.1279
2022-03-17,8.4442,0.0308,0.36608
2022-03-16,8.4134,0.0959,1.15299
2022-03-15,8.3175,-0.0028,-0.03365
2022-03-14,8.3203,-0.0489,-0.58429
2022-03-13,8.3692,-0.0621,-0.73654
2022-03-10,8.4313,-0.0227,-0.26851
2022-03-09,8.454,-0.0252,-0.2972
2022-03-08,8.4792,-0.0293,-0.34436
2022-03-07,8.5085,-0.0597,-0.69676
2022-03-06,8.5682,-0.0432,-0.50166
2022-03-03,8.6114,-0.0024,-0.02786
2022-03-02,8.6138,-0.0255,-0.29516
2022-03-01,8.6393,-0.0429,-0.49411
2022-02-28,8.6822,-0.3392,-3.75995
2022-02-24,9.0214,0.0044,0.0488
2022-02-23,9.017,-0.1617,-1.76169
2022-02-22,9.1787,-0.1403,-1.50553
2022-02-21,9.319,-0.0424,-0.45292
2022-02-20,9.3614,-0.017,-0.18127
2022-02-17,9.3784,0.0122,0.13026
2022-02-16,9.3662,-0.0084,-0.0896
2022-02-15,9.3746,-0.0043,-0.04585
2022-02-14,9.3789,-0.0208,-0.22128
2022-02-13,9.3997,-0.0439,-0.46487
2022-02-10,9.4436,-0.0057,-0.06032
2022-02-09,9.4493,-0.0063,-0.06663
2022-02-08,9.4556,0.0209,0.22152
2022-02-07,9.4347,-0.0216,-0.22842
2022-02-06,9.4563,-0.0411,-0.43275
2022-01-27,9.4974,-0.0171,-0.17973
2022-01-26,9.5145,-0.0135,-0.14169
2022-01-25,9.528,-0.0041,-0.04301
2022-01-24,9.5321,-0.0193,-0.20206
2022-01-23,9.5514,-0.0244,-0.25481
2022-01-20,9.5758,0.0181,0.18938
2022-01-19,9.5577,0.0161,0.16873
2022-01-18,9.5416,0.0508,0.53526
2022-01-17,9.4908,-0.0323,-0.33918
2022-01-16,9.5231,-0.0414,-0.43285
2022-01-13,9.5645,-0.0526,-0.54694
2022-01-12,9.6171,-0.0268,-0.2779
2022-01-11,9.6439,-0.0042,-0.04353
2022-01-10,9.6481,-0.0051,-0.05283
2022-01-09,9.6532,-0.0206,-0.21295
2022-01-06,9.6738,-0.0207,-0.21352
2022-01-05,9.6945,-0.057,-0.58453
2022-01-04,9.7515,-0.0097,-0.09937
2022-01-03,9.7612,-0.0121,-0.12381
2022-01-02,9.7733,-0.004,-0.04091
2021-12-29,9.7773,0.0066,0.06755
2021-12-28,9.7707,-0.006,-0.06137
2021-12-27,9.7767,0.0145,0.14853
2021-12-26,9.7622,0.0018,0.01844
2021-12-23,9.7604,0.0048,0.0492
2021-12-22,9.7556,0.0033,0.03384
2021-12-21,9.7523,0.0102,0.1047
2021-12-20,9.7421,-0.0077,-0.07898
2021-12-19,9.7498,-0.0215,-0.22003
2021-12-16,9.7713,-0.0083,-0.08487
2021-12-15,9.7796,0.0142,0.14541
2021-12-14,9.7654,-0.0158,-0.16153
2021-12-13,9.7812,-0.0236,-0.2407
2021-12-12,9.8048,-0.0018,-0.01835
2021-12-09,9.8066,0.0087,0.08879
2021-12-08,9.7979,0.0151,0.15435
2021-12-07,9.7828,0.0135,0.13819
2021-12-06,9.7693,0.002,0.02048
2021-12-05,9.7673,0.0079,0.08095
2021-12-02,9.7594,0.0109,0.11181
2021-12-01,9.7485,0.0049,0.05029
2021-11-30,9.7436,0.0025,0.02566
2021-11-29,9.7411,0.0126,0.12952
2021-11-28,9.7285,-0.0215,-0.22051
2021-11-25,9.75,-0.0073,-0.07482
2021-11-24,9.7573,-0.0067,-0.06862
2021-11-23,9.764,-0.0094,-0.09618
2021-11-22,9.7734,-0.0294,-0.29991
2021-11-21,9.8028,-0.0185,-0.18837
2021-11-18,9.8213,0.0072,0.07336
2021-11-17,9.8141,0.0087,0.08873
2021-11-16,9.8054,-0.0066,-0.06726
2021-11-15,9.812,-0.0095,-0.09673
2021-11-14,9.8215,0.0142,0.14479
2021-11-11,9.8073,0.0409,0.41878
2021-11-10,9.7664,0.0066,0.06762
2021-11-09,9.7598,-0.0083,-0.08497
2021-11-08,9.7681,-0.0226,-0.23083
2021-11-07,9.7907,-0.0243,-0.24758
2021-11-04,9.815,-0.0198,-0.20133
2021-11-03,9.8348,0.0044,0.04476
2021-11-02,9.8304,0.0046,0.04682
2021-11-01,9.8258,-0.0012,-0.01221
2021-10-31,9.827,-0.0247,-0.25072
2021-10-28,9.8517,-0.0175,-0.17732
2021-10-27,9.8692,0.0006,0.00608
2021-10-26,9.8686,0.0101,0.10245
2021-10-25,9.8585,0.0035,0.03551
2021-10-24,9.855,0.0024,0.02436
2021-10-21,9.8526,-0.0093,-0.0943
2021-10-20,9.8619,-0.0132,-0.13367
2021-10-19,9.8751,-0.0016,-0.0162
2021-10-18,9.8767,0.0061,0.0618
2021-10-17,9.8706,0.0127,0.12883
2021-10-14,9.8579,0.0051,0.05176
2021-10-13,9.8528,0.0158,0.16062
2021-10-12,9.837,0.0093,0.09463
2021-10-11,9.8277,-0.0502,-0.50821
2021-10-07,9.8779,-0.0226,-0.22827
2021-10-06,9.9005,-0.0029,-0.02928
2021-10-05,9.9034,-0.0193,-0.1945
2021-10-04,9.9227,-0.0199,-0.20015
2021-10-03,9.9426,-0.0096,-0.09646
2021-09-30,9.9522,0.0059,0.05932
2021-09-29,9.9463,0.0,0.0
2021-09-28,9.9463,0.0087,0.08755
2021-09-27,9.9376,-0.0266,-0.26696
2021-09-26,9.9642,-0.0019,-0.01906
2021-09-23,9.9661,-0.012,-0.12026
2021-09-22,9.9781,-0.0009,-0.00902
2021-09-21,9.979,-0.0265,-0.26485
2021-09-16,10.0055,-0.0225,-0.22437
2021-09-15,10.028,-0.015,-0.14936
2021-09-14,10.043,-0.0011,-0.01095
2021-09-13,10.0441,0.0036,0.03585
2021-09-12,10.0405,0.0021,0.02092
2021-09-10,10.0384,0.0001,0.001
2021-09-09,10.0383,-0.0021,-0.02092
2021-09-08,10.0404,0.0011,0.01096
2021-09-07,10.0393,0.007,0.06977
2021-09-06,10.0323,0.0001,0.001
2021-09-05,10.0322,0.0041,0.04089
2021-09-02,10.0281,-0.0016,-0.01595
2021-09-01,10.0297,0.0074,0.07384
2021-08-31,10.0223,0.0014,0.01397
2021-08-30,10.0209,0.0065,0.06491
2021-08-29,10.0144,0.013,0.12998
2021-08-26,10.0014,0.0021,0.021
2021-08-25,9.9993,0.0018,0.018
2021-08-24,9.9975,0.0023,0.02301
2021-08-23,9.9952,0.0038,0.03803
2021-08-22,9.9914,-0.0012,-0.01201
2021-08-19,9.9926,-0.0023,-0.02301
2021-08-18,9.9949,0.0005,0.005
2021-08-17,9.9944,-0.0008,-0.008
2021-08-16,9.9952,0.0068,0.06808
2021-08-15,9.9884,0.0108,0.10824
2021-08-12,9.9776,0.0071,0.07121
2021-08-11,9.9705,0.0023,0.02307
2021-08-10,9.9682,-0.0035,-0.0351
2021-08-09,9.9717,-0.0029,-0.02907
2021-08-08,9.9746,-0.0093,-0.09315
2021-08-05,9.9839,-0.0102,-0.10206
2021-08-04,9.9941,-0.0038,-0.03801
2021-08-03,9.9979,0.0032,0.03202
2021-08-02,9.9947,0.0087,0.08712
2021-08-01,9.986,0.0093,0.09322
2021-07-29,9.9767,-0.0037,-0.03707
2021-07-28,9.9804,0.0093,0.09327
2021-07-27,9.9711,-0.0092,-0.09218
2021-07-26,9.9803,-0.0097,-0.0971
2021-07-25,9.99,-0.0016,-0.01601
2021-07-22,9.9916,0.0004,0.004
2021-07-21,9.9912,0.0035,0.03504
2021-07-20,9.9877,-0.0123,-0.123
2021-07-19,10.0,-0.0009,-0.009
2021-07-18,10.0009,0.0067,0.06704
2021-07-15,9.9942,-0.0014,-0.01401
2021-07-14,9.9956,0.0136,0.13625
2021-07-13,9.982,0.0031,0.03107
2021-07-12,9.9789,-0.0101,-0.10111
2021-07-11,9.989,0.0026,0.02604
2021-07-08,9.9864,-0.0122,-0.12202
2021-07-07,9.9986,0.0083,0.08308
2021-07-06,9.9903,0.0109,0.10923
2021-07-05,9.9794,0.0047,0.04712
2021-07-04,9.9747,0.0035,0.0351
2021-07-01,9.9712,0.0045,0.04515
2021-06-30,9.9667,-0.0058,-0.05816
2021-06-29,9.9725,0.0061,0.06121
2021-06-28,9.9664,0.0043,0.04316
2021-06-27,9.9621,0.0028,0.02811
2021-06-24,9.9593,0.0041,0.04118
2021-06-23,9.9552,0.0036,0.03618
2021-06-22,9.9516,0.001,0.01005
2021-06-21,9.9506,0.0014,0.01407
