tradeDate,nav,change,changePercent
2022-08-30,8.98,-0.0249,-0.27652
2022-08-29,9.0049,-0.0133,-0.14748
2022-08-28,9.0182,-0.0495,-0.54589
2022-08-25,9.0677,0.003,0.0331
2022-08-24,9.0647,0.0158,0.17461
2022-08-23,9.0489,-0.0129,-0.14236
2022-08-22,9.0618,-0.0252,-0.27732
2022-08-21,9.087,-0.0439,-0.48079
2022-08-18,9.1309,-0.0444,-0.48391
2022-08-17,9.1753,0.0003,0.00327
2022-08-16,9.175,-0.0389,-0.42219
2022-08-15,9.2139,-0.0049,-0.05315
2022-08-14,9.2188,0.0268,0.29156
2022-08-11,9.192,-0.0059,-0.06415
2022-08-10,9.1979,-0.0079,-0.08582
2022-08-09,9.2058,0.0211,0.22973
2022-08-08,9.1847,-0.0116,-0.12614
2022-08-07,9.1963,0.023,0.25073
2022-08-04,9.1733,-0.0521,-0.56475
2022-08-03,9.2254,0.0303,0.32952
2022-08-02,9.1951,-0.034,-0.3684
2022-08-01,9.2291,-0.0271,-0.29278
2022-07-31,9.2562,0.0387,0.41985
2022-07-28,9.2175,0.0197,0.21418
2022-07-27,9.1978,0.0578,0.63239
2022-07-26,9.14,0.0042,0.04597
2022-07-25,9.1358,0.0067,0.07339
2022-07-24,9.1291,-0.0088,-0.0963
2022-07-21,9.1379,0.0822,0.90772
2022-07-20,9.0557,0.0305,0.33794
2022-07-19,9.0252,0.0187,0.20763
2022-07-18,9.0065,-0.0034,-0.03774
2022-07-17,9.0099,0.0021,0.02331
2022-07-14,9.0078,0.0267,0.29729
2022-07-13,8.9811,,
2022-07-12,8.9976,-0.0233,-0.25829
2022-07-11,9.0209,0.0105,0.11653
2022-07-10,9.0104,0.0029,0.0322
2022-07-07,9.0075,-0.0098,-0.10868
2022-07-06,9.0173,-0.0092,-0.10192
2022-07-05,9.0265,-0.0062,-0.06864
2022-07-04,9.0327,-0.0125,-0.13819
2022-06-30,9.0452,0.029,0.32164
2022-06-29,9.0162,0.0034,0.03772
2022-06-28,9.0128,-0.0033,-0.0366
2022-06-27,9.0161,-0.0241,-0.26659
2022-06-26,9.0402,-0.0041,-0.04533
2022-06-23,9.0443,0.0229,0.25384
2022-06-22,9.0214,0.0168,0.18657
2022-06-21,9.0046,,
2022-06-20,8.9887,-0.0019,-0.02113
2022-06-16,8.9906,0.0181,0.20173
2022-06-15,8.9725,-0.0354,-0.39299
2022-06-14,9.0079,0.0139,0.15455
2022-06-13,8.994,-0.0468,-0.51765
2022-06-12,9.0408,-0.1344,-1.46482
2022-06-09,9.1752,-0.0713,-0.7711
2022-06-08,9.2465,-0.0317,-0.34166
2022-06-07,9.2782,-0.0097,-0.10444
2022-06-06,9.2879,-0.0135,-0.14514
2022-06-05,9.3014,-0.0365,-0.39088
2022-06-01,9.3379,-0.0133,-0.14223
2022-05-31,9.3512,-0.0221,-0.23578
2022-05-30,9.3733,-0.0116,-0.1236
2022-05-26,9.3849,0.0486,0.52055
2022-05-25,9.3363,0.0332,0.35687
2022-05-24,9.3031,0.0282,0.30405
2022-05-23,9.2749,0.0065,0.07013
2022-05-22,9.2684,0.0093,0.10044
2022-05-19,9.2591,0.0169,0.18286
2022-05-18,9.2422,-0.0176,-0.19007
2022-05-17,9.2598,-0.0255,-0.27463
2022-05-16,9.2853,0.0061,0.06574
2022-05-15,9.2792,0.0037,0.03989
2022-05-12,9.2755,0.0152,0.16414
2022-05-11,9.2603,-0.0148,-0.15957
2022-05-10,9.2751,0.0051,0.05502
2022-05-09,9.27,0.0028,0.03021
2022-05-08,9.2672,-0.0334,-0.35912
2022-05-05,9.3006,-0.07,-0.74702
2022-05-04,9.3706,-0.0131,-0.1396
2022-05-03,9.3837,0.0037,0.03945
2022-05-02,9.38,-0.0424,-0.44999
2022-04-28,9.4224,-0.0112,-0.11872
2022-04-27,9.4336,-0.0155,-0.16404
